"lga_id","total_facilities","total_hospitals","total_phcentres","total_phclinics","total_phclinics.1","total_sec_tertiary","improved_water_supply","improved_sanitation","power_sources_grid","any_power_available","emerg_tran","sba","delivery_services_yn","c_section_yn","antenatal_care_yn","family_planning_yn","child_health_measles_immun","vaccines_fridge_freezer","medication_anti_malarials","phcentre","phclinic","dispensary","lga","state","zone","pop_2006"
2,20,1,12,5,1,1,9,15,9,12,3,9,1,1,19,12,15,9,0,0,2,15,"Abaji","FCT","North-Central",58444
3,12,0,8,2,2,0,5,8,6,6,1,9,10,1,11,9,0,0,5,1,0,10,"Abak","Akwa Ibom","South-South",139090
4,24,8,5,3,2,6,6,7,4,7,13,13,18,9,19,16,0,1,3,0,1,17,"Abakaliki","Ebonyi","Southeast",151723
5,10,0,5,2,2,1,4,4,4,6,6,6,6,1,8,10,0,0,6,2,2,9,"Aba North","Abia","Southeast",107488
6,22,4,11,1,2,4,8,10,8,13,10,14,16,6,17,18,0,1,8,3,3,13,"Aba South","Abia","Southeast",423852
7,65,4,14,19,1,27,14,19,14,18,25,40,62,7,63,44,0,1,18,0,0,26,"Abeokuta North","Ogun","Southwest",201329
8,61,14,8,9,5,25,4,8,10,11,37,48,47,18,45,39,0,0,7,1,2,14,"Abeokuta South","Ogun","Southwest",250278
9,42,0,11,2,27,2,31,12,35,37,11,2,24,1,38,31,0,3,19,0,1,39,"Abi","Cross River","South-South",144802
10,35,5,9,4,2,15,7,7,12,12,23,28,31,16,34,20,0,0,6,1,1,11,"Aboh Mbaise","Imo","Southeast",195652
11,9,1,7,0,1,0,5,5,6,6,4,6,7,1,8,7,0,0,3,2,3,6,"Abua Odual","Rivers","South-South",282988
12,24,3,11,2,3,5,11,6,5,6,14,4,17,4,18,14,0,0,6,0,1,19,"Adavi","Kogi","North-Central",202194
13,34,10,3,14,0,7,3,10,8,9,16,17,20,10,21,18,0,0,9,2,1,21,"Ado-Ekiti","Ekiti","Southwest",308621
14,57,2,16,18,5,16,9,17,20,22,9,24,52,11,53,47,0,2,15,0,0,26,"Ado-Odo/Ota","Ogun","Southwest",526565
15,28,5,19,3,0,1,18,11,11,13,21,7,25,4,27,24,0,0,18,0,0,18,"Afijio","Oyo","Southwest",134173
16,6,0,3,2,1,0,3,4,4,4,3,0,6,0,6,1,0,0,3,0,0,5,"Afikpo North","Ebonyi","Southeast",156611
