breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Dry Well,,Barki daka,,,Stand Alone Water Point,,No,10.620828866958618 13.403159379959106 547.0 4.0,True,Michika,499,499,499.0,Hand Pump,No,1307520247698.jpg,water,Adamawa,adamawa_michika,ed9e6e219c772030a23d5c49b40ac7e2,Moda daka,Handpump,,,,
Functional,,murva,,,Stand Alone Water Point,,Yes,10.64751148223877 13.406453132629395 522.0 3.0,True,Michika,499,499,499.0,Hand Pump,No,1307615378636.jpg,water,Adamawa,adamawa_michika,277da6a7f459280ac3f1dcd1a753caac,minsiki/wuro-ngiki,Handpump,,,,
Mechanical Issue,,Tsukuma,,,Stand Alone Water Point,,No,10.564947724342346 13.314083218574524 487.0 3.0,True,Michika,499,499,499.0,Solar,No,1307714780737.jpg,water,Adamawa,adamawa_michika,52e0aac141aa22d1bbc34f65e3bcf080,Tsukuma,Tap,,,,
Mechanical Issue,,Wurthiku,,,Stand Alone Water Point,,No,10.577634572982788 13.309062123298645 495.0 3.0,True,Michika,499,499,499.0,Hand Pump,No,1307794497142.jpg,water,Adamawa,adamawa_michika,5bdd4d9af0d087651014644d83092223,Bazza Marghi,Handpump,,,,
Functional,,Delchim,,,Stand Alone Water Point,,Yes,10.544793605804443 13.289814591407776 480.0 4.0,True,Michika,499,499,499.0,Hand Pump,No,1307706613176.jpg,water,Adamawa,adamawa_michika,31b1c904ab90709a5fd9184e7dec62e6,Tsukumu Tillijo,Handpump,,,,
Mechanical Issue,,futuless,,,Stand Alone Water Point,,No,10.59930682182312 13.45749020576477 646.0 4.0,True,Michika,499,499,499.0,Hand Pump,No,1307787465168.jpg,water,Adamawa,adamawa_michika,e5b02af77e9664fc600f5fac8e6f12fa,futu,Handpump,,,,
Mechanical Issue,,Sina Kwande,,,Stand Alone Water Point,,No,10.581872463226318 13.519266843795776 662.0 3.0,True,Michika,499,499,499.0,Manual,No,1307795708724.jpg,water,Adamawa,adamawa_michika,4726e1cad1775f1224188a87cb7a5a64,Sina kamale,Borehole,,,,
Functional,,sina Kwande,,,Stand Alone Water Point,,Yes,10.56810200214386 13.529829382896423 682.0 4.0,True,Michika,499,499,499.0,Hand Pump,No,1307789013031.jpg,water,Adamawa,adamawa_michika,95a54984671ccc0157fe5259d1ff3df8,Sina Kamale,Handpump,,,,
Functional,,vuwa,,,Stand Alone Water Point,,Yes,10.572280883789063 13.45824122428894 684.0 4.0,True,Michika,499,499,499.0,Hand Pump,No,1307791307518.jpg,water,Adamawa,adamawa_michika,3fdac53a394b434fb18760029b096038,futu,Handpump,,,,
Functional,,Vi sabon layi,,,Stand Alone Water Point,,Yes,10.548285841941833 13.383230566978455 606.0 4.0,True,Michika,499,499,499.0,Hand Pump,No,1307615062850.jpg,water,Adamawa,adamawa_michika,e6b1c22c3900b8838ef7c8c1252b4fb1,Vi,Handpump,,,,
