"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"15218",15218,15218,"cd75b822-aa62-4bbc-8c00-bf7de0d1aca9","etim_ekpo","akwa_ibom","south_south","4.913994669914246 7.523505091667175 84.0 4.0","Comm. Pr. Sch. Abak Obong","preprimary_only","akwa_ibom_etim_eko",209,"1342438835157.jpg","cd75b822-aa62-4bbc-8c00-bf7de0d1aca9","preprimary_only","1342438835157.jpg",6,"formal_educ",TRUE,FALSE,5,6,0,0,FALSE,TRUE,50,0.7,FALSE,NA,NA,FALSE,5,FALSE,FALSE,FALSE,FALSE,340,TRUE,FALSE,TRUE,TRUE,68,56.6666666666667,283.333333333333,Inf,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"education"
"15219",15219,15219,"c9c2e26a-7373-4ed9-91e3-1ea56c9be80e","etim_ekpo","akwa_ibom","south_south","4.98429000377655 7.668381929397583 80.0 3.0","Divine Will Christain  Nirsery/primary School Esa Obong","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342177792938.jpg","c9c2e26a-7373-4ed9-91e3-1ea56c9be80e","preprimary_and_primary","1342177792938.jpg",13,"formal_educ",FALSE,FALSE,3,7,40,0.0798403193612774,FALSE,FALSE,0,0.67,FALSE,TRUE,125.25,FALSE,2,FALSE,FALSE,FALSE,FALSE,71.5714285714286,FALSE,FALSE,FALSE,TRUE,1.2525,1.2525,38.5384615384615,2.16666666666667,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15220",15220,15220,"203689a0-3ef3-4476-8258-0777959e4701","etim_ekpo","akwa_ibom","south_south","4.95684027671814 7.579665184020996 65.0 4.0","Government Primary School Obong Ntak","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342262323605.jpg","203689a0-3ef3-4476-8258-0777959e4701","preprimary_and_primary","1342262323605.jpg",13,"formal_educ",FALSE,FALSE,5,12,830,0.873684210526316,FALSE,TRUE,370,0.792452830188679,TRUE,FALSE,475,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,FALSE,FALSE,TRUE,FALSE,6.33333333333333,6.33333333333333,73.0769230769231,Inf,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15221",15221,15221,"f615e3d7-1201-48d8-b1ad-66b7d93a7b59","etim_ekpo","akwa_ibom","south_south","4.987202882766724 7.603483200073242 81.0 3.0","Government Primary School","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342093557979.jpg","f615e3d7-1201-48d8-b1ad-66b7d93a7b59","preprimary_and_primary","1342093557979.jpg",10,"formal_educ",TRUE,FALSE,4,8,2045,2.88841807909604,FALSE,FALSE,370,0.873015873015873,FALSE,FALSE,Inf,FALSE,0,FALSE,FALSE,FALSE,FALSE,177,FALSE,FALSE,FALSE,FALSE,Inf,Inf,70.8,Inf,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15222",15222,15222,"15f5813d-ceea-4061-8b48-61d6af014d79","etim_ekpo","akwa_ibom","south_south","4.983458518981934 7.678676247596741 87.0 4.0","Government School Nto Edet","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342179780068.jpg","15f5813d-ceea-4061-8b48-61d6af014d79","preprimary_and_primary","1342179780068.jpg",14,"formal_educ",TRUE,FALSE,7,14,2070,1.33893919793014,FALSE,TRUE,30,0.772935779816514,FALSE,FALSE,773,TRUE,5,FALSE,FALSE,FALSE,FALSE,110.428571428571,TRUE,FALSE,TRUE,FALSE,773,309.2,110.428571428571,Inf,14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"15223",15223,15223,"6189f26a-fcf5-41b5-a221-8ba360ddd32f","etim_ekpo","akwa_ibom","south_south","4.952709674835205 7.61003315448761 71.0 4.0","St Joseph's Catholic School","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342099375046.jpg","6189f26a-fcf5-41b5-a221-8ba360ddd32f","preprimary_and_primary","1342099375046.jpg",12,"formal_educ",TRUE,FALSE,2,9,1474,1.40247383444339,FALSE,FALSE,0,0.847100175746924,TRUE,FALSE,525.5,FALSE,3,FALSE,FALSE,FALSE,FALSE,116.777777777778,FALSE,FALSE,FALSE,FALSE,95.5454545454545,10.8350515463918,87.5833333333333,Inf,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"15224",15224,15224,"58a414a2-d7bf-430b-88ee-dc037c1e33bf","etim_ekpo","akwa_ibom","south_south","5.000093579292297 7.6841801404953 86.0 3.0","Govt School, Ikpe Atai","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342195549653.jpg","58a414a2-d7bf-430b-88ee-dc037c1e33bf","preprimary_and_primary","1342195549653.jpg",16,"formal_educ",FALSE,TRUE,2,15,1150,0.836972343522562,TRUE,TRUE,0,0.903047091412742,TRUE,TRUE,229,FALSE,2,FALSE,FALSE,FALSE,FALSE,171.75,FALSE,FALSE,FALSE,TRUE,137.4,22.9,85.875,Inf,7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"education"
"15225",15225,15225,"b578078d-79c6-4810-a48f-b28c0e37162c","etim_ekpo","akwa_ibom","south_south","4.975336790084839 7.660201191902161 70.0 4.0","community secondary commercial school","junior_and_senior_sec","akwa_ibom_etim_eko",209,"1342181898026.jpg","b578078d-79c6-4810-a48f-b28c0e37162c","junior_and_senior_sec","1342181898026.jpg",12,"formal_educ",FALSE,FALSE,6,2,640,0.397762585456805,FALSE,TRUE,3,0.758469945355191,TRUE,FALSE,536.333333333333,FALSE,0,FALSE,FALSE,FALSE,FALSE,268.166666666667,TRUE,FALSE,TRUE,FALSE,100.5625,1.62034239677744,134.083333333333,12,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15226",15226,15226,"3bce5adc-fadc-4ce5-9abc-5c23e9fee530","etim_ekpo","akwa_ibom","south_south","5.019335746765137 7.6706671714782715 102.0 4.0","QIC Group School ","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342172725156.jpg","3bce5adc-fadc-4ce5-9abc-5c23e9fee530","preprimary_and_primary","1342172725156.jpg",16,"formal_educ",FALSE,TRUE,3,14,1907,1.61610169491525,FALSE,FALSE,22,0.884984025559105,TRUE,TRUE,196.666666666667,FALSE,4,FALSE,FALSE,FALSE,FALSE,84.2857142857143,FALSE,FALSE,TRUE,FALSE,53.6363636363636,7.86666666666667,73.75,Inf,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15227",15227,15227,"e1e4337a-88b6-49be-91f4-18c8a0244833","etim_ekpo","akwa_ibom","south_south","5.02000629901886 7.67770528793335 86.0 4.0","Bride's Int.Nursery/Primary School","preprimary_and_primary","akwa_ibom_etim_eko",209,"1342173645579.jpg","e1e4337a-88b6-49be-91f4-18c8a0244833","preprimary_and_primary","1342173645579.jpg",14,"formal_educ",TRUE,TRUE,0,9,0,0,TRUE,FALSE,25,0.619047619047619,TRUE,TRUE,119,TRUE,0,TRUE,FALSE,TRUE,FALSE,36.6153846153846,FALSE,TRUE,FALSE,FALSE,34,2.38,34,Inf,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
