"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"23616",23616,23616,"ccddc385-91e3-48cb-af0f-b26165bbd432","ika","akwa_ibom","south_south","5.055293440818787 7.575877904891968 86.0 4.0","Qic. Ika. Group. School.Ikot. Osukpong.","primary_only","akwa_ibom_ika",321,"1342175302547.jpg","ccddc385-91e3-48cb-af0f-b26165bbd432","primary_only","1342175302547.jpg",20,"formal_educ",FALSE,FALSE,10,19,NA,NA,FALSE,FALSE,0,0.755555555555556,TRUE,FALSE,526.666666666667,FALSE,3,FALSE,FALSE,FALSE,FALSE,79,FALSE,FALSE,FALSE,FALSE,39.5,13.1666666666667,79,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"23617",23617,23617,"303a89ba-ffc9-44d8-9492-9dd1fa22ad0b","ika","akwa_ibom","south_south","5.0308263301849365 7.590104341506958 83.0 4.0","Saint Peters African Church School ","primary_only","akwa_ibom_ika",321,"1342438322178.jpg","303a89ba-ffc9-44d8-9492-9dd1fa22ad0b","primary_only","1342438322178.jpg",16,"formal_educ",FALSE,FALSE,0,15,NA,NA,FALSE,FALSE,0,0.776898734177215,TRUE,TRUE,187.166666666667,FALSE,0,TRUE,FALSE,FALSE,FALSE,124.777777777778,FALSE,FALSE,TRUE,FALSE,112.3,14.0375,70.1875,Inf,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"23618",23618,23618,"3e4368d0-4856-43ce-823e-e40d3231ae0c","ika","akwa_ibom","south_south","4.9721986055374146 7.469303011894226 53.0 4.0","Govt. Technical College, Ikot Uko Ika","science_technical","akwa_ibom_ika",321,"1342529820732.jpg","3e4368d0-4856-43ce-823e-e40d3231ae0c","science_technical","1342529820732.jpg",27,"formal_educ",TRUE,TRUE,5,1,0,0,FALSE,TRUE,300,3.93782383419689,TRUE,TRUE,47.65,FALSE,0,FALSE,FALSE,FALSE,FALSE,105.888888888889,TRUE,FALSE,TRUE,FALSE,47.65,47.65,35.2962962962963,6.75,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"education"
"23619",23619,23619,"861919d1-17aa-4d4a-938a-29736632e6c8","ika","akwa_ibom","south_south","5.006037354469299 7.521214485168457 94.0 4.0","QIC CENTRAL SCHOOL","preprimary_and_primary","akwa_ibom_ika",321,"1342176893488.jpg","861919d1-17aa-4d4a-938a-29736632e6c8","preprimary_and_primary","1342176893488.jpg",24,"formal_educ",TRUE,FALSE,5,23,3378,1.70005032712632,TRUE,FALSE,370,0.969276511397423,TRUE,TRUE,248.375,FALSE,5,FALSE,FALSE,FALSE,FALSE,116.882352941176,FALSE,FALSE,TRUE,FALSE,99.35,8.11020408163265,82.7916666666667,Inf,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"23620",23620,23620,"54fc098a-b1a0-45fb-8614-640a13060eb9","ika","akwa_ibom","south_south","4.995598196983337 7.532801628112793 86.0 3.0","TRINITY HIGH SCHOOL","junior_and_senior_sec","akwa_ibom_ika",321,"1342447548812.jpg","54fc098a-b1a0-45fb-8614-640a13060eb9","junior_and_senior_sec","1342447548812.jpg",15,"formal_educ",TRUE,FALSE,6,2,34,0.17,FALSE,TRUE,52,1.08333333333333,TRUE,FALSE,66.6666666666667,FALSE,0,FALSE,FALSE,FALSE,FALSE,25,FALSE,FALSE,TRUE,FALSE,Inf,Inf,13.3333333333333,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"23621",23621,23621,"233016cd-23a2-4fc3-a909-5edd9b0a7072","ika","akwa_ibom","south_south","5.055588483810425 7.573249340057373 75.0 4.0","Immaculate Conception Catholic School","primary_only","akwa_ibom_ika",321,"1342178607636.jpg","233016cd-23a2-4fc3-a909-5edd9b0a7072","primary_only","1342178607636.jpg",13,"formal_educ",FALSE,FALSE,3,11,NA,NA,TRUE,FALSE,0,0.979487179487179,TRUE,FALSE,579,FALSE,3,FALSE,FALSE,FALSE,FALSE,96.5,FALSE,FALSE,TRUE,FALSE,23.16,23.16,89.0769230769231,Inf,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"23622",23622,23622,"d4fbf83c-c123-412d-a079-228b09722ec7","ika","akwa_ibom","south_south","5.041120648384094 7.548755407333374 87.0 2.0","St. Peter/Paul Catholic School.","preprimary_and_primary","akwa_ibom_ika",321,"1342522601448.jpg","d4fbf83c-c123-412d-a079-228b09722ec7","preprimary_and_primary","1342522601448.jpg",15,"formal_educ",FALSE,FALSE,5,14,100,0.068073519400953,TRUE,TRUE,200,0.831670822942643,FALSE,NA,NA,FALSE,6,FALSE,FALSE,FALSE,FALSE,133.545454545455,FALSE,FALSE,TRUE,FALSE,18.3625,18.3625,97.9333333333333,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"23623",23623,23623,"05098d25-da68-4830-b98f-b85bb2fd5218","ika","akwa_ibom","south_south","5.006139278411865 7.521455883979797 73.0 4.0","christain nursry and primary","preprimary_only","akwa_ibom_ika",321,"1342181573930.jpg","05098d25-da68-4830-b98f-b85bb2fd5218","preprimary_only","1342181573930.jpg",9,"formal_educ",FALSE,FALSE,2,9,0,0,TRUE,FALSE,50,0.5,TRUE,FALSE,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,8.57142857142857,FALSE,FALSE,TRUE,FALSE,6.66666666666667,1.27659574468085,6.66666666666667,2.25,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"23624",23624,23624,"e0971670-a464-4112-904c-ae2b83c89e26","ika","akwa_ibom","south_south","5.020902156829834 7.573978900909424 97.0 4.0","St. John's Catholic School","preprimary_and_primary","akwa_ibom_ika",321,"1342526636909.jpg","e0971670-a464-4112-904c-ae2b83c89e26","preprimary_and_primary","1342526636909.jpg",23,"formal_educ",FALSE,FALSE,5,20,519,0.343253968253968,FALSE,TRUE,50,0.862068965517241,TRUE,TRUE,378,FALSE,0,FALSE,FALSE,TRUE,FALSE,116.307692307692,FALSE,FALSE,TRUE,FALSE,15.12,15.12,65.7391304347826,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"23625",23625,23625,"dd42f7e0-0968-469d-b6a2-ad27c82559bd","ika","akwa_ibom","south_south","4.9908024072647095 7.5471031665802 109.0 4.0","Christian Standard Science Academy, Nto Udo Enwan","junior_and_senior_sec","akwa_ibom_ika",321,"1342616412290.jpg","dd42f7e0-0968-469d-b6a2-ad27c82559bd","junior_and_senior_sec","1342616412290.jpg",9,"formal_educ",FALSE,TRUE,6,1,24,0.216216216216216,FALSE,TRUE,15,0.913793103448276,TRUE,FALSE,55.5,FALSE,0,FALSE,FALSE,TRUE,FALSE,18.5,FALSE,FALSE,FALSE,FALSE,10.0909090909091,1,12.3333333333333,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
