breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Ikot Ukpong,,,"Water Scheme, Source within 100m",1345825245676.jpg,Yes,4.626199007034302 7.687355875968933 46.0 4.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),No,1345825245676.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,7cef4b84-1eaf-4783-b0da-6fae94ce4295,UKPUM OKON WARD,Tap,outlet,,7cef4b84-1eaf-4783-b0da-6fae94ce4295,South-South
Don't Know,,IKOT EFRE ,,,"Water Scheme, Source within 1km",1335640370303.jpg,No,4.62519517 7.63680621 54.400001525878906 5.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),No,1335640370303.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,43491372-285b-42d0-b1b4-8082efa309f2,3,Tap,outlet,,43491372-285b-42d0-b1b4-8082efa309f2,South-South
Functional,,Market Square,,,"Water Scheme, Source within 100m",1346333748138.jpg,Yes,4.579780697822571 7.551872134208679 39.0 4.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),Yes,1346333748138.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,9c6df262-1e93-4781-8e68-3ea2cb3e6c25,lkpa lbekwe1,Tap,outlet,,9c6df262-1e93-4781-8e68-3ea2cb3e6c25,South-South
Functional,,IMAN,,,Stand Alone Water Point,1345813909578.jpg,Yes,4.61093773 7.70653688 20.399999618530273 5.0,True,Ikot-Abasi,333,333,333.0,Diesel,No,1345813909578.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,c18bedb0-ca95-4086-992a-1b2de2e7f141,UKPUM OKON,Borehole,water_source,borehole_tube_well,c18bedb0-ca95-4086-992a-1b2de2e7f141,South-South
Poor Water Quality,,IKOT EKARA,,,"Water Scheme, Source within 1km",1335619990948.jpg,No,4.65975483 7.63574697 41.79999923706055 5.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),No,1335619990948.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,c826fa0b-c76c-454f-ae82-2b07fc0b75ce,3,Tap,outlet,,c826fa0b-c76c-454f-ae82-2b07fc0b75ce,South-South
Don't Know,,IKOT OBONG,,,"Water Scheme, Source within 1km",1345904481848.jpg,No,4.578686356544495 7.567257285118103 27.0 4.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),No,1345904481848.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,8e98318e-fd71-445a-9aed-c57474e781f8,IKPA  IBEKWE I,Tap,outlet,,8e98318e-fd71-445a-9aed-c57474e781f8,South-South
Mechanical Issue,,Ikot Ata Udo,,,"Water Scheme, Source within 100m",1345821360230.jpg,No,4.606152176856995 7.682275772094727 44.0 4.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),No,1345821360230.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,9e3f08f7-0b54-4036-8c9f-50221aca2ece,Ukpum Okon Ward,Tap,outlet,,9e3f08f7-0b54-4036-8c9f-50221aca2ece,South-South
Poorly Constructed,,IKPETIM,,,,1345826595082.jpg,No,4.569679498672485 7.56782591342926 39.0 4.0,False,Ikot-Abasi,333,333,333.0,,No,1345826595082.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,903721f1-f8b6-4583-856d-94693a3e6245,IKPA IBEKWE      I,Don't Know,dk,,903721f1-f8b6-4583-856d-94693a3e6245,South-South
Poor Water Quality,,UTA EWA VILLAGE,,,,1345913035607.jpg,No,4.548554420471191 7.551228404045105 47.0 4.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),No,1345913035607.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,004e78c5-1272-46a1-b5a8-07f4db527a63,IKPA IBEKWE I,Tap,outlet,,004e78c5-1272-46a1-b5a8-07f4db527a63,South-South
Poor Water Quality,,lkot Etetuk,,,"Water Scheme, Source within 100m",1345826612023.jpg,No,4.580875039100647 7.592459321022034 24.0 4.0,True,Ikot-Abasi,333,333,333.0,Tap (unknown lift),Yes,1345826612023.jpg,water,Akwa Ibom,akwa_ibom_ikot_abasi,e2ed36c4-5ea4-41a1-9952-4f53a7463e09,lkpa lbekwe 2,Tap,outlet,,e2ed36c4-5ea4-41a1-9952-4f53a7463e09,South-South
