"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"48872",48872,"3fa434a0-3a5e-471a-837e-0244c392224c","3fa434a0-3a5e-471a-837e-0244c392224c","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.200905203819275 7.734020948410034 114.0 4.0","1342180960790.jpg","akwa_ibom_ikot_ekpene","1342180960790.jpg","Tap",NA,"borehole_tube_well","water_source","Itak ikot udo","3","Yes","Electric","Yes","Functional","Yes","Stand Alone Water Point"
"48873",48873,"f580e19f-79c7-40a1-88b6-45b3df661b84","f580e19f-79c7-40a1-88b6-45b3df661b84","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.169008374214172 7.67194390296936 91.0 24.0","1342177723737.jpg","akwa_ibom_ikot_ekpene","1342177723737.jpg","Tap",NA,NA,"outlet","IKOT UBO","8","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"48874",48874,"2e567b6a-42eb-4aae-93bf-8f41cbd6cb44","2e567b6a-42eb-4aae-93bf-8f41cbd6cb44","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.1644593477249146 7.718313932418823 105.0 4.0","1342104960207.jpg","akwa_ibom_ikot_ekpene","1342104960207.jpg","Tap",NA,NA,"outlet","Ikot Ekpene Village","Ward 1","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"48875",48875,"929a3364-31a4-4596-bfd6-8a99ae3a9d53","929a3364-31a4-4596-bfd6-8a99ae3a9d53","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.156128406524658 7.743537425994873 82.0 4.0","1342173348043.jpg","akwa_ibom_ikot_ekpene","1342173348043.jpg","Tap",NA,NA,"outlet","Ikot Ekpene village","ward 1","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"48876",48876,"450dd8f4-d763-4f5c-8ef0-35d4e10e677b","450dd8f4-d763-4f5c-8ef0-35d4e10e677b","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.2105772495269775 7.695981860160828 126.0 4.0","1342185953216.jpg","akwa_ibom_ikot_ekpene","1342185953216.jpg","Tap",NA,NA,"outlet","ikot abia idem","7","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"48877",48877,"6e2c5785-182e-4764-96a6-94828d9da9f0","6e2c5785-182e-4764-96a6-94828d9da9f0","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.147159099578857 7.7171337604522705 80.0 4.0","1342288734200.jpg","akwa_ibom_ikot_ekpene","1342288734200.jpg","Borehole",NA,"borehole_tube_well","water_source","Utu Edem Usung","ward 1","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"48878",48878,"e379ac0b-b898-421a-8333-ba5a69856bb2","e379ac0b-b898-421a-8333-ba5a69856bb2","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.16431450843811 7.7241450548172 108.0 4.0","1342106316929.jpg","akwa_ibom_ikot_ekpene","1342106316929.jpg","Tap",NA,NA,"outlet","Ikot Ekpene village","Ward 1","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"48879",48879,"a9fee737-7879-4ada-a3e1-7a840a4232ff","a9fee737-7879-4ada-a3e1-7a840a4232ff","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.201377272605896 7.711613774299622 116.0 4.0","1342431452004.jpg","akwa_ibom_ikot_ekpene","1342431452004.jpg","Tap",NA,"borehole_tube_well","water_source","IKOT IDEM","7","Yes","Solar","Don't Know",NA,"No","Stand Alone Water Point"
"48880",48880,"9728676e-bf22-4bfa-95be-901a7482a9c7","9728676e-bf22-4bfa-95be-901a7482a9c7","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.172532796859741 7.723458409309387 96.0 4.0","1342107973939.jpg","akwa_ibom_ikot_ekpene","1342107973939.jpg","Tap",NA,NA,"outlet","Ikot Ekpene Village","Ward 1","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 1km"
"48881",48881,"3aa08c79-f680-4b3d-b215-e0bbec63f1ed","3aa08c79-f680-4b3d-b215-e0bbec63f1ed","Ikot-Ekpene","Akwa Ibom","South-South",334,"5.215705633163452 7.6742881536483765 122.0 4.0","1342443652788.jpg","akwa_ibom_ikot_ekpene","1342443652788.jpg","Tap",NA,NA,"outlet","Mbiaso","10","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
