"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"8856",8856,8856,"b1ff4f22-302e-48f3-8015-585fd3e83de9","ini","akwa_ibom","south_south",350,"1342094555183.jpg","akwa_ibom_ini","b1ff4f22-302e-48f3-8015-585fd3e83de9","1342094555183.jpg","5.392999649047852 7.780846953392029 60.0 4.0","health centre","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,4,0,1,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"8857",8857,8857,"c1d8bf7c-d6da-4494-8c31-488328941ade","ini","akwa_ibom","south_south",350,"1342095480583.jpg","akwa_ibom_ini","c1d8bf7c-d6da-4494-8c31-488328941ade","1342095480583.jpg","5.357782244682312 7.756304740905762 130.0 4.0","Odoro  lkpe Primary Health Centre","primaryhealthcarecentre",FALSE,FALSE,TRUE,TRUE,TRUE,11,TRUE,FALSE,8,10,16,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health"
"8858",8858,8858,"429705be-da9b-4237-ad99-da396c4d8989","ini","akwa_ibom","south_south",350,"1342439095604.jpg","akwa_ibom_ini","429705be-da9b-4237-ad99-da396c4d8989","1342439095604.jpg","5.3021639585494995 7.790873050689697 80.0 4.0","Health Post","healthpostdispensary",FALSE,NA,TRUE,TRUE,TRUE,2,TRUE,FALSE,1,1,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health"
"8859",8859,8859,"ef732e68-64d4-444c-a40f-ab1340961698","ini","akwa_ibom","south_south",350,"1342093205594.jpg","akwa_ibom_ini","ef732e68-64d4-444c-a40f-ab1340961698","1342093205594.jpg","5.393021106719971 7.780863046646118 45.0 4.0","Health Centre,Ikpe Ikot Nkon","primaryhealthcarecentre",FALSE,FALSE,TRUE,TRUE,TRUE,11,FALSE,FALSE,8,0,2,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"8860",8860,8860,"ef5d2401-5857-48b6-9eef-07b8589bc1d7","ini","akwa_ibom","south_south",350,"1342180058783.jpg","akwa_ibom_ini","ef5d2401-5857-48b6-9eef-07b8589bc1d7","1342180058783.jpg","5.482585430145264 7.71489679813385 114.0 4.0","Health post","healthpostdispensary",FALSE,NA,NA,TRUE,TRUE,3,FALSE,FALSE,1,1,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health"
"8861",8861,8861,"3746e771-7703-45bf-a39a-b6ca65f8927b","ini","akwa_ibom","south_south",350,"1342547638734.jpg","akwa_ibom_ini","3746e771-7703-45bf-a39a-b6ca65f8927b","1342547638734.jpg","5.305967330932617 7.731295824050903 133.0 4.0","Health Centre Edem idim","wardmodelphccentre",TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,3,0,1,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"8862",8862,8862,"15680976-845e-4e44-81f3-552bf6c6738b","ini","akwa_ibom","south_south",350,"1342455655351.jpg","akwa_ibom_ini","15680976-845e-4e44-81f3-552bf6c6738b","1342455655351.jpg","5.335053205490112 7.674121856689453 146.0 3.0","Health post mbiafun","healthpostdispensary",TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,2,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"8863",8863,8863,"89b0d3a1-c4bb-4b10-96d6-560de6407aa4","ini","akwa_ibom","south_south",350,"1342184215453.jpg","akwa_ibom_ini","89b0d3a1-c4bb-4b10-96d6-560de6407aa4","1342184215453.jpg","5.336244106292725 7.80779242515564 44.0 4.0","Health Centre Mbiabet lkpe","primaryhealthcarecentre",FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,0,2,5,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"8864",8864,8864,"7057e042-5d74-4e04-92b1-dc0c0758242a","ini","akwa_ibom","south_south",350,"1342269942889.jpg","akwa_ibom_ini","7057e042-5d74-4e04-92b1-dc0c0758242a","1342269942889.jpg","5.4012662172317505 7.83424973487854 67.0 4.0","Health Centre, Obotme","primaryhealthcarecentre",FALSE,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE,2,0,1,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"health"
"8865",8865,8865,"18d843aa-b146-41eb-9b58-25ad787ecda0","ini","akwa_ibom","south_south",350,"1342434478313.jpg","akwa_ibom_ini","18d843aa-b146-41eb-9b58-25ad787ecda0","1342434478313.jpg","5.30489981174469 7.776437401771545 56.0 4.0","Health Centre","primaryhealthcarecentre",FALSE,NA,NA,TRUE,TRUE,2,NA,FALSE,2,1,0,0,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"health"
