"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",40098,"1a9e53e4-2631-444b-8f8c-af0924f12e85","nsit_atai","akwa_ibom","south_south","4.80411106 8.05299173 73.5 5.0","Community Secondary Commercial Sch.","junior_and_senior_sec","akwa_ibom_nsit_atai",538,"1337981190303.jpg","1a9e53e4-2631-444b-8f8c-af0924f12e85","junior_and_senior_sec","1337981190303.jpg",9,"formal_educ",FALSE,FALSE,5,0,52,0.048689138576779,FALSE,TRUE,500,0.934782608695652,FALSE,NA,NA,TRUE,6,FALSE,FALSE,FALSE,FALSE,82.1538461538462,FALSE,FALSE,TRUE,FALSE,213.6,53.4,118.666666666667,Inf,9,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"2",40099,"cb61b948-a1b5-4c84-83d3-5924929778a7","nsit_atai","akwa_ibom","south_south","4.85976011 8.05721219 56.0 5.0","Essien. Itiaba. Comm. School.","junior_and_senior_sec","akwa_ibom_nsit_atai",538,"1338455128327.jpg","cb61b948-a1b5-4c84-83d3-5924929778a7","junior_and_senior_sec","1338455128327.jpg",19,"formal_educ",FALSE,FALSE,9,0,1900,1.39296187683284,TRUE,FALSE,0,0.951359084406295,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,136.4,FALSE,FALSE,FALSE,FALSE,68.2,4.54666666666667,71.7894736842105,Inf,15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",40100,"02661452-5570-480f-95fc-7552782a4618","nsit_atai","akwa_ibom","south_south","4.83151172 8.03447655 66.0999984741211 5.0","Methodist Nursery School","preprimary_only","akwa_ibom_nsit_atai",538,"1338409661629.jpg","02661452-5570-480f-95fc-7552782a4618","preprimary_only","1338409661629.jpg",9,"formal_educ",FALSE,FALSE,0,6,0,0,TRUE,FALSE,25,0.663366336633663,TRUE,FALSE,84,FALSE,0,FALSE,FALSE,TRUE,FALSE,18.6666666666667,FALSE,FALSE,FALSE,TRUE,18.6666666666667,3.73333333333333,18.6666666666667,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",40101,"a4b7dc50-773e-4d8e-a039-93baf315d8b3","nsit_atai","akwa_ibom","south_south","4.76603698 8.01995918 53.599998474121094 5.0","Com. Sec. Sch. Ibedu","junior_and_senior_sec","akwa_ibom_nsit_atai",538,"1337939006212.jpg","a4b7dc50-773e-4d8e-a039-93baf315d8b3","junior_and_senior_sec","1337939006212.jpg",16,"formal_educ",TRUE,FALSE,1,1,100,0.166666666666667,TRUE,TRUE,40,0.875,TRUE,TRUE,150,FALSE,1,FALSE,FALSE,FALSE,FALSE,75,FALSE,FALSE,FALSE,TRUE,60,12,37.5,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",40102,"444cdb76-fcb0-47b1-97fe-c25cb48faf08","nsit_atai","akwa_ibom","south_south","4.86410939 8.01854226 75.4000015258789 5.0","Comm sec. Comm. Sch.","junior_and_senior_sec","akwa_ibom_nsit_atai",538,"1338367199713.jpg","444cdb76-fcb0-47b1-97fe-c25cb48faf08","junior_and_senior_sec","1338367199713.jpg",16,"formal_educ",FALSE,FALSE,14,1,113,0.0861937452326468,TRUE,FALSE,0,0.92511013215859,TRUE,FALSE,655.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,72.8333333333333,FALSE,FALSE,FALSE,FALSE,5.244,1.63875,81.9375,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",40103,"87aad7c1-1e61-4099-8b62-68f16ba01b89","nsit_atai","akwa_ibom","south_south","4.86195402 8.03857996 63.599998474121094 5.0","The. Apostolic. Pri. Sch.","preprimary_and_primary","akwa_ibom_nsit_atai",538,"1337938016438.jpg","87aad7c1-1e61-4099-8b62-68f16ba01b89","preprimary_and_primary","1337938016438.jpg",7,"formal_educ",FALSE,FALSE,8,7,166,0.192799070847851,TRUE,FALSE,0,0.993055555555556,FALSE,NA,NA,FALSE,5,FALSE,FALSE,FALSE,FALSE,107.625,FALSE,FALSE,FALSE,FALSE,20.5,11.9583333333333,123,Inf,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",40104,"cc65a6da-309c-4aa7-b8dd-a123e3187a9a","nsit_atai","akwa_ibom","south_south","4.80605276 8.05848734 73.30000305175781 5.0","Q.I.C Central Sch.Iwok","preprimary_and_primary","akwa_ibom_nsit_atai",538,"1337944625162.jpg","cc65a6da-309c-4aa7-b8dd-a123e3187a9a","preprimary_and_primary","1337944625162.jpg",10,"formal_educ",TRUE,TRUE,10,9,620,NA,FALSE,FALSE,0,NA,TRUE,TRUE,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Inf,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",40105,"03a97b0c-422a-45ad-9845-5c5a6df9dc3b","nsit_atai","akwa_ibom","south_south","4.77196452 8.04621605 59.900001525878906 5.0","FOUR TOWNS COMMUNITY PRI. SCH. IKOT EKET NSIT","primary_only","akwa_ibom_nsit_atai",538,"1337973095088.jpg","03a97b0c-422a-45ad-9845-5c5a6df9dc3b","primary_only","1337973095088.jpg",8,"formal_educ",FALSE,FALSE,7,6,NA,NA,TRUE,TRUE,10,0.979683972911964,TRUE,FALSE,438.5,FALSE,13,FALSE,FALSE,FALSE,FALSE,46.1578947368421,FALSE,FALSE,TRUE,FALSE,109.625,17.54,109.625,Inf,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"9",40106,"b54a9f37-fe18-46bb-92b7-a8f6782203a0","nsit_atai","akwa_ibom","south_south","4.86919774 8.01667678 64.4000015258789 5.0","Methodist. Pri. School.","preprimary_and_primary","akwa_ibom_nsit_atai",538,"1337944497017.jpg","b54a9f37-fe18-46bb-92b7-a8f6782203a0","preprimary_and_primary","1337944497017.jpg",7,"formal_educ",FALSE,FALSE,3,7,410,1.18840579710145,TRUE,FALSE,0,1.05357142857143,TRUE,TRUE,86.25,FALSE,12,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,TRUE,FALSE,3.45,2.2258064516129,49.2857142857143,Inf,7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"10",40107,"5c27d63f-6017-4453-9475-ec96eb9eb1cd","nsit_atai","akwa_ibom","south_south","4.76910625 8.02086661 53.20000076293945 5.0","Q.I.C. school","preprimary_and_primary","akwa_ibom_nsit_atai",538,"1337941279330.jpg","5c27d63f-6017-4453-9475-ec96eb9eb1cd","preprimary_and_primary","1337941279330.jpg",8,"formal_educ",TRUE,FALSE,13,4,1200,NA,TRUE,FALSE,0,NA,TRUE,TRUE,NA,FALSE,5,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,Inf,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"11",40108,"f08ad763-fe2d-4f1d-84c8-6bfa96b051a7","nsit_atai","akwa_ibom","south_south","4.84248925 8.02617596 56.900001525878906 5.0","Govt Primary Sch.","primary_only","akwa_ibom_nsit_atai",538,"1338403844190.jpg","f08ad763-fe2d-4f1d-84c8-6bfa96b051a7","primary_only","1338403844190.jpg",7,"formal_educ",FALSE,FALSE,5,6,NA,NA,TRUE,TRUE,180,0.983576642335766,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,181.166666666667,FALSE,FALSE,TRUE,TRUE,108.7,31.0571428571429,155.285714285714,Inf,7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
