access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,136.4790225,False,TRUE,False,,,,formal_educ,ODUMODU PRY SCHOOL,preprimary_and_primary,1339597250208.jpg,True,False,FALSE,6.22953535 6.90668897 110.0999984741211 5.0,False,False,preprimary_and_primary,Oyi,636,636,636.0,1.13417721518987,True,oyi,anambra,southeast,FALSE,,0.0,7.0,843.0,8.0,8.0,,8.0,194.0,public,True,1339597250208.jpg,168029,1231.17089295,,False,FALSE,FALSE,24.7941176470588,120.428571428571,Inf,105.375,281,True,True,ODUMODU PRY SCHOOL,education,Anambra,0.0,Others,False,False,FALSE,Inf,0.230130486358244,FALSE,,anambra_oyi,804b330e-75c8-4888-a535-7eab5e916d24,False,804b330e-75c8-4888-a535-7eab5e916d24,Southeast
False,False,136.4790225,False,TRUE,False,,,,formal_educ,Iguedo Central Awkuzuy,preprimary_and_primary,1339762319482.jpg,True,False,TRUE,6.24048896 6.94227343 172.8000030517578 5.0,False,False,preprimary_and_primary,Oyi,636,636,636.0,0.867796610169492,True,oyi,anambra,southeast,FALSE,,,9.0,551.0,9.0,9.0,,5.0,612.0,public,False,1339762319482.jpg,168029,1231.17089295,,False,FALSE,FALSE,11.02,61.2222222222222,5.51,61.2222222222222,110.2,False,,Iguedo Central Awkuzuy,education,Anambra,0.0,Others,False,False,FALSE,Inf,1.11070780399274,FALSE,,anambra_oyi,27cc298a-2b2f-41c7-b351-1d8c2c525d9c,False,27cc298a-2b2f-41c7-b351-1d8c2c525d9c,Southeast
True,False,136.4790225,True,FALSE,False,0.00741759161209,0.823254729574,,formal_educ,Mater Dei Sec.Sch.Daughter Of Divine Love Awkuzu,junior_and_senior_sec,1339768793917.jpg,True,True,FALSE,6.2697649 6.96108883 111.30000305175781 5.0,False,False,junior_and_senior_sec,Oyi,636,636,163.0,Inf,False,oyi,anambra,southeast,TRUE,0.0,0.0,15.0,520.0,4.0,24.0,,10.0,58.0,private,True,1339768793917.jpg,168029,1231.17089295,,True,FALSE,FALSE,10.4,34.6666666666667,1,21.6666666666667,65,False,True,Mater Dei Sec.Sch.Daughter Of Divine Love Awkuzu,education,Anambra,0.0,Others,False,False,FALSE,Inf,0.111538461538462,FALSE,,anambra_oyi,566c2565-a455-4198-8fe7-557e645043c4,True,566c2565-a455-4198-8fe7-557e645043c4,Southeast
False,True,136.4790225,False,TRUE,True,,,,formal_educ,Ogbangba Central School Ogbunike,preprimary_and_primary,1340011032223.jpg,,False,,6.16884855 6.87266586 138.6999969482422 5.0,False,False,preprimary_and_primary,Oyi,636,636,636.0,1.03456790123457,True,oyi,anambra,southeast,FALSE,2.0,0.0,7.0,824.0,10.0,10.0,,8.0,1130.0,public,False,1340011032223.jpg,168029,1231.17089295,,False,FALSE,FALSE,Inf,117.714285714286,5.49333333333333,82.4,,False,False,Ogbangba Central School Ogbunike,education,Anambra,0.0,Others,False,False,FALSE,Inf,1.37135922330097,FALSE,,anambra_oyi,ca7b25c7-9909-400f-a321-874958dd873f,False,ca7b25c7-9909-400f-a321-874958dd873f,Southeast
False,True,136.4790225,False,FALSE,False,0.000502489460944,0.0557702480134,,formal_educ,Chira Memorial Prim.School Awkuzu,preprimary_and_primary,1339764724639.jpg,True,True,FALSE,6.26180961 6.9532062 90.0 5.0,False,False,preprimary_and_primary,Oyi,636,636,163.0,0.736842105263158,True,oyi,anambra,southeast,FALSE,5.0,,16.0,66.0,11.0,11.0,,9.0,,public,False,1339764724639.jpg,168029,1231.17089295,,False,FALSE,FALSE,Inf,4.125,1.1,6,Inf,False,False,Chira Memorial Prim.School Awkuzu,education,Anambra,20.0,Others,False,False,TRUE,Inf,,FALSE,,anambra_oyi,59b68db2-123d-4535-84d0-40a607db9126,False,59b68db2-123d-4535-84d0-40a607db9126,Southeast
False,False,136.4790225,False,FALSE,False,0.0179006971984,1.986885724,,formal_educ,Oyolu Oze Primary School Nkwelle Ezunaka,preprimary_and_primary,1340109920213.jpg,,False,TRUE,6.18920537 6.80583664 146.8000030517578 5.0,False,False,preprimary_and_primary,Oyi,636,636,602.0,0.881632653061225,True,oyi,anambra,southeast,FALSE,17.0,0.0,27.0,1844.0,10.0,26.0,,0.0,1196.0,public,False,1340109920213.jpg,168029,1231.17089295,,False,FALSE,FALSE,61.4666666666667,68.2962962962963,46.1,70.9230769230769,307.333333333333,True,True,Oyolu Oze Primary School Nkwelle Ezunaka,education,Anambra,922.0,Others,False,False,FALSE,Inf,0.648590021691974,FALSE,,anambra_oyi,bebf0593-be5c-4a12-97bf-150f3d5d9cec,False,bebf0593-be5c-4a12-97bf-150f3d5d9cec,Southeast
False,True,136.4790225,False,TRUE,False,,,,formal_educ,State Primary Sch. Nteje,preprimary_and_primary,1339841202506.jpg,,False,,6.26159033 6.92767576 145.8000030517578 23.0,False,False,preprimary_and_primary,Oyi,636,636,636.0,1.11488250652742,True,oyi,anambra,southeast,TRUE,0.0,0.0,6.0,810.0,4.0,4.0,,3.0,239.0,public,False,1339841202506.jpg,168029,1231.17089295,,False,TRUE,FALSE,81,135,81,202.5,,False,False,State Primary Sch. Nteje,education,Anambra,22.0,Others,False,False,FALSE,4,0.295061728395062,FALSE,,anambra_oyi,79263fde-625d-4e47-a2ce-950bc82c3b0d,False,79263fde-625d-4e47-a2ce-950bc82c3b0d,Southeast
False,False,136.4790225,False,FALSE,False,0.00922385622243,1.02375103324,,formal_educ,Obinetiti Primary School Awkuzu,preprimary_and_primary,1340020851378.jpg,,False,,6.24368544 6.96193733 133.60000610351563 5.0,False,False,preprimary_and_primary,Oyi,636,636,532.0,0.7625,True,oyi,anambra,southeast,TRUE,,,9.0,423.0,6.0,6.0,,4.0,170.0,public,True,1340020851378.jpg,168029,1231.17089295,,False,FALSE,FALSE,47,47,8.8125,70.5,,False,False,Obinetiti Primary School Awkuzu,education,Anambra,0.0,Others,False,False,FALSE,Inf,0.401891252955083,FALSE,,anambra_oyi,a00433c9-5674-4ef8-8f6f-213c63bc9d5a,False,a00433c9-5674-4ef8-8f6f-213c63bc9d5a,Southeast
False,False,136.4790225,False,FALSE,False,,,,formal_educ,Udo primary school ogbunike,preprimary_and_primary,1339591282854.jpg,True,False,FALSE,6.170533 6.87922373 129.89999389648438 5.0,False,False,preprimary_and_primary,Oyi,636,636,636.0,0.939320388349515,True,oyi,anambra,southeast,FALSE,14.0,0.0,18.0,799.0,1.0,11.0,,8.0,540.0,public,False,1339591282854.jpg,168029,1231.17089295,,False,FALSE,FALSE,Inf,44.3888888888889,15.3653846153846,72.6363636363636,399.5,False,False,Udo primary school ogbunike,education,Anambra,30.0,Others,True,False,FALSE,Inf,0.675844806007509,FALSE,,anambra_oyi,a5ee09e2-b3d2-4a0c-a2da-ce49f20075af,False,a5ee09e2-b3d2-4a0c-a2da-ce49f20075af,Southeast
False,False,136.4790225,False,TRUE,False,,,,formal_educ,UMUNANKWO MIGRANT FARMERS PRY. SCHOOL(Noadic),preprimary_only,1339843519472.jpg,,False,,6.25098427 6.9107615 117.0 5.0,False,False,preprimary_only,Oyi,636,636,636.0,0.955334987593052,True,oyi,anambra,southeast,TRUE,4.0,,8.0,788.0,4.0,5.0,,0.0,0.0,public,False,1339843519472.jpg,168029,1231.17089295,,False,FALSE,FALSE,Inf,98.5,Inf,157.6,,False,False,UMUNANKWO MIGRANT FARMERS PRY. SCHOOL(Noadic),education,Anambra,0.0,Others,False,False,FALSE,Inf,0,FALSE,,anambra_oyi,9ec4b924-2a03-4ba7-9809-b214069e7d9c,False,9ec4b924-2a03-4ba7-9809-b214069e7d9c,Southeast
False,False,136.4790225,False,FALSE,False,,,,formal_educ,Aguocha Primary School Umunya,preprimary_and_primary,1339595654060.jpg,True,False,,6.21796297 6.90720978 102.0 5.0,False,False,preprimary_and_primary,Oyi,636,636,636.0,,True,oyi,anambra,southeast,TRUE,5.0,1.0,6.0,,7.0,8.0,,5.0,295.0,public,False,1339595654060.jpg,168029,1231.17089295,,False,FALSE,FALSE,,,,,,False,False,Aguocha Primary School Umunya,education,Anambra,0.0,Others,False,False,FALSE,Inf,,FALSE,,anambra_oyi,e185e866-dffd-455b-9af5-ad0f0d066cc2,False,e185e866-dffd-455b-9af5-ad0f0d066cc2,Southeast
False,False,136.4790225,False,TRUE,False,,,,formal_educ,OGBUNDO PRIMARY SCHOOL NKWELLE EZUNAKA.,primary_only,1339500432861.jpg,,True,,6.21163994 6.85672103 153.8000030517578 5.0,False,False,primary_only,Oyi,636,636,636.0,1.05993150684932,True,oyi,anambra,southeast,FALSE,,2.0,2.0,1203.0,1.0,12.0,,8.0,1198.0,public,False,1339500432861.jpg,168029,1231.17089295,,False,FALSE,FALSE,Inf,601.5,Inf,100.25,,True,False,OGBUNDO PRIMARY SCHOOL NKWELLE EZUNAKA.,education,Anambra,0.0,Others,False,True,FALSE,Inf,0.995843724023275,FALSE,,anambra_oyi,a512836f-3bd1-4e75-a025-e839891ec4df,False,a512836f-3bd1-4e75-a025-e839891ec4df,Southeast
