"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"93574",93574,"a7331dad-0576-4db8-b65c-21da6deac4f1","a7331dad-0576-4db8-b65c-21da6deac4f1","Oyi","Anambra","Southeast",636,"6.2282393 6.93148411 151.1999969482422 5.0","1339755028997.jpg","anambra_oyi","1339755028997.jpg","Tap",NA,NA,"outlet","Ifite Okuzu","3","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 1km"
"93575",93575,"3e1c4632-71e2-40f6-85d0-69bb09b96d15","3e1c4632-71e2-40f6-85d0-69bb09b96d15","Oyi","Anambra","Southeast",636,"6.16276895 6.89148447 162.89999389648438 5.0","1339670317051.jpg","anambra_oyi","1339670317051.jpg","Tap",NA,"borehole_tube_well","water_source","Ukalo","Ward 1","Yes","Electric","Yes","Functional","No","Stand Alone Water Point"
"93576",93576,"adbb5727-fb4e-48db-be2d-3a2842da1803","adbb5727-fb4e-48db-be2d-3a2842da1803","Oyi","Anambra","Southeast",636,"6.2438660860061646 6.935988664627075 151.0 3.0","1339789796915.jpg","anambra_oyi","1339789796915.jpg","Tap",NA,NA,"outlet","Nkwelle Awkuzu","4","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"93577",93577,"5b1f9b56-184b-4cee-b688-5c3d6f4fc653","5b1f9b56-184b-4cee-b688-5c3d6f4fc653","Oyi","Anambra","Southeast",636,"6.25934243 6.91844827 123.80000305175781 5.0","1339759381357.jpg","anambra_oyi","1339759381357.jpg","Tap",NA,NA,"outlet","Umuefi Nteje","Ward 1","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"93578",93578,"a3b9211a-d692-4e87-8eae-27606b193124","a3b9211a-d692-4e87-8eae-27606b193124","Oyi","Anambra","Southeast",636,"6.222901940345764 6.85121476650238 77.0 4.0","1339774990373.jpg","anambra_oyi","1339774990373.jpg","Tap",NA,NA,"outlet","Abaakpu Nkwelle Ezunaka","2","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"93579",93579,"d9384afe-a08a-4239-8a52-a41fd5127e4e","d9384afe-a08a-4239-8a52-a41fd5127e4e","Oyi","Anambra","Southeast",636,"6.21513855 6.91164972 122.69999694824219 5.0","1339509110290.jpg","anambra_oyi","1339509110290.jpg","Tap",NA,NA,"outlet","Umunya","Ward 1","Yes","Tap (unknown lift)","No","Dry Well","No","Water Scheme, Source within 100m"
"93580",93580,"5d91be29-df56-45a8-8387-951f525c507c","5d91be29-df56-45a8-8387-951f525c507c","Oyi","Anambra","Southeast",636,"6.25995934009552 6.920469403266907 129.0 4.0","1339864146224.jpg","anambra_oyi","1339864146224.jpg","Tap",NA,NA,"outlet","Amuda umuefi ifite nteje","1
","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"93581",93581,"248f1a7e-966a-4a6d-b140-26e3a1c09e16","248f1a7e-966a-4a6d-b140-26e3a1c09e16","Oyi","Anambra","Southeast",636,"6.22557511 6.95016806 190.3000030517578 5.0","1339762988756.jpg","anambra_oyi","1339762988756.jpg","Tap",NA,NA,"outlet","AKAEZI. AWKUZU","1","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"93582",93582,"9934bdc9-c516-48b6-a2a4-a985702f1507","9934bdc9-c516-48b6-a2a4-a985702f1507","Oyi","Anambra","Southeast",636,"6.16639832 6.87361825 130.3000030517578 5.0","1339592927919.jpg","anambra_oyi","1339592927919.jpg","Tap",NA,NA,"outlet","Ogbunike","Ward 2","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"93583",93583,"1b7f8e8c-06ed-4f73-8010-2f4d57efe293","1b7f8e8c-06ed-4f73-8010-2f4d57efe293","Oyi","Anambra","Southeast",636,"6.20904537 6.91079122 145.39999389648438 5.0","1339587890881.jpg","anambra_oyi","1339587890881.jpg","Tap",NA,NA,"outlet","Ezi Umunya","Ward. 11","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
