"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",10879,"b24dd47b-5fe9-45c6-9540-f123a8b3f13e","darazo","bauchi","northeast","10.95058994 10.6467288 384.0 5.0","Taguje Primary School","primary_only","bauchi_darazo",150,"1345893661058.jpg","b24dd47b-5fe9-45c6-9540-f123a8b3f13e","primary_only","1345893661058.jpg",1,"formal_educ",FALSE,FALSE,0,0,NA,NA,FALSE,TRUE,0,2.5,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,17.5,TRUE,FALSE,TRUE,TRUE,0.7,0.7,35,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",10880,"48cfd9a3-2092-49a8-8965-6fd36a0615ac","darazo","bauchi","northeast","11.39243804 10.68691804 404.20001220703125 5.0","Baguba Primary School.","primary_only","bauchi_darazo",150,"1345973724111.jpg","48cfd9a3-2092-49a8-8965-6fd36a0615ac","primary_only","1345973724111.jpg",2,"formal_educ",TRUE,FALSE,0,0,NA,NA,TRUE,TRUE,0,1.77777777777778,TRUE,FALSE,62.5,FALSE,0,TRUE,TRUE,FALSE,TRUE,62.5,FALSE,FALSE,FALSE,TRUE,41.6666666666667,41.6666666666667,62.5,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",10881,"7c4c6afb-d901-486d-a4af-9f5a4fec92b2","darazo","bauchi","northeast","10.90269958 10.46655808 490.1000061035156 26.0","Prm Schl Tsangayari","primary_only","bauchi_darazo",150,"1345899106307.jpg","7c4c6afb-d901-486d-a4af-9f5a4fec92b2","primary_only","1345899106307.jpg",3,"formal_educ",FALSE,FALSE,2,3,NA,NA,TRUE,TRUE,0,1.608,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,163,TRUE,FALSE,TRUE,TRUE,Inf,Inf,108.666666666667,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",10882,"cf0b30f0-1b8e-4d2f-880f-43827b321444","darazo","bauchi","northeast","10.90459139 10.4705011 485.8999938964844 5.0","Kafun Primary School","primary_only","bauchi_darazo",150,"1345900939433.jpg","cf0b30f0-1b8e-4d2f-880f-43827b321444","primary_only","1345900939433.jpg",3,"formal_educ",FALSE,FALSE,2,2,NA,NA,FALSE,TRUE,0,1.5,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,25,TRUE,FALSE,FALSE,TRUE,Inf,Inf,16.6666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",10883,"67f23c75-57b0-4e8a-9d72-6b0f36e81f9f","darazo","bauchi","northeast","11.24704982 10.84047041 418.6000061035156 5.0","Gjss Papa","juniors_sec_only","bauchi_darazo",150,"1346163187852.jpg","67f23c75-57b0-4e8a-9d72-6b0f36e81f9f","juniors_sec_only","1346163187852.jpg",4,"formal_educ",FALSE,FALSE,6,3,NA,NA,TRUE,TRUE,185,4.92682926829268,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,121.5,TRUE,FALSE,FALSE,TRUE,121.5,7.29,182.25,Inf,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"6",10884,"e503430d-ca5f-41f0-8afd-833c2c49cafa","darazo","bauchi","northeast","11.35511768 10.67448038 446.1000061035156 5.0","UBE JNR. SEC. SCH. ,SADE","juniors_sec_only","bauchi_darazo",150,"1346063837517.jpg","e503430d-ca5f-41f0-8afd-833c2c49cafa","juniors_sec_only","1346063837517.jpg",16,"formal_educ",FALSE,FALSE,2,15,NA,NA,TRUE,NA,0,1.87741935483871,TRUE,TRUE,74.3333333333333,FALSE,2,FALSE,FALSE,TRUE,FALSE,74.3333333333333,FALSE,FALSE,TRUE,TRUE,31.8571428571429,2.97333333333333,27.875,Inf,12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"7",10885,"7c7eb975-7ae7-4768-b3dc-6c824f02d048","darazo","bauchi","northeast","11.43298659 10.80839038 465.70001220703125 5.0","Central Prim Schl Lanzai","primary_only","bauchi_darazo",150,"1346067675332.jpg","7c7eb975-7ae7-4768-b3dc-6c824f02d048","primary_only","1346067675332.jpg",17,"formal_educ",TRUE,FALSE,9,11,NA,NA,FALSE,FALSE,20,1.60381861575179,TRUE,TRUE,181.833333333333,FALSE,2,FALSE,FALSE,TRUE,FALSE,64.1764705882353,FALSE,FALSE,TRUE,FALSE,3.6006600660066,3.6006600660066,64.1764705882353,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",10886,"56908778-518f-4c43-b935-bfbbb7228aad","darazo","bauchi","northeast","10.91322148 10.59827956 392.20001220703125 5.0","Malori Primary School.","primary_only","bauchi_darazo",150,"1345896464562.jpg","56908778-518f-4c43-b935-bfbbb7228aad","primary_only","1345896464562.jpg",1,"formal_educ",FALSE,FALSE,0,1,NA,NA,FALSE,TRUE,0,1.66666666666667,FALSE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,20,TRUE,TRUE,TRUE,TRUE,10,10,40,Inf,1,NA,NA,FALSE,FALSE,FALSE,FALSE
"9",10887,"cae1d14d-497a-4485-941c-ef77398f1b98","darazo","bauchi","northeast","11.40811119 10.69865859 433.0 5.0","GARIN DIDI. P/S","primary_only","bauchi_darazo",150,"1345975419690.jpg","cae1d14d-497a-4485-941c-ef77398f1b98","primary_only","1345975419690.jpg",2,"formal_educ",TRUE,FALSE,0,2,NA,NA,FALSE,TRUE,12,1.57142857142857,FALSE,NA,NA,FALSE,2,TRUE,FALSE,TRUE,FALSE,45,TRUE,TRUE,TRUE,FALSE,Inf,Inf,45,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",10888,"d3808954-719c-4712-8da9-40c57e1d4486","darazo","bauchi","northeast","10.99828845 10.39922701 522.9000244140625 7.0","Jarmai Pr. Schl","primary_only","bauchi_darazo",150,"1345823141889.jpg","d3808954-719c-4712-8da9-40c57e1d4486","primary_only","1345823141889.jpg",4,"formal_educ",TRUE,TRUE,4,2,NA,NA,TRUE,TRUE,40,0.666666666666667,TRUE,TRUE,25,FALSE,2,TRUE,FALSE,FALSE,FALSE,11.1111111111111,FALSE,TRUE,TRUE,TRUE,0.0664451827242525,0.666666666666667,25,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
