"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",28295,"ea6704fd-80ca-425c-b932-a04abe5fe7c6","jama_are","bauchi","northeast","11.66974147 9.96504322 422.8999938964844 5.0","Sabongari/digiza primary school","primary_only","bauchi_jama_are",384,"1339665253729.jpg","ea6704fd-80ca-425c-b932-a04abe5fe7c6","primary_only","1339665253729.jpg",4,"formal_educ",FALSE,TRUE,4,3,NA,NA,TRUE,TRUE,0,1.01673640167364,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,120.5,TRUE,FALSE,FALSE,TRUE,6.10126582278481,6.10126582278481,120.5,Inf,3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"2",28296,"d584653d-1c80-4951-b4eb-b9c079baa465","jama_are","bauchi","northeast","11.66821963 9.93316892 425.29998779296875 5.0","Hurare islamiyya primary school","preprimary_and_primary","bauchi_jama_are",384,"1339752648299.jpg","d584653d-1c80-4951-b4eb-b9c079baa465","preprimary_and_primary","1339752648299.jpg",15,"religious_with_formal",TRUE,TRUE,2,15,111,1.3875,FALSE,FALSE,60,1.10526315789474,TRUE,TRUE,13.3333333333333,FALSE,3,FALSE,FALSE,TRUE,FALSE,13.3333333333333,TRUE,TRUE,TRUE,TRUE,8.88888888888889,8.88888888888889,5.33333333333333,Inf,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",28297,"7bf7ee36-c234-4104-b0ad-f103e4e67716","jama_are","bauchi","northeast","11.65620305 10.0341692 428.8999938964844 5.0","GJSS Galdimari","juniors_sec_only","bauchi_jama_are",384,"1339752485494.jpg","7bf7ee36-c234-4104-b0ad-f103e4e67716","juniors_sec_only","1339752485494.jpg",6,"formal_educ",TRUE,FALSE,3,3,NA,NA,TRUE,FALSE,21,1.91666666666667,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,17.5,FALSE,FALSE,FALSE,TRUE,52.5,2.1,17.5,Inf,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"4",28298,"62f9e9c8-3b5b-469e-a547-d27424887765","jama_are","bauchi","northeast","11.71162533 9.95918073 426.79998779296875 5.0","Gongo Primary School","primary_only","bauchi_jama_are",384,"1339583790114.jpg","62f9e9c8-3b5b-469e-a547-d27424887765","primary_only","1339583790114.jpg",3,"formal_educ",FALSE,TRUE,2,3,NA,NA,FALSE,TRUE,0,1.18840579710145,TRUE,TRUE,75.5,FALSE,6,FALSE,FALSE,FALSE,FALSE,37.75,FALSE,FALSE,FALSE,FALSE,3.28260869565217,3.28260869565217,100.666666666667,Inf,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"5",28299,"17c0f928-432d-47ca-b066-04f6cc9cfd37","jama_are","bauchi","northeast","11.65550541 10.03299051 437.1000061035156 5.0","Gakdimari Prinary Sch.","preprimary_and_primary","bauchi_jama_are",384,"1339750724846.jpg","17c0f928-432d-47ca-b066-04f6cc9cfd37","preprimary_and_primary","1339750724846.jpg",6,"formal_educ",TRUE,FALSE,7,4,790,2.6158940397351,TRUE,FALSE,2,1.15714285714286,TRUE,TRUE,75.5,FALSE,7,FALSE,FALSE,FALSE,FALSE,25.1666666666667,FALSE,FALSE,FALSE,TRUE,50.3333333333333,2,50.3333333333333,Inf,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"6",28300,"ecad9fe9-016f-4a8b-bb7a-2a25e5104d06","jama_are","bauchi","northeast","11.58869208 9.88643821 435.79998779296875 5.0","Govt. Junoir sec. Hanafari","juniors_sec_only","bauchi_jama_are",384,"1339673804416.jpg","ecad9fe9-016f-4a8b-bb7a-2a25e5104d06","juniors_sec_only","1339673804416.jpg",7,"formal_educ",TRUE,FALSE,2,4,NA,NA,TRUE,TRUE,140,2.94193548387097,TRUE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,76.375,FALSE,FALSE,FALSE,FALSE,3.63690476190476,3.65868263473054,87.2857142857143,Inf,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"7",28301,"da2452e0-f5f1-4d4d-b827-87261696d41d","jama_are","bauchi","northeast","11.6917015 10.00964684 406.29998779296875 5.0","Majabun Primary School","primary_only","bauchi_jama_are",384,"1339843611236.jpg","da2452e0-f5f1-4d4d-b827-87261696d41d","primary_only","1339843611236.jpg",3,"formal_educ",TRUE,FALSE,2,3,NA,NA,TRUE,TRUE,50,1.13559322033898,TRUE,FALSE,63,FALSE,0,FALSE,FALSE,FALSE,FALSE,31.5,TRUE,FALSE,FALSE,FALSE,2.52,2.52,42,Inf,3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"8",28302,"505533c1-2b68-49a7-bb1d-a3705a3ca74e","jama_are","bauchi","northeast","11.57782649 9.88951678 431.5 5.0","Bozozo lafiya","primary_only","bauchi_jama_are",384,"1339674486080.jpg","505533c1-2b68-49a7-bb1d-a3705a3ca74e","primary_only","1339674486080.jpg",4,"formal_educ",FALSE,FALSE,2,4,NA,NA,FALSE,FALSE,0,2.25133689839572,TRUE,FALSE,304,FALSE,0,FALSE,FALSE,TRUE,FALSE,152,TRUE,FALSE,FALSE,FALSE,10.4827586206897,10.4827586206897,152,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",28303,"a884743b-2978-46ac-8b1c-68999da86651","jama_are","bauchi","northeast","11.62532005 9.81746905 441.0 5.0","Jurara Pry. School","primary_only","bauchi_jama_are",384,"1339773335941.jpg","a884743b-2978-46ac-8b1c-68999da86651","primary_only","1339773335941.jpg",5,"formal_educ",FALSE,FALSE,1,3,NA,NA,FALSE,FALSE,15,1.86746987951807,TRUE,FALSE,119,FALSE,0,TRUE,FALSE,FALSE,FALSE,39.6666666666667,TRUE,FALSE,TRUE,FALSE,3.17333333333333,3.17333333333333,47.6,Inf,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"10",28304,"c8c0bf66-5c51-48ed-bb4a-842c91d4c970","jama_are","bauchi","northeast","11.61644629 9.87049262 421.5 5.0","Kesuwo Pry. School","primary_only","bauchi_jama_are",384,"1339844082442.jpg","c8c0bf66-5c51-48ed-bb4a-842c91d4c970","primary_only","1339844082442.jpg",2,"formal_educ",FALSE,TRUE,2,1,NA,NA,FALSE,TRUE,50,1.66666666666667,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,40,TRUE,FALSE,TRUE,FALSE,2,2,80,Inf,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
