access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,4623.216777,True,TRUE,False,,,,formal_educ,Diwa Primary School,primary_only,1346151931414.jpg,,False,,11.02800538 8.82311252 659.7999877929688 5.0,False,False,primary_only,Ningi,530,530,530.0,2.14285714285714,True,ningi,bauchi,northeast,TRUE,1.0,0.0,1.0,220.0,2.0,3.0,,2.0,560.0,public,False,1346151931414.jpg,387192,83.7494797835,,False,TRUE,FALSE,Inf,220,Inf,73.3333333333333,,False,True,Diwa Primary School,education,Bauchi,0.0,148,False,False,FALSE,Inf,2.54545454545455,FALSE,,bauchi_ningi,6d7eff12-7d60-4a8b-a095-5d6dd35729b9,False,6d7eff12-7d60-4a8b-a095-5d6dd35729b9,Northeast
False,True,4623.216777,False,FALSE,False,,,,formal_educ,Burra Central Primary School,preprimary_and_primary,1346164288701.jpg,True,True,FALSE,11.01681752 8.89925748 738.0 5.0,False,False,preprimary_and_primary,Ningi,530,530,530.0,1.11538461538462,True,ningi,bauchi,northeast,FALSE,4.0,,14.0,550.0,9.0,25.0,,1.0,785.0,public,False,1346164288701.jpg,387192,83.7494797835,,False,FALSE,FALSE,1.1,39.2857142857143,1.1,22,110,True,False,Burra Central Primary School,education,Bauchi,10.0,148,True,False,FALSE,Inf,1.42727272727273,FALSE,,bauchi_ningi,0f130817-e035-4047-b3d1-4a7748b3af86,False,0f130817-e035-4047-b3d1-4a7748b3af86,Northeast
False,False,4623.216777,True,FALSE,False,,,,formal_educ,Gwandabi Junior Secondary School,juniors_sec_only,1346064792412.jpg,True,False,,11.14401535 9.03564336 577.7999877929688 5.0,False,False,juniors_sec_only,Ningi,530,530,530.0,2.2,False,ningi,bauchi,northeast,FALSE,0.0,,3.0,112.0,3.0,4.0,,2.0,130.0,public,False,1346064792412.jpg,387192,83.7494797835,,False,FALSE,FALSE,3.73333333333333,37.3333333333333,3.73333333333333,28,,False,False,Gwandabi Junior Secondary School,education,Bauchi,85.0,148,True,False,FALSE,Inf,1.16071428571429,FALSE,,bauchi_ningi,73c160e3-9208-4651-aa1e-7ce5859df032,False,73c160e3-9208-4651-aa1e-7ce5859df032,Northeast
False,False,4623.216777,False,FALSE,False,,,,formal_educ,ASAS NURSERY/PRIMARY SCHOOL,preprimary_and_primary,1335875196709.jpg,,False,TRUE,11.08543356 9.56870755 526.2999877929688 5.0,False,False,preprimary_and_primary,Ningi,530,530,530.0,1.00739371534196,False,ningi,bauchi,northeast,FALSE,0.0,,10.0,1086.0,10.0,26.0,,13.0,759.0,private,False,1335875196709.jpg,387192,83.7494797835,,False,FALSE,FALSE,10.86,108.6,10.86,41.7692307692308,,False,False,ASAS NURSERY/PRIMARY SCHOOL,education,Bauchi,0.0,148,False,False,FALSE,Inf,0.698895027624309,FALSE,,bauchi_ningi,29d61553-2c83-4079-a32a-20536edeff0c,False,29d61553-2c83-4079-a32a-20536edeff0c,Northeast
False,True,4623.216777,False,TRUE,False,,,,formal_educ,Yadagungume pri schl,primary_only,1346156466062.jpg,,False,,10.86518789 9.0584603 711.5999755859375 5.0,False,False,primary_only,Ningi,530,530,530.0,2.43814432989691,True,ningi,bauchi,northeast,FALSE,2.0,2.0,6.0,667.0,1.0,8.0,,6.0,616.0,public,False,1346156466062.jpg,387192,83.7494797835,,False,FALSE,FALSE,55.5833333333333,111.166666666667,55.5833333333333,83.375,,False,True,Yadagungume pri schl,education,Bauchi,0.0,148,True,False,FALSE,Inf,0.923538230884558,FALSE,,bauchi_ningi,d4fb639a-a436-4ff5-aeee-c538512dc6dc,False,d4fb639a-a436-4ff5-aeee-c538512dc6dc,Northeast
False,False,4623.216777,True,FALSE,False,0.00834694709463,0.920343403156,,formal_educ,Unguwar Madaki Primary School,primary_only,1346153777370.jpg,,False,,11.2156291 8.99031672 553.0 5.0,False,False,primary_only,Ningi,530,530,691.0,1.78,True,ningi,bauchi,northeast,FALSE,0.0,2.0,2.0,139.0,4.0,4.0,,0.0,1235.0,public,False,1346153777370.jpg,387192,83.7494797835,,False,FALSE,FALSE,5.79166666666667,69.5,5.79166666666667,34.75,,False,True,Unguwar Madaki Primary School,education,Bauchi,0.0,148,False,False,FALSE,Inf,8.88489208633094,FALSE,,bauchi_ningi,8f27983d-16f6-4307-a348-b5bad1df3622,False,8f27983d-16f6-4307-a348-b5bad1df3622,Northeast
False,True,4623.216777,False,TRUE,False,,,,formal_educ,Batu Primary School,primary_only,1346003927589.jpg,,False,FALSE,10.87890808 9.45631369 545.2999877929688 5.0,False,False,primary_only,Ningi,530,530,530.0,3.16666666666667,True,ningi,bauchi,northeast,TRUE,2.0,0.0,6.0,300.0,7.0,7.0,,1.0,982.0,public,False,1346003927589.jpg,387192,83.7494797835,,False,TRUE,FALSE,10,50,10,42.8571428571429,75,True,False,Batu Primary School,education,Bauchi,4.0,148,False,False,TRUE,Inf,3.27333333333333,FALSE,,bauchi_ningi,f93939d7-6e7e-42b0-9787-908c360922f4,False,f93939d7-6e7e-42b0-9787-908c360922f4,Northeast
False,True,4623.216777,True,FALSE,True,,,,formal_educ,Ai Saleh Foundation,preprimary_and_primary,1346155589774.jpg,True,True,TRUE,10.86514347 9.05737903 723.0999755859375 5.0,False,False,preprimary_and_primary,Ningi,530,530,530.0,2.06521739130435,False,ningi,bauchi,northeast,FALSE,0.0,,12.0,141.0,4.0,7.0,,4.0,359.0,private,False,1346155589774.jpg,387192,83.7494797835,,False,TRUE,TRUE,1.30555555555556,11.75,1.30555555555556,20.1428571428571,35.25,False,,Ai Saleh Foundation,education,Bauchi,0.0,148,False,False,TRUE,Inf,2.54609929078014,FALSE,,bauchi_ningi,d62377ed-1d75-4a10-8c60-d1629a14fd6f,False,d62377ed-1d75-4a10-8c60-d1629a14fd6f,Northeast
False,False,4623.216777,False,TRUE,False,,,,formal_educ,Dana Primary School,primary_only,1346150245492.jpg,,False,,11.04519599 9.06073484 814.4000244140625 5.0,False,False,primary_only,Ningi,530,530,530.0,1.60714285714286,True,ningi,bauchi,northeast,FALSE,4.0,0.0,4.0,219.0,1.0,7.0,,6.0,200.0,public,False,1346150245492.jpg,387192,83.7494797835,,False,FALSE,FALSE,Inf,54.75,Inf,31.2857142857143,,,True,Dana Primary School,education,Bauchi,0.0,148,True,False,FALSE,Inf,0.91324200913242,FALSE,,bauchi_ningi,6af17c8b-e6d2-496c-aee6-f2656662716f,False,6af17c8b-e6d2-496c-aee6-f2656662716f,Northeast
False,False,4623.216777,False,TRUE,False,,,,formal_educ,Sabuwar Kaura pri schl,primary_only,1346146602229.jpg,,False,,10.86054331 8.95559538 695.5999755859375 5.0,False,False,primary_only,Ningi,530,530,530.0,1.26903553299492,True,ningi,bauchi,northeast,FALSE,4.0,0.0,4.0,447.0,1.0,3.0,,0.0,101.0,public,False,1346146602229.jpg,387192,83.7494797835,,False,TRUE,FALSE,Inf,111.75,Inf,149,,False,True,Sabuwar Kaura pri schl,education,Bauchi,0.0,148,True,False,FALSE,Inf,0.225950782997763,FALSE,,bauchi_ningi,3593cf25-69c0-467f-9aa3-7a045e760f0d,False,3593cf25-69c0-467f-9aa3-7a045e760f0d,Northeast
