"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"80719",80719,"af3367f2-5248-4f6e-b175-c5e8d14078cf","af3367f2-5248-4f6e-b175-c5e8d14078cf","Ningi","Bauchi","Northeast",530,"10.93377149 9.43049485 542.5999755859375 5.0","1345897715919.jpg","bauchi_ningi","1345897715919.jpg","Tap",NA,"borehole_tube_well","water_source","Katsinawan tabla","Kudu Yamma","Yes","Solar","Yes","Functional","No","Stand Alone Water Point"
"80720",80720,"91752cae-6bb2-4f72-abd4-9b4cb41d6d05","91752cae-6bb2-4f72-abd4-9b4cb41d6d05","Ningi","Bauchi","Northeast",530,"11.01961398 8.89003445 722.9000244140625 5.0","1346173242677.jpg","bauchi_ningi","1346173242677.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Unguwar Kanawa","Burra","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"80721",80721,"c3687fef-eea5-4484-859a-2f07d2bb5cb7","c3687fef-eea5-4484-859a-2f07d2bb5cb7","Ningi","Bauchi","Northeast",530,"11.07935378 8.98746255 758.4000244140625 5.0","1346167971944.jpg","bauchi_ningi","1346167971944.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Kurmi","Kurmi","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"80722",80722,"b3c0ce06-565f-4762-9dc0-b2be1ae34888","b3c0ce06-565f-4762-9dc0-b2be1ae34888","Ningi","Bauchi","Northeast",530,"10.99793051 9.56960681 495.3999938964844 5.0","1345888226026.jpg","bauchi_ningi","1345888226026.jpg","Tap",NA,"borehole_tube_well","water_source","Tasharmage","Guda","Yes","Solar","No","Mechanical Issue","No","Stand Alone Water Point"
"80723",80723,"dd59e314-f523-4e2d-ae97-bba83c7bc85a","dd59e314-f523-4e2d-ae97-bba83c7bc85a","Ningi","Bauchi","Northeast",530,"11.01815219 8.88910945 708.7999877929688 5.0","1346172143487.jpg","bauchi_ningi","1346172143487.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Unguwar Kanawa","Burra","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"80724",80724,"f1416044-6363-4b6e-a663-8f1a43575f7f","f1416044-6363-4b6e-a663-8f1a43575f7f","Ningi","Bauchi","Northeast",530,"10.97624115 9.57280729 498.79998779296875 5.0","1345897973659.jpg","bauchi_ningi","1345897973659.jpg","Tap",NA,NA,"outlet","Tsangayar Dirya","Ari","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 1km"
"80726",80726,"32b9f91d-c9c8-4a24-a736-e24292689e6f","32b9f91d-c9c8-4a24-a736-e24292689e6f","Ningi","Bauchi","Northeast",530,"11.14394095 9.03542326 581.0999755859375 5.0","1346065396981.jpg","bauchi_ningi","1346065396981.jpg","Borehole",NA,"borehole_tube_well","water_source","Mazai","Kurmi","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"80727",80727,"724555db-5e8c-4b2e-bca7-108b614dc0fa","724555db-5e8c-4b2e-bca7-108b614dc0fa","Ningi","Bauchi","Northeast",530,"11.07839618 9.56866896 508.3999938964844 5.0","1345823222841.jpg","bauchi_ningi","1345823222841.jpg","Borehole",NA,"borehole_tube_well","water_source","Kafin danyaya","Ningi west","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"80728",80728,"1ef24691-b8c4-4262-97e4-932a245cf56c","1ef24691-b8c4-4262-97e4-932a245cf56c","Ningi","Bauchi","Northeast",530,"11.22632274 9.6035625 491.0 5.0","1346084217452.jpg","bauchi_ningi","1346084217452.jpg","Borehole",NA,"borehole_tube_well","water_source","Nasaru","Nasaru A","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"80729",80729,"73bb710c-f3c2-48be-95b3-a317e5435b98","73bb710c-f3c2-48be-95b3-a317e5435b98","Ningi","Bauchi","Northeast",530,"11.01784639 8.90333301 701.0 5.0","1346167430299.jpg","bauchi_ningi","1346167430299.jpg","Borehole",NA,"borehole_tube_well","water_source","Burra","Burra","Yes","Hand Pump","Yes","Functional","Yes","Stand Alone Water Point"
