"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"56247",56247,56247,"b58cf294-72c5-4517-b38e-b1ca3d700821","warji","bauchi","northeast","11.172918677330017 9.74911630153656 478.0 4.0","Tudu alheri pri sch","primary_and_junior_sec","bauchi_warji",744,"1345803538453.jpg","b58cf294-72c5-4517-b38e-b1ca3d700821","primary_and_junior_sec","1345803538453.jpg",30,"formal_educ",FALSE,TRUE,6,18,2109,0.927032967032967,TRUE,FALSE,0,0.825842696629214,TRUE,TRUE,284.375,FALSE,6,FALSE,FALSE,TRUE,FALSE,227.5,TRUE,TRUE,TRUE,TRUE,7.58333333333333,7.58333333333333,75.8333333333333,Inf,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56248",56248,56248,"233ddcac-3c69-4a6d-819a-3f60ffa6d8db","warji","bauchi","northeast","11.20797279 9.85339768 498.8999938964844 5.0","Hardo k. Nomadic pri. Sch.","primary_only","bauchi_warji",744,"1345906836434.jpg","233ddcac-3c69-4a6d-819a-3f60ffa6d8db","primary_only","1345906836434.jpg",4,"formal_educ",TRUE,FALSE,2,3,NA,NA,TRUE,TRUE,60,1.2108843537415,FALSE,FALSE,Inf,FALSE,2,FALSE,FALSE,FALSE,FALSE,108.333333333333,TRUE,FALSE,FALSE,FALSE,10.655737704918,8.9041095890411,162.5,4,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"education"
"56249",56249,56249,"ce5570d7-0e4f-4955-9971-5170ed7934ad","warji","bauchi","northeast","11.182488799095154 9.7506183385849 481.0 4.0","Ung Koriya Pri Sch","primary_only","bauchi_warji",744,"1345818274299.jpg","ce5570d7-0e4f-4955-9971-5170ed7934ad","primary_only","1345818274299.jpg",14,"formal_educ",FALSE,FALSE,2,12,NA,NA,TRUE,FALSE,0,1.23880597014925,FALSE,TRUE,150,FALSE,0,FALSE,FALSE,FALSE,FALSE,300,TRUE,FALSE,TRUE,TRUE,Inf,Inf,42.8571428571429,Inf,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"56250",56250,56250,"381d35c9-2c99-40d7-b172-2d9a002307f2","warji","bauchi","northeast","11.177955865859985 9.755253195762634 480.0 4.0","JIBWIS Higher Islamic","primary_junior_and_senior_sec","bauchi_warji",744,"1345816234146.jpg","381d35c9-2c99-40d7-b172-2d9a002307f2","primary_junior_and_senior_sec","1345816234146.jpg",18,"religious_with_formal",FALSE,FALSE,2,13,230,0.410714285714286,FALSE,FALSE,0,0.555555555555556,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,93.3333333333333,FALSE,FALSE,FALSE,TRUE,56,56,31.1111111111111,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"56251",56251,56251,"bfca833b-639a-4e29-8fcd-3d63441b056e","warji","bauchi","northeast","11.082233190536499 9.721977710723877 479.0 3.0","JSS Zurgwai","juniors_sec_only","bauchi_warji",744,"1345889304087.jpg","bfca833b-639a-4e29-8fcd-3d63441b056e","juniors_sec_only","1345889304087.jpg",8,"formal_educ",FALSE,TRUE,0,5,NA,NA,TRUE,NA,402,3.19375,TRUE,TRUE,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,335.5,FALSE,FALSE,TRUE,TRUE,33.55,Inf,83.875,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56252",56252,56252,"4f28de72-3941-46ab-baf9-13fa9f1cb2cf","warji","bauchi","northeast","11.177199482917786 9.754239320755005 448.0 4.0","Katanga Central Pri Sch","preprimary_and_primary","bauchi_warji",744,"1345808309934.jpg","4f28de72-3941-46ab-baf9-13fa9f1cb2cf","preprimary_and_primary","1345808309934.jpg",14,"formal_educ",FALSE,TRUE,0,8,500,0.209907640638119,TRUE,FALSE,0,1.4158215010142,TRUE,TRUE,595.5,FALSE,3,TRUE,FALSE,FALSE,FALSE,183.230769230769,FALSE,FALSE,TRUE,TRUE,11.91,11.91,170.142857142857,Inf,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
"56253",56253,56253,"06a0944a-9806-43e1-87c2-df20ec774501","warji","bauchi","northeast","11.040610671043396 9.75361168384552 498.0 4.0","Ladigga Primary School","primary_only","bauchi_warji",744,"1345896663641.jpg","06a0944a-9806-43e1-87c2-df20ec774501","primary_only","1345896663641.jpg",2,"religious_with_formal",FALSE,FALSE,0,1,NA,NA,TRUE,TRUE,80,1.13523131672598,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,300,TRUE,FALSE,TRUE,TRUE,60,60,300,Inf,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"56254",56254,56254,"e3f6bf5d-e36e-4f36-a2a0-fac8d6ca5f63","warji","bauchi","northeast","11.25347445 9.7992194 439.8999938964844 5.0","K. Kanawa Pri. Sch.","primary_only","bauchi_warji",744,"1345890385769.jpg","e3f6bf5d-e36e-4f36-a2a0-fac8d6ca5f63","primary_only","1345890385769.jpg",6,"formal_educ",FALSE,FALSE,2,2,NA,NA,TRUE,FALSE,0,1.29471032745592,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,227.75,TRUE,FALSE,FALSE,FALSE,455.5,Inf,151.833333333333,Inf,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"education"
"56255",56255,56255,"23352a50-99cc-4374-b614-ffd169cd37ed","warji","bauchi","northeast","11.16955998 9.70152886 472.8999938964844 5.0","S. Barkono Pri. Sch.","primary_only","bauchi_warji",744,"1346068299208.jpg","23352a50-99cc-4374-b614-ffd169cd37ed","primary_only","1346068299208.jpg",4,"formal_educ",FALSE,FALSE,3,2,0,0,FALSE,NA,0,0.775773195876289,FALSE,NA,NA,FALSE,1,FALSE,FALSE,TRUE,FALSE,172.25,TRUE,FALSE,FALSE,FALSE,Inf,Inf,172.25,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"56256",56256,56256,"1ffa5ef9-0383-4cef-805f-3b0026d2c7ff","warji","bauchi","northeast","11.137567162513733 9.663671851158142 468.0 4.0","Bingin Giwa Primary School.","primary_only","bauchi_warji",744,"1346073744297.jpg","1ffa5ef9-0383-4cef-805f-3b0026d2c7ff","primary_only","1346073744297.jpg",3,"religious_with_formal",FALSE,FALSE,2,2,NA,NA,FALSE,TRUE,214,1.2,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,110,TRUE,FALSE,TRUE,TRUE,14.6666666666667,14.6666666666667,146.666666666667,Inf,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
