"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",32335,"a4f2659c-79ab-4050-b547-1b1157899060","kolokuma_opokuma","bayelsa","south_south","5.0460607 6.24262618 32.20000076293945 5.0","Community Primary School, Okoloba","primary_only","bayelsa_kolokuma",437,"1342279966094.jpg","a4f2659c-79ab-4050-b547-1b1157899060","primary_only","1342279966094.jpg",27,"formal_educ",FALSE,FALSE,0,21,NA,NA,FALSE,FALSE,36,0.942164179104478,TRUE,FALSE,347,FALSE,4,FALSE,FALSE,FALSE,FALSE,104.1,FALSE,FALSE,FALSE,FALSE,8.675,3.09821428571429,38.5555555555556,Inf,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",32336,"10d745b7-ed0b-4181-80cd-ba933530f2b4","kolokuma_opokuma","bayelsa","south_south","5.03810273 6.24566821 38.599998474121094 5.0","Holy Field Nursery/Primary School, Sabagreia","preprimary_and_primary","bayelsa_kolokuma",437,"1342361776689.jpg","10d745b7-ed0b-4181-80cd-ba933530f2b4","preprimary_and_primary","1342361776689.jpg",10,"formal_educ",FALSE,FALSE,4,6,80,0.321285140562249,FALSE,TRUE,0,0.992,TRUE,FALSE,124.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,62.25,FALSE,FALSE,FALSE,FALSE,9.96,2.49,24.9,Inf,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",32337,"866b51c6-e21f-42aa-8d8d-dfe6448cba61","kolokuma_opokuma","bayelsa","south_south","5.08114973 6.25559554 34.5 5.0","Fortune Future Leaders Nursery/Primary School, Gbaranbiri","preprimary_and_primary","bayelsa_kolokuma",437,"1342267211147.jpg","866b51c6-e21f-42aa-8d8d-dfe6448cba61","preprimary_and_primary","1342267211147.jpg",10,"formal_educ",FALSE,TRUE,9,1,20,0.153846153846154,TRUE,FALSE,0,0.625,TRUE,FALSE,130,FALSE,0,FALSE,FALSE,TRUE,FALSE,14.4444444444444,FALSE,FALSE,FALSE,FALSE,13,1.3,13,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",32338,"43872062-3fbf-4a30-833e-e662168ac1f3","kolokuma_opokuma","bayelsa","south_south","5.04619608 6.24509651 28.399999618530273 5.0","Glory Of God Academy, Okoloba","preprimary_and_primary","bayelsa_kolokuma",437,"1342364564446.jpg","43872062-3fbf-4a30-833e-e662168ac1f3","preprimary_and_primary","1342364564446.jpg",3,"formal_educ",FALSE,FALSE,5,0,76,1.72727272727273,FALSE,FALSE,0,0.62962962962963,TRUE,FALSE,22,TRUE,0,FALSE,FALSE,FALSE,FALSE,8.8,FALSE,FALSE,FALSE,TRUE,8.8,2.93333333333333,14.6666666666667,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",32339,"c2c475cc-1fb7-47a9-930a-b1f5fb0e0e2a","kolokuma_opokuma","bayelsa","south_south","5.11200417 6.29964866 28.700000762939453 5.0","St. James Secondary School","juniors_sec_only","bayelsa_kolokuma",437,"1342453655535.jpg","c2c475cc-1fb7-47a9-930a-b1f5fb0e0e2a","juniors_sec_only","1342453655535.jpg",0,"formal_educ",TRUE,FALSE,0,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,TRUE,0,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,0,NA,NA,TRUE,TRUE,TRUE,TRUE
"6",32340,"944c2478-17dc-4905-a47d-518493fcb1ec","kolokuma_opokuma","bayelsa","south_south","5.07134656 6.28082827 34.599998474121094 5.0","CPS Opokuma","primary_only","bayelsa_kolokuma",437,"1342524938852.jpg","944c2478-17dc-4905-a47d-518493fcb1ec","primary_only","1342524938852.jpg",15,"formal_educ",FALSE,TRUE,0,12,NA,NA,TRUE,FALSE,50,0.92,TRUE,FALSE,NA,TRUE,2,FALSE,FALSE,FALSE,FALSE,32,FALSE,FALSE,FALSE,FALSE,0.96,0.96,12.8,Inf,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"7",32341,"e1f127fe-e1a1-43c4-a44d-de7144098b82","kolokuma_opokuma","bayelsa","south_south","5.03755634 6.24677081 21.399999618530273 5.0","Community Primary School ii, Sabagreia","primary_only","bayelsa_kolokuma",437,"1342360807490.jpg","e1f127fe-e1a1-43c4-a44d-de7144098b82","primary_only","1342360807490.jpg",28,"formal_educ",FALSE,FALSE,0,15,NA,NA,FALSE,TRUE,0,1.01652892561983,TRUE,FALSE,61,FALSE,6,FALSE,FALSE,FALSE,FALSE,40.6666666666667,FALSE,FALSE,FALSE,FALSE,4.69230769230769,2.44,8.71428571428571,28,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",32342,"a9b698e4-7f0d-458b-8122-25fdbdb1b1e9","kolokuma_opokuma","bayelsa","south_south","5.11842164 6.30357853 21.100000381469727 5.0","Rev Proctor memorial School 2","primary_only","bayelsa_kolokuma",437,"1342448704934.jpg","a9b698e4-7f0d-458b-8122-25fdbdb1b1e9","primary_only","1342448704934.jpg",23,"formal_educ",TRUE,FALSE,NA,18,NA,NA,TRUE,FALSE,150,0.928571428571429,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,Inf,Inf,11.7391304347826,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
"9",32343,"c1cf51c8-3f76-44cb-8884-edb40c1856b0","kolokuma_opokuma","bayelsa","south_south","5.07909285 6.2666311 32.900001525878906 5.0","Basic Junior Opokuma Grammar School","juniors_sec_only","bayelsa_kolokuma",437,"1342528323463.jpg","c1cf51c8-3f76-44cb-8884-edb40c1856b0","juniors_sec_only","1342528323463.jpg",11,"formal_educ",TRUE,FALSE,NA,5,0,0,TRUE,TRUE,120,0.941558441558442,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,Inf,Inf,27.1818181818182,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
"10",32344,"4d692923-8f82-4d53-b906-1b3a2e338366","kolokuma_opokuma","bayelsa","south_south","5.0389064 6.247681 0.0 2961.0","ELYON MODEL INTL. NURSERY/PRIMARY SCHOOL, SABAGREIA","preprimary_and_primary","bayelsa_kolokuma",437,"1342368773866.jpg","4d692923-8f82-4d53-b906-1b3a2e338366","preprimary_and_primary","1342368773866.jpg",14,"formal_educ",FALSE,TRUE,3,7,20,0.476190476190476,TRUE,FALSE,0,NA,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,14,FALSE,FALSE,TRUE,FALSE,2.8,0.7,3,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
