"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"57475",57475,57475,"78b6cf3a-dd10-4166-b807-2c2c20752a4f","yenagoa","bayelsa","south_south","5.03044642 6.28333072 36.599998474121094 5.0","CONFLUENCE TOWN PRI.SCH. POLAKU","primary_only","bayelsa_yenagoa",762,"1342358762708.jpg","78b6cf3a-dd10-4166-b807-2c2c20752a4f","primary_only","1342358762708.jpg",14,"formal_educ",FALSE,FALSE,6,7,NA,NA,TRUE,FALSE,0,1.06779661016949,TRUE,TRUE,61,FALSE,0,FALSE,FALSE,FALSE,FALSE,40.6666666666667,FALSE,FALSE,FALSE,FALSE,5.95121951219512,5.95121951219512,17.4285714285714,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"57476",57476,57476,"1c76da42-05c3-446b-a361-d9e6c7c6a13e","yenagoa","bayelsa","south_south","4.93862141 6.22870901 42.0 5.0","Senior sec sch ikolo","senior_sec_only","bayelsa_yenagoa",762,"1342532859277.jpg","1c76da42-05c3-446b-a361-d9e6c7c6a13e","senior_sec_only","1342532859277.jpg",8,"formal_educ",FALSE,FALSE,3,6,0,0,TRUE,FALSE,0,1.09836065573771,FALSE,NA,NA,FALSE,3,FALSE,FALSE,TRUE,FALSE,42.6666666666667,FALSE,FALSE,FALSE,FALSE,4.26666666666667,4.26666666666667,32,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"57477",57477,57477,"de800e71-3957-45fb-8a21-23e12f3bd61f","yenagoa","bayelsa","south_south","5.0401132 6.2943039 61.29999923706055 5.0","Ogbopuru comm sec sch korama","senior_sec_only","bayelsa_yenagoa",762,"1342362270317.jpg","de800e71-3957-45fb-8a21-23e12f3bd61f","senior_sec_only","1342362270317.jpg",33,"formal_educ",FALSE,FALSE,3,3,0,0,FALSE,NA,24,0.933333333333333,TRUE,FALSE,72.5,TRUE,0,FALSE,FALSE,FALSE,FALSE,48.3333333333333,FALSE,FALSE,FALSE,TRUE,1.98630136986301,1.98630136986301,4.39393939393939,6.6,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57478",57478,57478,"2e24dca3-8ecf-4753-b21c-63bf92aef0ff","yenagoa","bayelsa","south_south","5.10830355 6.41461431 26.899999618530273 5.0","COMM.PRI.SCH1 ZARAMA","primary_only","bayelsa_yenagoa",762,"1342519293147.jpg","2e24dca3-8ecf-4753-b21c-63bf92aef0ff","primary_only","1342519293147.jpg",8,"formal_educ",FALSE,FALSE,0,5,NA,NA,TRUE,FALSE,0,0.762376237623762,FALSE,NA,NA,TRUE,2,FALSE,FALSE,FALSE,FALSE,29.6666666666667,FALSE,TRUE,FALSE,FALSE,7.12,44.5,22.25,Inf,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57479",57479,57479,"c185ac3b-e538-4ca7-a7e0-34986a3555b0","yenagoa","bayelsa","south_south","5.05251389 6.32814879 32.0 5.0","GBARAINOWRI GRAMMER SCH.OKOLOBIRI","senior_sec_only","bayelsa_yenagoa",762,"1342368064693.jpg","c185ac3b-e538-4ca7-a7e0-34986a3555b0","senior_sec_only","1342368064693.jpg",0,"formal_educ",FALSE,FALSE,NA,NA,0,NA,TRUE,FALSE,0,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57480",57480,57480,"61044ae9-ebf8-41ff-b215-4b2df34a753f","yenagoa","bayelsa","south_south","5.05007286 6.34742232 38.099998474121094 5.0","BJSS NEDUGO AGBIA","juniors_sec_only","bayelsa_yenagoa",762,"1342428217749.jpg","61044ae9-ebf8-41ff-b215-4b2df34a753f","juniors_sec_only","1342428217749.jpg",16,"formal_educ",FALSE,FALSE,NA,5,NA,NA,TRUE,TRUE,20,0.917808219178082,TRUE,TRUE,70,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,Inf,Inf,17.5,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57481",57481,57481,"3cb2abc3-c9ea-4c25-ab69-59d28d630cfb","yenagoa","bayelsa","south_south","4.90202701 6.26138079 28.0 5.0","Ogu Grammar School Ogu","senior_sec_only","bayelsa_yenagoa",762,"1342441473884.jpg","3cb2abc3-c9ea-4c25-ab69-59d28d630cfb","senior_sec_only","1342441473884.jpg",29,"formal_educ",TRUE,FALSE,0,4,0,0,TRUE,TRUE,150,0.852813852813853,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,71.3333333333333,TRUE,FALSE,TRUE,TRUE,2.85333333333333,2.85333333333333,14.7586206896552,14.5,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57482",57482,57482,"dc52201f-7e02-4631-8aa1-4359928acb6a","yenagoa","bayelsa","south_south","4.90547635 6.29755115 19.600000381469727 5.0","Mount Olivet Christ Internatioal School","primary_junior_and_senior_sec","bayelsa_yenagoa",762,"1342279599681.jpg","dc52201f-7e02-4631-8aa1-4359928acb6a","primary_junior_and_senior_sec","1342279599681.jpg",20,"formal_educ",FALSE,TRUE,0,3,50,0.108932461873638,TRUE,TRUE,0,0.821428571428571,TRUE,TRUE,32.7857142857143,TRUE,0,TRUE,FALSE,TRUE,TRUE,24.1578947368421,FALSE,FALSE,FALSE,TRUE,3.53076923076923,3.53076923076923,22.95,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57483",57483,57483,"6486ccf7-5daf-4c33-9548-cac88ab98532","yenagoa","bayelsa","south_south","4.88770128 6.28948199 32.79999923706055 5.0","Community Primary School. Azikoro.","primary_only","bayelsa_yenagoa",762,"1342631139988.jpg","6486ccf7-5daf-4c33-9548-cac88ab98532","primary_only","1342631139988.jpg",22,"formal_educ",FALSE,FALSE,6,18,NA,NA,TRUE,FALSE,0,1.00357142857143,TRUE,TRUE,140.25,FALSE,0,FALSE,FALSE,FALSE,FALSE,93.5,FALSE,FALSE,FALSE,FALSE,5.90526315789474,2.40772532188841,25.5,Inf,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"57484",57484,57484,"1f82655a-a19d-4910-84b8-d0410e4304a7","yenagoa","bayelsa","south_south","4.92076174 6.25445753 38.900001525878906 5.0","Saint John‘s Primary School Obogoro","primary_only","bayelsa_yenagoa",762,"1342433376418.jpg","1f82655a-a19d-4910-84b8-d0410e4304a7","primary_only","1342433376418.jpg",11,"formal_educ",FALSE,TRUE,3,8,0,0,TRUE,FALSE,0,1.23809523809524,TRUE,TRUE,23.5,FALSE,3,FALSE,FALSE,FALSE,FALSE,23.5,FALSE,FALSE,FALSE,TRUE,20.1428571428571,1.41,12.8181818181818,Inf,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
