"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"37025",37025,"cfd0159a-e0a8-4a35-b8ba-f44fa2ceb747","cfd0159a-e0a8-4a35-b8ba-f44fa2ceb747","Gboko","Benue","North-Central",244,"7.39233709 9.06678164 250.8000030517578 5.0","1343647762833.jpg","benue_gboko","1343647762833.jpg","Tap",NA,"borehole_tube_well","water_source","Mbaakumba","Yandev south","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
"37026",37026,"022b50cd-38ee-49b9-97a3-566599b9e167","022b50cd-38ee-49b9-97a3-566599b9e167","Gboko","Benue","North-Central",244,"7.31111489 9.13528073 138.5 5.0","1343556618591.jpg","benue_gboko","1343556618591.jpg","Borehole",NA,"borehole_tube_well","water_source","Mbaigyu","Igorov","Yes","Manual","No","Mechanical Issue","No","Stand Alone Water Point"
"37027",37027,"e7af3763-d2d0-4637-99ee-870b81754335","e7af3763-d2d0-4637-99ee-870b81754335","Gboko","Benue","North-Central",244,"7.31103852 9.1353795 140.1999969482422 5.0","1343556771929.jpg","benue_gboko","1343556771929.jpg","Borehole",NA,"borehole_tube_well","water_source","Mbaigyu","Igorov","Yes","Manual","Yes","Functional","No","Stand Alone Water Point"
"37028",37028,"a56d8d4d-eae1-465c-8b38-35b8a6e29b5b","a56d8d4d-eae1-465c-8b38-35b8a6e29b5b","Gboko","Benue","North-Central",244,"7.30338743 8.94957572 195.60000610351563 5.0","1343745628457.jpg","benue_gboko","1343745628457.jpg","Tap",NA,"borehole_tube_well","water_source","Mbaikya","Mbatsegh","Yes","Solar","Yes","Functional","No","Stand Alone Water Point"
"37029",37029,"67959c7d-3933-486e-aaea-34be360a1d03","67959c7d-3933-486e-aaea-34be360a1d03","Gboko","Benue","North-Central",244,"7.46650938 8.72016831 180.8000030517578 5.0","1343659547337.jpg","benue_gboko","1343659547337.jpg","Tap",NA,NA,"outlet","Mbakyo","Mbaanku","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 1km"
"37030",37030,"83af840c-af34-463b-b07c-fe3d97d79594","83af840c-af34-463b-b07c-fe3d97d79594","Gboko","Benue","North-Central",244,"7.35764257 9.00643645 235.8000030517578 5.0","1343471672917.jpg","benue_gboko","1343471672917.jpg","Borehole",NA,"borehole_tube_well","water_source","Low Cost","Gboko North","Yes","Hand Pump","No","Don't Know","No","Stand Alone Water Point"
"37031",37031,"3c610081-4c00-414e-b90c-7de911e39a8c","3c610081-4c00-414e-b90c-7de911e39a8c","Gboko","Benue","North-Central",244,"7.277585 8.90069483 196.1999969482422 5.0","1343582712990.jpg","benue_gboko","1343582712990.jpg","Borehole",NA,"borehole_tube_well","water_source","Gyura - Mbahyande","Mbatan","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37032",37032,"7b8ffa45-8818-472e-89a5-78c3d7536873","7b8ffa45-8818-472e-89a5-78c3d7536873","Gboko","Benue","North-Central",244,"7.34516828 9.01230454 251.5 5.0","1343398354658.jpg","benue_gboko","1343398354658.jpg","Tap",NA,NA,"outlet","Anzwar","Gboko North","Yes","Tap (unknown lift)","No","Mechanical Issue","No",NA
"37033",37033,"9a15f42e-150f-4355-9243-8e0bed01992b","9a15f42e-150f-4355-9243-8e0bed01992b","Gboko","Benue","North-Central",244,"7.41177591 8.96921898 169.8000030517578 5.0","1343554156571.jpg","benue_gboko","1343554156571.jpg","Borehole",NA,"borehole_tube_well","water_source","Tse Kucha","Mbatyu","Yes","Hand Pump","No","Don't Know","No","Stand Alone Water Point"
"37034",37034,"561f1f92-f623-4bd5-a735-073a0a2d8b5a","561f1f92-f623-4bd5-a735-073a0a2d8b5a","Gboko","Benue","North-Central",244,"7.34851441 9.03043305 266.3999938964844 5.0","1343390038027.jpg","benue_gboko","1343390038027.jpg","Borehole",NA,"borehole_tube_well","water_source","Ipav","Gboko North","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"37035",37035,"5cf55139-6ac5-4bd7-ac23-df758a44a02a","5cf55139-6ac5-4bd7-ac23-df758a44a02a","Gboko","Benue","North-Central",244,"7.34258986 8.98398137 247.10000610351563 5.0","1343571729243.jpg","benue_gboko","1343571729243.jpg","Tap",NA,"borehole_tube_well","water_source","Mbawav","Gboko North","Yes","Electric","Yes","Functional","No","Stand Alone Water Point"
"37036",37036,"8cf543d5-d2ba-40a4-9afe-efbd51a45aea","8cf543d5-d2ba-40a4-9afe-efbd51a45aea","Gboko","Benue","North-Central",244,"7.39558969 8.99842131 201.60000610351563 5.0","1343476908597.jpg","benue_gboko","1343476908597.jpg","Tap",NA,NA,"outlet","Amua","Ukpekpe","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"37037",37037,"8a0deece-22a7-4054-9f9f-0065ec852649","8a0deece-22a7-4054-9f9f-0065ec852649","Gboko","Benue","North-Central",244,"7.4589035 8.65547926 204.89999389648438 5.0","1343661968237.jpg","benue_gboko","1343661968237.jpg","Tap",NA,NA,"outlet","Mbakyo","Mbaanku","Yes","Tap (unknown lift)","No","Under Construction","Don't Know","Water Scheme, Source within 1km"
