"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"32442",32442,32442,"5826afd1-1ad4-429e-a7f3-2e7df02e6c7b","konshisha","benue","north_central","6.9718216 8.89586986 163.5 5.0","St Justin‘s Nursery and Primary School Mhambe","preprimary_and_primary","benue_konshisha",439,"1343661150002.jpg","5826afd1-1ad4-429e-a7f3-2e7df02e6c7b","preprimary_and_primary","1343661150002.jpg",8,"formal_educ",FALSE,FALSE,7,6,24,0.0712166172106825,FALSE,TRUE,0,1.67460317460317,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,48.1428571428571,FALSE,FALSE,FALSE,FALSE,6.12727272727273,6.48076923076923,42.125,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32443",32443,32443,"bdcc47b8-aa9d-49fa-a433-3d7b8dbc360e","konshisha","benue","north_central","7.0261066 8.69510864 143.8000030517578 5.0","L.G.E.A. PRI.SCH. AGEMA","primary_only","benue_konshisha",439,"1343408147395.jpg","bdcc47b8-aa9d-49fa-a433-3d7b8dbc360e","primary_only","1343408147395.jpg",7,"formal_educ",TRUE,FALSE,3,5,NA,NA,TRUE,TRUE,23,1.24324324324324,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,55.3333333333333,FALSE,FALSE,FALSE,FALSE,11.0666666666667,6.38461538461539,23.7142857142857,Inf,7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"32444",32444,32444,"16b4063e-bf04-4b78-89aa-e9bfdac3fe98","konshisha","benue","north_central","7.1441228 8.62213063 147.89999389648438 5.0","NKST SECONDARY SCHOOL, MBAAKPul","primary_only","benue_konshisha",439,"1343373603789.jpg","16b4063e-bf04-4b78-89aa-e9bfdac3fe98","primary_only","1343373603789.jpg",5,"formal_educ",FALSE,FALSE,6,5,NA,NA,TRUE,FALSE,0,1.19672131147541,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,22.3333333333333,TRUE,FALSE,FALSE,FALSE,2.68,2.68,26.8,Inf,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"education"
"32445",32445,32445,"1b9c98f8-4fa7-4d61-a66d-0dc19c7d6847","konshisha","benue","north_central","7.00010576 8.84901154 150.5 5.0","RCM/LGEA Primary School Wuaor - Ato","primary_only","benue_konshisha",439,"1343640513882.jpg","1b9c98f8-4fa7-4d61-a66d-0dc19c7d6847","primary_only","1343640513882.jpg",4,"formal_educ",TRUE,FALSE,0,4,NA,NA,FALSE,TRUE,65,1.54929577464789,FALSE,TRUE,45.25,FALSE,3,FALSE,FALSE,FALSE,FALSE,30.1666666666667,TRUE,FALSE,TRUE,FALSE,5.02777777777778,5.02777777777778,45.25,Inf,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32446",32446,32446,"780aaedd-258c-409d-a98c-65a92c9323ee","konshisha","benue","north_central","7.04192823 8.44512127 169.5 5.0","L.G.E.A.Pri.Sch.Ochoro","primary_only","benue_konshisha",439,"1343656340379.jpg","780aaedd-258c-409d-a98c-65a92c9323ee","primary_only","1343656340379.jpg",7,"formal_educ",TRUE,FALSE,4,5,NA,NA,FALSE,FALSE,0,1.05714285714286,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,FALSE,FALSE,28.8,14.4,20.5714285714286,Inf,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"32447",32447,32447,"c67a109b-f42e-4ea1-b74f-e2edd8ee0358","konshisha","benue","north_central","7.19216717 8.52946071 156.1999969482422 5.0","UBE JSS ILLIAH","juniors_sec_only","benue_konshisha",439,"1343380753055.jpg","c67a109b-f42e-4ea1-b74f-e2edd8ee0358","juniors_sec_only","1343380753055.jpg",5,"formal_educ",FALSE,TRUE,3,4,NA,NA,TRUE,FALSE,0,1.35714285714286,TRUE,TRUE,33,FALSE,0,FALSE,FALSE,FALSE,FALSE,44,FALSE,FALSE,TRUE,FALSE,6.6,6.6,26.4,Inf,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"education"
"32448",32448,32448,"d4e1f2a5-31fb-45e1-8584-aaff21f025ca","konshisha","benue","north_central","7.29957877 8.58774828 182.89999389648438 5.0","Mbaoso comunity school Jovkyundan","juniors_sec_only","benue_konshisha",439,"1343398138437.jpg","d4e1f2a5-31fb-45e1-8584-aaff21f025ca","juniors_sec_only","1343398138437.jpg",17,"formal_educ",TRUE,FALSE,3,14,NA,NA,TRUE,FALSE,30,1.48031496062992,TRUE,FALSE,78.75,TRUE,2,FALSE,FALSE,TRUE,FALSE,63,FALSE,FALSE,TRUE,FALSE,11.25,1.46511627906977,18.5294117647059,Inf,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
"32449",32449,32449,"febeadcc-3339-4f1c-abac-a577e207bcea","konshisha","benue","north_central","6.86840896 8.91010677 123.5999984741211 5.0","Mbaikyer comprehensive college Ubwa","junior_and_senior_sec","benue_konshisha",439,"1343688457285.jpg","febeadcc-3339-4f1c-abac-a577e207bcea","junior_and_senior_sec","1343688457285.jpg",8,"formal_educ",FALSE,FALSE,1,5,36,0.236842105263158,FALSE,NA,20,3,TRUE,FALSE,25.3333333333333,FALSE,2,TRUE,FALSE,FALSE,FALSE,25.3333333333333,FALSE,FALSE,FALSE,FALSE,16.8888888888889,1.78823529411765,19,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32450",32450,32450,"9145096a-e93d-4480-91e7-149edec7b41f","konshisha","benue","north_central","6.89778066 8.87582362 164.5 5.0","LGEA NKST Primary school Ankpine","primary_and_junior_sec","benue_konshisha",439,"1343349957546.jpg","9145096a-e93d-4480-91e7-149edec7b41f","primary_and_junior_sec","1343349957546.jpg",4,"formal_educ",TRUE,FALSE,1,2,63,0.222614840989399,TRUE,FALSE,5,1.14393939393939,TRUE,FALSE,141.5,FALSE,2,FALSE,FALSE,FALSE,FALSE,70.75,TRUE,FALSE,TRUE,FALSE,Inf,15.7222222222222,70.75,Inf,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"education"
"32451",32451,32451,"23c0b8e8-c80a-4008-a7d9-866ac31f984e","konshisha","benue","north_central","6.99812447 8.7878518 146.39999389648438 5.0","Nkst NURSERY Pri. SCH. AJIM AMUA","preprimary_and_primary","benue_konshisha",439,"1343379495788.jpg","23c0b8e8-c80a-4008-a7d9-866ac31f984e","preprimary_and_primary","1343379495788.jpg",2,"formal_educ",FALSE,FALSE,3,2,65,0.433333333333333,TRUE,FALSE,100,1.30769230769231,TRUE,TRUE,21.4285714285714,FALSE,0,FALSE,FALSE,FALSE,FALSE,37.5,TRUE,FALSE,TRUE,TRUE,Inf,Inf,75,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
