breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Ikyor,,,Stand Alone Water Point,,Yes,7.556292414665222 9.230360984802246 145.0 4.0,True,Logo,469,469,469.0,Hand Pump,No,1305196709211.jpg,water,Benue,benue_logo,e69055c2e0638bf20a4936c4c5e9886e,Nenzev,Handpump,,,,
Functional,,Zamzan,,,Stand Alone Water Point,,Yes,7.625139355659485 9.321717023849487 175.0 3.0,False,Logo,469,469,469.0,Manual,No,1305625282684.jpg,water,Benue,benue_logo,a39b977230552ab7708d24dc846c2200,Yonov,Unimproved Large Diameter Well,,,,
Poor Water Quality,,Iorshagher,,,Stand Alone Water Point,,No,7.65297532081604 9.32812213897705 179.0 4.0,False,Logo,469,469,469.0,Manual,No,1305630205134.jpg,water,Benue,benue_logo,1d109a403824dc01bb4be97eda0bbf40,Yonov,Unimproved,,,,
Functional,,Zanzan,,,Stand Alone Water Point,,Yes,7.625488042831421 9.320225715637207 172.0 3.0,True,Logo,469,469,469.0,Manual,No,1305624181853.jpg,water,Benue,benue_logo,2870c602f83dcf929f2b0c0dfe739b21,Yonov,Borehole,,,,
Mechanical Issue,,ugba,,,Stand Alone Water Point,,No,7.509927749633789 9.360888004302979 214.0 3.0,True,Logo,469,469,469.0,Solar,No,1305283474194.jpg,water,Benue,benue_logo,47f8d249e071e2245e3b961a9536014f,mbayam,Tap,,,,
Functional,,Anyii,,,Stand Alone Water Point,,Yes,7.818676829338074 9.24425482749939 198.0 4.0,False,Logo,469,469,469.0,Manual,No,1305203618488.jpg,water,Benue,benue_logo,4329cb7db0b3bb7a509f42714796c94c,Mbagber,Unimproved,,,,
Functional,,imande adega,,,Stand Alone Water Point,,Yes,7.564693093299866 9.398379921913147 167.0 4.0,False,Logo,469,469,469.0,Manual,No,1305298455244.jpg,water,Benue,benue_logo,72cd8bf88d306e51586067be6f99a7f9,mbater,Unimproved Large Diameter Well,,,,
Functional,,Mbakighir,,,Stand Alone Water Point,,Yes,7.7409034967422485 9.166942834854126 193.0 4.0,False,Logo,469,469,469.0,Manual,No,1305284564946.jpg,water,Benue,benue_logo,283b0706b23935b4f3e33b3de7a55837,Tombo,Unimproved,,,,
Functional,,Gwabo,,,Stand Alone Water Point,,Yes,7.489580512046814 9.371970891952515 206.0 4.0,False,Logo,469,469,469.0,Manual,No,1305116582424.jpg,water,Benue,benue_logo,5b60124ed7f1a405152a91106c6fab13,Mbayam ward,Unimproved,,,,
Functional,,Mchia,,,Stand Alone Water Point,,Yes,7.768599987030029 9.269848465919495 290.0 4.0,False,Logo,469,469,469.0,Manual,No,1305191601570.jpg,water,Benue,benue_logo,40aec4cee1a3504ee44b65dfe389b796,Mbagber,Unimproved,,,,
Mechanical Issue,,Ugbai,,,Stand Alone Water Point,,No,7.504729628562927 9.350540041923523 202.0 4.0,True,Logo,469,469,469.0,Diesel,No,1305118155416.jpg,water,Benue,benue_logo,211126e827bccdb7d0cf1a4fc776581b,Mbayam,Tap,,,,
Functional,,Tse Bion,,,Stand Alone Water Point,,Yes,7.643045783042908 9.312586784362793 169.0 4.0,False,Logo,469,469,469.0,Manual,No,1305627086151.jpg,water,Benue,benue_logo,330f4909d0a5a4b1facdccd4ef7c82b9,Yonov,Unimproved,,,,
Functional,,Mbaikyo,,,Stand Alone Water Point,,Yes,7.791844010353088 9.36832308769226 159.0 4.0,False,Logo,469,469,469.0,Manual,No,1305552115773.jpg,water,Benue,benue_logo,64251b85bd7ebc9e0a0fc0290c3801d2,UK.Tswarev,Unimproved Large Diameter Well,,,,
Don't Know,,Audu,,,Stand Alone Water Point,,No,7.735823392868042 9.19004201889038 211.0 4.0,True,Logo,469,469,469.0,Hand Pump,No,1305278199879.jpg,water,Benue,benue_logo,c69da717a28ff39a4030c6cd9c4e734b,Tombo,Handpump,,,,
Functional,,Azege,,,Stand Alone Water Point,,Yes,7.803087830543518 9.037290215492249 131.0 4.0,False,Logo,469,469,469.0,Manual,No,1305297732192.jpg,water,Benue,benue_logo,864d1486b05b48ddc2037d4be4cb21e5,Tombo,Unimproved Large Diameter Well,,,,
Mechanical Issue,,orbiam,,,Stand Alone Water Point,,No,7.584831118583679 9.417836666107178 167.0 3.0,True,Logo,469,469,469.0,,No,1305300439922.jpg,water,Benue,benue_logo,f690dc3b201e063f056fe2fe4a21f77a,mbater,Borehole,,,,
Functional,,asom,,,Stand Alone Water Point,,Yes,7.554484605789185 9.37807559967041 187.0 3.0,False,Logo,469,469,469.0,Manual,No,1305294759894.jpg,water,Benue,benue_logo,10a31f6e0f50624953e8c90a1eb07542,mbater,Unimproved Large Diameter Well,,,,
Functional,,ugba,,,Stand Alone Water Point,,Yes,7.503098845481873 9.350153803825378 201.0 4.0,True,Logo,469,469,469.0,Diesel,No,1305199993338.jpg,water,Benue,benue_logo,02a62014859d31e2f3cd00673ca2b0a7,mbayam,Tap,,,,
Don't Know,,tse iorkase,,,Stand Alone Water Point,,No,7.564156651496887 9.407612085342407 173.0 4.0,True,Logo,469,469,469.0,Hand Pump,No,1305379656683.jpg,water,Benue,benue_logo,f3c723c43872bf105ff9a2d47c34abd1,mbater,Handpump,,,,
Functional,,ugba,,,Stand Alone Water Point,,Yes,7.507454752922058 9.345706701278687 203.0 4.0,False,Logo,469,469,469.0,Manual,No,1305119083470.jpg,water,Benue,benue_logo,31b5a32accd0e26bdca1b2971393af45,mbayam,Unimproved,,,,
Functional,,Abeda,,,Stand Alone Water Point,,Yes,7.717589735984802 9.313713312149048 226.0 4.0,True,Logo,469,469,469.0,Diesel,Yes,1305382580306.jpg,water,Benue,benue_logo,df74d80f6392cb81e0470b22b25cbe44,Mbavuur,Tap,,,,
Functional,,tsenge,,,Stand Alone Water Point,,Yes,7.5013768672943115 9.338840246200562 205.0 4.0,True,Logo,469,469,469.0,Hand Pump,No,1305126479728.jpg,water,Benue,benue_logo,1c939f910351f2b47aff1b49532ca22b,mbayam,Handpump,,,,
Dry Well,,tsenge,,,Stand Alone Water Point,,No,7.502642869949341 9.337702989578247 227.0 4.0,True,Logo,469,469,469.0,Manual,No,1305126956301.jpg,water,Benue,benue_logo,320d921113819e9f673f77ba4bd82460,mbayam,Borehole,,,,
Mechanical Issue,,Audu,,,"Water Scheme, Source within 100m",,No,7.738140821456909 9.193840026855469 217.0 4.0,True,Logo,469,469,469.0,Electric,Yes,1305278934570.jpg,water,Benue,benue_logo,17d239405c3950afdd21f977a150b05d,Tombo,Tap,,,,
Functional,,ugba,,,Stand Alone Water Point,,Yes,7.500362992286682 9.357427954673767 205.0 4.0,True,Logo,469,469,469.0,Hand Pump,No,1305216409588.jpg,water,Benue,benue_logo,7b6539cb431f9cf73b06db8a97b9aa64,mbayam,Handpump,,,,
Mechanical Issue,,Mchia,,,Stand Alone Water Point,,No,7.758176922798157 9.275384545326233 267.0 2.0,True,Logo,469,469,469.0,Diesel,No,1305190715021.jpg,water,Benue,benue_logo,61382d0e6496b44905c9a18922e8bef8,Mbagber,Tap,,,,
