"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"54703",54703,54703,"5095b499-82ff-4cea-bf63-a2202364d99b","ukum","benue","north_central","7.80504717 9.55825092 156.6999969482422 5.0","LGEA. UBE. Alabar ucha","primary_and_junior_sec","benue_ukum",724,"1343485097447.jpg","5095b499-82ff-4cea-bf63-a2202364d99b","primary_and_junior_sec","1343485097447.jpg",7,"formal_educ",FALSE,TRUE,4,6,389,1.8093023255814,TRUE,FALSE,0,1.04761904761905,FALSE,FALSE,215,FALSE,4,FALSE,FALSE,FALSE,FALSE,26.875,FALSE,FALSE,FALSE,TRUE,9.34782608695652,9.34782608695652,30.7142857142857,1.75,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"54704",54704,54704,"3c6f6a71-93c3-4604-a710-98b60edcc114","ukum","benue","north_central","7.60631859 9.70861819 207.3000030517578 5.0","RCM Primary School, Akaa","primary_only","benue_ukum",724,"1343666772205.jpg","3c6f6a71-93c3-4604-a710-98b60edcc114","primary_only","1343666772205.jpg",11,"formal_educ",FALSE,TRUE,6,8,NA,NA,FALSE,FALSE,0,1.11111111111111,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,28.5,FALSE,FALSE,FALSE,TRUE,14.25,1.37903225806452,15.5454545454545,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"54705",54705,54705,"19ff09e0-4d0a-41b7-bd0f-bf33f5fb367e","ukum","benue","north_central","7.58671222 9.75683392 222.3000030517578 5.0","LGEA Primary Sch, Amur","primary_only","benue_ukum",724,"1343734825242.jpg","19ff09e0-4d0a-41b7-bd0f-bf33f5fb367e","primary_only","1343734825242.jpg",6,"formal_educ",FALSE,FALSE,4,5,NA,NA,TRUE,FALSE,0,1.03448275862069,TRUE,FALSE,59,FALSE,0,FALSE,FALSE,FALSE,FALSE,39.3333333333333,FALSE,FALSE,TRUE,FALSE,47.2,Inf,39.3333333333333,Inf,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"54706",54706,54706,"1eb38973-fc44-4ed7-a865-50b8bac84400","ukum","benue","north_central","7.81137924 9.46136445 147.5 5.0","NKST UBE JSS GBAGIR","juniors_sec_only","benue_ukum",724,"1343578410253.jpg","1eb38973-fc44-4ed7-a865-50b8bac84400","juniors_sec_only","1343578410253.jpg",5,"formal_educ",TRUE,FALSE,3,4,NA,NA,FALSE,TRUE,10,1.14285714285714,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,15,1.07142857142857,3,Inf,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"54707",54707,54707,"ae346357-b841-40c2-9274-6f8aa1417cfc","ukum","benue","north_central","7.71130539 9.59731956 221.0 5.0","MARyLAND CATHOLIC SECONDARY SCH","junior_and_senior_sec","benue_ukum",724,"1343397594066.jpg","ae346357-b841-40c2-9274-6f8aa1417cfc","junior_and_senior_sec","1343397594066.jpg",18,"formal_educ",FALSE,FALSE,0,10,470,1.88755020080321,TRUE,FALSE,0,1.49,FALSE,FALSE,124.5,FALSE,6,TRUE,FALSE,FALSE,FALSE,31.125,FALSE,TRUE,FALSE,FALSE,12.45,0.83,13.8333333333333,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"54708",54708,54708,"60fb5e6a-01b0-4501-a572-12a6cc5ce102","ukum","benue","north_central","7.63054876 9.58820053 181.89999389648438 5.0","NKST Primary School Myam","primary_only","benue_ukum",724,"1343407863871.jpg","60fb5e6a-01b0-4501-a572-12a6cc5ce102","primary_only","1343407863871.jpg",5,"formal_educ",FALSE,FALSE,1,5,NA,NA,FALSE,FALSE,20,1.35897435897436,FALSE,NA,NA,FALSE,1,TRUE,FALSE,FALSE,FALSE,36.8,FALSE,FALSE,FALSE,TRUE,26.2857142857143,2.3,36.8,Inf,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"54709",54709,54709,"ca5eaf6c-3a57-4c50-8053-6b5e844ef046","ukum","benue","north_central","7.71318102 9.60978906 215.6999969482422 5.0","Trinity Model College","junior_and_senior_sec","benue_ukum",724,"1343393532023.jpg","ca5eaf6c-3a57-4c50-8053-6b5e844ef046","junior_and_senior_sec","1343393532023.jpg",17,"formal_educ",TRUE,FALSE,4,16,72,0.176470588235294,TRUE,FALSE,60,1.59872611464968,FALSE,TRUE,102,FALSE,7,TRUE,FALSE,TRUE,FALSE,20.4,FALSE,FALSE,TRUE,TRUE,1.36,1.36,24,Inf,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"54710",54710,54710,"f50ba25b-2d20-4aba-aca1-229f0938fbc5","ukum","benue","north_central","7.54492407 9.75461746 255.10000610351563 5.0","RCM Primary School, Biliji","primary_only","benue_ukum",724,"1343726434711.jpg","f50ba25b-2d20-4aba-aca1-229f0938fbc5","primary_only","1343726434711.jpg",4,"formal_educ",FALSE,FALSE,2,4,NA,NA,TRUE,TRUE,0,1.17391304347826,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,TRUE,FALSE,FALSE,TRUE,Inf,Inf,50,Inf,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"54711",54711,54711,"bede4c53-10db-48e3-b4e5-a049477f368c","ukum","benue","north_central","7.64201382 9.53209995 191.6999969482422 5.0","RCM Primary School Gbagir","primary_only","benue_ukum",724,"1343737486081.jpg","bede4c53-10db-48e3-b4e5-a049477f368c","primary_only","1343737486081.jpg",4,"formal_educ",TRUE,FALSE,0,3,NA,NA,FALSE,FALSE,40,2.04,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,NA,Inf,Inf,19,Inf,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"54712",54712,54712,"3adcbef6-8512-4c54-8a30-fe812edeb0ee","ukum","benue","north_central","7.75849483 9.48735146 165.60000610351563 5.0","NKST Primary School, Afia","primary_only","benue_ukum",724,"1343653387712.jpg","3adcbef6-8512-4c54-8a30-fe812edeb0ee","primary_only","1343653387712.jpg",3,"formal_educ",TRUE,FALSE,4,2,NA,NA,TRUE,FALSE,50,0.882978723404255,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,44.25,TRUE,FALSE,TRUE,TRUE,177,9.83333333333333,59,Inf,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
"54713",54713,54713,"4a39a204-ee19-4302-8de4-ee4a9303a32e","ukum","benue","north_central","7.51772088 9.82227142 221.5 5.0","RCM PRY SCH AYAGWA","primary_only","benue_ukum",724,"1343480954330.jpg","4a39a204-ee19-4302-8de4-ee4a9303a32e","primary_only","1343480954330.jpg",4,"formal_educ",TRUE,TRUE,2,3,NA,NA,TRUE,TRUE,150,1.29545454545455,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,33.6666666666667,TRUE,FALSE,FALSE,FALSE,5.17948717948718,5.17948717948718,50.5,Inf,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"54714",54714,54714,"fee50e5c-7851-4b3b-987c-20687a9faf9a","ukum","benue","north_central","7.51073874 9.74275249 218.0 5.0","RCM PRY. SCH AYATI","primary_only","benue_ukum",724,"1343484483464.jpg","fee50e5c-7851-4b3b-987c-20687a9faf9a","primary_only","1343484483464.jpg",6,"formal_educ",FALSE,TRUE,0,6,NA,NA,TRUE,FALSE,0,0.898148148148148,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,68.3333333333333,TRUE,FALSE,FALSE,FALSE,Inf,Inf,34.1666666666667,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"54715",54715,54715,"c45f8355-dc30-471f-808a-db67c7df2451","ukum","benue","north_central","7.55918558 9.73357231 248.60000610351563 5.0","NKST Primary School, Tse- Akaa","primary_only","benue_ukum",724,"1343725295935.jpg","c45f8355-dc30-471f-808a-db67c7df2451","primary_only","1343725295935.jpg",5,"formal_educ",TRUE,TRUE,0,5,NA,NA,TRUE,TRUE,4,1.08256880733945,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,75.6666666666667,TRUE,FALSE,TRUE,TRUE,37.8333333333333,22.7,45.4,Inf,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"54716",54716,54716,"9cae523d-c41a-4330-9e0b-fd6df6831a2d","ukum","benue","north_central","7.77584717 9.58034498 198.5 5.0","Saint John African Child Nursery and Primary","preprimary_and_primary","benue_ukum",724,"1343388994062.jpg","9cae523d-c41a-4330-9e0b-fd6df6831a2d","preprimary_and_primary","1343388994062.jpg",5,"formal_educ",TRUE,FALSE,3,0,157,0.523333333333333,FALSE,FALSE,50,0.875,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,100,TRUE,FALSE,TRUE,FALSE,Inf,Inf,60,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
