"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"110601",110601,"86722adb-e872-442c-9995-6f535f752f5b","86722adb-e872-442c-9995-6f535f752f5b","Ushongo","Benue","North-Central",735,"7.05553071 9.32673387 186.10000610351563 5.0","1343728341029.jpg","benue_ushongo","1343728341029.jpg","Tap",NA,NA,"outlet","Ikov","Ikov","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"110602",110602,"27427689-f73d-466b-a125-373d343462b7","27427689-f73d-466b-a125-373d343462b7","Ushongo","Benue","North-Central",735,"6.94916355 9.26766248 244.0 5.0","1343466330738.jpg","benue_ushongo","1343466330738.jpg","Tap",NA,NA,"outlet","MBAKOSO","MBAYEGH","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"110603",110603,"c4b56ad2-3d3d-4e9b-bce1-b2894941546b","c4b56ad2-3d3d-4e9b-bce1-b2894941546b","Ushongo","Benue","North-Central",735,"7.22859133 9.00696482 214.60000610351563 5.0","1343579383379.jpg","benue_ushongo","1343579383379.jpg","Borehole",NA,"borehole_tube_well","water_source","Mbajoho","Mbaaka","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"110604",110604,"ccde0c09-2585-441f-935c-ec5ee5ad387e","ccde0c09-2585-441f-935c-ec5ee5ad387e","Ushongo","Benue","North-Central",735,"7.04155849 9.2334933 214.10000610351563 5.0","1343583199277.jpg","benue_ushongo","1343583199277.jpg","Tap",NA,NA,"outlet","TSENANDE.  UTANGE","UTANGE","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"110605",110605,"eed93efc-a1c6-42db-8e31-4e17f51e0911","eed93efc-a1c6-42db-8e31-4e17f51e0911","Ushongo","Benue","North-Central",735,"7.15878706 8.8625095 155.6999969482422 5.0","1343641761336.jpg","benue_ushongo","1343641761336.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Tomahar","Mbaaka","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"110606",110606,"aa1a8bd2-3687-4a26-bb64-db2e5495867c","aa1a8bd2-3687-4a26-bb64-db2e5495867c","Ushongo","Benue","North-Central",735,"7.20085384 9.06319283 208.6999969482422 5.0","1343637204941.jpg","benue_ushongo","1343637204941.jpg","Borehole",NA,"borehole_tube_well","water_source","Ugee Mbagba","Atikyese","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"110607",110607,"cd7a0e88-9667-406a-9fac-34ee3ace1394","cd7a0e88-9667-406a-9fac-34ee3ace1394","Ushongo","Benue","North-Central",735,"7.13002049 9.02589614 187.10000610351563 5.0","1343738088234.jpg","benue_ushongo","1343738088234.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Lessel","Township","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"110608",110608,"81845c42-4187-4eab-96a8-aedc823e660b","81845c42-4187-4eab-96a8-aedc823e660b","Ushongo","Benue","North-Central",735,"7.1715679 8.97329342 178.0 5.0","1343818847433.jpg","benue_ushongo","1343818847433.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Mbajoho","Mbaaka","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"110609",110609,"665e5be3-d5f5-4bb8-93a5-c0bc1ba4ea23","665e5be3-d5f5-4bb8-93a5-c0bc1ba4ea23","Ushongo","Benue","North-Central",735,"7.19120698 8.93743155 174.89999389648438 5.0","1343472021916.jpg","benue_ushongo","1343472021916.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Mbaakombol","Mbaawe","No","Manual","Yes","Functional","No","Stand Alone Water Point"
"110610",110610,"6a1b3f15-92ea-4b3e-9d36-cd33fd9d6acb","6a1b3f15-92ea-4b3e-9d36-cd33fd9d6acb","Ushongo","Benue","North-Central",735,"7.18909029 8.93624036 176.1999969482422 5.0","1343483041941.jpg","benue_ushongo","1343483041941.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Mbaakombol","Mbaawe","No","Manual","Yes","Functional","No","Stand Alone Water Point"
