antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,955.1491099,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.0267032679994,2.94752434767,False,True,False,True,True,False,,True,Dispensary 2,TRUE,healthpostdispensary,False,True,False,True,1336122463055.jpg,10.55155819 11.61448395 315.5 5.0,False,False,FALSE,False,,,False,TRUE,True,True,False,False,False,False,False,False,Bayo,99,99,759.0,False,True,True,True,True,False,False,False,False,False,FALSE,bayo,borno,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336122463055.jpg,78978,82.6865660884,,False,False,health,False,TRUE,Borno,False,True,Others,TRUE,borno_bayo,False,a84b2f6c-770a-4e74-8a4a-e79b07b3f8ac,,,a84b2f6c-770a-4e74-8a4a-e79b07b3f8ac,Northeast
False,955.1491099,False,False,False,True,False,True,False,True,True,True,True,True,True,True,FALSE,False,,,False,True,False,,,False,,True,Comp health clinic,TRUE,primaryhealthcarecentre,False,True,False,True,1293577710681.jpg,10.32166436 11.55473639 239.10000610351563 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Bayo,99,99,99.0,False,True,False,True,True,False,False,False,False,False,FALSE,bayo,borno,northeast,4,1,0.0,0.0,0.0,0.0,False,public,,False,1293577710681.jpg,78978,82.6865660884,True,False,False,health,False,TRUE,Borno,False,True,Others,FALSE,borno_bayo,False,e9cc0a5e-4b2f-4c40-8f35-b697878d8175,,,e9cc0a5e-4b2f-4c40-8f35-b697878d8175,Northeast
False,955.1491099,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.0228299962734,2.52002660795,False,True,False,,,False,,True,PHC,FALSE,primaryhealthcarecentre,False,,False,,1335870588765.jpg,10.54385472 11.62134775 322.5 5.0,False,False,FALSE,False,True,True,False,TRUE,,True,True,False,True,False,False,False,Bayo,99,99,759.0,False,False,False,True,False,False,False,False,False,False,FALSE,bayo,borno,northeast,1,1,0.0,1.0,0.0,0.0,False,public,,False,1335870588765.jpg,78978,82.6865660884,,False,False,health,False,TRUE,Borno,,True,Others,TRUE,borno_bayo,False,35c4a70c-754f-4cb2-a914-0159e2ad2fa0,,,35c4a70c-754f-4cb2-a914-0159e2ad2fa0,Northeast
False,955.1491099,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Dispensry,FALSE,healthpostdispensary,False,,False,,1336041586249.jpg,10.33597606 11.77268222 334.0 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Bayo,99,99,99.0,False,False,False,True,False,False,False,False,False,False,FALSE,bayo,borno,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336041586249.jpg,78978,82.6865660884,False,False,False,health,False,TRUE,Borno,,False,Others,FALSE,borno_bayo,False,b5e04b29-c77a-458c-b842-156b852f7a90,,,b5e04b29-c77a-458c-b842-156b852f7a90,Northeast
False,955.1491099,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,,Dispensary,,healthpostdispensary,False,,False,,1335871124145.jpg,10.66552513 11.77608698 295.3999938964844 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Bayo,99,99,99.0,False,True,False,False,False,False,False,False,False,False,FALSE,bayo,borno,northeast,2,1,,,0.0,,False,public,,False,1335871124145.jpg,78978,82.6865660884,False,False,False,health,False,TRUE,Borno,,,Others,FALSE,borno_bayo,False,6512b151-33c5-42e6-9ce6-62ddd52a572d,,,6512b151-33c5-42e6-9ce6-62ddd52a572d,Northeast
False,955.1491099,True,True,True,False,False,True,False,False,False,False,True,False,True,True,TRUE,False,,,True,True,False,True,True,False,,True,General Hospital,TRUE,generalhospital,False,,False,,1293591029860.jpg,10.33784857 11.59258753 258.70001220703125 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Bayo,99,99,99.0,False,False,True,True,True,False,False,False,False,False,FALSE,bayo,borno,northeast,1,0,1.0,2.0,2.0,5.0,False,public,,True,1293591029860.jpg,78978,82.6865660884,True,False,False,health,True,TRUE,Borno,,False,Others,TRUE,borno_bayo,False,f314a38f-24f1-45fe-8f9f-273499f44ccc,,,f314a38f-24f1-45fe-8f9f-273499f44ccc,Northeast
False,955.1491099,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Teli Health Center,TRUE,primaryhealthcarecentre,False,True,False,True,1335868753299.jpg,10.44560611 11.70657867 327.29998779296875 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,True,False,True,True,False,False,Bayo,99,99,99.0,False,True,False,True,False,False,False,False,False,False,FALSE,bayo,borno,northeast,3,3,,1.0,0.0,,False,public,False,True,1335868753299.jpg,78978,82.6865660884,,False,False,health,False,TRUE,Borno,False,True,Others,TRUE,borno_bayo,False,26dca24a-31dc-497d-bce1-d68975ef343b,False,False,26dca24a-31dc-497d-bce1-d68975ef343b,Northeast
False,955.1491099,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,,Maternity Health Care,TRUE,maternity,False,True,False,True,1335955050515.jpg,10.34697928 11.60991059 265.1000061035156 4.0,False,False,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Bayo,99,99,99.0,False,True,False,True,True,False,False,False,False,False,FALSE,bayo,borno,northeast,4,4,0.0,0.0,3.0,0.0,False,public,,False,1335955050515.jpg,78978,82.6865660884,False,False,False,health,True,FALSE,Borno,False,True,Others,TRUE,borno_bayo,False,f5d71441-3ada-4fa5-ba75-2bc70ce4de1a,,,f5d71441-3ada-4fa5-ba75-2bc70ce4de1a,Northeast
False,955.1491099,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,True,False,,,HealthCenter,TRUE,primaryhealthclinic,False,True,False,True,1335979124432.jpg,10.38374029 11.69583764 329.1000061035156 5.0,False,False,FALSE,False,True,True,False,TRUE,False,False,True,False,True,True,False,False,Bayo,99,99,99.0,False,True,False,True,True,False,False,False,False,False,FALSE,bayo,borno,northeast,3,3,0.0,1.0,0.0,0.0,False,public,,False,1335979124432.jpg,78978,82.6865660884,True,False,False,health,False,TRUE,Borno,False,True,Others,TRUE,borno_bayo,False,d8940e86-5812-4ef7-a0a0-517f85f90e39,,,d8940e86-5812-4ef7-a0a0-517f85f90e39,Northeast
False,955.1491099,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,False,,Model Health Centre,TRUE,wardmodelphccentre,False,True,False,True,1335883192139.jpg,10.61872334 11.7338632 277.8999938964844 5.0,False,True,FALSE,False,True,False,False,TRUE,True,True,False,False,True,False,False,False,Bayo,99,99,99.0,False,True,True,True,True,False,False,False,False,False,FALSE,bayo,borno,northeast,6,6,,,1.0,,False,public,False,False,1335883192139.jpg,78978,82.6865660884,True,False,False,health,False,TRUE,Borno,False,True,Others,FALSE,borno_bayo,False,b5efb95f-6b8c-4c6d-80ec-9ee16df9e14a,False,False,b5efb95f-6b8c-4c6d-80ec-9ee16df9e14a,Northeast
