"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"57497",57497,"0436f15e-fc50-45a8-aa4f-28ce0e8a93c2","0436f15e-fc50-45a8-aa4f-28ce0e8a93c2","Jere","Borno","Northeast",387,"11.90841402 13.198405 332.6000061035156 5.0","1347406035309.jpg","borno_jere","1347406035309.jpg","Tap",NA,NA,"outlet","Gongulang. Bulamari","Gongulang","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57498",57498,"4a0e3ddb-169b-46ae-b4a2-b1e68ca1c8d1","4a0e3ddb-169b-46ae-b4a2-b1e68ca1c8d1","Jere","Borno","Northeast",387,"11.77657261 13.217436 295.5 5.0","1347099496081.jpg","borno_jere","1347099496081.jpg","Tap",NA,NA,"outlet","Dalori. Housing. Estate","Mairi","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57499",57499,"51776881-5cb2-4c39-9c40-cdd9dfe27b64","51776881-5cb2-4c39-9c40-cdd9dfe27b64","Jere","Borno","Northeast",387,"11.85771905 13.20865051 331.79998779296875 5.0","1347064423310.jpg","borno_jere","1347064423310.jpg","Tap",NA,NA,"outlet","Goni. K","Dusuman","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57500",57500,"256597de-a667-4ea1-927a-d9cd9be17e13","256597de-a667-4ea1-927a-d9cd9be17e13","Jere","Borno","Northeast",387,"11.80054017 13.17873534 342.20001220703125 5.0","1347106973558.jpg","borno_jere","1347106973558.jpg","Tap",NA,NA,"outlet","Kori","Galtimari","Yes","Tap (unknown lift)","No","Under Construction","No","Water Scheme, Source within 100m"
"57501",57501,"7005c4cf-f7a4-4f84-b5c9-1959732ced93","7005c4cf-f7a4-4f84-b5c9-1959732ced93","Jere","Borno","Northeast",387,"11.79962485 13.17781265 356.5 5.0","1347093055609.jpg","borno_jere","1347093055609.jpg","Tap",NA,"borehole_tube_well","water_source","Fori","Gatimari","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
"57502",57502,"35568600-4aa4-4fa8-8312-dba60e1d4f25","35568600-4aa4-4fa8-8312-dba60e1d4f25","Jere","Borno","Northeast",387,"11.94656816 13.22585506 329.8999938964844 5.0","1347451992823.jpg","borno_jere","1347451992823.jpg","Tap",NA,NA,"outlet","Khaddamari","Khaddamari","Yes","Tap (unknown lift)","No","Don't Know","No","Water Scheme, Source within 100m"
"57503",57503,"6982b40c-0889-43c7-84f0-28e6f445a733","6982b40c-0889-43c7-84f0-28e6f445a733","Jere","Borno","Northeast",387,"11.83289125 13.1853709 330.6000061035156 5.0","1347357219024.jpg","borno_jere","1347357219024.jpg","Tap",NA,NA,"outlet","Ngomari","Maimusari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57504",57504,"f2284157-6f36-40d9-b75d-4b3a92ede5eb","f2284157-6f36-40d9-b75d-4b3a92ede5eb","Jere","Borno","Northeast",387,"11.79641 13.19398466 355.1000061035156 5.0","1347100526430.jpg","borno_jere","1347100526430.jpg","Tap",NA,NA,"outlet","202 Housing Estate","Mairi","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57505",57505,"ce615fe9-b9f0-4f51-a701-454aafad0963","ce615fe9-b9f0-4f51-a701-454aafad0963","Jere","Borno","Northeast",387,"11.74641815 13.10126423 341.29998779296875 5.0","1347445868576.jpg","borno_jere","1347445868576.jpg","Tap",NA,NA,"outlet","Molai general hospital","Galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57506",57506,"099c9cd7-1a62-4643-bf34-e968c315c42d","099c9cd7-1a62-4643-bf34-e968c315c42d","Jere","Borno","Northeast",387,"11.79465411 13.14828365 347.70001220703125 5.0","1347100490945.jpg","borno_jere","1347100490945.jpg","Tap",NA,NA,"outlet","JIDDRI","Bale Galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57507",57507,"1ece2b3e-c4e2-4c1d-8870-608209295cf2","1ece2b3e-c4e2-4c1d-8870-608209295cf2","Jere","Borno","Northeast",387,"11.77730851 13.17250291 356.6000061035156 5.0","1347277063709.jpg","borno_jere","1347277063709.jpg","Tap",NA,NA,"outlet","Bale kura","Galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57508",57508,"b58c7ecf-3270-4a13-95fe-ab42f650876b","b58c7ecf-3270-4a13-95fe-ab42f650876b","Jere","Borno","Northeast",387,"11.73579523 13.25348797 355.3999938964844 5.0","1347438808654.jpg","borno_jere","1347438808654.jpg","Don't Know",NA,NA,"dk","Alau Fanamari","Alau","No",NA,"No","Poor Water Quality","No",NA
"57509",57509,"15f5bebe-b856-4623-bf34-f0db2d640392","15f5bebe-b856-4623-bf34-f0db2d640392","Jere","Borno","Northeast",387,"11.83103621006012 13.081830739974976 353.0 4.0","1335506877719.jpg","borno_jere","1335506877719.jpg","Tap",NA,NA,"outlet","Gomari Air port","Gomari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57510",57510,"61f50091-aca7-472b-ba93-bd08fe260b0b","61f50091-aca7-472b-ba93-bd08fe260b0b","Jere","Borno","Northeast",387,"11.830741167068481 13.08444857597351 356.0 4.0","1335507641122.jpg","borno_jere","1335507641122.jpg","Tap",NA,NA,"outlet","Gomari Primary School","Gomari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57511",57511,"81c5954f-e2da-4e97-bda4-b6129055894c","81c5954f-e2da-4e97-bda4-b6129055894c","Jere","Borno","Northeast",387,"11.77639627 13.19970513 347.1000061035156 5.0","1347432723289.jpg","borno_jere","1347432723289.jpg","Don't Know",NA,NA,"dk","Kuriri","Alau","No",NA,"No","Poorly Constructed","No",NA
"57512",57512,"bc9929ce-fb6d-4f33-86b7-33f156724f4f","bc9929ce-fb6d-4f33-86b7-33f156724f4f","Jere","Borno","Northeast",387,"11.79191815 13.15126749 322.6000061035156 5.0","1347531255290.jpg","borno_jere","1347531255290.jpg","Tap",NA,NA,"outlet","Jiddari","Bale Galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57513",57513,"82836929-d32a-4d5b-848d-4563128164c7","82836929-d32a-4d5b-848d-4563128164c7","Jere","Borno","Northeast",387,"11.80355966091156 13.172795176506042 351.0 4.0","1347268970550.jpg","borno_jere","1347268970550.jpg","Tap",NA,NA,"outlet","Usmanti","Galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57514",57514,"1d8c2905-5eed-4466-aa46-2dbd7c999269","1d8c2905-5eed-4466-aa46-2dbd7c999269","Jere","Borno","Northeast",387,"11.78442782 13.18874552 406.0 5.0","1347260783055.jpg","borno_jere","1347260783055.jpg","Tap",NA,NA,"outlet","Wodiya","Galtimari ward","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"57515",57515,"6687af8e-f6ca-4787-831d-cf9975d7296e","6687af8e-f6ca-4787-831d-cf9975d7296e","Jere","Borno","Northeast",387,"11.76495611 13.21523271 350.5 5.0","1347440528745.jpg","borno_jere","1347440528745.jpg","Tap",NA,NA,"outlet","Yawuri","Alau","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"57516",57516,"7914f2b6-3946-483d-be84-5dbb7124d4c1","7914f2b6-3946-483d-be84-5dbb7124d4c1","Jere","Borno","Northeast",387,"11.867702007293701 13.168911337852478 339.0 4.0","1335504140138.jpg","borno_jere","1335504140138.jpg","Tap",NA,NA,"outlet","Shuwari 1","Old Maiduguri","Yes","Tap (unknown lift)","No","Under Construction","No","Water Scheme, Source within 100m"
"57517",57517,"c31b4b5c-db3a-4315-8c39-44e42ba7bf56","c31b4b5c-db3a-4315-8c39-44e42ba7bf56","Jere","Borno","Northeast",387,"11.776635646820068 13.200920820236206 345.0 4.0","1347447108255.jpg","borno_jere","1347447108255.jpg","Tap",NA,NA,"outlet","Kwereri","Alau","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57518",57518,"14972136-ae7c-4fd5-9304-999a25abcfd0","14972136-ae7c-4fd5-9304-999a25abcfd0","Jere","Borno","Northeast",387,"11.77786517 13.17314064 357.20001220703125 5.0","1347276845632.jpg","borno_jere","1347276845632.jpg","Tap",NA,NA,"outlet","Balekura","Galtimari","Yes","Tap (unknown lift)","No","Don't Know","No",NA
"57519",57519,"222964c7-9e63-48aa-b591-c3caf79dd26b","222964c7-9e63-48aa-b591-c3caf79dd26b","Jere","Borno","Northeast",387,"11.86531289 13.24019464 339.5 5.0","1347319245937.jpg","borno_jere","1347319245937.jpg","Tap",NA,NA,"outlet","Muna koreri","Dusuman","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"57520",57520,"a307d60a-7d44-4e3d-995d-1cb40ad277b2","a307d60a-7d44-4e3d-995d-1cb40ad277b2","Jere","Borno","Northeast",387,"11.79438939 13.14600484 379.3999938964844 5.0","1347101007747.jpg","borno_jere","1347101007747.jpg","Tap",NA,"borehole_tube_well","water_source","Jidari Polo","Bale Galtimari","Yes","Diesel","No","Poorly Constructed","No","Stand Alone Water Point"
"57521",57521,"059f2c77-2a6b-4ad9-9708-de7085365031","059f2c77-2a6b-4ad9-9708-de7085365031","Jere","Borno","Northeast",387,"11.72934126 13.23092703 346.0 5.0","1347437030675.jpg","borno_jere","1347437030675.jpg","Tap",NA,NA,"outlet","Alau Lawanti","Alau Lawanti","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57522",57522,"4ddde2d6-f5c1-4b2d-9a0a-6fa79cf07b9e","4ddde2d6-f5c1-4b2d-9a0a-6fa79cf07b9e","Jere","Borno","Northeast",387,"11.79326732 13.15043046 338.8999938964844 5.0","1347531797372.jpg","borno_jere","1347531797372.jpg","Tap",NA,NA,"outlet","Jiddari","Bale Galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57523",57523,"bce9de49-b341-4c4e-bff3-2740c2fe0b58","bce9de49-b341-4c4e-bff3-2740c2fe0b58","Jere","Borno","Northeast",387,"11.91940861 13.18717404 338.70001220703125 5.0","1347447470739.jpg","borno_jere","1347447470739.jpg","Tap",NA,NA,"outlet","Gongulong. Lawanti","Gongulong","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"57524",57524,"f9bd2d12-cb92-4251-92a2-14977a69ebb5","f9bd2d12-cb92-4251-92a2-14977a69ebb5","Jere","Borno","Northeast",387,"11.77189144 13.17615132 356.6000061035156 5.0","1347262954498.jpg","borno_jere","1347262954498.jpg","Tap",NA,NA,"outlet","Bale Shuwari","Galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 1km"
"57525",57525,"822e52bf-8406-481b-90fd-45b6fcf0e15e","822e52bf-8406-481b-90fd-45b6fcf0e15e","Jere","Borno","Northeast",387,"11.74088978 13.09544069 362.8999938964844 5.0","1347284859475.jpg","borno_jere","1347284859475.jpg","Tap",NA,NA,"outlet","Molai","Bale galtimari","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
