access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,1056.104754,False,FALSE,False,,,,formal_educ,GOVT PRIM SCH IJUA,preprimary_and_primary,1346069437553.jpg,,False,,6.556043028831482 9.252537488937378 295.0 4.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,1.03061224489796,True,obanliku,cross_river,south_south,FALSE,,0.0,6.0,597.0,0.0,9.0,,7.0,1387.0,public,False,1346069437553.jpg,110324,104.463122225,,False,FALSE,FALSE,119.4,99.5,59.7,66.3333333333333,,False,False,GOVT PRIM SCH IJUA,education,Cross River,0.0,148,True,False,FALSE,1.8,2.32328308207705,FALSE,,cross_river_obanliku,4d0d0dd0-afa1-4cee-ac10-b06992d37f4c,False,4d0d0dd0-afa1-4cee-ac10-b06992d37f4c,South-South
False,False,1056.104754,False,FALSE,False,,,,formal_educ,"Central Primary School, Sankwala
",preprimary_and_primary,1345892499793.jpg,,False,TRUE,6.6125088930130005 9.242125153541565 268.0 3.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,1.14406779661017,False,obanliku,cross_river,south_south,FALSE,14.0,,24.0,759.0,9.0,23.0,,19.0,4490.0,public,False,1345892499793.jpg,110324,104.463122225,,False,FALSE,FALSE,379.5,31.625,22.3235294117647,33,75.9,False,False,"Central Primary School, Sankwala
",education,Cross River,146.0,148,False,False,FALSE,Inf,5.91567852437418,FALSE,,cross_river_obanliku,0288eb04-6e1b-45e5-a212-8df01b600ec8,False,0288eb04-6e1b-45e5-a212-8df01b600ec8,South-South
False,False,1056.104754,False,TRUE,False,,,,formal_educ,Government Primary school Bayapri 1,preprimary_and_primary,1345925363653.jpg,,False,,6.53188169002533 9.214659333229065 349.0 4.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,0.991416309012876,True,obanliku,cross_river,south_south,TRUE,3.0,,4.0,464.0,6.0,8.0,,7.0,123.0,public,False,1345925363653.jpg,110324,104.463122225,,False,FALSE,FALSE,9.66666666666667,116,10.0869565217391,58,,False,False,Government Primary school Bayapri 1,education,Cross River,0.0,148,True,False,TRUE,Inf,0.265086206896552,FALSE,,cross_river_obanliku,65585bef-8478-487f-8a8e-0b4f7da9352b,False,65585bef-8478-487f-8a8e-0b4f7da9352b,South-South
False,False,1056.104754,False,FALSE,False,,,,formal_educ,Roman Catholic Misson Primary School Begiaba,preprimary_and_primary,1346069380037.jpg,,False,TRUE,6.533013582229614 9.169743061065674 175.0 4.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,1.04444444444444,True,obanliku,cross_river,south_south,TRUE,,1.0,8.0,828.0,4.0,17.0,,15.0,625.0,public,False,1346069380037.jpg,110324,104.463122225,,False,FALSE,FALSE,13.8,103.5,6.9,48.7058823529412,207,False,False,Roman Catholic Misson Primary School Begiaba,education,Cross River,0.0,148,False,False,FALSE,Inf,0.754830917874396,FALSE,,cross_river_obanliku,306eef25-6e13-47a3-9d03-478dcdabd79c,False,306eef25-6e13-47a3-9d03-478dcdabd79c,South-South
False,False,1056.104754,False,TRUE,False,,,,formal_educ,GPS NEW IKWETTE,preprimary_and_primary,1346244563046.jpg,,False,,6.5796732902526855 9.392221570014954 276.0 4.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,0.937984496124031,False,obanliku,cross_river,south_south,TRUE,0.0,,3.0,500.0,3.0,12.0,,9.0,308.0,public,False,1346244563046.jpg,110324,104.463122225,,False,FALSE,FALSE,Inf,166.666666666667,10,41.6666666666667,,False,True,GPS NEW IKWETTE,education,Cross River,0.0,148,True,False,FALSE,Inf,0.616,FALSE,,cross_river_obanliku,86822007-66f4-4165-bbd4-6571b3cfe7ce,False,86822007-66f4-4165-bbd4-6571b3cfe7ce,South-South
False,True,1056.104754,False,TRUE,False,,,,formal_educ,Government Primary School Kabun 2,preprimary_and_primary,1345932414385.jpg,,False,,6.562040448188782 9.229593873023987 307.0 4.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,0.964028776978417,False,obanliku,cross_river,south_south,FALSE,0.0,0.0,3.0,546.0,6.0,11.0,,5.0,263.0,public,False,1345932414385.jpg,110324,104.463122225,,False,FALSE,FALSE,182,182,10.3018867924528,49.6363636363636,,False,True,Government Primary School Kabun 2,education,Cross River,0.0,148,False,False,FALSE,Inf,0.481684981684982,FALSE,,cross_river_obanliku,4af89a9c-ff07-4f9c-83e6-4946d15f9b5b,False,4af89a9c-ff07-4f9c-83e6-4946d15f9b5b,South-South
False,True,1056.104754,True,TRUE,True,,,,formal_educ,Government Primary School.Irriagwe,preprimary_and_primary,1345926332653.jpg,True,False,,6.539735198020935 9.220361709594727 348.0 4.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,1.19469026548673,True,obanliku,cross_river,south_south,TRUE,0.0,0.0,4.0,496.0,6.0,8.0,,6.0,464.0,public,False,1345926332653.jpg,110324,104.463122225,,True,FALSE,FALSE,248,124,Inf,62,,False,True,Government Primary School.Irriagwe,education,Cross River,0.0,148,False,False,FALSE,Inf,0.935483870967742,FALSE,,cross_river_obanliku,66b18aaf-836e-4ec4-b162-46d4edae2301,False,66b18aaf-836e-4ec4-b162-46d4edae2301,South-South
False,False,1056.104754,False,FALSE,False,,,,formal_educ,Roman Catholic Mission Primary School Utanga,primary_only,1345891219769.jpg,,False,TRUE,6.504732370376587 9.425180554389954 417.0 4.0,False,False,primary_only,Obanliku,545,545,545.0,1.04518072289157,True,obanliku,cross_river,south_south,TRUE,,0.0,7.0,679.0,6.0,14.0,,9.0,145.0,public,True,1345891219769.jpg,110324,104.463122225,,False,FALSE,FALSE,22.6333333333333,97,13.58,48.5,169.75,False,False,Roman Catholic Mission Primary School Utanga,education,Cross River,0.0,148,False,False,TRUE,14,0.213549337260677,FALSE,,cross_river_obanliku,dc33194b-77d7-4ffd-a765-6e8dc1916c86,False,dc33194b-77d7-4ffd-a765-6e8dc1916c86,South-South
False,False,1056.104754,False,FALSE,False,,,,formal_educ,Govt. Primary School,primary_only,1346081404860.jpg,True,False,,6.690368056297302 9.245923161506653 303.0 3.0,False,False,primary_only,Obanliku,545,545,545.0,1.07058823529412,True,obanliku,cross_river,south_south,TRUE,4.0,0.0,8.0,1056.0,4.0,22.0,,18.0,700.0,public,False,1346081404860.jpg,110324,104.463122225,,False,FALSE,FALSE,23.4666666666667,132,23.4666666666667,48,,False,True,Govt. Primary School,education,Cross River,40.0,148,True,True,FALSE,Inf,0.662878787878788,FALSE,,cross_river_obanliku,db4b41d7-977a-441f-b2ce-af19732e4eee,False,db4b41d7-977a-441f-b2ce-af19732e4eee,South-South
False,False,1056.104754,False,FALSE,False,,,,formal_educ,Government Primary School Lishikwel,preprimary_and_primary,1346071795493.jpg,,False,TRUE,6.51138961315155 9.165376424789429 184.0 4.0,False,False,preprimary_and_primary,Obanliku,545,545,545.0,0.873817034700315,True,obanliku,cross_river,south_south,TRUE,4.0,,11.0,594.0,3.0,9.0,,7.0,2081.0,public,False,1346071795493.jpg,110324,104.463122225,,False,FALSE,FALSE,59.4,54,6.06122448979592,66,148.5,False,False,Government Primary School Lishikwel,education,Cross River,0.0,148,False,False,FALSE,Inf,3.503367003367,FALSE,,cross_river_obanliku,fc8a021b-0222-4492-9fd2-0cf6ee543d95,False,fc8a021b-0222-4492-9fd2-0cf6ee543d95,South-South
False,False,1056.104754,False,FALSE,False,,,,formal_educ,Goverment Primary School Akorshi,primary_only,1345815861249.jpg,,True,TRUE,6.550464034080505 9.19282078742981 237.0 3.0,False,False,primary_only,Obanliku,545,545,545.0,0.973451327433628,True,obanliku,cross_river,south_south,TRUE,2.0,1.0,9.0,669.0,3.0,16.0,,13.0,1091.0,public,False,1345815861249.jpg,110324,104.463122225,,False,FALSE,FALSE,5.06818181818182,74.3333333333333,16.725,41.8125,167.25,False,,Goverment Primary School Akorshi,education,Cross River,0.0,148,False,False,FALSE,Inf,1.63079222720478,FALSE,,cross_river_obanliku,8d2d746c-c8b5-477c-8d86-8efb72f9388c,False,8d2d746c-c8b5-477c-8d86-8efb72f9388c,South-South
False,False,1056.104754,False,TRUE,False,,,,formal_educ,Utanga Community Secondary School Bagga,junior_and_senior_sec,1345892483463.jpg,,False,,6.516775488853455 9.418094158172607 418.0 4.0,False,False,junior_and_senior_sec,Obanliku,545,545,545.0,1.58264462809917,True,obanliku,cross_river,south_south,FALSE,5.0,0.0,7.0,625.0,8.0,10.0,,3.0,46.0,public,False,1345892483463.jpg,110324,104.463122225,,False,FALSE,FALSE,14.8809523809524,89.2857142857143,12.5,62.5,,False,False,Utanga Community Secondary School Bagga,education,Cross River,0.0,148,False,False,FALSE,5,0.0736,FALSE,,cross_river_obanliku,a7f4e98d-25c1-438d-a4f0-de16523a0871,False,a7f4e98d-25c1-438d-a4f0-de16523a0871,South-South
