"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"1265",1265,1265,"53b89dcb-d6e3-4f02-b3be-bed97569816a","aniocha_south","delta","south_south",53,"1347346682227.jpg","delta_aniocha_south","53b89dcb-d6e3-4f02-b3be-bed97569816a","1347346682227.jpg","6.04536442 6.4873024 59.5 5.0","Xxx","primaryhealthcarecentre",FALSE,TRUE,NA,TRUE,FALSE,1,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"1266",1266,1266,"420ecc55-4631-4581-ab9a-52443aa86e1f","aniocha_south","delta","south_south",53,"1347273499278.jpg","delta_aniocha_south","420ecc55-4631-4581-ab9a-52443aa86e1f","1347273499278.jpg","6.03124072 6.53074232 18.200000762939453 5.0","Government Hospital Isheagu, Delta State","generalhospital",TRUE,TRUE,NA,TRUE,TRUE,0,TRUE,TRUE,0,7,14,2,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"1267",1267,1267,"566b8251-2782-471b-888a-15d96b3c9cca","aniocha_south","delta","south_south",53,"1347025679048.jpg","delta_aniocha_south","566b8251-2782-471b-888a-15d96b3c9cca","1347025679048.jpg","6.01329509 6.3550686 83.0 5.0","LG Primary Health Centre","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0,1,1,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"1268",1268,1268,"8ad76d62-0022-41e2-92d1-c246c07ae259","aniocha_south","delta","south_south",53,"1347099634723.jpg","delta_aniocha_south","8ad76d62-0022-41e2-92d1-c246c07ae259","1347099634723.jpg","6.242954134941101 6.596860885620117 209.0 3.0","Primary Health Centre, Azagba","primaryhealthcarecentre",TRUE,TRUE,NA,FALSE,TRUE,1,TRUE,FALSE,1,1,2,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"1269",1269,1269,"374bca1e-ecc7-439f-9466-9c6f28cabd2d","aniocha_south","delta","south_south",53,"1347362029091.jpg","delta_aniocha_south","374bca1e-ecc7-439f-9466-9c6f28cabd2d","1347362029091.jpg","6.192850470542908 6.531806588172913 221.0 3.0","Mother Of Mercy Hospital","maternity",TRUE,TRUE,NA,FALSE,TRUE,1,NA,FALSE,1,7,2,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"1270",1270,1270,"60bd3630-7faf-46f0-a0fa-9f5f699d4e71","aniocha_south","delta","south_south",53,"1347350200555.jpg","delta_aniocha_south","60bd3630-7faf-46f0-a0fa-9f5f699d4e71","1347350200555.jpg","6.06422748 6.4900825 110.19999694824219 5.0","Xxx","primaryhealthcarecentre",FALSE,TRUE,NA,TRUE,FALSE,1,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"1271",1271,1271,"9119fcc7-b81c-433f-9ab3-dea7a60cd643","aniocha_south","delta","south_south",53,"1347000618885.jpg","delta_aniocha_south","9119fcc7-b81c-433f-9ab3-dea7a60cd643","1347000618885.jpg","6.1116376 6.34719733 188.0 5.0","Egbudu akah pri heslth centre","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,2,TRUE,FALSE,1,0,1,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"1272",1272,1272,"73c256ec-45a3-421c-918e-3a1f6a378ee9","aniocha_south","delta","south_south",53,"1347101163010.jpg","delta_aniocha_south","73c256ec-45a3-421c-918e-3a1f6a378ee9","1347101163010.jpg","6.3008262 6.51821011 293.1000061035156 5.0","Ubulu Okiti Model Health Center","wardmodelphccentre",FALSE,TRUE,NA,TRUE,TRUE,5,TRUE,FALSE,5,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"1273",1273,1273,"7c91b4b9-3f4e-4431-93ef-0bb3759a8c9b","aniocha_south","delta","south_south",53,"1347020953852.jpg","delta_aniocha_south","7c91b4b9-3f4e-4431-93ef-0bb3759a8c9b","1347020953852.jpg","6.23948472 6.45190609 227.6999969482422 5.0","Banos Clinic","cottagehospital",FALSE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,11,0,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"1274",1274,1274,"5445ccd0-a98d-4b43-bccc-161a27a2f527","aniocha_south","delta","south_south",53,"1347455047222.jpg","delta_aniocha_south","5445ccd0-a98d-4b43-bccc-161a27a2f527","1347455047222.jpg","6.16627617 6.43584767 229.3000030517578 5.0","Primary Health Centre Ashama","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,FALSE,1,TRUE,FALSE,1,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
