access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,409.3372608,True,no,True,,,,formal,Great Beginning Academy,ss,1305550870413.jpg,,,yes,5.825141072273254 6.138535737991333 40.0 4.0,True,True,ss,Ukwuani,727,727,727.0,,False,UKWUANI,DELTA,south_south,yes,0.0,0.0,0.0,0.0,0.0,6.0,3.0,,40.0,private,False,1305550870413.jpg,120390,294.109555931,,True,no,no,0,,0,0,Inf,False,,Great Beginning Academy,education,Delta,,113,False,False,yes,2,Inf,no,,delta_ukwuani,1401fdfea0752d99ae7b8c623218c2b8,False,20663,South-South
False,True,409.3372608,True,no,False,,,,formal,Akashiede Jnr.Girls College,js,1305275081641.jpg,,,no,5.84147572517395 6.164719462394714 46.0 3.0,False,False,js,Ukwuani,727,727,727.0,0,False,UKWUANI,DELTA,south_south,yes,4.0,6.0,10.0,328.0,14.0,14.0,9.0,,7.0,public,False,1305275081641.jpg,120390,294.109555931,,False,no,no,6.56,32.8,6.56,23.4285714285714,,True,,Akashiede Jnr.Girls College,education,Delta,1.0,113,False,False,yes,2.8,0.0213414634146341,no,,delta_ukwuani,4043e46b95c338fafc6fb25bedab6a60,False,20651,South-South
False,False,409.3372608,True,no,False,,,,formal,Amai Senior Secondary Comm. School,ss,1305716489262.jpg,,,no,5.843385457992554 6.156662106513977 40.0 4.0,False,False,ss,Ukwuani,727,727,727.0,1.27272727272727,False,UKWUANI,DELTA,south_south,yes,6.0,2.0,8.0,250.0,0.0,21.0,6.0,,8.0,public,False,1305716489262.jpg,120390,294.109555931,,False,no,no,1.63398692810458,31.25,1.63398692810458,11.9047619047619,,False,,Amai Senior Secondary Comm. School,education,Delta,,113,False,False,no,3.5,0.032,no,,delta_ukwuani,1c73985256e0f6ed2daa75e2d4f293e4,False,20854,South-South
False,False,409.3372608,True,no,True,,,,formal,Cardinal International Snr. Secondary School,ss,1305545495124.jpg,,,yes,5.83723783493042 6.152713894844055 46.0 4.0,True,True,ss,Ukwuani,727,727,727.0,0.714285714285714,False,UKWUANI,DELTA,south_south,no,0.0,0.0,12.0,60.0,0.0,13.0,13.0,,40.0,private,True,1305545495124.jpg,120390,294.109555931,,True,no,no,0.375,10,0.375,4.61538461538461,0.0333333333333333,False,,Cardinal International Snr. Secondary School,education,Delta,0.0,113,True,True,no,13,0.666666666666667,no,,delta_ukwuani,d93425cada1f90c23b4a52c6e9f3c047,False,20270,South-South
False,False,409.3372608,True,no,False,0.00622645880519,0.691381972644,,formal,"Igwete Pry School Ii, Amai",primary,1305207099420.jpg,,,no,5.7523030042648315 6.205226182937622 25.0 4.0,False,True,primary,Ukwuani,727,727,523.0,0.911764705882353,False,UKWUANI,DELTA,south_south,yes,9.0,0.0,27.0,195.0,0.0,8.0,7.0,,0.0,public,False,1305207099420.jpg,120390,294.109555931,,False,no,no,21.6666666666667,10.8333333333333,21.6666666666667,24.375,,False,False,"Igwete Pry School Ii, Amai",education,Delta,0.0,113,False,False,yes,0.8,0,no,,delta_ukwuani,1ec2e8049c4e7bb9b218d73e0e1c2225,False,8112,South-South
False,False,409.3372608,True,no,True,,,,formal,Umuebu Junior Sec. Umuebu,js,1305733729330.jpg,,,no,5.840247273445129 6.154897212982178 33.0 4.0,False,False,js,Ukwuani,727,727,727.0,1.70212765957447,False,UKWUANI,DELTA,south_south,yes,0.0,0.0,6.0,127.0,3.0,8.0,6.0,,24.0,public,False,1305733729330.jpg,120390,294.109555931,,False,no,no,1.95384615384615,42.3333333333333,1.95384615384615,15.875,,True,True,Umuebu Junior Sec. Umuebu,education,Delta,0.0,113,False,False,no,8,0.188976377952756,no,,delta_ukwuani,fb0bb2f0fc1cd3b828968481fe03e177,False,13473,South-South
False,True,409.3372608,True,no,True,,,,formal,Hosanna Christain Academy,js,1305548175728.jpg,,,yes,5.846389532089233 6.1578744649887085 45.0 4.0,True,True,js,Ukwuani,727,727,727.0,0.903614457831325,False,UKWUANI,DELTA,south_south,yes,0.0,0.0,10.0,158.0,0.0,15.0,7.0,,40.0,public,True,1305548175728.jpg,120390,294.109555931,,True,no,no,2.19444444444444,31.6,2.19444444444444,10.5333333333333,0.0189873417721519,True,,Hosanna Christain Academy,education,Delta,1.0,113,False,False,yes,15,0.253164556962025,no,,delta_ukwuani,baa070edd708e9c89716623d6ba1504e,True,20662,South-South
False,True,409.3372608,True,no,False,,,,formal,Quality Foundation School,primary_js_ss,1305553042757.jpg,,,yes,5.842312574386597 6.1507076025009155 65.0 4.0,True,True,primary_js_ss,Ukwuani,727,727,727.0,1,True,UKWUANI,DELTA,south_south,yes,0.0,0.0,28.0,550.0,10.0,13.0,6.0,,36.0,private,True,1305553042757.jpg,120390,294.109555931,,True,no,no,2.11538461538462,39.2857142857143,2.11538461538462,42.3076923076923,0.00727272727272727,False,,Quality Foundation School,education,Delta,0.0,113,False,False,yes,3.25,0.0654545454545455,no,,delta_ukwuani,a2af028ddea723553fbb2a0be1d8c6ef,True,11328,South-South
False,False,409.3372608,True,no,False,,,,formal,Ukwuole Pry School,preprimary_primary,1305298649781.jpg,,,no,5.880351662635803 6.201358437538147 45.0 3.0,False,False,preprimary_primary,Ukwuani,727,727,727.0,1.16279069767442,False,UKWUANI,DELTA,south_south,yes,4.0,5.0,9.0,186.0,2.0,13.0,11.0,,23.0,public,False,1305298649781.jpg,120390,294.109555931,,False,no,no,1.86,20.6666666666667,1.86,14.3076923076923,,False,False,Ukwuole Pry School,education,Delta,0.0,113,True,False,yes,1.08333333333333,0.123655913978495,no,,delta_ukwuani,f33b6aa2cf95e8eab258b95f0b12324f,False,10393,South-South
False,True,409.3372608,True,no,False,,,,integrated,Isamic Nurs. & Pry School,preprimary_primary,1305555822523.jpg,,,yes,5.933523774147034 6.237772107124329 56.0 4.0,True,True,preprimary_primary,Ukwuani,727,727,727.0,1.14705882352941,False,UKWUANI,DELTA,south_south,no,0.0,0.0,16.0,219.0,0.0,9.0,0.0,,22.0,private,False,1305555822523.jpg,120390,294.109555931,,False,no,no,5.475,27.375,5.475,24.3333333333333,,False,False,Isamic Nurs. & Pry School,education,Delta,0.0,113,False,False,no,Inf,0.100456621004566,no,,delta_ukwuani,b6f0c7b97ac1884ea6f2c52d4e67ff6d,False,13452,South-South
