"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",1189,"88e0ff16-2be2-4711-acf2-7464056c4ad7","afikpo_north","ebonyi","southeast","5.91395225 7.88184737 72.30000305175781 5.0","Presbyterian Model Academy","preprimary_and_primary","ebonyi_afikpo_north",16,"1336379857167.jpg","88e0ff16-2be2-4711-acf2-7464056c4ad7","preprimary_and_primary","1336379857167.jpg",10,"formal_educ",FALSE,TRUE,0,3,40,0.2,TRUE,FALSE,0,0.333333333333333,TRUE,FALSE,100,TRUE,0,FALSE,FALSE,TRUE,FALSE,22.2222222222222,FALSE,FALSE,FALSE,FALSE,Inf,Inf,20,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",1190,"ac0cd6fa-3ca9-46e5-9b47-e4502e90bc8b","afikpo_north","ebonyi","southeast","5.88724174 7.91198493 89.30000305175781 5.0","International Model School for the Deaf","primary_junior_and_senior_sec","ebonyi_afikpo_north",16,"1336559714236.jpg","ac0cd6fa-3ca9-46e5-9b47-e4502e90bc8b","primary_junior_and_senior_sec","1336559714236.jpg",6,"formal_educ",FALSE,TRUE,0,2,69,1.11290322580645,FALSE,FALSE,0,1.38461538461538,FALSE,TRUE,NA,FALSE,8,FALSE,FALSE,TRUE,FALSE,5.16666666666667,FALSE,FALSE,TRUE,FALSE,2.06666666666667,6.2,10.3333333333333,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",1191,"26723bca-2fe3-48c1-bdab-06b1b0c07b22","afikpo_north","ebonyi","southeast","5.93284344 7.93314371 56.900001525878906 5.0","Ibii Community Junior Sec.School Ibii","juniors_sec_only","ebonyi_afikpo_north",16,"1336551593966.jpg","26723bca-2fe3-48c1-bdab-06b1b0c07b22","juniors_sec_only","1336551593966.jpg",7,"formal_educ",FALSE,TRUE,6,6,NA,NA,TRUE,TRUE,0,1.02941176470588,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,6.9,FALSE,FALSE,TRUE,FALSE,5.75,3.45,9.85714285714286,1,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"4",1192,"377d5c44-8591-4156-b71a-575d0ca41bd0","afikpo_north","ebonyi","southeast","5.89088079 7.96904362 141.8000030517578 5.0","Ozizza Community Primary School","preprimary_and_primary","ebonyi_afikpo_north",16,"1336034116122.jpg","377d5c44-8591-4156-b71a-575d0ca41bd0","preprimary_and_primary","1336034116122.jpg",9,"formal_educ",FALSE,TRUE,2,5,899,2.01118568232662,TRUE,FALSE,0,1.04109589041096,TRUE,FALSE,447,FALSE,0,FALSE,FALSE,TRUE,FALSE,55.875,FALSE,FALSE,FALSE,TRUE,37.25,37.25,49.6666666666667,Inf,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",1193,"159313e3-9098-44fc-90a5-34ae9d84e2a4","afikpo_north","ebonyi","southeast","5.88968543 7.96879506 138.89999389648438 5.0","Urban Primary School","preprimary_and_primary","ebonyi_afikpo_north",16,"1336030902347.jpg","159313e3-9098-44fc-90a5-34ae9d84e2a4","preprimary_and_primary","1336030902347.jpg",7,"formal_educ",FALSE,FALSE,5,5,60,0.107719928186715,FALSE,FALSE,0,0.98220640569395,FALSE,FALSE,278.5,FALSE,4,FALSE,FALSE,FALSE,FALSE,61.8888888888889,FALSE,FALSE,TRUE,TRUE,185.666666666667,Inf,79.5714285714286,Inf,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",1194,"f6e3a9bd-745f-4a74-b098-e4e4b9ec98dd","afikpo_north","ebonyi","southeast","5.78486938 7.93848794 119.9000015258789 5.0","Model Primary School","preprimary_and_primary","ebonyi_afikpo_north",16,"1336473013331.jpg","f6e3a9bd-745f-4a74-b098-e4e4b9ec98dd","preprimary_and_primary","1336473013331.jpg",7,"formal_educ",FALSE,TRUE,2,7,1720,2.752,FALSE,FALSE,0,0.765536723163842,FALSE,NA,NA,FALSE,1,TRUE,FALSE,FALSE,FALSE,52.0833333333333,FALSE,FALSE,TRUE,FALSE,52.0833333333333,4.80769230769231,89.2857142857143,Inf,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",1195,"3d694d83-2f51-4497-a0fb-abe97c762800","afikpo_north","ebonyi","southeast","5.89049377 7.95848878 135.89999389648438 5.0","Reach Continental Primary School Afikpo","preprimary_and_primary","ebonyi_afikpo_north",16,"1336035259871.jpg","3d694d83-2f51-4497-a0fb-abe97c762800","preprimary_and_primary","1336035259871.jpg",9,"formal_educ",FALSE,TRUE,7,8,28,0.16969696969697,TRUE,FALSE,0,1.0625,TRUE,FALSE,82.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,11.7857142857143,FALSE,FALSE,FALSE,FALSE,23.5714285714286,10.3125,18.3333333333333,Inf,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"8",1196,"25a87249-f41c-4bb6-bba7-2803de4afbdd","afikpo_north","ebonyi","southeast","5.88267572 7.96687329 82.69999694824219 5.0","Orra Migrant Fishermen Primary School","preprimary_and_primary","ebonyi_afikpo_north",16,"1336040798427.jpg","25a87249-f41c-4bb6-bba7-2803de4afbdd","preprimary_and_primary","1336040798427.jpg",8,"formal_educ",FALSE,FALSE,2,3,621,1.33836206896552,FALSE,FALSE,0,1,FALSE,NA,NA,FALSE,3,FALSE,FALSE,TRUE,FALSE,51.5555555555556,FALSE,FALSE,FALSE,TRUE,46.4,12.8888888888889,58,Inf,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",1197,"aa799254-56bc-419f-bed6-901bfc0094ee","afikpo_north","ebonyi","southeast","5.88108324 7.94759342 108.5 5.0","Kings/Queens Accademy",NA,"ebonyi_afikpo_north",16,"1336053648938.jpg","aa799254-56bc-419f-bed6-901bfc0094ee",NA,"1336053648938.jpg",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1198,"f1d3953c-3297-4d9e-9044-ad1f65904942","afikpo_north","ebonyi","southeast","5.88799551 7.92654803 103.80000305175781 5.0","National Model Pri.School Afikpo","preprimary_and_primary","ebonyi_afikpo_north",16,"1336563276494.jpg","f1d3953c-3297-4d9e-9044-ad1f65904942","preprimary_and_primary","1336563276494.jpg",8,"formal_educ",FALSE,FALSE,0,0,720,3.09012875536481,FALSE,FALSE,0,1.06194690265487,TRUE,FALSE,58.25,TRUE,0,TRUE,FALSE,FALSE,TRUE,25.8888888888889,FALSE,FALSE,FALSE,FALSE,1.10952380952381,1.11483253588517,29.125,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
