"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"31516",31516,"5d0810d2-e0a9-4932-ac35-0e50d3d09599","5d0810d2-e0a9-4932-ac35-0e50d3d09599","Ezza North","Ebonyi","Southeast",219,"6.22641714 7.99533678 106.5999984741211 5.0","1336409956262.jpg","ebonyi_ezza_north","1336409956262.jpg","Unimproved Well",NA,"unprotected_dug_well","water_source","Ndiagozu","Ndiagazu-Umuoghara Ward I","No",NA,"No","Poor Water Quality","No","Stand Alone Water Point"
"31517",31517,"66254d43-4442-4610-9ca3-3a2e33120b01","66254d43-4442-4610-9ca3-3a2e33120b01","Ezza North","Ebonyi","Southeast",219,"6.34907422 7.94699032 115.19999694824219 5.0","1335786127847.jpg","ebonyi_ezza_north","1335786127847.jpg","Tap",NA,NA,"outlet","Oshiegbe","Oshiegbe","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"31518",31518,"1284d42d-efd8-474b-8444-8e241735baf1","1284d42d-efd8-474b-8444-8e241735baf1","Ezza North","Ebonyi","Southeast",219,"6.34767974 8.00542579 109.0 5.0","1336323199780.jpg","ebonyi_ezza_north","1336323199780.jpg","Borehole",NA,"borehole_tube_well","water_source","Umuezeokoha","Omege","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"31519",31519,"2b097c58-5974-4e0a-b412-95726167b93d","2b097c58-5974-4e0a-b412-95726167b93d","Ezza North","Ebonyi","Southeast",219,"6.34005388 8.04733036 103.30000305175781 5.0","1336390591602.jpg","ebonyi_ezza_north","1336390591602.jpg","Don't Know",NA,NA,"dk","Okposhi","Okposhi-Umuoghara WardII","No",NA,"Yes","Functional","No",NA
"31520",31520,"89c88617-f8cb-411d-8a54-87edcc21360e","89c88617-f8cb-411d-8a54-87edcc21360e","Ezza North","Ebonyi","Southeast",219,"6.29673805 7.87893589 89.30000305175781 5.0","1336064821189.jpg","ebonyi_ezza_north","1336064821189.jpg","Don't Know",NA,NA,"dk","Ekwettekwa/Ogbuinyaga","Umezzoka","No",NA,"Yes","Functional","No",NA
"31521",31521,"5e490367-48ff-4238-a47f-7f6b30f63739","5e490367-48ff-4238-a47f-7f6b30f63739","Ezza North","Ebonyi","Southeast",219,"6.29228613 7.9144178 99.0 5.0","1335887795530.jpg","ebonyi_ezza_north","1335887795530.jpg","Don't Know",NA,NA,"dk","Umuezzoka","Umuezzoka Ward","No",NA,"Yes","Functional","No",NA
"31522",31522,"edf34d42-ddc6-43d3-be22-98bcbf36d25a","edf34d42-ddc6-43d3-be22-98bcbf36d25a","Ezza North","Ebonyi","Southeast",219,"6.34004979 8.0624809 98.0 5.0","1336305956145.jpg","ebonyi_ezza_north","1336305956145.jpg","Borehole",NA,"borehole_tube_well","water_source","Okposhi","Okposhi","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"31523",31523,"50931b6d-2101-46c8-ba65-0d0819bce6e0","50931b6d-2101-46c8-ba65-0d0819bce6e0","Ezza North","Ebonyi","Southeast",219,"6.248903274536133 7.904539704322815 94.0 4.0","1335972374632.jpg","ebonyi_ezza_north","1335972374632.jpg","Untreated Surface Water",NA,"dam","water_source","Nkomoro","Nkomoro","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"31524",31524,"8d423bfc-e664-4b40-8902-fbcd762a69f5","8d423bfc-e664-4b40-8902-fbcd762a69f5","Ezza North","Ebonyi","Southeast",219,"6.30373763 8.0228801 96.9000015258789 5.0","1336313810562.jpg","ebonyi_ezza_north","1336313810562.jpg","Untreated Surface Water",NA,"dam","water_source","Okposhi","Okposhi- Umuoghara","No",NA,"Don't Know",NA,"No","Stand Alone Water Point"
"31525",31525,"cc6643a2-91ec-42ea-9109-b070613d02ce","cc6643a2-91ec-42ea-9109-b070613d02ce","Ezza North","Ebonyi","Southeast",219,"6.23240273 7.91540605 105.30000305175781 5.0","1335967158518.jpg","ebonyi_ezza_north","1335967158518.jpg","Borehole",NA,"borehole_tube_well","water_source","Nkomoro","Nkomoro","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"31526",31526,"033218e8-5170-441c-93d7-52fa9eaef351","033218e8-5170-441c-93d7-52fa9eaef351","Ezza North","Ebonyi","Southeast",219,"6.24977245 7.91086809 114.0 5.0","1335972320489.jpg","ebonyi_ezza_north","1335972320489.jpg","Borehole",NA,"borehole_tube_well","water_source","Nkomoro","Nkomoro","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"31527",31527,"b4619ee0-2544-41eb-a73b-b470c8bdf24c","b4619ee0-2544-41eb-a73b-b470c8bdf24c","Ezza North","Ebonyi","Southeast",219,"6.29277835 7.99225991 117.5999984741211 5.0","1336400588143.jpg","ebonyi_ezza_north","1336400588143.jpg","Untreated Surface Water",NA,"dam","water_source","Azuramura","Ndiauzu- Umuoghara Ward I","No",NA,"Yes","Functional","No","Stand Alone Water Point"
