"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"15799",15799,15799,"128ba1aa-4d82-4184-87c9-267b1867e1d6","ezza_south","ebonyi","southeast","6.0928946 7.96029059 75.4000015258789 5.0","COMM.PRY.SCH.OHAGE IKWUATOR","primary_only","ebonyi_ezza_south",220,"1339685048633.jpg","128ba1aa-4d82-4184-87c9-267b1867e1d6","primary_only","1339685048633.jpg",7,"formal_educ",TRUE,FALSE,4,6,NA,NA,TRUE,TRUE,0,0.979381443298969,FALSE,FALSE,48,FALSE,NA,FALSE,FALSE,FALSE,FALSE,27.4285714285714,FALSE,FALSE,FALSE,FALSE,19.2,12,27.4285714285714,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15800",15800,15800,"9e12b80f-b3e1-403b-a266-9c6ded0d99ed","ezza_south","ebonyi","southeast","6.166656017303467 8.001855611801147 114.0 4.0","Premier Primary School Egunwogbu Ezzama","primary_only","ebonyi_ezza_south",220,"1339775693704.jpg","9e12b80f-b3e1-403b-a266-9c6ded0d99ed","primary_only","1339775693704.jpg",7,"formal_educ",FALSE,FALSE,6,7,NA,NA,FALSE,FALSE,0,0.94392523364486,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,34.6666666666667,TRUE,FALSE,TRUE,FALSE,10.4,6.93333333333333,29.7142857142857,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15801",15801,15801,"80ccedaf-f5df-48c3-8067-e5cecc7a2cf6","ezza_south","ebonyi","southeast","6.129850745201111 8.06444764137268 88.0 4.0","St. Michaels Comprehensive Secondary School, Abiaji Amaezekwe","juniors_sec_only","ebonyi_ezza_south",220,"1339596085022.jpg","80ccedaf-f5df-48c3-8067-e5cecc7a2cf6","juniors_sec_only","1339596085022.jpg",7,"formal_educ",FALSE,TRUE,0,6,NA,NA,FALSE,NA,60,0.686868686868687,TRUE,FALSE,83.5,TRUE,6,FALSE,FALSE,FALSE,FALSE,27.8333333333333,TRUE,FALSE,TRUE,FALSE,27.8333333333333,1.59047619047619,23.8571428571429,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"15802",15802,15802,"4e30cb1e-3b29-435b-b5c3-e607447de9e8","ezza_south","ebonyi","southeast","6.159982681274414 8.023592233657837 98.0 4.0","Seiro International Nursery/Primary School Onueke","preprimary_and_primary","ebonyi_ezza_south",220,"1339766559361.jpg","4e30cb1e-3b29-435b-b5c3-e607447de9e8","preprimary_and_primary","1339766559361.jpg",10,"formal_educ",FALSE,TRUE,1,4,60,0.167130919220056,TRUE,FALSE,50,0.919786096256685,TRUE,FALSE,119.666666666667,TRUE,4,FALSE,FALSE,TRUE,FALSE,39.8888888888889,FALSE,FALSE,FALSE,TRUE,71.8,4.32530120481928,35.9,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"15803",15803,15803,"85beff98-6194-45bf-939d-a20b1cecb6c5","ezza_south","ebonyi","southeast","6.135569214820862 8.046836256980896 101.0 2.0","Mgberemeze Memorial Primary School Amagu, Amagu Ezza South","primary_only","ebonyi_ezza_south",220,"1339665974118.jpg","85beff98-6194-45bf-939d-a20b1cecb6c5","primary_only","1339665974118.jpg",9,"formal_educ",TRUE,TRUE,8,9,NA,NA,FALSE,TRUE,0,1.2,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,33,FALSE,FALSE,FALSE,FALSE,26.4,Inf,29.3333333333333,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15804",15804,15804,"fe718ce7-9bd8-48f0-8711-cc29e01b2bc6","ezza_south","ebonyi","southeast","6.1302101612091064 8.05996835231781 96.0 8.0","Izzikworo High school Ukometa, Senior Secondary, Amagu/Amaezekwe","senior_sec_only","ebonyi_ezza_south",220,"1339672168714.jpg","fe718ce7-9bd8-48f0-8711-cc29e01b2bc6","senior_sec_only","1339672168714.jpg",18,"formal_educ",TRUE,TRUE,0,11,0,0,FALSE,NA,10,1.14285714285714,FALSE,NA,NA,FALSE,4,TRUE,FALSE,TRUE,FALSE,23.75,FALSE,FALSE,TRUE,FALSE,Inf,Inf,15.8333333333333,18,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"education"
"15805",15805,15805,"d0235e3f-a966-4561-9c1a-830d88014fd2","ezza_south","ebonyi","southeast","6.139984130859375 8.05497407913208 102.0 4.0","Amaezeamadi  Memorial Primary School Ndiaguzu Amaezekwe","primary_only","ebonyi_ezza_south",220,"1339597622488.jpg","d0235e3f-a966-4561-9c1a-830d88014fd2","primary_only","1339597622488.jpg",8,"formal_educ",FALSE,FALSE,7,8,NA,NA,FALSE,TRUE,80,1.02222222222222,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,26,FALSE,FALSE,FALSE,FALSE,Inf,Inf,22.75,NA,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"15806",15806,15806,"fe50bdb8-8650-4819-a39a-53c27266b87b","ezza_south","ebonyi","southeast","6.07465346 8.01287861 75.4000015258789 5.0","University Foundation College Amudo","junior_and_senior_sec","ebonyi_ezza_south",220,"1339794572414.jpg","fe50bdb8-8650-4819-a39a-53c27266b87b","junior_and_senior_sec","1339794572414.jpg",11,"formal_educ",TRUE,FALSE,0,6,12,0.0396039603960396,TRUE,NA,2,0.578125,TRUE,FALSE,151.5,TRUE,3,TRUE,FALSE,TRUE,FALSE,50.5,FALSE,FALSE,FALSE,TRUE,15.15,3.03,27.5454545454545,11,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"15807",15807,15807,"19430026-5a34-4a13-9f3d-327259bc288a","ezza_south","ebonyi","southeast","6.159811019897461 8.000514507293701 89.0 3.0","Destiny Secondary  School Ameta Ezzama","junior_and_senior_sec","ebonyi_ezza_south",220,"1339774972582.jpg","19430026-5a34-4a13-9f3d-327259bc288a","junior_and_senior_sec","1339774972582.jpg",15,"formal_educ",FALSE,TRUE,0,8,21,0.0538461538461538,FALSE,NA,0,0.857142857142857,TRUE,FALSE,195,TRUE,6,FALSE,FALSE,TRUE,FALSE,65,FALSE,FALSE,FALSE,TRUE,Inf,Inf,26,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"15808",15808,15808,"3ab73562-8c9a-4e88-bca9-abeacfb9466f","ezza_south","ebonyi","southeast","6.1253241 8.00753663 110.19999694824219 5.0","Community Primary School, Umunwagu Idembia","primary_only","ebonyi_ezza_south",220,"1339759417022.jpg","3ab73562-8c9a-4e88-bca9-abeacfb9466f","primary_only","1339759417022.jpg",18,"formal_educ",TRUE,TRUE,3,17,NA,NA,FALSE,FALSE,0,1.06643356643357,TRUE,FALSE,197,FALSE,7,TRUE,FALSE,FALSE,FALSE,29.55,FALSE,FALSE,TRUE,FALSE,23.64,5.00847457627119,32.8333333333333,Inf,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
