breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Ndufu Echara,,,Stand Alone Water Point,,Yes,6.118982434272766 8.181461691856384 61.0 4.0,False,Ikwo,337,337,337.0,Manual,No,1300894887190.jpg,water,Ebonyi,ebonyi_ikwo,38a5ed265bfa8d2efc4de642b0c24c93,Ndufu Echara Ward 11,Unimproved Large Diameter Well,,,,
Functional,,Ndufu Echara,,,"Water Scheme, Source within 100m",,Yes,6.10914409160614 8.137001395225525 82.0 4.0,True,Ikwo,337,337,337.0,Solar,No,1300884616810.jpg,water,Ebonyi,ebonyi_ikwo,f367c1c6a98e293e9093bb3b2de4f6ee,Ndufu Echara ward 1,Tap,,,,
Dry Well,,Ndufu Igbudu,,,"Water Scheme, Source within 100m",,No,6.050044298171997 8.15460205078125 51.0 6.0,True,Ikwo,337,337,337.0,Hand Pump,No,1301053425013.jpg,water,Ebonyi,ebonyi_ikwo,ab7fa5b1451ec944951f881b32d4cd4b,Ndufu Igbudu,Handpump,,,,
Mechanical Issue,,Inyimagu,,,"Water Scheme, Source within 100m",,No,6.069238185882568 8.127924799919128 82.0 4.0,True,Ikwo,337,337,337.0,Solar,No,1300967763017.jpg,water,Ebonyi,ebonyi_ikwo,404ca34a9b85b2f06ad5a671159f6ab7,Inyimagu Ward 1,Tap,,,,
Dry Well,,Ndufu Echara,,,Stand Alone Water Point,,No,6.109562516212463 8.145643472671509 72.0 4.0,False,Ikwo,337,337,337.0,Manual,No,1300884264809.jpg,water,Ebonyi,ebonyi_ikwo,2639fd5fadd815d2763924374a94083d,Ndufu Echara 1,Unimproved Large Diameter Well,,,,
Functional,,Ndufu Amagu,,,"Water Scheme, Source within 100m",,Yes,6.044374108314514 8.124035596847534 83.0 8.0,True,Ikwo,337,337,337.0,Solar,No,1301065627095.jpg,water,Ebonyi,ebonyi_ikwo,5620548e95fa98c5a99c84c0ffc1ca38,Ndufu Amagu,Tap,,,,
Functional,,Inyimagu,,,Stand Alone Water Point,,Yes,6.063283681869507 8.265130519866943 45.0 4.0,True,Ikwo,337,337,337.0,Hand Pump,No,1301144600739.jpg,water,Ebonyi,ebonyi_ikwo,6c85b1fba1a059a289579a317f4aa6d1,Ndegu Inyimagu,Handpump,,,,
Mechanical Issue,,Enyibichiri,,,"Water Scheme, Source within 100m",,No,6.197592616081238 8.310298919677734 103.0 8.0,True,Ikwo,337,337,337.0,Solar,No,1301170964585.jpg,water,Ebonyi,ebonyi_ikwo,20fd89bd0cf58f2076e44159000a905e,Enyibichiri,Tap,,,,
Functional,,Ndufu Alike,,,"Water Scheme, Source within 100m",,Yes,6.130843162536621 8.153936862945557 61.0 8.0,True,Ikwo,337,337,337.0,Solar,No,1301413028120.jpg,water,Ebonyi,ebonyi_ikwo,3703602e7993b77dbeb2db9ddf0cbc45,Ndufu Alike,Tap,,,,
Functional,,Noyo,,,Stand Alone Water Point,,Yes,6.193268895149231 8.223379254341125 70.0 4.0,False,Ikwo,337,337,337.0,Manual,No,1300994952968.jpg,water,Ebonyi,ebonyi_ikwo,5c52ca4ca0b0be19cd23868c4b6e29a0,Noyo Ward,Unimproved Large Diameter Well,,,,
Functional,,Ndufu Igbudu,,,Stand Alone Water Point,,Yes,6.0680365562438965 8.116847276687622 55.0 3.0,False,Ikwo,337,337,337.0,Manual,No,1301063037926.jpg,water,Ebonyi,ebonyi_ikwo,fcd5c6c093c7a060669b0e5d88d3bdec,Ndufu Igbudu,Unimproved Large Diameter Well,,,,
