"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",44808,"95ca715b-b2ba-4b17-9167-b9def77180e2","onicha","ebonyi","southeast","6.17029025 7.85367962 99.9000015258789 5.0","Ezimma primary sch agbabor isu","preprimary_and_primary","ebonyi_onicha",601,"1293917643793.jpg","95ca715b-b2ba-4b17-9167-b9def77180e2","preprimary_and_primary","1293917643793.jpg",7,"formal_educ",FALSE,FALSE,0,6,170,1.0828025477707,FALSE,FALSE,0,0.764044943820225,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,31.4,FALSE,FALSE,FALSE,FALSE,Inf,Inf,22.4285714285714,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",44809,"2e39962c-6e61-4424-9698-4b0955030aca","onicha","ebonyi","southeast","6.16191259 7.78028077 102.80000305175781 5.0","Amaeze com pri sch isu","preprimary_and_primary","ebonyi_onicha",601,"1293928347726.jpg","2e39962c-6e61-4424-9698-4b0955030aca","preprimary_and_primary","1293928347726.jpg",3,"formal_educ",TRUE,FALSE,2,3,NA,NA,TRUE,FALSE,50,2.2,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,106.666666666667,FALSE,FALSE,TRUE,FALSE,160,Inf,106.666666666667,Inf,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"3",44810,"57804918-478b-42de-9c17-2898048e5770","onicha","ebonyi","southeast","6.17832377 7.80398929 95.0999984741211 5.0","Union pri sch uhuoge umuniko","preprimary_only","ebonyi_onicha",601,"1293833911645.jpg","57804918-478b-42de-9c17-2898048e5770","preprimary_only","1293833911645.jpg",9,"formal_educ",FALSE,FALSE,6,7,0,0,TRUE,NA,0,1.17293233082707,TRUE,FALSE,289,FALSE,0,FALSE,FALSE,FALSE,FALSE,48.1666666666667,TRUE,FALSE,TRUE,FALSE,Inf,5.78,32.1111111111111,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",44811,"bec726f4-e5a8-4297-a458-49ef1c14b898","onicha","ebonyi","southeast","6.18263519 7.73272691 96.0 5.0","Cen sch mgbaleze","primary_only","ebonyi_onicha",601,"1293753530095.jpg","bec726f4-e5a8-4297-a458-49ef1c14b898","primary_only","1293753530095.jpg",10,"formal_educ",FALSE,FALSE,5,10,NA,NA,TRUE,FALSE,0,0.875,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,15,TRUE,FALSE,TRUE,FALSE,7.5,7.5,15,5,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"5",44812,"b327e6bb-ea44-4e37-8a16-6e1c6169b81b","onicha","ebonyi","southeast","6.10806738 7.76500167 81.69999694824219 5.0","Isu achara pri sch isu","preprimary_and_primary","ebonyi_onicha",601,"1293930242308.jpg","b327e6bb-ea44-4e37-8a16-6e1c6169b81b","preprimary_and_primary","1293930242308.jpg",8,"formal_educ",TRUE,FALSE,3,4,630,2.30769230769231,FALSE,TRUE,140,0.716981132075472,TRUE,FALSE,136.5,FALSE,1,FALSE,FALSE,FALSE,FALSE,39,FALSE,FALSE,FALSE,FALSE,Inf,Inf,34.125,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",44813,"64b5ab7d-41c2-4b2a-b1d6-ce4f5da61c22","onicha","ebonyi","southeast","6.03581995 7.93535609 74.19999694824219 5.0","Ukpam primary sch ukawu","primary_only","ebonyi_onicha",601,"1294185355247.jpg","64b5ab7d-41c2-4b2a-b1d6-ce4f5da61c22","primary_only","1294185355247.jpg",6,"formal_educ",FALSE,FALSE,4,6,0,0,TRUE,NA,0,1.01298701298701,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,22.1428571428571,FALSE,FALSE,FALSE,FALSE,4.30555555555556,2.87037037037037,25.8333333333333,Inf,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",44814,"eb370c22-f7f4-4219-8e3d-89454b9d88d6","onicha","ebonyi","southeast","6.20051245 7.8248414 91.30000305175781 5.0","Bright child Nur and pry sch agbabor isu","preprimary_and_primary","ebonyi_onicha",601,"1293920868208.jpg","eb370c22-f7f4-4219-8e3d-89454b9d88d6","preprimary_and_primary","1293920868208.jpg",0,"formal_educ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",44815,"80b0354c-a00b-4558-99dc-b9f495ce9263","onicha","ebonyi","southeast","6.02519369 7.91919107 57.400001525878906 5.0","Best scholar lntl. Nursery primary sch ukawu","preprimary_only","ebonyi_onicha",601,"1294186545040.jpg","80b0354c-a00b-4558-99dc-b9f495ce9263","preprimary_only","1294186545040.jpg",6,"formal_educ",FALSE,FALSE,0,6,0,0,TRUE,FALSE,8,1.17241379310345,TRUE,FALSE,63,FALSE,0,TRUE,FALSE,FALSE,FALSE,21,FALSE,FALSE,FALSE,NA,3.15,3.15,10.5,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9",44816,"a4fc219f-c8f7-4c1e-94fc-28b5a58032e8","onicha","ebonyi","southeast","6.14719115 7.79321224 120.80000305175781 5.0","Isu Secondary School isu","junior_and_senior_sec","ebonyi_onicha",601,"1293932131553.jpg","a4fc219f-c8f7-4c1e-94fc-28b5a58032e8","junior_and_senior_sec","1293932131553.jpg",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",44817,"9b08d47f-9141-4e41-a67c-b87c2dd4299a","onicha","ebonyi","southeast","6.16745804 7.83429124 112.80000305175781 5.0","Agbabor com pri sch isu","preprimary_and_primary","ebonyi_onicha",601,"1293915691428.jpg","9b08d47f-9141-4e41-a67c-b87c2dd4299a","preprimary_and_primary","1293915691428.jpg",12,"formal_educ",TRUE,FALSE,3,9,3150,5.17241379310345,FALSE,TRUE,250,1.2639405204461,FALSE,FALSE,304.5,FALSE,6,FALSE,FALSE,FALSE,FALSE,55.3636363636364,FALSE,FALSE,FALSE,TRUE,60.9,30.45,50.75,Inf,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",44818,"463ab550-96b1-40ab-9b4a-c285a6a3b9e5","onicha","ebonyi","southeast","6.25222773 7.78294468 85.0 5.0","Igwebuike primary school 2 obinagueze obeagu isu","primary_only","ebonyi_onicha",601,"1294099048883.jpg","463ab550-96b1-40ab-9b4a-c285a6a3b9e5","primary_only","1294099048883.jpg",0,"formal_educ",FALSE,FALSE,0,NA,NA,NA,TRUE,FALSE,0,NA,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"12",44819,"443ff7af-e018-4705-a666-67105fcd4aa1","onicha","ebonyi","southeast","6.1068026 7.76301929 76.5 5.0","Jesuit intl nur pry","preprimary_and_primary","ebonyi_onicha",601,"1293930624050.jpg","443ff7af-e018-4705-a666-67105fcd4aa1","preprimary_and_primary","1293930624050.jpg",0,"formal_educ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",44820,"04199074-3222-4219-ac78-cb9924d66f30","onicha","ebonyi","southeast","6.03770844 7.90705322 79.9000015258789 5.0","Amanpuma centra school ukawu","primary_only","ebonyi_onicha",601,"1294266974733.jpg","04199074-3222-4219-ac78-cb9924d66f30","primary_only","1294266974733.jpg",6,"formal_educ",FALSE,FALSE,6,5,NA,NA,TRUE,FALSE,0,0.75,FALSE,NA,NA,FALSE,6,FALSE,FALSE,FALSE,FALSE,11.6666666666667,FALSE,FALSE,FALSE,FALSE,7,4.2,35,Inf,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",44821,"498a243c-187d-41e8-a800-2d4504bf3bd0","onicha","ebonyi","southeast","6.22416116 7.79470422 84.80000305175781 5.0","Aguenu pri sch umuniko isu","preprimary_and_primary","ebonyi_onicha",601,"1293923157559.jpg","498a243c-187d-41e8-a800-2d4504bf3bd0","preprimary_and_primary","1293923157559.jpg",9,"formal_educ",FALSE,TRUE,6,6,970,0.505208333333333,TRUE,FALSE,600,1.08695652173913,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,240,FALSE,FALSE,TRUE,FALSE,320,9.6,213.333333333333,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"15",44822,"8dce910c-398f-45b0-86e8-c0a4e67b24d7","onicha","ebonyi","southeast","6.10665402 7.76306654 81.19999694824219 5.0","Jesuit intl nur. Pri school isuachara anioma isu","preprimary_and_primary","ebonyi_onicha",601,"1294350041886.jpg","8dce910c-398f-45b0-86e8-c0a4e67b24d7","preprimary_and_primary","1294350041886.jpg",7,"formal_educ",FALSE,TRUE,7,2,18,0.119205298013245,FALSE,TRUE,30,0.819277108433735,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,21.5714285714286,FALSE,FALSE,TRUE,FALSE,Inf,Inf,21.5714285714286,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",44823,"2c5f4b6a-afda-4b5d-9614-3873c2065716","onicha","ebonyi","southeast","6.20028613 7.84746701 81.30000305175781 5.0","Assembly of God isu","preprimary_only","ebonyi_onicha",601,"1293919299701.jpg","2c5f4b6a-afda-4b5d-9614-3873c2065716","preprimary_only","1293919299701.jpg",0,"formal_educ",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
