"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"27682",27682,"4b2e0320-808f-40df-9e9e-a71ba511f64c","4b2e0320-808f-40df-9e9e-a71ba511f64c","Egor","Edo","South-South",182,"6.36991221 5.59553489 117.80000305175781 5.0","1338049731131.jpg","edo_egor","1338049731131.jpg","Tap",NA,NA,"outlet","Uwelu","5","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"27683",27683,"a50c06cd-93cb-40b2-8c61-b3216d8bf28d","a50c06cd-93cb-40b2-8c61-b3216d8bf28d","Egor","Edo","South-South",182,"6.36297016 5.58942767 131.8000030517578 5.0","1338051638378.jpg","edo_egor","1338051638378.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Ogida","Ward 3","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"27684",27684,"cbfd17e0-4751-47bc-a981-d8c0d522530d","cbfd17e0-4751-47bc-a981-d8c0d522530d","Egor","Edo","South-South",182,"6.35629783 5.58683745 110.30000305175781 5.0","1338126520387.jpg","edo_egor","1338126520387.jpg","Tap",NA,NA,"outlet","Ogida","2","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"27685",27685,"ac6105b1-d062-4a90-bc5f-014fbeda6e56","ac6105b1-d062-4a90-bc5f-014fbeda6e56","Egor","Edo","South-South",182,"6.37595172 5.62936642 113.5 5.0","1337943074045.jpg","edo_egor","1337943074045.jpg","Tap",NA,NA,"outlet","Ologbo","Ward 8","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"27686",27686,"cacb3e0d-279d-4e40-b353-8bba0c0db983","cacb3e0d-279d-4e40-b353-8bba0c0db983","Egor","Edo","South-South",182,"6.35656559 5.59251803 116.0999984741211 5.0","1338124009850.jpg","edo_egor","1338124009850.jpg","Tap",NA,NA,"outlet","Evareke","7","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"27687",27687,"e05d5cb1-e8d9-46df-9b1b-c0caea31a8c5","e05d5cb1-e8d9-46df-9b1b-c0caea31a8c5","Egor","Edo","South-South",182,"6.33334905 5.57977151 100.19999694824219 5.0","1338034262758.jpg","edo_egor","1338034262758.jpg","Unimproved Well",NA,"protected_dug_well","water_source","E vbuotubu","Ward 1","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"27688",27688,"eb73add4-e1a9-4649-bbeb-fcf7df24185d","eb73add4-e1a9-4649-bbeb-fcf7df24185d","Egor","Edo","South-South",182,"6.36642299 5.58167337 113.4000015258789 5.0","1338030545327.jpg","edo_egor","1338030545327.jpg","Tap",NA,"borehole_tube_well","water_source","Useh","3","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
"27689",27689,"d97da3a0-855e-4982-8402-fcba95b07941","d97da3a0-855e-4982-8402-fcba95b07941","Egor","Edo","South-South",182,"6.36176771 5.58497646 108.19999694824219 5.0","1338125701797.jpg","edo_egor","1338125701797.jpg","Tap",NA,NA,"outlet","Useh","3","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"27690",27690,"b489efd0-c3b7-47fc-af56-1ea822201567","b489efd0-c3b7-47fc-af56-1ea822201567","Egor","Edo","South-South",182,"6.37296782 5.60939006 115.0 5.0","1337875233984.jpg","edo_egor","1337875233984.jpg","Tap",NA,NA,"outlet","Uselu","8","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"27691",27691,"e6d7d685-6cc3-429d-99d3-97f80d798981","e6d7d685-6cc3-429d-99d3-97f80d798981","Egor","Edo","South-South",182,"6.33223894 5.57944745 105.30000305175781 6.0","1338030188572.jpg","edo_egor","1338030188572.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Evbuotubu","Ward 1","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"27692",27692,"17ba2e85-4b17-46e1-bd82-ef825194c3aa","17ba2e85-4b17-46e1-bd82-ef825194c3aa","Egor","Edo","South-South",182,"6.38570561 5.58319928 135.8000030517578 5.0","1337954641801.jpg","edo_egor","1337954641801.jpg","Tap",NA,NA,"outlet","Uwelu","5","Yes","Tap (unknown lift)","No","Don't Know","Don't Know","Water Scheme, Source within 100m"
"27693",27693,"24f6dd68-c49b-46f5-83c3-4d48c53e2c9e","24f6dd68-c49b-46f5-83c3-4d48c53e2c9e","Egor","Edo","South-South",182,"6.36299964 5.58236944 115.5 5.0","1338127071031.jpg","edo_egor","1338127071031.jpg","Tap",NA,NA,"outlet","Useh","3","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 1km"
"27694",27694,"d56637c6-3517-4d52-bed2-905f97b837e8","d56637c6-3517-4d52-bed2-905f97b837e8","Egor","Edo","South-South",182,"6.37280454 5.5772428 105.5999984741211 5.0","1338034473357.jpg","edo_egor","1338034473357.jpg","Tap",NA,NA,"outlet","Egor","4","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"27695",27695,"1bf0b590-6f5f-441f-aafd-b59461283b37","1bf0b590-6f5f-441f-aafd-b59461283b37","Egor","Edo","South-South",182,"6.32878757 5.57077797 94.5 5.0","1338197249989.jpg","edo_egor","1338197249989.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Evbuotubu","Ward 1","No",NA,"Yes","Functional","No","Stand Alone Water Point"
"27696",27696,"9994c499-7403-4bbf-8381-2326e9ce7599","9994c499-7403-4bbf-8381-2326e9ce7599","Egor","Edo","South-South",182,"6.33202756 5.57946792 97.30000305175781 5.0","1338031408535.jpg","edo_egor","1338031408535.jpg","Unimproved Well",NA,"protected_dug_well","water_source","Evbuotubu","Ward 1","No",NA,"No","Dry Well","No","Stand Alone Water Point"
"27697",27697,"c548c952-03d6-4762-a5a7-caa455b5f717","c548c952-03d6-4762-a5a7-caa455b5f717","Egor","Edo","South-South",182,"6.33725468 5.59529388 105.80000305175781 5.0","1338289562207.jpg","edo_egor","1338289562207.jpg","Tap",NA,NA,"outlet","Evotubu","1","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
