"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"5369",5369,5369,"588dc3c9-be03-4da8-b3ba-73dc77c6bc38","esan_north_east","edo","south_south",200,"1347021335884.jpg","edo_esan_north_east","588dc3c9-be03-4da8-b3ba-73dc77c6bc38","1347021335884.jpg","6.729705333709717 6.36957049369812 369.0 4.0","Awo primary health centre","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,FALSE,3,0,2,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"5370",5370,5370,"07dd45a3-4f90-4d4d-8b5a-d5ef5627d6e8","esan_north_east","edo","south_south",200,"1347105870115.jpg","edo_esan_north_east","07dd45a3-4f90-4d4d-8b5a-d5ef5627d6e8","1347105870115.jpg","6.861761212348938 6.466655731201172 98.0 4.0","Uzea health center ukuaza uzea","primaryhealthcarecentre",FALSE,FALSE,NA,FALSE,FALSE,3,TRUE,FALSE,3,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"5371",5371,5371,"869111e6-80df-44c5-ae0c-8f7a4298473d","esan_north_east","edo","south_south",200,"1347281742599.jpg","edo_esan_north_east","869111e6-80df-44c5-ae0c-8f7a4298473d","1347281742599.jpg","6.695373058319092 6.328983306884766 392.0 4.0","VICTORY HOSPITAL, UROMI.","specialisthospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,5,6,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"5372",5372,5372,"5c3390e2-c681-4b2a-a923-7c841f3ee7d7","esan_north_east","edo","south_south",200,"1347027099162.jpg","edo_esan_north_east","5c3390e2-c681-4b2a-a923-7c841f3ee7d7","1347027099162.jpg","6.716621518135071 6.289603114128113 414.0 4.0","idumoza primary health center","primaryhealthcarecentre",TRUE,TRUE,TRUE,FALSE,TRUE,2,FALSE,FALSE,2,0,1,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"5373",5373,5373,"75fb1903-4c41-4a7f-828a-a4f26a018b93","esan_north_east","edo","south_south",200,"1347094251156.jpg","edo_esan_north_east","75fb1903-4c41-4a7f-828a-a4f26a018b93","1347094251156.jpg","6.812070608139038 6.409712433815002 170.0 6.0","Olinlin primary health centre Uzea","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,FALSE,3,TRUE,FALSE,3,0,2,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"5374",5374,5374,"ffbb27e2-e0db-4c1a-8093-41d48edf7cb3","esan_north_east","edo","south_south",200,"1347282199078.jpg","edo_esan_north_east","ffbb27e2-e0db-4c1a-8093-41d48edf7cb3","1347282199078.jpg","6.7136335372924805 6.326698064804077 424.0 3.0","St.Camillus Hospital,Uromi.","generalhospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,3,2,2,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"5375",5375,5375,"674626f8-02bb-42cd-833b-fe12121169d0","esan_north_east","edo","south_south",200,"1347097451012.jpg","edo_esan_north_east","674626f8-02bb-42cd-833b-fe12121169d0","1347097451012.jpg","6.716567873954773 6.317487359046936 432.0 4.0","Central Hospital Uromi","specialisthospital",TRUE,TRUE,NA,TRUE,TRUE,0,TRUE,TRUE,0,0,0,4,4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health"
"5376",5376,5376,"e157e257-7d9a-481f-867d-bbdf20a96ede","esan_north_east","edo","south_south",200,"1347280040460.jpg","edo_esan_north_east","e157e257-7d9a-481f-867d-bbdf20a96ede","1347280040460.jpg","6.730574369430542 6.311790347099304 407.0 4.0","Inno Clinic and Maternity,Uromi","comprehensivehealthcentre",TRUE,TRUE,NA,TRUE,TRUE,3,NA,TRUE,3,2,1,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"5377",5377,5377,"d2357151-50e6-4007-a953-823b251b1835","esan_north_east","edo","south_south",200,"1347030418375.jpg","edo_esan_north_east","d2357151-50e6-4007-a953-823b251b1835","1347030418375.jpg","6.682165861129761 6.321086883544922 410.0 4.0","uwalor oke model health center","primaryhealthcarecentre",TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,FALSE,2,0,3,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"5378",5378,5378,"6c8e5344-cb77-4996-a3c7-df5dce355eef","esan_north_east","edo","south_south",200,"1347023230831.jpg","edo_esan_north_east","6c8e5344-cb77-4996-a3c7-df5dce355eef","1347023230831.jpg","6.7363303899765015 6.269894242286682 481.0 4.0","Obeidu P.H.C Centre","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,FALSE,4,0,4,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
