breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,Imiava,,,"Water Scheme, Source within 100m",1345982480133.jpg,No,7.136676907539368 6.48941695690155 210.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1345982480133.jpg,water,Edo,edo_etsako_central,5ac2d5b3-6553-4c9c-a14a-0ddb545ee110,Imiava ward 10,Tap,outlet,,5ac2d5b3-6553-4c9c-a14a-0ddb545ee110,South-South
Don't Know,,Anegbete,,,,1346065646116.jpg,No,6.832664608955383 6.582897305488586 40.0 4.0,False,Etsako-Central,212,212,212.0,,No,1346065646116.jpg,water,Edo,edo_etsako_central,046ea513-859c-40bf-8ca6-0665a5dab15d,Nine,Don't Know,dk,,046ea513-859c-40bf-8ca6-0665a5dab15d,South-South
Mechanical Issue,,Inone,,,"Water Scheme, Source within 100m",1345800164090.jpg,No,7.084556221961975 6.499968767166138 243.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),Yes,1345800164090.jpg,water,Edo,edo_etsako_central,7c5f863b-a320-4f28-9680-0c00f2b4494e,Inone ward 1,Tap,outlet,,7c5f863b-a320-4f28-9680-0c00f2b4494e,South-South
Poorly Constructed,,Ogochi,,,"Water Scheme, Source within 100m",1345887738365.jpg,No,6.9818115234375 6.504780650138855 68.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1345887738365.jpg,water,Edo,edo_etsako_central,df46bacc-a0e0-49b3-8658-1ef86359f760,Ogochi ward 7,Tap,outlet,,df46bacc-a0e0-49b3-8658-1ef86359f760,South-South
Don't Know,,IRAOKHOR,,,Stand Alone Water Point,1345892307027.jpg,No,7.12412416934967 6.440638303756714 354.0 4.0,True,Etsako-Central,212,212,212.0,,No,1345892307027.jpg,water,Edo,edo_etsako_central,49673525-d2a1-4bb8-a832-bc03a1e69d8f,IRAOKHOR 5,Borehole,water_source,borehole_tube_well,49673525-d2a1-4bb8-a832-bc03a1e69d8f,South-South
Functional,,Okpeneda,,,"Water Scheme, Source within 100m",1345888991861.jpg,Yes,6.998108625411987 6.50689423084259 84.0 3.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1345888991861.jpg,water,Edo,edo_etsako_central,10bc12fb-44c5-4807-a9e1-149e3b4732e9,Okpeneda ward 7,Tap,outlet,,10bc12fb-44c5-4807-a9e1-149e3b4732e9,South-South
Functional,,IRAOKHOR,,,"Water Scheme, Source within 100m",1345887751717.jpg,Yes,7.115315794944763 6.432103514671326 337.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1345887751717.jpg,water,Edo,edo_etsako_central,2e2d1c18-5741-41ac-a6e0-fb05f9db5568,IRAOKHOR 5,Tap,outlet,,2e2d1c18-5741-41ac-a6e0-fb05f9db5568,South-South
Functional,,Udochi,,,"Water Scheme, Source within 100m",1346062517628.jpg,Yes,6.949903964996338 6.656277179718018 63.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1346062517628.jpg,water,Edo,edo_etsako_central,4c59b090-88f9-4924-b961-717b3dbf724b,10,Tap,outlet,,4c59b090-88f9-4924-b961-717b3dbf724b,South-South
Poorly Constructed,,Agbabu,,,"Water Scheme, Source within 100m",1346077634404.jpg,No,6.905550956726074 6.634776592254639 76.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1346077634404.jpg,water,Edo,edo_etsako_central,69a9ea6f-41d0-42b1-b902-5021b37fe840,Agbabu ward 8,Tap,outlet,,69a9ea6f-41d0-42b1-b902-5021b37fe840,South-South
Mechanical Issue,,Ofukpo Ekperi,,,"Water Scheme, Source within 100m",1346071907078.jpg,No,6.874480247497559 6.620367765426636 75.0 3.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1346071907078.jpg,water,Edo,edo_etsako_central,f2427750-e6d0-43f9-84ff-4233f0d3651b,Ofukpo Ekperi ward 8,Tap,outlet,,f2427750-e6d0-43f9-84ff-4233f0d3651b,South-South
Functional,,Ofukpo Ekperi,,,Stand Alone Water Point,1346075810251.jpg,Yes,6.876411437988281 6.62201464176178 63.0 4.0,False,Etsako-Central,212,212,212.0,,No,1346075810251.jpg,water,Edo,edo_etsako_central,962980c3-b8dd-43a2-83ec-b20cc92c3287,Ofukpo Ekperi ward 8,Don't Know,water_source,dk,962980c3-b8dd-43a2-83ec-b20cc92c3287,South-South
Functional,,UDABA,,,"Water Scheme, Source within 100m",1346066708145.jpg,Yes,6.853532195091248 6.58804178237915 51.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),Yes,1346066708145.jpg,water,Edo,edo_etsako_central,5cdc56f1-478b-4eba-bd74-940dcb91f076,8,Tap,outlet,,5cdc56f1-478b-4eba-bd74-940dcb91f076,South-South
Poorly Constructed,,Udochi,,,"Water Scheme, Source within 100m",1346064757978.jpg,No,6.950483322143555 6.652784943580627 37.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1346064757978.jpg,water,Edo,edo_etsako_central,a350460a-f917-4038-be95-69531c6921a8,Udochi ward 10,Tap,outlet,,a350460a-f917-4038-be95-69531c6921a8,South-South
Mechanical Issue,,Oghomere,,,"Water Scheme, Source within 100m",1345881918716.jpg,No,6.957896947860718 6.511561274528503 85.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1345881918716.jpg,water,Edo,edo_etsako_central,c80e3518-2b9a-4ced-900e-8d14a63424b3,Oghomere ward 7,Tap,outlet,,c80e3518-2b9a-4ced-900e-8d14a63424b3,South-South
Functional,,Ogbago,,,"Water Scheme, Source within 100m",1345885070751.jpg,Yes,6.970884203910828 6.505885720252991 85.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1345885070751.jpg,water,Edo,edo_etsako_central,2891e928-6a52-43d2-b3dd-4a31cec4fec4,Ogbago ward 7,Tap,outlet,,2891e928-6a52-43d2-b3dd-4a31cec4fec4,South-South
Poorly Constructed,,Inone,,,"Water Scheme, Source within 100m",1345798261372.jpg,No,7.084819078445435 6.498547196388245 254.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),Don't Know,1345798261372.jpg,water,Edo,edo_etsako_central,f02de0da-db02-452d-a5d0-44f17e5d6b82,Inone Ward 1,Tap,outlet,,f02de0da-db02-452d-a5d0-44f17e5d6b82,South-South
Poorly Constructed,,OSOMHEGBE,,,"Water Scheme, Source within 100m",1346072107288.jpg,No,6.952548623085022 6.625099182128906 52.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1346072107288.jpg,water,Edo,edo_etsako_central,e4d116fb-2c41-428e-a44b-bc54975be14f,OSOMHEGBE 8,Tap,outlet,,e4d116fb-2c41-428e-a44b-bc54975be14f,South-South
Mechanical Issue,,Udochi,,,"Water Scheme, Source within 100m",1346063637483.jpg,No,6.95034384727478 6.65371298789978 61.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1346063637483.jpg,water,Edo,edo_etsako_central,099a447b-806c-437f-880f-269fbfdef6ad,Udochi ward 10,Tap,outlet,,099a447b-806c-437f-880f-269fbfdef6ad,South-South
Functional,,Iraohor,,,"Water Scheme, Source within 100m",1345888088674.jpg,Yes,7.1260446310043335 6.435037851333618 356.0 4.0,True,Etsako-Central,212,212,212.0,Tap (unknown lift),No,1345888088674.jpg,water,Edo,edo_etsako_central,4c263760-7f44-487a-a787-130dc04970a4,5,Tap,outlet,,4c263760-7f44-487a-a787-130dc04970a4,South-South
