breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,AFUDA IGUEBEN,,,"Water Scheme, Source within 100m",1347021057619.jpg,No,6.5940552949905396 6.244906783103943 316.0 4.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347021057619.jpg,water,Edo,edo_iguegben,7b439f54-6690-4186-9f29-842b344e3ae8,3,Tap,outlet,,7b439f54-6690-4186-9f29-842b344e3ae8,South-South
Poorly Constructed,,OKUTA EBELLE,,,"Water Scheme, Source within 1km",1347099220352.jpg,No,6.473243236541748 6.233512759208679 269.0 4.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347099220352.jpg,water,Edo,edo_iguegben,87ca17fa-64b2-47a2-93cc-0bbe3e0fa70f,6,Tap,outlet,,87ca17fa-64b2-47a2-93cc-0bbe3e0fa70f,South-South
Poorly Constructed,,OKUTA EBELLE,,,"Water Scheme, Source within 1km",1347098943599.jpg,No,6.476236581802368 6.234381794929504 272.0 4.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347098943599.jpg,water,Edo,edo_iguegben,9dd3b103-e1b9-4c95-a68f-52b38aa822ae,WD6,Tap,outlet,,9dd3b103-e1b9-4c95-a68f-52b38aa822ae,South-South
Mechanical Issue,,Ewossa,,,"Water Scheme, Source further than 1km",1347236005770.jpg,No,6.45955431 6.27640374 290.70001220703125 5.0,True,Iguegben,311,311,311.0,Tap (unknown lift),Don't Know,1347236005770.jpg,water,Edo,edo_iguegben,8545037f-ac72-4c25-828f-1e377b2fc5fc,9,Tap,outlet,,8545037f-ac72-4c25-828f-1e377b2fc5fc,South-South
Mechanical Issue,,ekehen,,,Stand Alone Water Point,1347020497742.jpg,No,6.623055338859558 6.241537928581238 345.0 4.0,True,Iguegben,311,311,311.0,,No,1347020497742.jpg,water,Edo,edo_iguegben,f77fe7b3-7fff-4718-a663-22accbcf6e94,l,Borehole,water_source,borehole_tube_well,f77fe7b3-7fff-4718-a663-22accbcf6e94,South-South
Functional,,Oyomoh,,,Stand Alone Water Point,1347029590974.jpg,Yes,6.615915298461914 6.2480127811431885 329.0 3.0,True,Iguegben,311,311,311.0,Diesel,No,1347029590974.jpg,water,Edo,edo_iguegben,b0380559-575c-40c1-b447-ce32feb946f0,2,Borehole,water_source,borehole_tube_well,b0380559-575c-40c1-b447-ce32feb946f0,South-South
Under Construction,,Uhe,,,"Water Scheme, Source within 100m",1347017929873.jpg,No,6.596024036407471 6.248334646224976 324.0 4.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347017929873.jpg,water,Edo,edo_iguegben,51900fdb-cf44-4eb2-b6b1-482c1794a53c,Ward 4,Tap,outlet,,51900fdb-cf44-4eb2-b6b1-482c1794a53c,South-South
Don't Know,,UDONERIA,,,"Water Scheme, Source within 100m",1347277483415.jpg,No,6.57880425453186 6.298357844352722 286.0 3.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347277483415.jpg,water,Edo,edo_iguegben,0e3966dd-ef61-4882-b9b5-2ebe5174c60a,5,Tap,outlet,,0e3966dd-ef61-4882-b9b5-2ebe5174c60a,South-South
Mechanical Issue,,ekpon,,,Stand Alone Water Point,1347288044047.jpg,No,6.413971781730652 6.26695454120636 246.0 4.0,False,Iguegben,311,311,311.0,,No,1347288044047.jpg,water,Edo,edo_iguegben,4c64364a-b32b-4847-b21c-6cf0745d0cc0,10,Unimproved Well,water_source,protected_dug_well,4c64364a-b32b-4847-b21c-6cf0745d0cc0,South-South
Mechanical Issue,,Idomogo,,,Stand Alone Water Point,1347023554459.jpg,No,6.6030943393707275 6.23822808265686 296.0 4.0,False,Iguegben,311,311,311.0,,No,1347023554459.jpg,water,Edo,edo_iguegben,4beca528-ad7c-4747-a040-0913cdf11f3a,1,Unimproved Well,water_source,unprotected_dug_well,4beca528-ad7c-4747-a040-0913cdf11f3a,South-South
Poorly Constructed,,EGBESAN,,,"Water Scheme, Source within 100m",1347022247187.jpg,No,6.5674638748168945 6.232472062110901 318.0 4.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347022247187.jpg,water,Edo,edo_iguegben,d0d0a730-eb2a-4fef-a97b-3235b0cc7e69,3,Tap,outlet,,d0d0a730-eb2a-4fef-a97b-3235b0cc7e69,South-South
Functional,,Idomogo,,,"Water Scheme, Source within 1km",1347022778056.jpg,Yes,6.602981686592102 6.232096552848816 293.0 4.0,True,Iguegben,311,311,311.0,Tap (unknown lift),Yes,1347022778056.jpg,water,Edo,edo_iguegben,f258cd0c-e9c7-4171-8b83-b5aa9d647572,1,Tap,outlet,,f258cd0c-e9c7-4171-8b83-b5aa9d647572,South-South
Poorly Constructed,,Afuda Igueben,,,"Water Scheme, Source within 100m",1347020179356.jpg,No,6.593921184539795 6.245255470275879 315.0 4.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347020179356.jpg,water,Edo,edo_iguegben,54e989b2-7b42-43fb-9e87-07d73472dc31,Ward 3,Tap,outlet,,54e989b2-7b42-43fb-9e87-07d73472dc31,South-South
Poorly Constructed,,"EWOSA
M D G AND CGS WATER PROJECT 2008",,,"Water Scheme, Source within 100m",1347273450029.jpg,No,6.46278645 6.27491477 278.79998779296875 5.0,True,Iguegben,311,311,311.0,Tap (unknown lift),No,1347273450029.jpg,water,Edo,edo_iguegben,667cd2b6-19c8-4daa-b677-763665003a9b,9,Tap,outlet,,667cd2b6-19c8-4daa-b677-763665003a9b,South-South
