"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"16272",16272,16272,"7d133d02-8fbd-40c5-ace6-05366dc1b737","ovia_north_east","edo","south_south",627,"1338126493252.jpg","edo_ovia_north_east","7d133d02-8fbd-40c5-ace6-05366dc1b737","1338126493252.jpg","6.52567986 5.53880316 161.5 5.0","OGua PHC","primaryhealthcarecentre",FALSE,NA,TRUE,FALSE,FALSE,1,FALSE,FALSE,1,0,0,0,3,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"health"
"16274",16274,16274,"a92d1739-4f2f-447b-bcf1-f007ca2f72ec","ovia_north_east","edo","south_south",627,"1337959079776.jpg","edo_ovia_north_east","a92d1739-4f2f-447b-bcf1-f007ca2f72ec","1337959079776.jpg","6.785302 5.51670012 165.5 5.0","Egberter PHC","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,2,0,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"16275",16275,16275,"6bf85016-a824-46d5-9ab1-c9f68d844cef","ovia_north_east","edo","south_south",627,"1337953171397.jpg","edo_ovia_north_east","6bf85016-a824-46d5-9ab1-c9f68d844cef","1337953171397.jpg","6.76764895 5.5402961 115.9000015258789 5.0","UHEN PHCC","primaryhealthcarecentre",FALSE,TRUE,NA,TRUE,FALSE,3,TRUE,FALSE,3,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"16276",16276,16276,"4a709e7d-ed94-4d5a-a694-fb51ae51b1cd","ovia_north_east","edo","south_south",627,"1337949387655.jpg","edo_ovia_north_east","4a709e7d-ed94-4d5a-a694-fb51ae51b1cd","1337949387655.jpg","6.27753116 5.48825992 63.70000076293945 5.0","Obazuwa PHC","primaryhealthcarecentre",FALSE,NA,NA,FALSE,FALSE,0,FALSE,FALSE,0,NA,0,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"16277",16277,16277,"18fa2a3e-8cb6-40f3-8c29-eaa48ab3d141","ovia_north_east","edo","south_south",627,"1338219376206.jpg","edo_ovia_north_east","18fa2a3e-8cb6-40f3-8c29-eaa48ab3d141","1338219376206.jpg","6.49994108 5.56873901 156.60000610351563 5.0","EVBONEKA PHC","primaryhealthcarecentre",FALSE,FALSE,NA,TRUE,TRUE,2,FALSE,FALSE,2,0,1,0,0,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"16279",16279,16279,"f7cad5e2-0dc1-4b39-86ed-b54f92542cab","ovia_north_east","edo","south_south",627,"1338384632459.jpg","edo_ovia_north_east","f7cad5e2-0dc1-4b39-86ed-b54f92542cab","1338384632459.jpg","6.65531494 5.574717 73.5 5.0","IGUHORO","primaryhealthcarecentre",FALSE,TRUE,NA,TRUE,FALSE,3,TRUE,FALSE,3,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"16280",16280,16280,"132e7974-86c2-4cbd-92ef-984a72eafb83","ovia_north_east","edo","south_south",627,"1337952026118.jpg","edo_ovia_north_east","132e7974-86c2-4cbd-92ef-984a72eafb83","1337952026118.jpg","6.76312434 5.55766149 72.9000015258789 5.0","OGBESSE PHC","primaryhealthcarecentre",FALSE,TRUE,NA,FALSE,TRUE,2,FALSE,FALSE,2,1,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"16281",16281,16281,"b2b26489-3059-41a8-bbbe-f12bb1ae9087","ovia_north_east","edo","south_south",627,"1337946709797.jpg","edo_ovia_north_east","b2b26489-3059-41a8-bbbe-f12bb1ae9087","1337946709797.jpg","6.78808567 5.50484494 181.0 5.0","UTESE PHC","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,0,0,1,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"16282",16282,16282,"68eec009-3e3d-4f49-8ace-dbd2bc08238b","ovia_north_east","edo","south_south",627,"1338201615462.jpg","edo_ovia_north_east","68eec009-3e3d-4f49-8ace-dbd2bc08238b","1338201615462.jpg","6.45097323 5.63073634 144.6999969482422 5.0","Utekon primary health centre.","primaryhealthcarecentre",FALSE,NA,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health"
"16283",16283,16283,"e8a66251-1ad0-48f9-943c-a802eb8bbfe5","ovia_north_east","edo","south_south",627,"1337944050948.jpg","edo_ovia_north_east","e8a66251-1ad0-48f9-943c-a802eb8bbfe5","1337944050948.jpg","6.29402253 5.54541341 78.5 5.0","Oghede PH","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,FALSE,3,2,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
