"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"24553",24553,24553,"5ea04a77-d62f-4b16-ac1e-d4822da14cb5","ilejemeje","ekiti","southwest","7.94066521 5.26469814 569.4000244140625 5.0","Iludun Community High school","junior_and_senior_sec","ekiti_ilejemeje",340,"1338028850763.jpg","5ea04a77-d62f-4b16-ac1e-d4822da14cb5","junior_and_senior_sec","1338028850763.jpg",16,"formal_educ",FALSE,TRUE,6,3,150,0.443786982248521,TRUE,TRUE,3,0.888268156424581,FALSE,NA,NA,TRUE,6,FALSE,FALSE,FALSE,FALSE,28.1666666666667,FALSE,TRUE,FALSE,TRUE,1.69,1.69,21.125,1.23076923076923,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"24554",24554,24554,"310f74f3-8403-4c17-9787-abf1cade749e","ilejemeje","ekiti","southwest","7.93490327 5.27307515 587.2999877929688 5.0","AUD Primary School Iludun Ekiti","primary_only","ekiti_ilejemeje",340,"1338201609474.jpg","310f74f3-8403-4c17-9787-abf1cade749e","primary_only","1338201609474.jpg",2,"religious_with_formal",FALSE,TRUE,0,2,0,0,FALSE,FALSE,0,0.75,FALSE,NA,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,TRUE,4.2,4.2,10.5,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"24555",24555,24555,"4ac596f0-ed0c-4298-aacf-af44cd5a4429","ilejemeje","ekiti","southwest","7.94927311 5.2239988 580.4000244140625 5.0","Canaanland Pre-Varsity Academy,Iye-Ekiti","juniors_sec_only","ekiti_ilejemeje",340,"1338379659401.jpg","4ac596f0-ed0c-4298-aacf-af44cd5a4429","juniors_sec_only","1338379659401.jpg",19,"formal_educ",FALSE,TRUE,0,1,NA,NA,TRUE,NA,7,0.875,TRUE,TRUE,9,TRUE,4,FALSE,FALSE,TRUE,TRUE,11.25,FALSE,FALSE,FALSE,TRUE,1,1,2.36842105263158,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"24556",24556,24556,"ddbcdc35-dab2-4f94-934c-036e7b093e94","ilejemeje","ekiti","southwest","7.92492795 5.17536922 569.2000122070313 5.0","EWU COMP. HIGH SCH. EWU EKITI","juniors_sec_only","ekiti_ilejemeje",340,"1337947683729.jpg","ddbcdc35-dab2-4f94-934c-036e7b093e94","juniors_sec_only","1337947683729.jpg",18,"formal_educ",FALSE,TRUE,3,6,NA,NA,TRUE,NA,0,0.979166666666667,TRUE,FALSE,95,TRUE,7,FALSE,FALSE,FALSE,FALSE,12.6666666666667,FALSE,FALSE,FALSE,TRUE,1,1,10.5555555555556,9,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"24557",24557,24557,"a8612f04-b67f-4d31-a119-118d1d1b498a","ilejemeje","ekiti","southwest","7.94941179 5.22420767 574.9000244140625 5.0","Christ The King Nur/Pri.School","preprimary_and_primary","ekiti_ilejemeje",340,"1338375715693.jpg","a8612f04-b67f-4d31-a119-118d1d1b498a","preprimary_and_primary","1338375715693.jpg",11,"formal_educ",FALSE,TRUE,0,7,525,2.98295454545455,TRUE,NA,13,1.17283950617284,TRUE,TRUE,35.2,TRUE,9,FALSE,FALSE,TRUE,TRUE,19.5555555555556,FALSE,FALSE,FALSE,TRUE,1,1,16,11,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"24558",24558,24558,"ba8554a8-666f-4d65-9d87-2e75c459f282","ilejemeje","ekiti","southwest","7.94020178 5.24772569 573.9000244140625 5.0","St. Martin Catholic Nur/Prim. Sch.","preprimary_and_primary","ekiti_ilejemeje",340,"1338034361653.jpg","ba8554a8-666f-4d65-9d87-2e75c459f282","preprimary_and_primary","1338034361653.jpg",2,"formal_educ",FALSE,FALSE,2,2,9,0.409090909090909,FALSE,FALSE,0,1.44444444444444,FALSE,FALSE,11,FALSE,2,TRUE,FALSE,FALSE,FALSE,3.66666666666667,FALSE,FALSE,TRUE,FALSE,Inf,Inf,11,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"24559",24559,24559,"2c730ceb-2d80-4c4b-b6d1-8d9a08fa18eb","ilejemeje","ekiti","southwest","7.95558681 5.21972356 551.0999755859375 5.0","St.Joseph CAC Nur/Pri.Sch.Ijesha","preprimary_and_primary","ekiti_ilejemeje",340,"1338198582133.jpg","2c730ceb-2d80-4c4b-b6d1-8d9a08fa18eb","preprimary_and_primary","1338198582133.jpg",7,"formal_educ",FALSE,FALSE,2,7,489,4.98979591836735,TRUE,TRUE,0,1.08510638297872,TRUE,FALSE,16.3333333333333,FALSE,3,FALSE,FALSE,FALSE,FALSE,10.8888888888889,FALSE,FALSE,FALSE,TRUE,2.33333333333333,2.33333333333333,14,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"24560",24560,24560,"45b5f40d-3b3c-4f0a-a3b4-58148b012e2a","ilejemeje","ekiti","southwest","7.90268804 5.24469511 540.2999877929688 4.0","Ipere Comperensise High School","juniors_sec_only","ekiti_ilejemeje",340,"1337947647260.jpg","45b5f40d-3b3c-4f0a-a3b4-58148b012e2a","juniors_sec_only","1337947647260.jpg",16,"formal_educ",TRUE,FALSE,5,6,NA,NA,TRUE,TRUE,20,1.13333333333333,TRUE,FALSE,8,FALSE,5,FALSE,FALSE,TRUE,FALSE,2.28571428571429,FALSE,FALSE,FALSE,FALSE,0.336842105263158,0.64,2,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"24561",24561,24561,"08cbc051-6378-4dac-841d-265aff3f301e","ilejemeje","ekiti","southwest","7.9294369 5.18334069 547.2999877929688 5.0","Academy Success Nur.and Pry. School","preprimary_and_primary","ekiti_ilejemeje",340,"1337988544850.jpg","08cbc051-6378-4dac-841d-265aff3f301e","preprimary_and_primary","1337988544850.jpg",7,"formal_educ",FALSE,FALSE,5,3,308,4.4,TRUE,FALSE,0,0.75,FALSE,FALSE,35,FALSE,0,FALSE,FALSE,TRUE,FALSE,14,FALSE,FALSE,FALSE,TRUE,3.18181818181818,5,10,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"24562",24562,24562,"654a02af-d04a-4c02-ad0b-52e00b411607","ilejemeje","ekiti","southwest","7.93490482 5.18462956 545.4000244140625 5.0","St. Marys Comm. Pry Schoolt","primary_only","ekiti_ilejemeje",340,"1337985029924.jpg","654a02af-d04a-4c02-ad0b-52e00b411607","primary_only","1337985029924.jpg",9,"formal_educ",FALSE,TRUE,3,7,NA,NA,TRUE,FALSE,0,0.94,TRUE,FALSE,48.5,FALSE,2,FALSE,FALSE,FALSE,FALSE,10.7777777777778,FALSE,FALSE,FALSE,TRUE,4.85,4.85,10.7777777777778,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"24563",24563,24563,"e45e8de8-7471-401c-bd20-8c6d28bcec45","ilejemeje","ekiti","southwest","7.9290923 5.17967024 563.5 5.0","ST BONIFACES CATHOLIC PRY SCH. EWU EKITI","preprimary_and_primary","ekiti_ilejemeje",340,"1337945588802.jpg","e45e8de8-7471-401c-bd20-8c6d28bcec45","preprimary_and_primary","1337945588802.jpg",10,"formal_educ",FALSE,TRUE,2,9,303,2.85849056603774,TRUE,FALSE,0,0.927272727272727,FALSE,TRUE,26.5,FALSE,2,FALSE,FALSE,FALSE,FALSE,10.6,FALSE,FALSE,FALSE,TRUE,1.51428571428571,1.51428571428571,10.6,Inf,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
