"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"39844",39844,39844,"cb940a18-1761-4a95-af1c-253a1d478fa9","nkanu_east","enugu","southeast","6.33775852 7.68750902 106.69999694824219 5.0","Divine Comprehensive Sec Sch Obinagu Amagunze","junior_and_senior_sec","enugu_nkanu",533,"1336151999793.jpg","cb940a18-1761-4a95-af1c-253a1d478fa9","junior_and_senior_sec","1336151999793.jpg",7,"formal_educ",TRUE,FALSE,7,1,24,0.222222222222222,TRUE,NA,20,0.661538461538462,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,15.4285714285714,FALSE,FALSE,FALSE,TRUE,1.02857142857143,1.02857142857143,15.4285714285714,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"39845",39845,39845,"b4e1adb2-cacd-4904-acdb-147e8942c5f8","nkanu_east","enugu","southeast","6.24244071 7.567434 127.5999984741211 5.0","Comm. School,Uhuona","preprimary_and_primary","enugu_nkanu",533,"1336127837462.jpg","b4e1adb2-cacd-4904-acdb-147e8942c5f8","preprimary_and_primary","1336127837462.jpg",8,"formal_educ",FALSE,FALSE,0,6,172,0.982857142857143,FALSE,FALSE,0,0.715686274509804,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,29.1666666666667,FALSE,FALSE,FALSE,FALSE,7,1.75,21.875,Inf,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
"39846",39846,39846,"d22d1faf-e87a-4dec-966d-ce229e5b1318","nkanu_east","enugu","southeast","6.29742099 7.65158816 102.30000305175781 5.0","Community Central Ama Afor Ihuokpara","preprimary_and_primary","enugu_nkanu",533,"1335977510993.jpg","d22d1faf-e87a-4dec-966d-ce229e5b1318","preprimary_and_primary","1335977510993.jpg",15,"formal_educ",FALSE,FALSE,5,10,930,2.81818181818182,TRUE,NA,0,0.918604651162791,TRUE,FALSE,110,FALSE,0,FALSE,FALSE,FALSE,FALSE,36.6666666666667,FALSE,FALSE,FALSE,FALSE,6.6,11,22,Inf,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"39847",39847,39847,"e40d4b9c-c223-4eed-b941-bcc32fc16cbe","nkanu_east","enugu","southeast","6.35896731 7.64338561 130.1999969482422 5.0","St Philip Primary School Ndiagu Obodo Uvuru","preprimary_and_primary","enugu_nkanu",533,"1336051686149.jpg","e40d4b9c-c223-4eed-b941-bcc32fc16cbe","preprimary_and_primary","1336051686149.jpg",7,"formal_educ",TRUE,TRUE,7,3,0,0,FALSE,FALSE,115,1.08,FALSE,NA,NA,TRUE,0,FALSE,FALSE,FALSE,FALSE,37.1428571428571,FALSE,FALSE,FALSE,TRUE,2.26086956521739,Inf,37.1428571428571,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"39848",39848,39848,"40c8c699-b16f-40ae-b7bb-4fae24fecc7d","nkanu_east","enugu","southeast","6.36205126 7.6368999 122.5 5.0","Community School 2, Akpawfu","preprimary_and_primary","enugu_nkanu",533,"1336733593997.jpg","40c8c699-b16f-40ae-b7bb-4fae24fecc7d","preprimary_and_primary","1336733593997.jpg",11,"formal_educ",FALSE,TRUE,5,10,135,0.619266055045872,FALSE,TRUE,0,0.831932773109244,TRUE,TRUE,54.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,31.1428571428571,FALSE,FALSE,FALSE,FALSE,1.21111111111111,7.26666666666667,19.8181818181818,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"39849",39849,39849,"493e2e2c-c415-4a1e-8220-f6aa98c3ae96","nkanu_east","enugu","southeast","6.58924478 7.67995721 139.3000030517578 5.0","UPS Campus 2 Idume Amankanu",NA,"enugu_nkanu",533,"1293649111380.jpg","493e2e2c-c415-4a1e-8220-f6aa98c3ae96",NA,"1293649111380.jpg",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"education"
"39850",39850,39850,"3d935d73-3e20-4e38-b224-89660b57b933","nkanu_east","enugu","southeast","6.16341417 7.57477733 110.5 5.0","Citadel Grammer Sch Amigbo Nomeh","junior_and_senior_sec","enugu_nkanu",533,"1336219086169.jpg","3d935d73-3e20-4e38-b224-89660b57b933","junior_and_senior_sec","1336219086169.jpg",7,"formal_educ",TRUE,FALSE,0,4,0,0,TRUE,TRUE,31,0.714285714285714,TRUE,FALSE,60,FALSE,5,FALSE,FALSE,TRUE,FALSE,24,FALSE,FALSE,FALSE,FALSE,1.09090909090909,1.09090909090909,17.1428571428571,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"39851",39851,39851,"2837f686-1054-40a0-9e1f-973801189ff7","nkanu_east","enugu","southeast","6.16255421 7.58096505 111.30000305175781 5.0","Community Sch Nomeh","preprimary_and_primary","enugu_nkanu",533,"1336391775523.jpg","2837f686-1054-40a0-9e1f-973801189ff7","preprimary_and_primary","1336391775523.jpg",10,"formal_educ",TRUE,FALSE,4,10,0,0,FALSE,TRUE,0,1.12,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,44.1666666666667,FALSE,FALSE,FALSE,FALSE,Inf,Inf,26.5,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"39852",39852,39852,"e7f4b08b-e49e-4f8d-80f5-b026e227c225","nkanu_east","enugu","southeast","6.22519212 7.58569157 108.80000305175781 5.0","Comm. Primary School,Ubeagu,Amafor-Ugbawka","preprimary_and_primary","enugu_nkanu",533,"1336138078198.jpg","e7f4b08b-e49e-4f8d-80f5-b026e227c225","preprimary_and_primary","1336138078198.jpg",10,"formal_educ",FALSE,FALSE,8,9,423,1.54379562043796,TRUE,FALSE,0,1.01470588235294,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,34.25,FALSE,FALSE,FALSE,TRUE,2.74,7.82857142857143,27.4,Inf,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"39853",39853,39853,"4ecef4e8-c985-4000-898c-eaf45bc38459","nkanu_east","enugu","southeast","6.1536334 7.68280576 79.0999984741211 5.0","Union Primary School","preprimary_and_primary","enugu_nkanu",533,"1336397943656.jpg","4ecef4e8-c985-4000-898c-eaf45bc38459","preprimary_and_primary","1336397943656.jpg",14,"formal_educ",FALSE,FALSE,2,14,209,3.21538461538462,TRUE,FALSE,0,0.756756756756757,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,7.22222222222222,FALSE,FALSE,FALSE,FALSE,1.03174603174603,0.305164319248826,4.64285714285714,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"39855",39855,39855,"8a7ac66d-b30f-4361-a5d8-95b49efe08e6","nkanu_east","enugu","southeast","6.22233495 7.64002023 100.9000015258789 5.0","Eberechi Chukwu Nursery & Pri. Sch.","preprimary_and_primary","enugu_nkanu",533,"1336214570375.jpg","8a7ac66d-b30f-4361-a5d8-95b49efe08e6","preprimary_and_primary","1336214570375.jpg",8,"formal_educ",FALSE,FALSE,1,6,95,1.46153846153846,FALSE,FALSE,0,1.16666666666667,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,10.8333333333333,FALSE,FALSE,FALSE,FALSE,1.08333333333333,1.85714285714286,8.125,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"39856",39856,39856,"257105c1-0b05-49a0-bf34-60d158a5a15b","nkanu_east","enugu","southeast","6.14265091 7.69016826 90.69999694824219 5.0","Central Pri. School,Amofu,Nkerefi","preprimary_and_primary","enugu_nkanu",533,"1336395307480.jpg","257105c1-0b05-49a0-bf34-60d158a5a15b","preprimary_and_primary","1336395307480.jpg",9,"formal_educ",FALSE,FALSE,0,7,663,21.3870967741935,TRUE,FALSE,0,1.06666666666667,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,4.42857142857143,FALSE,FALSE,FALSE,FALSE,0.516666666666667,1.03333333333333,3.44444444444444,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"39857",39857,39857,"dabe33b7-1f3c-4547-8c89-48984436b60a","nkanu_east","enugu","southeast","6.23362582 7.57605209 109.5 5.0","Community Pri. Sch. Umunevo, Ugbawka","preprimary_and_primary","enugu_nkanu",533,"1336737870721.jpg","dabe33b7-1f3c-4547-8c89-48984436b60a","preprimary_and_primary","1336737870721.jpg",5,"formal_educ",TRUE,FALSE,4,4,150,1.06382978723404,FALSE,TRUE,30,1.04347826086957,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,35.25,FALSE,FALSE,FALSE,FALSE,2.35,3.525,28.2,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
