"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",39889,"d19951e4-ab59-49ff-a677-394b02885136","nkanu_west","enugu","southeast","6.34213969 7.58614109 186.10000610351563 5.0","Community School Amede Akpugo","primary_only","enugu_nkanu_west",534,"1339761594638.jpg","d19951e4-ab59-49ff-a677-394b02885136","primary_only","1339761594638.jpg",5,"formal_educ",FALSE,FALSE,0,5,NA,NA,TRUE,FALSE,60,1.58928571428571,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,18.125,FALSE,FALSE,TRUE,FALSE,Inf,4.02777777777778,29,Inf,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",39890,"887e7e4f-ba64-4d75-9db9-dbeb94b19e57","nkanu_west","enugu","southeast","6.310787200927734 7.465526461601257 221.0 4.0","Community  Primary  School  Amigbo/Aechi  Ozalla","preprimary_and_primary","enugu_nkanu_west",534,"1339755635682.jpg","887e7e4f-ba64-4d75-9db9-dbeb94b19e57","preprimary_and_primary","1339755635682.jpg",8,"formal_educ",TRUE,FALSE,4,8,475,2.14932126696833,TRUE,TRUE,20,1.21,FALSE,FALSE,110.5,TRUE,2,FALSE,FALSE,TRUE,FALSE,20.0909090909091,FALSE,FALSE,TRUE,FALSE,2.32631578947368,2.32631578947368,27.625,Inf,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",39891,"1a8e961e-8801-4ba8-97f2-fcd9c28f9b8c","nkanu_west","enugu","southeast","6.31920917 7.58456283 160.10000610351563 5.0","Stella Maris Comprehensive secondary school","juniors_sec_only","enugu_nkanu_west",534,"1339587481989.jpg","1a8e961e-8801-4ba8-97f2-fcd9c28f9b8c","juniors_sec_only","1339587481989.jpg",20,"formal_educ",FALSE,FALSE,7,3,NA,NA,TRUE,NA,68,0.588235294117647,TRUE,TRUE,50.625,FALSE,0,FALSE,FALSE,TRUE,FALSE,33.75,FALSE,FALSE,FALSE,FALSE,1.35,1.35,20.25,10,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",39892,"3506be8b-c424-427c-b736-7eb57fa42511","nkanu_west","enugu","southeast","6.33427202 7.59518943 137.3000030517578 5.0","Central school Akpugo","primary_only","enugu_nkanu_west",534,"1339596697246.jpg","3506be8b-c424-427c-b736-7eb57fa42511","primary_only","1339596697246.jpg",10,"formal_educ",TRUE,TRUE,1,5,NA,NA,TRUE,FALSE,0,1.06122448979592,TRUE,TRUE,25.25,FALSE,1,FALSE,FALSE,FALSE,FALSE,20.2,FALSE,FALSE,TRUE,TRUE,16.8333333333333,2.10416666666667,10.1,Inf,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",39893,"dc22e31f-a209-4bdb-a196-ac57e093629b","nkanu_west","enugu","southeast","6.29537699 7.55058953 159.1999969482422 5.0","Primary school Amankanu Amurri","preprimary_and_primary","enugu_nkanu_west",534,"1339586956270.jpg","dc22e31f-a209-4bdb-a196-ac57e093629b","preprimary_and_primary","1339586956270.jpg",7,"formal_educ",TRUE,FALSE,0,5,317,2.01910828025478,TRUE,TRUE,0,1.61666666666667,TRUE,FALSE,157,FALSE,3,FALSE,FALSE,FALSE,FALSE,26.1666666666667,FALSE,FALSE,TRUE,FALSE,Inf,4.48571428571429,22.4285714285714,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",39894,"9333d23f-78e6-4b03-9e0d-a50e5d8fec1c","nkanu_west","enugu","southeast","6.32775783 7.51915986 185.8000030517578 5.0","Communit sec. Sch Obuoffia Awk","junior_and_senior_sec","enugu_nkanu_west",534,"1339674922751.jpg","9333d23f-78e6-4b03-9e0d-a50e5d8fec1c","junior_and_senior_sec","1339674922751.jpg",21,"formal_educ",FALSE,FALSE,17,9,30,0.118577075098814,FALSE,NA,10,0.769230769230769,TRUE,TRUE,31.625,TRUE,0,FALSE,FALSE,TRUE,FALSE,14.8823529411765,FALSE,FALSE,FALSE,FALSE,25.3,19.4615384615385,12.047619047619,21,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"7",39895,"b72dbdac-2389-4efb-b255-7a5b4468fbe9","nkanu_west","enugu","southeast","6.306495666503906 7.5481116771698 165.0 4.0","Station Primary School Agbani","preprimary_and_primary","enugu_nkanu_west",534,"1339842121844.jpg","b72dbdac-2389-4efb-b255-7a5b4468fbe9","preprimary_and_primary","1339842121844.jpg",17,"formal_educ",FALSE,FALSE,7,12,585,1.56,FALSE,TRUE,0,1.09497206703911,TRUE,TRUE,93.75,FALSE,0,FALSE,FALSE,FALSE,FALSE,53.5714285714286,FALSE,FALSE,FALSE,FALSE,37.5,6.14754098360656,22.0588235294118,Inf,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",39896,"ccf42486-5deb-431b-9048-a9d5a7b78c84","nkanu_west","enugu","southeast","6.3178077 7.53424373 207.1999969482422 5.0","Graceland day care nursery school","preprimary_only","enugu_nkanu_west",534,"1339666485424.jpg","ccf42486-5deb-431b-9048-a9d5a7b78c84","preprimary_only","1339666485424.jpg",3,"formal_educ",FALSE,FALSE,3,1,0,0,FALSE,FALSE,0,0.96875,FALSE,NA,NA,TRUE,0,FALSE,FALSE,FALSE,FALSE,21,FALSE,FALSE,FALSE,TRUE,4.5,21,21,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",39897,"fe95021f-9ba1-4466-bc85-87d77ca86733","nkanu_west","enugu","southeast","6.33671598 7.57924272 199.5 5.0","Community Central School 2 O‘eji Ndiuno Akpugo","primary_only","enugu_nkanu_west",534,"1339753462168.jpg","fe95021f-9ba1-4466-bc85-87d77ca86733","primary_only","1339753462168.jpg",8,"formal_educ",FALSE,FALSE,5,7,NA,NA,TRUE,FALSE,0,0.914893617021277,TRUE,FALSE,45,FALSE,3,FALSE,FALSE,FALSE,FALSE,11.25,FALSE,FALSE,FALSE,TRUE,4.5,4.5,11.25,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",39898,"4076222f-a732-4615-b573-c2dafb54ccac","nkanu_west","enugu","southeast","6.291303634643555 7.482531666755676 225.0 4.0","Community  Primary  School  Obeagwu  Ozalla.","preprimary_and_primary","enugu_nkanu_west",534,"1339753290435.jpg","4076222f-a732-4615-b573-c2dafb54ccac","preprimary_and_primary","1339753290435.jpg",8,"formal_educ",FALSE,FALSE,5,8,300,2.75229357798165,TRUE,TRUE,20,1.3695652173913,TRUE,FALSE,54.5,FALSE,4,FALSE,FALSE,FALSE,FALSE,21.8,FALSE,FALSE,TRUE,FALSE,21.8,3.63333333333333,13.625,Inf,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
