antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,224.7961883,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,True,,Amangwu Health Ventre,TRUE,primaryhealthcarecentre,False,True,False,True,1339673428143.jpg,6.33022955 7.50867368 194.60000610351563 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,False,False,False,Nkanu West,534,534,534.0,False,True,False,True,False,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,6,6,0.0,0.0,0.0,1.0,False,public,False,True,1339673428143.jpg,146695,652.568894114,True,False,False,health,True,TRUE,Enugu,False,True,148,FALSE,enugu_nkanu_west,False,912ad85c-7611-4c19-9b25-57a286d99e7a,False,False,912ad85c-7611-4c19-9b25-57a286d99e7a,Southeast
False,224.7961883,False,False,False,True,True,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,AKEGBEUGWU   HEALTH CENTRE,,primaryhealthcarecentre,False,True,False,True,1340019791711.jpg,6.34289745 7.4804487 210.1999969482422 5.0,False,True,FALSE,False,False,False,False,TRUE,True,True,False,False,True,True,False,False,Nkanu West,534,534,534.0,False,True,True,False,False,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,3,2,1.0,1.0,2.0,0.0,False,public,False,True,1340019791711.jpg,146695,652.568894114,False,False,False,health,True,TRUE,Enugu,True,True,148,TRUE,enugu_nkanu_west,False,1c62bcab-063f-4e8b-9d78-bc97471a5461,,,1c62bcab-063f-4e8b-9d78-bc97471a5461,Southeast
False,224.7961883,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,O‘Eji Ndiuno Akpugo H.C,FALSE,primaryhealthcarecentre,False,True,False,True,1339755703283.jpg,6.33644663 7.57779154 184.0 5.0,False,True,FALSE,False,True,False,False,TRUE,,True,False,False,True,False,False,False,Nkanu West,534,534,534.0,False,True,True,True,False,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,5,5,0.0,0.0,2.0,1.0,False,public,False,True,1339755703283.jpg,146695,652.568894114,,False,False,health,True,FALSE,Enugu,False,True,148,FALSE,enugu_nkanu_west,False,bfd6f0de-3acc-471a-9201-1982fd894e85,,,bfd6f0de-3acc-471a-9201-1982fd894e85,Southeast
False,224.7961883,False,False,False,False,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,,Umueze health centre,FALSE,primaryhealthcarecentre,False,,False,,1339662998606.jpg,6.31464177 7.53260281 196.89999389648438 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Nkanu West,534,534,534.0,False,True,True,True,False,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,3,1,0.0,0.0,0.0,0.0,False,public,False,True,1339662998606.jpg,146695,652.568894114,False,False,False,health,False,TRUE,Enugu,,True,148,FALSE,enugu_nkanu_west,False,cccce5d1-18e2-4eca-a140-1114cc6e197d,False,False,cccce5d1-18e2-4eca-a140-1114cc6e197d,Southeast
False,224.7961883,False,False,False,False,False,False,False,False,False,True,False,False,,False,FALSE,False,0.0117129619033,1.29992132328,False,True,False,True,False,False,,True,"Primary Health Center,Obinagu uwani Akpugo",FALSE,primaryhealthcarecentre,False,True,False,True,1339591090257.jpg,6.31870888 7.60097649 164.60000610351563 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,True,False,False,False,Nkanu West,534,534,533.0,False,True,False,True,False,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,3,3,0.0,0.0,4.0,1.0,False,public,,True,1339591090257.jpg,146695,652.568894114,True,False,False,health,True,TRUE,Enugu,False,True,148,FALSE,enugu_nkanu_west,False,7582fc29-2c75-45a0-9848-3e6b28be3a56,,,7582fc29-2c75-45a0-9848-3e6b28be3a56,Southeast
False,224.7961883,True,True,True,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,True,True,False,True,True,False,,True,Agbani Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1339754428770.jpg,6.30947076 7.55423859 185.89999389648438 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,False,False,False,False,False,False,Nkanu West,534,534,534.0,False,True,True,True,True,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,8,8,0.0,0.0,3.0,1.0,False,public,False,True,1339754428770.jpg,146695,652.568894114,True,False,False,health,True,TRUE,Enugu,False,True,148,TRUE,enugu_nkanu_west,False,d0c83528-fdeb-4e3f-a82f-4ebab4ef0a11,,,d0c83528-fdeb-4e3f-a82f-4ebab4ef0a11,Southeast
False,224.7961883,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,True,,Amangwu    Health   Centre     Obuoffia,TRUE,primaryhealthclinic,False,True,False,True,1339667668362.jpg,6.32306081 7.50260472 243.0 5.0,False,True,FALSE,False,,,False,TRUE,True,True,True,False,True,False,False,False,Nkanu West,534,534,534.0,False,True,True,True,False,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,9,9,0.0,0.0,0.0,1.0,False,public,False,True,1339667668362.jpg,146695,652.568894114,True,False,False,health,True,TRUE,Enugu,False,True,148,FALSE,enugu_nkanu_west,False,2ea8cd52-17b1-4993-8361-5cc97f8a9361,False,False,2ea8cd52-17b1-4993-8361-5cc97f8a9361,Southeast
False,224.7961883,True,True,True,False,False,False,False,False,False,False,False,False,False,True,TRUE,False,,,False,False,False,True,True,False,,,General Hospital Agbani,TRUE,generalhospital,False,True,False,True,1339758114125.jpg,6.31070031 7.55446828 184.5 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Nkanu West,534,534,534.0,False,True,True,True,True,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,0,0,4.0,4.0,14.0,11.0,False,public,False,True,1339758114125.jpg,146695,652.568894114,,False,False,health,True,TRUE,Enugu,False,True,148,TRUE,enugu_nkanu_west,False,dca7d388-ec1a-4287-b56f-1b63fe7b95bc,,,dca7d388-ec1a-4287-b56f-1b63fe7b95bc,Southeast
False,224.7961883,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,Ozalla Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1339749231349.jpg,6.31388247013092 7.484350204467773 237.0 4.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,False,False,False,Nkanu West,534,534,534.0,False,True,True,True,True,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,12,9,1.0,1.0,0.0,0.0,False,public,False,True,1339749231349.jpg,146695,652.568894114,False,False,False,health,True,TRUE,Enugu,False,True,148,TRUE,enugu_nkanu_west,False,d693c1ac-be50-48af-9ed5-fa8fbbadc348,False,False,d693c1ac-be50-48af-9ed5-fa8fbbadc348,Southeast
False,224.7961883,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,True,True,False,,True,Model Primary  Health  Centre.,TRUE,wardmodelphccentre,False,True,False,True,1339754032139.jpg,6.305025815963745 7.483052015304565 213.0 4.0,False,True,FALSE,False,False,False,False,TRUE,True,True,False,False,False,False,False,False,Nkanu West,534,534,534.0,False,True,False,True,False,False,False,False,False,False,FALSE,nkanu_west,enugu,southeast,5,4,0.0,0.0,0.0,1.0,False,public,False,True,1339754032139.jpg,146695,652.568894114,,False,False,health,True,TRUE,Enugu,False,True,148,FALSE,enugu_nkanu_west,False,cb352d6f-5a02-4954-b17b-fe86143858f3,,,cb352d6f-5a02-4954-b17b-fe86143858f3,Southeast
