breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Eha-Alumona,,,"Water Scheme, Source further than 1km",1336140747742.jpg,Yes,6.82806856 7.46257285 507.8999938964844 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336140747742.jpg,water,Enugu,enugu_nsukka,a737ec63-325a-4881-b1c0-3d42e726cda2,Eha-Uno,Tap,outlet,,a737ec63-325a-4881-b1c0-3d42e726cda2,Southeast
Mechanical Issue,,Agbamere,,,"Water Scheme, Source within 100m",1336136118540.jpg,No,6.8338751 7.45860577 489.8999938964844 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),No,1336136118540.jpg,water,Enugu,enugu_nsukka,ed263cad-b4c2-4a83-8daa-d9a0b524bb76,Agbamere/Umabor,Tap,outlet,,ed263cad-b4c2-4a83-8daa-d9a0b524bb76,Southeast
Mechanical Issue,,Ihe-Owerre,,,"Water Scheme, Source within 100m",1336581487163.jpg,No,6.84724464 7.39821127 504.70001220703125 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336581487163.jpg,water,Enugu,enugu_nsukka,bb137996-2482-4d07-b069-21c88ae28d0b,Owerre-Umuoyo,Tap,outlet,,bb137996-2482-4d07-b069-21c88ae28d0b,Southeast
Mechanical Issue,,Lejja,,,"Water Scheme, Source within 100m",1336124854702.jpg,No,6.76602205 7.3746982 399.3999938964844 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),No,1336124854702.jpg,water,Enugu,enugu_nsukka,87e3d5b0-9dac-49b8-9222-092ef8e11ccf,Akaibute,Tap,outlet,,87e3d5b0-9dac-49b8-9222-092ef8e11ccf,Southeast
Functional,,Edem Ani,,,"Water Scheme, Source within 100m",1336056936488.jpg,Yes,6.86693273 7.35384473 405.29998779296875 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336056936488.jpg,water,Enugu,enugu_nsukka,83568efa-1dfe-4b13-81b0-ee6ae9564a33,Edem Ani,Tap,outlet,,83568efa-1dfe-4b13-81b0-ee6ae9564a33,Southeast
Functional,,Akpa edem,,,Stand Alone Water Point,1336037464486.jpg,Yes,6.87163953 7.32373434 355.1000061035156 45.0,False,Nsukka,541,541,541.0,,No,1336037464486.jpg,water,Enugu,enugu_nsukka,ee782f60-4a48-4529-bc26-59d9754f9bc0,Akpa/ozi,Unprotected Spring,water_source,developed_protected_spring_water,ee782f60-4a48-4529-bc26-59d9754f9bc0,Southeast
Functional,,Ibagwa-agu,,,Stand Alone Water Point,1336323616476.jpg,Yes,6.96493371 7.28000498 303.79998779296875 5.0,False,Nsukka,541,541,541.0,,No,1336323616476.jpg,water,Enugu,enugu_nsukka,2b148fa4-7ae4-44a6-b815-6a4665cb292d,Ibagwa-ani/lbagwa-agu/Okpoligbo,Untreated Surface Water,water_source,dam,2b148fa4-7ae4-44a6-b815-6a4665cb292d,Southeast
Functional,,Ibige Obukpa,,,"Water Scheme, Source within 100m",1336046648934.jpg,Yes,6.88202134 7.4090916 432.29998779296875 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336046648934.jpg,water,Enugu,enugu_nsukka,4f27f628-c9ff-4865-be95-a81cbef92667,Obukpa,Tap,outlet,,4f27f628-c9ff-4865-be95-a81cbef92667,Southeast
Under Construction,,Alor uno,,,"Water Scheme, Source within 100m",1336122940530.jpg,No,6.8782335 7.37762899 386.8999938964844 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336122940530.jpg,water,Enugu,enugu_nsukka,810dfaec-633b-41f4-a44d-ac20760efacd,Alor uno,Tap,outlet,,810dfaec-633b-41f4-a44d-ac20760efacd,Southeast
Mechanical Issue,,Obige,,,"Water Scheme, Source within 100m",1336055636750.jpg,No,6.90053804 7.39310647 411.20001220703125 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336055636750.jpg,water,Enugu,enugu_nsukka,554c1311-6a2e-4bd3-90db-3f5f381f1a61,Obukpa,Tap,outlet,,554c1311-6a2e-4bd3-90db-3f5f381f1a61,Southeast
Under Construction,,Nkpunao,,,"Water Scheme, Source within 1km",1336570643069.jpg,No,6.83778566 7.37520643 457.3999938964844 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336570643069.jpg,water,Enugu,enugu_nsukka,8cc84d00-c180-4a97-9ce6-668281772038,Npunano,Tap,outlet,,8cc84d00-c180-4a97-9ce6-668281772038,Southeast
Under Construction,,Nkpunano,,,"Water Scheme, Source further than 1km",1336231328650.jpg,No,6.8196055 7.39369098 502.1000061035156 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336231328650.jpg,water,Enugu,enugu_nsukka,5a585e88-acac-413d-a29c-15379fa65ecf,Nkpunano,Tap,outlet,,5a585e88-acac-413d-a29c-15379fa65ecf,Southeast
Functional,,Akpa edem,,,Stand Alone Water Point,1336040224899.jpg,Yes,6.87843668 7.33053759 371.0 7.0,False,Nsukka,541,541,541.0,,No,1336040224899.jpg,water,Enugu,enugu_nsukka,482cd256-a257-412f-8a99-8441fe9e73f9,Akpa ozi,Unprotected Spring,water_source,developed_protected_spring_water,482cd256-a257-412f-8a99-8441fe9e73f9,Southeast
Functional,,Adem Ani,,,"Water Scheme, Source within 100m",1336057451338.jpg,Yes,6.86867327 7.35430093 399.0 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336057451338.jpg,water,Enugu,enugu_nsukka,3eca479d-24fc-4476-9d69-9cceb6a806f0,Edem Ani,Tap,outlet,,3eca479d-24fc-4476-9d69-9cceb6a806f0,Southeast
Functional,,Umakashi,,,"Water Scheme, Source within 100m",1336400092246.jpg,Yes,6.83388321 7.38099571 511.6000061035156 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336400092246.jpg,water,Enugu,enugu_nsukka,4dee19fd-d132-441c-9abf-b9dbdacf7cc8,Nkpunano,Tap,outlet,,4dee19fd-d132-441c-9abf-b9dbdacf7cc8,Southeast
Poorly Constructed,,Akpa Edem,,,"Water Scheme, Source within 100m",1336036070644.jpg,No,6.86552527 7.33580333 373.8999938964844 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336036070644.jpg,water,Enugu,enugu_nsukka,ce0401e4-a420-49d2-a8fb-35a9f9d3f07d,Akpa Ozzi,Tap,outlet,,ce0401e4-a420-49d2-a8fb-35a9f9d3f07d,Southeast
Functional,,Ibagwa-ani,,,Stand Alone Water Point,1336221487677.jpg,Yes,6.8876116 7.33443826 356.0 11.0,False,Nsukka,541,541,541.0,,No,1336221487677.jpg,water,Enugu,enugu_nsukka,6be7d263-8109-4b45-a7a4-20e68bf36c30,Ibagwa-ani/Ibagwa-agu/Okpaligbo,Unprotected Spring,water_source,developed_protected_spring_water,6be7d263-8109-4b45-a7a4-20e68bf36c30,Southeast
Mechanical Issue,,Agbamere,,,"Water Scheme, Source within 100m",1336135013591.jpg,No,6.83711205 7.45971173 478.5 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),Yes,1336135013591.jpg,water,Enugu,enugu_nsukka,cb5a8f41-8110-412c-b2d3-15b8f877b4fc,Agbamere/Umabor,Tap,outlet,,cb5a8f41-8110-412c-b2d3-15b8f877b4fc,Southeast
Under Construction,,Ede.oballa,,,Stand Alone Water Point,1293751513926.jpg,No,6.80021563 7.41710284 519.2999877929688 5.0,True,Nsukka,541,541,541.0,,No,1293751513926.jpg,water,Enugu,enugu_nsukka,33c42409-9164-4246-baf6-ce95f5a03b64,Ede.ukwu,Borehole,water_source,borehole_tube_well,33c42409-9164-4246-baf6-ce95f5a03b64,Southeast
Mechanical Issue,,Ibeku-Opi,,,"Water Scheme, Source further than 1km",1293763904928.jpg,No,6.77127088 7.42309874 504.29998779296875 5.0,True,Nsukka,541,541,541.0,Tap (unknown lift),No,1293763904928.jpg,water,Enugu,enugu_nsukka,e8c01f81-6974-437c-826b-6d58e33af764,Ibeku,Tap,outlet,,e8c01f81-6974-437c-826b-6d58e33af764,Southeast
