"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"87063",87063,"751a7918-b8c9-4ef0-82ac-f880328dfd99","751a7918-b8c9-4ef0-82ac-f880328dfd99","Oji-River","Enugu","Southeast",580,"6.1608352 7.30844883 237.10000610351563 5.0","1339517335173.jpg","enugu_oji_river","1339517335173.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","UMU IKE","ACHI AGU 2","Yes","Tap (unknown lift)","No","Under Construction","No","Water Scheme, Source within 100m"
"87064",87064,"b6866deb-da26-4a03-9de4-a0df10422231","b6866deb-da26-4a03-9de4-a0df10422231","Oji-River","Enugu","Southeast",580,"6.13046942 7.31614184 276.70001220703125 5.0","1339511689892.jpg","enugu_oji_river","1339511689892.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","IHE ACHI","ACHI AGU 1","Yes","Tap (unknown lift)","No","Under Construction","No","Water Scheme, Source within 100m"
"87065",87065,"e68b0c51-784d-4eee-8484-f00fbe660e57","e68b0c51-784d-4eee-8484-f00fbe660e57","Oji-River","Enugu","Southeast",580,"6.15877207 7.29199288 198.1999969482422 5.0","1339772837285.jpg","enugu_oji_river","1339772837285.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","Umuagu inyi","Inyi4","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"87066",87066,"4ee6ed64-c24b-4186-a75c-b61365506dd2","4ee6ed64-c24b-4186-a75c-b61365506dd2","Oji-River","Enugu","Southeast",580,"6.14272105 7.31605978 259.20001220703125 5.0","1339679826003.jpg","enugu_oji_river","1339679826003.jpg","Overhead Tank (1,000)","one_thousand_overhead","borehole_tube_well","water_source","Enugu agu achi","Achiagu 3","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
"87067",87067,"daf8c11f-7360-4764-b68f-8aedad0f7a8c","daf8c11f-7360-4764-b68f-8aedad0f7a8c","Oji-River","Enugu","Southeast",580,"6.24005943 7.28119297 157.89999389648438 5.0","1339760597167.jpg","enugu_oji_river","1339760597167.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","Oji Urban","Okwe/ central","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"87068",87068,"fcd78e75-921b-4215-b8d4-5e3028ff5aa7","fcd78e75-921b-4215-b8d4-5e3028ff5aa7","Oji-River","Enugu","Southeast",580,"6.12968276 7.2926686 180.10000610351563 5.0","1339691772943.jpg","enugu_oji_river","1339691772943.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","Umuome","2","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 1km"
"87069",87069,"cfe9367a-8cf5-4d12-b770-9acf70cd4f8c","cfe9367a-8cf5-4d12-b770-9acf70cd4f8c","Oji-River","Enugu","Southeast",580,"6.25818029 7.27075272 86.0999984741211 5.0","1339507659163.jpg","enugu_oji_river","1339507659163.jpg","Tap","tap","developed_protected_spring_water","water_source","OJI URBAN","Uzondu","Yes",NA,"Yes","Functional","Yes","Stand Alone Water Point"
"87070",87070,"36f04654-f2d7-4148-9e54-35bbbf86f1e9","36f04654-f2d7-4148-9e54-35bbbf86f1e9","Oji-River","Enugu","Southeast",580,"6.12394977 7.36150717 336.6000061035156 5.0","1339761801883.jpg","enugu_oji_river","1339761801883.jpg","Overhead Tank (1,000)","one_thousand_overhead","borehole_tube_well","water_source","Obunagu ishikwe","Achiagu 1","Yes",NA,"No","Under Construction","No","Stand Alone Water Point"
"87071",87071,"1fc20215-c9d5-4789-b721-b24d48a68dbe","1fc20215-c9d5-4789-b721-b24d48a68dbe","Oji-River","Enugu","Southeast",580,"6.08287849 7.30978741 231.89999389648438 5.0","1339515470380.jpg","enugu_oji_river","1339515470380.jpg","Overhead Tank (1,000)","one_thousand_overhead",NA,"outlet","Umuomaka","Awlaw","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"87072",87072,"0453425d-2b00-4254-90ae-594e4ff3759a","0453425d-2b00-4254-90ae-594e4ff3759a","Oji-River","Enugu","Southeast",580,"6.11673438 7.36624121 359.70001220703125 5.0","1339759818866.jpg","enugu_oji_river","1339759818866.jpg","Overhead Tank (1,000)","one_thousand_overhead","borehole_tube_well","water_source","Obinagu ishikwe","Achiulo 1","Yes","Diesel","Yes","Functional","No","Stand Alone Water Point"
