"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"33557",33557,33557,"a0ac814b-b8c1-474e-9c17-1d2db84bee76","kwali","fct","north_central","8.595744967460632 6.911607384681702 134.0 4.0","LEA primary sch wako","primary_only","fct_kwali",453,"1342086730949.jpg","a0ac814b-b8c1-474e-9c17-1d2db84bee76","primary_only","1342086730949.jpg",21,"formal_educ",FALSE,FALSE,0,19,NA,NA,TRUE,TRUE,20,1.38532110091743,FALSE,TRUE,130,FALSE,1,FALSE,FALSE,TRUE,FALSE,86.6666666666667,FALSE,FALSE,FALSE,FALSE,1.73333333333333,1.73333333333333,24.7619047619048,21,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"33558",33558,33558,"26095a40-0d4a-4f54-b3f5-44846744a225","kwali","fct","north_central","8.823550343513489 7.053496241569519 196.0 3.0","Felicitate Basic Nursery and Pry Sch","preprimary_and_primary","fct_kwali",453,"1342437642779.jpg","26095a40-0d4a-4f54-b3f5-44846744a225","preprimary_and_primary","1342437642779.jpg",12,"formal_educ",FALSE,TRUE,0,9,33,0.197604790419162,TRUE,FALSE,10,1.03658536585366,TRUE,TRUE,41.75,FALSE,0,TRUE,FALSE,TRUE,FALSE,20.875,FALSE,FALSE,FALSE,TRUE,2.98214285714286,Inf,13.9166666666667,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"33559",33559,33559,"b6c7a20c-6330-4747-9fcc-1c05483ceab0","kwali","fct","north_central","8.794646859169006 6.9929587841033936 184.0 4.0","L.E.A PRIMARY SCH KOROKO","preprimary_and_primary","fct_kwali",453,"1342086098262.jpg","b6c7a20c-6330-4747-9fcc-1c05483ceab0","preprimary_and_primary","1342086098262.jpg",22,"formal_educ",FALSE,FALSE,0,20,962,2.70985915492958,TRUE,FALSE,50,0.929347826086957,TRUE,FALSE,177.5,FALSE,3,FALSE,FALSE,FALSE,FALSE,59.1666666666667,FALSE,FALSE,TRUE,FALSE,Inf,Inf,16.1363636363636,Inf,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"33560",33560,33560,"d316c126-3db0-4f11-84a5-1269bb693d47","kwali","fct","north_central","8.664629459381104 6.92138671875 140.0 4.0","LEA pri sch","primary_only","fct_kwali",453,"1342267981006.jpg","d316c126-3db0-4f11-84a5-1269bb693d47","primary_only","1342267981006.jpg",13,"formal_educ",FALSE,FALSE,0,12,NA,NA,TRUE,FALSE,0,1.5,FALSE,TRUE,12.5,FALSE,1,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,0.25,0.25,3.84615384615385,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"33561",33561,33561,"c3ad6f33-89c3-4abc-94a4-32deaa84e2ce","kwali","fct","north_central","8.876309394836426 7.126838564872742 258.0 4.0","LEA Pry Sch Chukuku","primary_only","fct_kwali",453,"1342190116831.jpg","c3ad6f33-89c3-4abc-94a4-32deaa84e2ce","primary_only","1342190116831.jpg",20,"formal_educ",FALSE,FALSE,2,19,NA,NA,FALSE,NA,100,1.01149425287356,TRUE,FALSE,58.3333333333333,FALSE,0,FALSE,FALSE,FALSE,FALSE,15.9090909090909,FALSE,FALSE,FALSE,TRUE,7,0.770925110132159,8.75,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"33562",33562,33562,"17345140-65b8-40a2-98b8-b55e973ac3aa","kwali","fct","north_central","8.79056453704834 7.000399231910706 225.0 4.0","Junior secondary school yangoji","juniors_sec_only","fct_kwali",453,"1342011103519.jpg","17345140-65b8-40a2-98b8-b55e973ac3aa","juniors_sec_only","1342011103519.jpg",39,"formal_educ",FALSE,FALSE,3,26,NA,NA,TRUE,NA,0,1.9453781512605,FALSE,NA,NA,FALSE,3,FALSE,FALSE,TRUE,FALSE,43.8125,FALSE,FALSE,FALSE,TRUE,0.87625,0.87625,17.974358974359,39,39,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"33563",33563,33563,"f0e79729-6eb5-484a-8bd7-4719bd032867","kwali","fct","north_central","8.796175718307495 6.954066753387451 155.0 3.0","LEA Prim Sch Dafa","preprimary_and_primary","fct_kwali",453,"1342092737416.jpg","f0e79729-6eb5-484a-8bd7-4719bd032867","preprimary_and_primary","1342092737416.jpg",31,"formal_educ",FALSE,TRUE,4,26,0,0,FALSE,FALSE,10,1.24521072796935,TRUE,FALSE,195.333333333333,TRUE,3,FALSE,FALSE,FALSE,FALSE,39.0666666666667,FALSE,FALSE,FALSE,FALSE,24.4166666666667,2.02768166089965,18.9032258064516,15.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"33564",33564,33564,"16200e77-2a6f-4b1b-85df-043455ae684d","kwali","fct","north_central","8.743051886558533 6.961630582809448 193.0 4.0","L.E.A Primary Sch Piri","preprimary_and_primary","fct_kwali",453,"1342171219653.jpg","16200e77-2a6f-4b1b-85df-043455ae684d","preprimary_and_primary","1342171219653.jpg",24,"formal_educ",FALSE,TRUE,1,23,970,1.89453125,TRUE,FALSE,0,1.31674208144796,TRUE,TRUE,128,TRUE,4,FALSE,FALSE,TRUE,FALSE,46.5454545454545,FALSE,FALSE,TRUE,TRUE,2.82872928176796,2.62564102564103,21.3333333333333,1.26315789473684,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"33565",33565,33565,"6a483512-1f97-45f5-8673-205b339fa2af","kwali","fct","north_central","8.6315256357193 6.915324926376343 173.0 4.0","LEA pri.sch sabon Gari","primary_only","fct_kwali",453,"1342021971159.jpg","6a483512-1f97-45f5-8673-205b339fa2af","primary_only","1342021971159.jpg",7,"formal_educ",FALSE,FALSE,1,7,NA,NA,TRUE,TRUE,37,0.875,TRUE,TRUE,30,FALSE,2,TRUE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,TRUE,0.6,0.6,17.1428571428571,Inf,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"33566",33566,33566,"345d98f1-0e05-4e52-b52e-3160fcc939a9","kwali","fct","north_central","8.65548312664032 7.018235921859741 186.0 4.0","L.E.A PRIM SCH YAMBABU","primary_only","fct_kwali",453,"1342428962680.jpg","345d98f1-0e05-4e52-b52e-3160fcc939a9","primary_only","1342428962680.jpg",12,"formal_educ",FALSE,FALSE,0,11,NA,NA,FALSE,TRUE,0,1.38095238095238,FALSE,FALSE,Inf,FALSE,3,FALSE,FALSE,FALSE,FALSE,11.1111111111111,FALSE,FALSE,FALSE,FALSE,Inf,1.33333333333333,8.33333333333333,Inf,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"33567",33567,33567,"2e808367-19a5-44e9-a32e-98a4ab7f2561","kwali","fct","north_central","8.590418100357056 6.875118613243103 158.0 4.0","Lea primary ashara","preprimary_and_primary","fct_kwali",453,"1342092644780.jpg","2e808367-19a5-44e9-a32e-98a4ab7f2561","preprimary_and_primary","1342092644780.jpg",16,"formal_educ",FALSE,FALSE,0,14,448,8.14545454545454,TRUE,TRUE,0,1.5,TRUE,TRUE,6.875,FALSE,1,FALSE,FALSE,FALSE,FALSE,6.875,FALSE,FALSE,FALSE,TRUE,5.5,0.323529411764706,3.4375,Inf,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
