breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Mechanical Issue,,Worojabbi,,,Stand Alone Water Point,,No,11.052444577217102 10.978313684463501 340.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307456730750.jpg,water,Gombe,gombe_dukku,afccd61ce9287db010be4d67917b95b0,Jamira,Handpump,,,,
Functional,,ZANGE,,,Stand Alone Water Point,,Yes,10.5516117811203 10.779009461402893 375.0 3.0,True,Dukku,162,162,162.0,Electric,No,1307459284967.jpg,water,Gombe,gombe_dukku,afb2a43f622bf8bb40c3987698047f74,ZANGE,Tap,,,,
Mechanical Issue,,Kalam,,,Stand Alone Water Point,,No,10.949351191520691 10.778038501739502 373.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307526640420.jpg,water,Gombe,gombe_dukku,bbce298a4afc4bcd4fa72769acbc9292,wuro Tale,Handpump,,,,
Functional,,Jangayn danraka,,,Stand Alone Water Point,,Yes,11.050368547439575 10.932222604751587 328.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307460955101.jpg,water,Gombe,gombe_dukku,f211a5b4a47ec34e76987251bf4c9dd3,Jamari,Handpump,,,,
Functional,,Wurotale,,,Stand Alone Water Point,,Yes,10.980180501937866 10.777035355567932 334.0 4.0,True,Dukku,162,162,162.0,Electric,Yes,1307528246505.jpg,water,Gombe,gombe_dukku,d8a4092b724d79cf4c367e1958b68f57,Wurotale,Tap,,,,
Mechanical Issue,,Bude munu,,,"Water Scheme, Source within 100m",,No,10.966978669166565 10.828329920768738 306.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307520008717.jpg,water,Gombe,gombe_dukku,fc49a9addac5a88fb1eee5d9d7b28830,Wuro Tale,Tap,,,,
Functional,,kowagol,,,Stand Alone Water Point,,Yes,10.994492769241333 10.720800161361694 329.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307638795377.jpg,water,Gombe,gombe_dukku,55a504ccc5a2dfa52ee47d4743475859,malala,Handpump,,,,
Functional,,jalingo,,,Stand Alone Water Point,,Yes,10.940108299255371 10.684885382652283 328.0 6.0,True,Dukku,162,162,162.0,Electric,No,1307463095452.jpg,water,Gombe,gombe_dukku,4df35d1288263f047dd0b1b06c331942,lafiya tallw,Tap,,,,
Functional,,Madaki,,,Stand Alone Water Point,,Yes,11.048673391342163 10.931712985038757 335.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307465207378.jpg,water,Gombe,gombe_dukku,80f5f5c937c890c10cdbe6b195b27b98,Jamari,Tap,,,,
Functional,,kudu,,,Stand Alone Water Point,,Yes,11.04676902294159 10.933300852775574 381.0 4.0,False,Dukku,162,162,162.0,Manual,No,1307463198390.jpg,water,Gombe,gombe_dukku,eacc74ce6bb6db10e54a3a0f20613c0e,Jamari,Unimproved Large Diameter Well,,,,
Functional,,Garinbulama,,,Stand Alone Water Point,,Yes,11.039714813232422 11.018707752227783 347.0 4.0,True,Dukku,162,162,162.0,Electric,Yes,1307452373696.jpg,water,Gombe,gombe_dukku,bc4de2bb30762d8bd03d9f8ad74ae0fe,Jamari,Tap,,,,
Functional,,kole,,,Stand Alone Water Point,,Yes,10.936304926872253 10.839557647705078 364.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307518544917.jpg,water,Gombe,gombe_dukku,b2385b31b2f4a1f0eaf5ea9dea4b924f,Wuro Tale,Handpump,,,,
Mechanical Issue,,malala,,,Stand Alone Water Point,,No,11.004717350006104 10.743336081504822 334.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307636669272.jpg,water,Gombe,gombe_dukku,55d6d54e41c1c06c7c4a73e07b0e9124,malala,Tap,,,,
Functional,,Kaloma,,,Stand Alone Water Point,,Yes,11.0357666015625 10.900572538375854 332.0 4.0,True,Dukku,162,162,162.0,Diesel,Yes,1307468674441.jpg,water,Gombe,gombe_dukku,9108e766b870a6f7e73ecc09d1338eb7,Jamira,Tap,,,,
Functional,,gajigala,,,Stand Alone Water Point,,Yes,10.848178267478943 10.63675045967102 328.0 4.0,True,Dukku,162,162,162.0,Electric,Yes,1307983567555.jpg,water,Gombe,gombe_dukku,f894dd84112fd26ea92242d0e9d224d4,Gombe abba,Tap,,,,
Mechanical Issue,,Wuro Airi,,,"Water Scheme, Source within 100m",,No,11.00853681564331 10.879061222076416 356.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307631668659.jpg,water,Gombe,gombe_dukku,4f806d6a8cd9fdff93f4a18cbe453668,Jamari,Tap,,,,
Functional,,GOMBE ABBA,,,Stand Alone Water Point,,Yes,10.822509527206421 10.606398582458496 339.0 3.0,True,Dukku,162,162,162.0,Electric,No,1307967664301.jpg,water,Gombe,gombe_dukku,2118a677570648867fe4ea21907e5b44,GOMBE ABBA,Tap,,,,
Don't Know,,wailare,,,Stand Alone Water Point,,No,10.89619517326355 10.649372935295105 334.0 2.0,False,Dukku,162,162,162.0,Manual,No,1307456986121.jpg,water,Gombe,gombe_dukku,c2aca8de09fe6d26feb395bb429eece4,hashidu,Unimproved Large Diameter Well,,,,
Mechanical Issue,,sebidu,,,Stand Alone Water Point,,No,10.726577639579773 10.553167462348938 359.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307974156276.jpg,water,Gombe,gombe_dukku,041d3b24d7e1e65ab3f04f19ec3634e8,kunde,Handpump,,,,
Under Construction,,Mayo -Lamido,,,Stand Alone Water Point,,No,10.94188928604126 10.715773701667786 331.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307538507736.jpg,water,Gombe,gombe_dukku,497f669e121b8e31c3141523f08e072c,Wuro-Tale,Tap,,,,
Functional,,timbo sabuwa,,,"Water Scheme, Source within 100m",,Yes,10.924460291862488 10.737966299057007 359.0 3.0,True,Dukku,162,162,162.0,Diesel,Yes,1307535131261.jpg,water,Gombe,gombe_dukku,a4fc2af4a45a547e113f21c9133b30b3,Wuro Tale,Tap,,,,
Mechanical Issue,,Gudemunu,,,"Water Scheme, Source within 100m",,No,10.970234870910645 10.828871726989746 326.0 4.0,True,Dukku,162,162,162.0,Electric,Don't Know,1307520794299.jpg,water,Gombe,gombe_dukku,4c7042fd5a5ac37dab29603f3aa94bee,Wurotale,Tap,,,,
Mechanical Issue,,Dokoro,,,Stand Alone Water Point,,No,11.003081202507019 10.836698412895203 335.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307635357430.jpg,water,Gombe,gombe_dukku,ba776e0135fc1ee7066850b48678ecc9,Jamari,Handpump,,,,
Functional,,BARRI,,,Stand Alone Water Point,,Yes,10.511384010314941 10.798712968826294 360.0 4.0,False,Dukku,162,162,162.0,,Yes,1307455305242.jpg,water,Gombe,gombe_dukku,ecbd88526ab0dddb8876695ee98f2578,ZANGE,Unimproved Large Diameter Well,,,,
Mechanical Issue,,Jamari,,,"Water Scheme, Source within 100m",,No,11.050111055374146 10.935425162315369 329.0 4.0,True,Dukku,162,162,162.0,Diesel,No,1307464832165.jpg,water,Gombe,gombe_dukku,2ceb32f8dbf7171484c31949d4b56125,Jamari,Tap,,,,
Functional,,Kaloma,,,Stand Alone Water Point,,Yes,11.035873889923096 10.901125073432922 338.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307468956007.jpg,water,Gombe,gombe_dukku,2f42dcc9378cea055cf010d06ea314d4,Jamari,Tap,,,,
Mechanical Issue,,Guli,,,Stand Alone Water Point,,No,10.827101469039917 10.824623107910156 455.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307690648343.jpg,water,Gombe,gombe_dukku,62281a21798ea8e17feead7cf0a7fc49,Waziri North,Handpump,,,,
Functional,,Mailamido,,,Stand Alone Water Point,,Yes,10.943552255630493 10.715703964233398 330.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307538724414.jpg,water,Gombe,gombe_dukku,59868077fa92bbb407b1a9bef82b12a4,Wole Tale,Tap,,,,
Mechanical Issue,,Galdo,,,Stand Alone Water Point,,No,10.895272493362427 10.845710635185242 355.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307700892811.jpg,water,Gombe,gombe_dukku,0cf3ec2cdd11c8ffc0c9f90cffe09818,Waziri North,Handpump,,,,
Poor Water Quality,,O,,,Stand Alone Water Point,,No,11.056344509124756 10.951529145240784 301.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307458863557.jpg,water,Gombe,gombe_dukku,a48cc94fce830bc225dc29ac3d9168ea,Jamri,Tap,,,,
Under Construction,,Dukoro,,,Stand Alone Water Point,,No,11.003751754760742 10.83425223827362 321.0 4.0,True,Dukku,162,162,162.0,,Don't Know,1308043139488.jpg,water,Gombe,gombe_dukku,c1832b710aa69aecbe405ba49f1c8d27,Wuro Tale,Borehole,,,,
Under Construction,,Wuro tale,,,Stand Alone Water Point,,No,10.980529189109802 10.775812268257141 328.0 4.0,True,Dukku,162,162,162.0,Diesel,No,1307531116535.jpg,water,Gombe,gombe_dukku,25ba229e4b152ad95e2a904ed1a39524,Wuro tale,Tap,,,,
Mechanical Issue,,Kaloma,,,Stand Alone Water Point,,No,11.034055352210999 10.905545353889465 339.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307466690001.jpg,water,Gombe,gombe_dukku,9f77b2be0550c4a6f5511553b10209ea,Jamari,Handpump,,,,
Mechanical Issue,,Bamai,,,Stand Alone Water Point,,No,10.931959748268127 10.732682347297668 352.0 3.0,True,Dukku,162,162,162.0,Diesel,Yes,1307535850467.jpg,water,Gombe,gombe_dukku,c84345f71bf3484f18ddd5daee211535,Wuro Tale,Tap,,,,
Mechanical Issue,,Madaki,,,"Water Scheme, Source within 1km",,No,11.048716306686401 10.931482315063477 346.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307464699557.jpg,water,Gombe,gombe_dukku,a2dd445e76debee495eba42bd44d143b,Jamari,Tap,,,,
Mechanical Issue,,YOLE,,,"Water Scheme, Source within 100m",,No,10.888288021087646 10.672509670257568 350.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307977783166.jpg,water,Gombe,gombe_dukku,cb05cfcd329533bea0504e9a5b4a0453,GOMBE ABBA,Tap,,,,
Functional,,Kafiyel,,,Stand Alone Water Point,,Yes,11.056054830551147 10.969982743263245 330.0 4.0,False,Dukku,162,162,162.0,Manual,No,1307457246566.jpg,water,Gombe,gombe_dukku,091c338bbcd929c229192a1e002e20d8,Jamari,Unimproved Large Diameter Well,,,,
Functional,,Dokoro,,,Stand Alone Water Point,,Yes,11.004164814949036 10.837664008140564 336.0 4.0,False,Dukku,162,162,162.0,Manual,No,1307634375545.jpg,water,Gombe,gombe_dukku,7569be0e395c05fc98fa78b0592ddc6e,Jamari,Unimproved Large Diameter Well,,,,
Dry Well,,Alagarno Dokoro,,,Stand Alone Water Point,,No,10.988173484802246 10.840480327606201 346.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307707301763.jpg,water,Gombe,gombe_dukku,8134950b15af4f4146707ce92e66f8f6,Jamari,Tap,,,,
Mechanical Issue,,hashidu,,,Stand Alone Water Point,,No,10.88994026184082 10.652081966400146 326.0 3.0,True,Dukku,162,162,162.0,Hand Pump,No,1307447460827.jpg,water,Gombe,gombe_dukku,ab32b0a939b2f72a4d1dc2ec2fc852e7,hashidu,Handpump,,,,
Dry Well,,Sabewawu,,,Stand Alone Water Point,,No,10.941267013549805 10.836387276649475 366.0 4.0,True,Dukku,162,162,162.0,,No,1307519341088.jpg,water,Gombe,gombe_dukku,f6c34cb16c31e09d00e28d6c4543fe39,Wuro-Tale,Borehole,,,,
Mechanical Issue,,Kalam,,,Stand Alone Water Point,,No,10.949673056602478 10.776134133338928 369.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307525551897.jpg,water,Gombe,gombe_dukku,623bd48dbf6807e81445abbf080f3555,Wuro Tale,Tap,,,,
Functional,,Dige,,,Stand Alone Water Point,,Yes,11.053050756454468 11.079416871070862 343.0 4.0,True,Dukku,162,162,162.0,Diesel,Yes,1307625197324.jpg,water,Gombe,gombe_dukku,fa381592b15f39a0a3bbabbb00d04434,Jamari,Tap,,,,
Under Construction,,Bame,,,Stand Alone Water Point,,No,11.048104763031006 11.041898131370544 350.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307628422275.jpg,water,Gombe,gombe_dukku,d77132e45065f79c2428dbce820b36ed,Jamari,Tap,,,,
Mechanical Issue,,tale,,,"Water Scheme, Source within 100m",,No,10.987250804901123 10.70218026638031 341.0 4.0,True,Dukku,162,162,162.0,Electric,Yes,1307705733349.jpg,water,Gombe,gombe_dukku,6fbae3500be44823be982e416c71822d,lafiya tale,Tap,,,,
Functional,,Timbu II,,,Stand Alone Water Point,,Yes,10.924358367919922 10.737499594688416 360.0 4.0,True,Dukku,162,162,162.0,Electric,No,1307535310540.jpg,water,Gombe,gombe_dukku,46e574a379474d9cbb0b81f410ff57bc,Wuro -Tale,Tap,,,,
Don't Know,,bawa zego,,,"Water Scheme, Source within 100m",,No,10.693506002426147 10.502650737762451 351.0 6.0,True,Dukku,162,162,162.0,Electric,No,1307963564148.jpg,water,Gombe,gombe_dukku,90d6d38cccc2ed5957bce965424c85b4,kunde,Tap,,,,
Functional,,Wurobundu,,,Stand Alone Water Point,,Yes,11.051280498504639 10.961442589759827 327.0 4.0,True,Dukku,162,162,162.0,Solar,No,1307458208037.jpg,water,Gombe,gombe_dukku,a59a4b5e94ab1c7d370dcd6ea32a8259,Jamari,Tap,,,,
,,Mayomadaki,,,Stand Alone Water Point,,No,10.908018350601196 10.692722797393799 328.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307540425732.jpg,water,Gombe,gombe_dukku,9971f0cd199ffcd76630adb0b82b00fc,Wuro -Tale,Handpump,,,,
Mechanical Issue,,lafiya village,,,Stand Alone Water Point,,No,10.976446866989136 10.681656002998352 340.0 4.0,True,Dukku,162,162,162.0,Hand Pump,No,1307690708148.jpg,water,Gombe,gombe_dukku,8391c4d080fcb889a246e47844e1e7af,lafiya tale,Handpump,,,,
Functional,,Gabshyari,,,"Water Scheme, Source within 100m",,Yes,10.992593765258789 10.809382796287537 318.0 3.0,True,Dukku,162,162,162.0,Electric,No,1307523325592.jpg,water,Gombe,gombe_dukku,ffced9b0c0e5c117d59818262d894a87,Wutale,Tap,,,,
Functional,,Garinbulama,,,Stand Alone Water Point,,Yes,11.04175329208374 11.017763614654541 349.0 3.0,True,Dukku,162,162,162.0,Hand Pump,No,1307453115727.jpg,water,Gombe,gombe_dukku,111c0bc64e82f328822dcae3ed7f812b,Jamari,Handpump,,,,
Mechanical Issue,,Wurobundu,,,"Water Scheme, Source within 100m",,No,11.053565740585327 10.96086323261261 329.0 4.0,False,Dukku,162,162,162.0,Other,No,1307457843149.jpg,water,Gombe,gombe_dukku,4a67ddf3d90227fa8ff077a3c910a8b5,Jamari,Unimproved,,,,
Mechanical Issue,,Duku,,,Stand Alone Water Point,,No,10.83478331565857 10.767234563827515 465.0 3.0,True,Dukku,162,162,162.0,Electric,No,1308066156711.jpg,water,Gombe,gombe_dukku,2b313c3471fd3c72c2b4ea3e5d9a420a,Waziri North,Tap,,,,
