"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"29975",29975,29975,"3cabefba-6741-4435-9b03-a57d23a8d39c","kaltungo","gombe","northeast","9.82449693 11.31544294 489.29998779296875 5.0","ECCDE Nasarawa","preprimary_only","gombe_kaltungo",407,"1336046423332.jpg","3cabefba-6741-4435-9b03-a57d23a8d39c","preprimary_only","1336046423332.jpg",10,"formal_educ",FALSE,TRUE,0,5,0,0,TRUE,FALSE,0,1.12765957446809,FALSE,FALSE,50,FALSE,1,FALSE,FALSE,FALSE,TRUE,25,FALSE,FALSE,FALSE,FALSE,1,1,10,Inf,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29976",29976,29976,"fba608f0-f79d-4eef-a25a-06ff160bc617","kaltungo","gombe","northeast","9.93731006 11.41553593 353.20001220703125 5.0","Daura nomadic primary school","primary_only","gombe_kaltungo",407,"1336224147485.jpg","fba608f0-f79d-4eef-a25a-06ff160bc617","primary_only","1336224147485.jpg",2,"formal_educ",FALSE,FALSE,0,2,NA,NA,TRUE,TRUE,0,1.11009174311927,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,NA,Inf,Inf,115,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29977",29977,29977,"9444081a-0062-4abd-8dfb-2a04550a51fa","kaltungo","gombe","northeast","9.96720675 11.48352655 289.70001220703125 5.0","Jauro ali primary school","primary_only","gombe_kaltungo",407,"1336214536686.jpg","9444081a-0062-4abd-8dfb-2a04550a51fa","primary_only","1336214536686.jpg",9,"formal_educ",FALSE,FALSE,2,3,NA,NA,FALSE,FALSE,0,1.55384615384615,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,83,TRUE,FALSE,TRUE,FALSE,Inf,Inf,36.8888888888889,NA,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"29978",29978,29978,"f7035f3e-6f5c-4fc2-8d23-32e7265aa63a","kaltungo","gombe","northeast","9.82514494 11.31368228 490.3999938964844 5.0","Mai lamai academy","preprimary_and_primary","gombe_kaltungo",407,"1336054691659.jpg","f7035f3e-6f5c-4fc2-8d23-32e7265aa63a","preprimary_and_primary","1336054691659.jpg",10,"religious_with_formal",FALSE,TRUE,4,4,147,1.13076923076923,TRUE,FALSE,0,0.857142857142857,TRUE,FALSE,65,FALSE,2,TRUE,FALSE,TRUE,TRUE,21.6666666666667,FALSE,FALSE,FALSE,FALSE,2.16666666666667,2.16666666666667,13,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"29979",29979,29979,"888c4847-d013-47a7-a43f-9166f60463fb","kaltungo","gombe","northeast","9.90527241 11.43599844 366.29998779296875 5.0","Tanga primary school","primary_only","gombe_kaltungo",407,"1336230325235.jpg","888c4847-d013-47a7-a43f-9166f60463fb","primary_only","1336230325235.jpg",4,"formal_educ",FALSE,FALSE,2,3,0,0,FALSE,TRUE,0,1.16279069767442,FALSE,NA,NA,FALSE,1,FALSE,FALSE,TRUE,FALSE,62,TRUE,FALSE,TRUE,FALSE,Inf,Inf,46.5,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29980",29980,29980,"7afd4588-6615-4edb-95b0-3a6689ab5535","kaltungo","gombe","northeast","9.93115873 11.44201893 356.5 5.0","sabonlayi awak central primary","primary_only","gombe_kaltungo",407,"1336149812875.jpg","7afd4588-6615-4edb-95b0-3a6689ab5535","primary_only","1336149812875.jpg",6,"formal_educ",FALSE,TRUE,3,4,NA,NA,FALSE,FALSE,0,0.946428571428571,TRUE,FALSE,54.5,FALSE,2,FALSE,FALSE,FALSE,FALSE,18.1666666666667,TRUE,FALSE,FALSE,FALSE,Inf,Inf,18.1666666666667,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"29981",29981,29981,"cf0f843d-9c8a-4bdd-b6bb-d04d897abba1","kaltungo","gombe","northeast","9.82575124 11.31560405 499.29998779296875 5.0","Nasarawa primary school","primary_only","gombe_kaltungo",407,"1336048505818.jpg","cf0f843d-9c8a-4bdd-b6bb-d04d897abba1","primary_only","1336048505818.jpg",34,"formal_educ",FALSE,TRUE,0,30,NA,NA,TRUE,FALSE,0,1.04854368932039,TRUE,FALSE,316.5,FALSE,7,FALSE,FALSE,TRUE,FALSE,37.2352941176471,FALSE,FALSE,FALSE,FALSE,12.66,12.66,18.6176470588235,Inf,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29982",29982,29982,"0057561f-6d67-47f3-9b0b-2497cfc7e03f","kaltungo","gombe","northeast","9.82578011 11.31514714 490.1000061035156 5.0","Nasarawa junior sec sch","juniors_sec_only","gombe_kaltungo",407,"1336047874140.jpg","0057561f-6d67-47f3-9b0b-2497cfc7e03f","juniors_sec_only","1336047874140.jpg",19,"formal_educ",FALSE,TRUE,0,17,NA,NA,TRUE,TRUE,0,0.891156462585034,TRUE,FALSE,139,FALSE,0,TRUE,FALSE,TRUE,FALSE,92.6666666666667,FALSE,FALSE,FALSE,FALSE,4.63333333333333,4.63333333333333,14.6315789473684,Inf,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"29983",29983,29983,"90206aab-5105-4995-b986-dfabbfb9cb97","kaltungo","gombe","northeast","9.96923437 11.41442095 342.6000061035156 5.0","Kewur primary school","primary_only","gombe_kaltungo",407,"1336226453026.jpg","90206aab-5105-4995-b986-dfabbfb9cb97","primary_only","1336226453026.jpg",4,"formal_educ",TRUE,FALSE,0,3,NA,NA,TRUE,TRUE,0,1.46666666666667,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,37,TRUE,FALSE,TRUE,FALSE,Inf,Inf,27.75,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"29984",29984,29984,"f1e41e45-e9f2-45e1-b3af-5fbcd4b9ae70","kaltungo","gombe","northeast","9.81484222 11.31486677 521.2999877929688 5.0","Umar memorial islamic  primary  school","primary_only","gombe_kaltungo",407,"1336049328007.jpg","f1e41e45-e9f2-45e1-b3af-5fbcd4b9ae70","primary_only","1336049328007.jpg",44,"religious_with_formal",FALSE,FALSE,2,29,NA,NA,TRUE,TRUE,0,0.933673469387755,TRUE,TRUE,63.1666666666667,FALSE,2,FALSE,FALSE,TRUE,FALSE,47.375,FALSE,FALSE,TRUE,FALSE,189.5,6.31666666666667,8.61363636363636,1.46666666666667,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29985",29985,29985,"2e97116b-20d1-4f1a-b0f6-d92e79ad83f2","kaltungo","gombe","northeast","9.94035318 11.44794866 354.70001220703125 5.0","Kangari primary school","primary_only","gombe_kaltungo",407,"1336153712627.jpg","2e97116b-20d1-4f1a-b0f6-d92e79ad83f2","primary_only","1336153712627.jpg",6,"formal_educ",FALSE,TRUE,2,5,NA,NA,TRUE,TRUE,0,0.637873754152824,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,246.5,TRUE,FALSE,FALSE,FALSE,20.5416666666667,Inf,82.1666666666667,1.2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29986",29986,29986,"517eafae-c6b0-4701-ac81-052fb5d79f08","kaltungo","gombe","northeast","9.81436397 11.3012925 553.0 5.0","Termana primary School","primary_only","gombe_kaltungo",407,"1335886217689.jpg","517eafae-c6b0-4701-ac81-052fb5d79f08","primary_only","1335886217689.jpg",36,"formal_educ",FALSE,TRUE,0,26,NA,NA,TRUE,FALSE,0,1.07722007722008,TRUE,TRUE,67.25,FALSE,0,TRUE,FALSE,TRUE,FALSE,76.8571428571429,TRUE,FALSE,TRUE,FALSE,Inf,Inf,14.9444444444444,Inf,36,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29987",29987,29987,"86da4c06-912e-41c6-a8d9-eb7fa6e32e03","kaltungo","gombe","northeast","9.81955918 11.30094381 523.0 5.0","Mohamed Memorial","primary_only","gombe_kaltungo",407,"1336392675689.jpg","86da4c06-912e-41c6-a8d9-eb7fa6e32e03","primary_only","1336392675689.jpg",39,"formal_educ",FALSE,TRUE,2,25,NA,NA,TRUE,TRUE,10,1.17763157894737,TRUE,TRUE,82.75,FALSE,4,TRUE,FALSE,TRUE,FALSE,41.375,TRUE,FALSE,FALSE,FALSE,9.73529411764706,16.55,8.48717948717949,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"29988",29988,29988,"5c9f9442-f2b0-4671-9fff-a1cb99b8bc22","kaltungo","gombe","northeast","9.96775239 11.47764207 308.8999938964844 5.0","Bukka arbain","juniors_sec_only","gombe_kaltungo",407,"1336219794890.jpg","5c9f9442-f2b0-4671-9fff-a1cb99b8bc22","juniors_sec_only","1336219794890.jpg",6,"formal_educ",TRUE,FALSE,3,5,NA,NA,TRUE,TRUE,47,1.19402985074627,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,29.4,TRUE,FALSE,FALSE,FALSE,Inf,Inf,24.5,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"29989",29989,29989,"1108fd57-54e8-4840-844a-dd77204b9306","kaltungo","gombe","northeast","9.82119713 11.29392806 487.3999938964844 5.0","Kalorgo primary school","preprimary_and_primary","gombe_kaltungo",407,"1336412819629.jpg","1108fd57-54e8-4840-844a-dd77204b9306","preprimary_and_primary","1336412819629.jpg",57,"formal_educ",FALSE,TRUE,6,1,550,0.975177304964539,TRUE,FALSE,0,1.23809523809524,FALSE,FALSE,Inf,FALSE,4,FALSE,FALSE,TRUE,FALSE,47,FALSE,TRUE,FALSE,FALSE,3.76,3.76,9.89473684210526,Inf,57,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
