antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,880.453216,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Kalorgu Health Centre,,primaryhealthclinic,False,True,False,True,1336393167667.jpg,9.82088772 11.29375079 514.0999755859375 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Kaltungo,407,407,407.0,False,False,True,False,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,3,3,,,0.0,,False,public,,False,1336393167667.jpg,149805,170.145326609,False,False,False,health,False,TRUE,Gombe,False,True,Others,TRUE,gombe_kaltungo,False,76feb2db-10dc-4ea6-9562-d07eefc841f1,,,76feb2db-10dc-4ea6-9562-d07eefc841f1,Northeast
False,880.453216,False,False,False,True,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Kalorgu Maternity Center,TRUE,primaryhealthclinic,False,True,False,True,1335879870073.jpg,9.82098349 11.2938097 505.70001220703125 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Kaltungo,407,407,407.0,False,True,True,True,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,3,3,,,0.0,,False,public,,False,1335879870073.jpg,149805,170.145326609,True,False,False,health,False,TRUE,Gombe,False,True,Others,TRUE,gombe_kaltungo,False,cf34d17b-1725-4484-acad-fac7ec5f8376,,,cf34d17b-1725-4484-acad-fac7ec5f8376,Northeast
False,880.453216,False,False,False,True,False,True,False,True,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,,True,Health clinic,,healthpostdispensary,False,,False,,1335877823241.jpg,9.8511649 11.3474152 460.1000061035156 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Kaltungo,407,407,407.0,False,True,False,False,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,2,0,,,0.0,,False,public,False,False,1335877823241.jpg,149805,170.145326609,True,False,False,health,False,TRUE,Gombe,,True,Others,FALSE,gombe_kaltungo,False,cc9f0258-8fed-449b-8133-a0043ba2bc4e,,,cc9f0258-8fed-449b-8133-a0043ba2bc4e,Northeast
False,880.453216,False,False,False,True,False,True,False,False,True,True,False,True,,False,FALSE,False,,,False,False,False,,,False,,True,Health post,,healthpostdispensary,False,True,False,True,1335874232727.jpg,9.8975841 11.35878954 396.79998779296875 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Kaltungo,407,407,407.0,False,True,True,False,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,1,0,0.0,0.0,0.0,0.0,False,public,,False,1335874232727.jpg,149805,170.145326609,True,False,False,health,False,TRUE,Gombe,False,,Others,FALSE,gombe_kaltungo,False,618059ce-5983-4318-949b-2eaef7c12a3f,,,618059ce-5983-4318-949b-2eaef7c12a3f,Northeast
False,880.453216,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.0358193154792,3.95726789952,False,False,False,False,True,False,,True,Maternity health clinic,FALSE,maternity,False,True,False,True,1336217320699.jpg,9.97853758 11.4848874 285.6000061035156 5.0,False,False,FALSE,False,,,False,TRUE,True,False,False,False,False,False,False,False,Kaltungo,407,407,31.0,False,True,True,True,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336217320699.jpg,149805,170.145326609,,False,False,health,False,TRUE,Gombe,False,True,Others,TRUE,gombe_kaltungo,False,21056148-752d-4566-9ddd-4f7f2dc57148,,,21056148-752d-4566-9ddd-4f7f2dc57148,Northeast
False,880.453216,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,Ture okra maternity,TRUE,maternity,False,True,False,True,1335870098703.jpg,9.84902265 11.3611869 463.0 5.0,False,True,FALSE,False,True,False,False,TRUE,True,False,False,False,False,False,False,False,Kaltungo,407,407,407.0,False,True,False,True,True,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,7,7,1.0,,0.0,,False,public,False,False,1335870098703.jpg,149805,170.145326609,,False,False,health,True,TRUE,Gombe,True,True,Others,FALSE,gombe_kaltungo,False,42645b94-55f4-48d0-87e2-cb0ce96bf0e7,,,42645b94-55f4-48d0-87e2-cb0ce96bf0e7,Northeast
False,880.453216,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,True,Maternity,TRUE,maternity,False,False,False,True,1336131634526.jpg,9.87733235 11.39827876 387.0 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Kaltungo,407,407,407.0,False,True,False,True,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,2,1,0.0,0.0,0.0,0.0,False,public,,False,1336131634526.jpg,149805,170.145326609,,False,False,health,False,TRUE,Gombe,False,,Others,FALSE,gombe_kaltungo,False,10f938a8-cea7-4ab8-9836-2e6d115fc72c,,,10f938a8-cea7-4ab8-9836-2e6d115fc72c,Northeast
False,880.453216,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,Kalorgu Health Centre,,primaryhealthclinic,False,True,False,True,1336393167667.jpg,9.82088772 11.29375079 514.0999755859375 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Kaltungo,407,407,407.0,False,False,True,False,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,3,3,,,0.0,,False,public,,False,1336393167667.jpg,149805,170.145326609,False,False,False,health,False,TRUE,Gombe,False,True,Others,TRUE,gombe_kaltungo,False,76feb2db-10dc-4ea6-9562-d07eefc841f1,,,76feb2db-10dc-4ea6-9562-d07eefc841f1,Northeast
False,880.453216,False,False,False,True,True,True,False,True,True,True,True,True,,False,FALSE,False,0.0358193154792,3.95726789952,False,False,False,False,True,False,,True,Maternity health clinic,FALSE,maternity,False,True,False,True,1336217320699.jpg,9.97853758 11.4848874 285.6000061035156 5.0,False,False,FALSE,False,,,False,TRUE,True,False,False,False,False,False,False,False,Kaltungo,407,407,31.0,False,True,True,True,False,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,1,1,0.0,0.0,0.0,0.0,False,public,,False,1336217320699.jpg,149805,170.145326609,,False,False,health,False,TRUE,Gombe,False,True,Others,TRUE,gombe_kaltungo,False,21056148-752d-4566-9ddd-4f7f2dc57148,,,21056148-752d-4566-9ddd-4f7f2dc57148,Northeast
False,880.453216,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,Ture okra maternity,TRUE,maternity,False,True,False,True,1335870098703.jpg,9.84902265 11.3611869 463.0 5.0,False,True,FALSE,False,True,False,False,TRUE,True,False,False,False,False,False,False,False,Kaltungo,407,407,407.0,False,True,False,True,True,False,False,False,False,False,FALSE,kaltungo,gombe,northeast,7,7,1.0,,0.0,,False,public,False,False,1335870098703.jpg,149805,170.145326609,,False,False,health,True,TRUE,Gombe,True,True,Others,FALSE,gombe_kaltungo,False,42645b94-55f4-48d0-87e2-cb0ce96bf0e7,,,42645b94-55f4-48d0-87e2-cb0ce96bf0e7,Northeast
