"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"641",641,641,"bdfc0b80-2d29-4f26-8c8f-44545749e8b3","ahiazu_mbaise","imo","southeast",23,"1340016365808.jpg","imo_ahiazu_mbaise","bdfc0b80-2d29-4f26-8c8f-44545749e8b3","1340016365808.jpg","5.62008674 7.30840868 177.6999969482422 5.0","Chika Maternity","maternity",TRUE,TRUE,NA,FALSE,TRUE,0,NA,FALSE,0,2,0,0,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"642",642,642,"4c3a16d0-6964-4031-927e-be7a5a86c312","ahiazu_mbaise","imo","southeast",23,"1340191737820.jpg","imo_ahiazu_mbaise","4c3a16d0-6964-4031-927e-be7a5a86c312","1340191737820.jpg","5.5348357 7.28114383 182.5 5.0","CECILIA MEMORIAL HOSPITAL OGBE","generalhospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,16,3,3,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"643",643,643,"c16e2f36-ce7b-4d10-bad0-c1d3b0924061","ahiazu_mbaise","imo","southeast",23,"1339753906406.jpg","imo_ahiazu_mbaise","c16e2f36-ce7b-4d10-bad0-c1d3b0924061","1339753906406.jpg","5.56478291 7.28821068 168.89999389648438 5.0","Chinemerem Hospital","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,12,NA,TRUE,12,1,4,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"644",644,644,"6b86442e-67f9-4114-919e-50288d69ab94","ahiazu_mbaise","imo","southeast",23,"1339852155237.jpg","imo_ahiazu_mbaise","6b86442e-67f9-4114-919e-50288d69ab94","1339852155237.jpg","5.56198452 7.23456746 179.0 5.0","Mbaise Diocesan Cottage Hospital Obohia","cottagehospital",TRUE,TRUE,TRUE,FALSE,TRUE,0,TRUE,FALSE,0,4,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"645",645,645,"1e98f234-ae90-4689-b8eb-aed5fba6afe8","ahiazu_mbaise","imo","southeast",23,"1339769295295.jpg","imo_ahiazu_mbaise","1e98f234-ae90-4689-b8eb-aed5fba6afe8","1339769295295.jpg","5.58898856 7.2532395 184.3000030517578 5.0","Eziama Model Health Center","primaryhealthcarecentre",TRUE,TRUE,NA,FALSE,TRUE,2,TRUE,FALSE,0,5,1,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"646",646,646,"951982f2-e582-4c88-a73e-8d61a6120a48","ahiazu_mbaise","imo","southeast",23,"1340195778893.jpg","imo_ahiazu_mbaise","951982f2-e582-4c88-a73e-8d61a6120a48","1340195778893.jpg","5.52887661 7.28033031 175.8000030517578 5.0","MEJEX HOSPITAL OGBE","generalhospital",TRUE,TRUE,NA,TRUE,TRUE,6,NA,TRUE,6,4,1,2,3,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"647",647,647,"dd84153d-4e2c-4f4e-8e4d-282338d60cfd","ahiazu_mbaise","imo","southeast",23,"1339756789017.jpg","imo_ahiazu_mbaise","dd84153d-4e2c-4f4e-8e4d-282338d60cfd","1339756789017.jpg","5.53208264 7.28624313 184.0 5.0","SAINT MARY‘S HOSPITAL","primaryhealthclinic",FALSE,NA,NA,FALSE,TRUE,0,NA,FALSE,0,2,2,0,0,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"648",648,648,"74d9be26-991a-4bd6-9a15-c8ee22ebfff7","ahiazu_mbaise","imo","southeast",23,"1339853125187.jpg","imo_ahiazu_mbaise","74d9be26-991a-4bd6-9a15-c8ee22ebfff7","1339853125187.jpg","5.55970633 7.2355909 185.5 5.0","Umuedo Health Center","primaryhealthcarecentre",TRUE,TRUE,TRUE,FALSE,TRUE,0,TRUE,FALSE,0,3,2,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"649",649,649,"4131080a-f6bb-4bfa-9a09-3c96120dfe0c","ahiazu_mbaise","imo","southeast",23,"1339584395050.jpg","imo_ahiazu_mbaise","4131080a-f6bb-4bfa-9a09-3c96120dfe0c","1339584395050.jpg","5.52054926 7.28843482 164.0 5.0","OGBE NNEISII HEALTH CENTRE","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,4,0,0,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"650",650,650,"f5ea74c6-6113-48eb-a1a3-fd0bf1a4e1fa","ahiazu_mbaise","imo","southeast",23,"1339684524307.jpg","imo_ahiazu_mbaise","f5ea74c6-6113-48eb-a1a3-fd0bf1a4e1fa","1339684524307.jpg","5.52522089 7.27187259 171.8000030517578 5.0","Cheyenere Clinic & Maternity","maternity",TRUE,TRUE,NA,FALSE,TRUE,0,NA,TRUE,0,7,2,1,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
