"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"13390",13390,13390,"b8778efd-c091-4e7e-a078-b3c2b5d45576","ehime_mbano","imo","southeast","5.744192004203796 7.289643287658691 125.0 4.0","central school ikpem","preprimary_and_primary","imo_ehime_mbano",183,"1336123442549.jpg","b8778efd-c091-4e7e-a078-b3c2b5d45576","preprimary_and_primary","1336123442549.jpg",4,"formal_educ",FALSE,FALSE,6,3,514,3.40397350993377,TRUE,TRUE,0,1.18840579710145,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,25.1666666666667,FALSE,FALSE,TRUE,TRUE,15.1,5.03333333333333,37.75,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"13391",13391,13391,"f5b81f52-a227-4139-a042-71730fa944b1","ehime_mbano","imo","southeast","5.6309062242507935 7.320907115936279 201.0 4.0","Central School Umuakagu Nsu","preprimary_and_primary","imo_ehime_mbano",183,"1335952788644.jpg","f5b81f52-a227-4139-a042-71730fa944b1","preprimary_and_primary","1335952788644.jpg",22,"formal_educ",FALSE,TRUE,0,12,358,1.29241877256318,TRUE,FALSE,0,0.950704225352113,TRUE,FALSE,138.5,FALSE,2,FALSE,FALSE,TRUE,FALSE,34.625,FALSE,FALSE,FALSE,FALSE,17.3125,2.1984126984127,12.5909090909091,11,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"13392",13392,13392,"6f6bd812-1c6f-4b22-8e55-7eea7890de56","ehime_mbano","imo","southeast","5.65545380115509 7.235527038574219 181.0 3.0","Queen of Peace Girls Secondary School","junior_and_senior_sec","imo_ehime_mbano",183,"1336218719651.jpg","6f6bd812-1c6f-4b22-8e55-7eea7890de56","junior_and_senior_sec","1336218719651.jpg",12,"formal_educ",TRUE,TRUE,0,0,12,0.05,FALSE,NA,100,0,TRUE,FALSE,24,TRUE,0,TRUE,TRUE,FALSE,TRUE,40,FALSE,FALSE,FALSE,TRUE,2.4,1,20,12,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"13393",13393,13393,"b52f53ce-ff8f-4e64-9550-38993a3066d1","ehime_mbano","imo","southeast","5.730673670768738 7.272992134094238 132.0 4.0","central school amaimo umukabia","preprimary_and_primary","imo_ehime_mbano",183,"1335974017883.jpg","b52f53ce-ff8f-4e64-9550-38993a3066d1","preprimary_and_primary","1335974017883.jpg",8,"formal_educ",FALSE,FALSE,8,6,345,0.445736434108527,FALSE,FALSE,0,1.09189189189189,FALSE,FALSE,193.5,FALSE,8,FALSE,FALSE,FALSE,FALSE,96.75,TRUE,FALSE,TRUE,FALSE,Inf,Inf,96.75,Inf,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"13394",13394,13394,"75d1ebe9-3a12-4f6f-a83e-1c53cb319549","ehime_mbano","imo","southeast","5.62274694442749 7.239008545875549 175.0 4.0","Central School, Umueze II","preprimary_and_primary","imo_ehime_mbano",183,"1336035024085.jpg","75d1ebe9-3a12-4f6f-a83e-1c53cb319549","preprimary_and_primary","1336035024085.jpg",12,"formal_educ",FALSE,FALSE,5,7,486,1.35376044568245,FALSE,FALSE,0,1.1497005988024,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,44.875,FALSE,FALSE,FALSE,TRUE,Inf,2.99166666666667,29.9166666666667,Inf,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"13395",13395,13395,"6a8f2532-14f6-48bd-8a51-3e5e3e0b8dc4","ehime_mbano","imo","southeast","5.710782408714294 7.314872145652771 116.0 4.0","Town School Umuakagu Nsu","preprimary_and_primary","imo_ehime_mbano",183,"1336036988372.jpg","6a8f2532-14f6-48bd-8a51-3e5e3e0b8dc4","preprimary_and_primary","1336036988372.jpg",16,"formal_educ",FALSE,FALSE,2,10,844,4.79545454545455,FALSE,FALSE,0,1.12048192771084,TRUE,FALSE,88,FALSE,5,FALSE,FALSE,FALSE,FALSE,12.5714285714286,FALSE,FALSE,FALSE,FALSE,22,3.91111111111111,11,16,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"13396",13396,13396,"c474afe5-7079-4496-a6f2-368e78b1f9dd","ehime_mbano","imo","southeast","5.62314272 7.24087944 205.3000030517578 5.0","Community. Primary. School. Umuduru Egwelle","preprimary_and_primary","imo_ehime_mbano",183,"1336058695194.jpg","c474afe5-7079-4496-a6f2-368e78b1f9dd","preprimary_and_primary","1336058695194.jpg",9,"formal_educ",FALSE,FALSE,5,6,457,3.26428571428571,TRUE,FALSE,0,1.12121212121212,TRUE,FALSE,70,FALSE,3,FALSE,FALSE,FALSE,FALSE,10.7692307692308,FALSE,FALSE,FALSE,FALSE,2,0.848484848484849,15.5555555555556,9,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"13397",13397,13397,"794ecc44-d516-46e5-97f5-b530e8785597","ehime_mbano","imo","southeast","5.60977578163147 7.244925498962402 196.0 4.0","Town School, Umueze II","preprimary_and_primary","imo_ehime_mbano",183,"1336391863984.jpg","794ecc44-d516-46e5-97f5-b530e8785597","preprimary_and_primary","1336391863984.jpg",9,"formal_educ",TRUE,FALSE,3,8,40,0.224719101123595,TRUE,FALSE,0,0.873684210526316,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,19.7777777777778,FALSE,FALSE,FALSE,FALSE,Inf,1.18666666666667,19.7777777777778,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"13398",13398,13398,"fcd6f047-7cc9-4a30-8551-a79498c104a2","ehime_mbano","imo","southeast","5.616331100463867 7.263507843017578 191.0 4.0","Community Primary School, Umugolo","preprimary_and_primary","imo_ehime_mbano",183,"1336383127657.jpg","fcd6f047-7cc9-4a30-8551-a79498c104a2","preprimary_and_primary","1336383127657.jpg",9,"formal_educ",FALSE,FALSE,0,8,350,2.30263157894737,FALSE,TRUE,0,1.45161290322581,TRUE,FALSE,50.6666666666667,FALSE,0,FALSE,FALSE,FALSE,FALSE,152,FALSE,FALSE,FALSE,FALSE,Inf,15.2,16.8888888888889,Inf,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"13399",13399,13399,"8adcc84c-1ba9-44bf-a69e-7542b00ef843","ehime_mbano","imo","southeast","5.670967698097229 7.283114790916443 143.0 4.0","ibeafor secondary ibeafof umunumo","junior_and_senior_sec","imo_ehime_mbano",183,"1336065535663.jpg","8adcc84c-1ba9-44bf-a69e-7542b00ef843","junior_and_senior_sec","1336065535663.jpg",13,"formal_educ",TRUE,FALSE,11,7,0,0,TRUE,TRUE,100,1.05357142857143,TRUE,FALSE,115,FALSE,11,TRUE,FALSE,FALSE,FALSE,16.4285714285714,FALSE,FALSE,FALSE,FALSE,7.66666666666667,11.5,17.6923076923077,13,10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
