"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",23862,"206b3912-9ad5-4725-8667-4f7c2844594b","ikeduru","imo","southeast","5.5629390478134155 7.149916291236877 161.0 4.0","Sec.comml.sch.Eziama","junior_and_senior_sec","imo_ikeduru",325,"1335889181838.jpg","206b3912-9ad5-4725-8667-4f7c2844594b","junior_and_senior_sec","1335889181838.jpg",19,"formal_educ",FALSE,TRUE,5,0,0,0,TRUE,TRUE,100,0.526315789473684,FALSE,TRUE,145,FALSE,2,FALSE,FALSE,FALSE,FALSE,79.0909090909091,TRUE,FALSE,TRUE,FALSE,29,29,45.7894736842105,1,9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"2",23863,"8e81885c-9a64-4124-b1df-7dbe9fbc5e50","ikeduru","imo","southeast","5.51357255 7.17091148 117.19999694824219 5.0","Comprehensive secondary school Avuvu","junior_and_senior_sec","imo_ikeduru",325,"1336132955391.jpg","8e81885c-9a64-4124-b1df-7dbe9fbc5e50","junior_and_senior_sec","1336132955391.jpg",6,"formal_educ",TRUE,FALSE,18,2,21,0.0509708737864078,TRUE,TRUE,50,0.943396226415094,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,20.6,TRUE,FALSE,TRUE,FALSE,8.24,8.24,68.6666666666667,Inf,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3",23864,"ad92912b-2673-4446-b348-33296c0fa378","ikeduru","imo","southeast","5.60061371 7.12206206 173.8000030517578 5.0","Genesis Secondary School","junior_and_senior_sec","imo_ikeduru",325,"1336131459234.jpg","ad92912b-2673-4446-b348-33296c0fa378","junior_and_senior_sec","1336131459234.jpg",8,"formal_educ",FALSE,TRUE,2,6,150,0.211267605633803,TRUE,FALSE,20,0.775,FALSE,NA,NA,TRUE,2,FALSE,FALSE,TRUE,TRUE,101.428571428571,FALSE,FALSE,TRUE,FALSE,14.2,10.9230769230769,88.75,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",23865,"3ed7a1fe-02cb-4ac5-9d0c-ae9248289483","ikeduru","imo","southeast","5.53360641002655 7.122852802276611 138.0 4.0","Central School Uzoagba Ikeduru","preprimary_and_primary","imo_ikeduru",325,"1336053849961.jpg","3ed7a1fe-02cb-4ac5-9d0c-ae9248289483","preprimary_and_primary","1336053849961.jpg",10,"formal_educ",FALSE,FALSE,8,8,150,0.638297872340426,FALSE,TRUE,0,0.895161290322581,FALSE,FALSE,78.3333333333333,FALSE,6,FALSE,FALSE,TRUE,FALSE,16.7857142857143,FALSE,FALSE,FALSE,FALSE,58.75,3.61538461538462,23.5,Inf,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",23866,"9bfe5ba8-bac6-4142-a07a-292158843d2c","ikeduru","imo","southeast","5.57704905 7.15938925 164.60000610351563 5.0","Umuoziri Comm. Sch. Inyishi Ikeduru","preprimary_and_primary","imo_ikeduru",325,"1336043312084.jpg","9bfe5ba8-bac6-4142-a07a-292158843d2c","preprimary_and_primary","1336043312084.jpg",6,"formal_educ",FALSE,TRUE,4,5,243,0.781350482315113,FALSE,FALSE,80,1.07333333333333,FALSE,TRUE,77.75,FALSE,3,FALSE,FALSE,TRUE,FALSE,44.4285714285714,FALSE,FALSE,TRUE,FALSE,31.1,6.22,51.8333333333333,Inf,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",23867,"46db6c0c-1fdc-409e-b7ef-15cc6bc3e877","ikeduru","imo","southeast","5.6151992082595825 7.131451964378357 160.0 3.0","St. Jude Nursery Primary School Atta","preprimary_and_primary","imo_ikeduru",325,"1336128005473.jpg","46db6c0c-1fdc-409e-b7ef-15cc6bc3e877","preprimary_and_primary","1336128005473.jpg",10,"formal_educ",FALSE,TRUE,0,8,4,0.0192307692307692,TRUE,NA,6,0.71900826446281,TRUE,TRUE,34.6666666666667,TRUE,3,FALSE,FALSE,TRUE,FALSE,20.8,FALSE,FALSE,TRUE,FALSE,Inf,1.77777777777778,20.8,5,7,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"7",23868,"1840d1c0-8a2f-498e-9d00-85e47b8b2f4c","ikeduru","imo","southeast","5.52979037 7.12338905 149.1999969482422 5.0","MERCY PRY. SCH. UZOAGBA","preprimary_only","imo_ikeduru",325,"1336056910320.jpg","1840d1c0-8a2f-498e-9d00-85e47b8b2f4c","preprimary_only","1336056910320.jpg",10,"formal_educ",FALSE,TRUE,4,NA,0,0,FALSE,FALSE,0,0.864197530864197,TRUE,FALSE,100.666666666667,TRUE,5,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,Inf,1.11029411764706,30.2,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"8",23869,"c3020050-034f-461d-8787-bce9e68b097f","ikeduru","imo","southeast","5.56029953 7.15105124 150.1999969482422 5.0","Community School Eziama","preprimary_and_primary","imo_ikeduru",325,"1335891686063.jpg","c3020050-034f-461d-8787-bce9e68b097f","preprimary_and_primary","1335891686063.jpg",9,"formal_educ",TRUE,FALSE,2,9,164,NA,FALSE,FALSE,0,NA,FALSE,TRUE,NA,TRUE,7,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,Inf,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",23870,"c9dc1703-8c12-4a40-9e10-7871e8e3b2ad","ikeduru","imo","southeast","5.50070723 7.16602422 143.39999389648438 5.0","Amudara comm school Avuvu","preprimary_and_primary","imo_ikeduru",325,"1336127801576.jpg","c9dc1703-8c12-4a40-9e10-7871e8e3b2ad","preprimary_and_primary","1336127801576.jpg",13,"formal_educ",TRUE,FALSE,10,8,24,0.0888888888888889,TRUE,TRUE,10,1.1259842519685,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,19.2857142857143,TRUE,FALSE,TRUE,FALSE,5.4,5.4,20.7692307692308,Inf,13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"10",23871,"d9f32619-0a80-47d7-8ddf-7aad283bb1c1","ikeduru","imo","southeast","5.56780799 7.17237067 161.0 5.0","Umueze Community Primary School Amaimo","preprimary_and_primary","imo_ikeduru",325,"1335952547920.jpg","d9f32619-0a80-47d7-8ddf-7aad283bb1c1","preprimary_and_primary","1335952547920.jpg",9,"formal_educ",FALSE,FALSE,5,8,24,0.114285714285714,FALSE,FALSE,0,1.59259259259259,TRUE,TRUE,52.5,TRUE,2,FALSE,FALSE,FALSE,FALSE,23.3333333333333,FALSE,FALSE,FALSE,FALSE,4.2,4.2,23.3333333333333,Inf,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
