"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"9224",9224,9224,"f1065426-31b0-49a9-b334-303e0575225e","isiala_mbano","imo","southeast",362,"1336123108989.jpg","imo_isiala_mbano","f1065426-31b0-49a9-b334-303e0575225e","1336123108989.jpg","5.63205651 7.19047275 224.89999389648438 5.0","Ibeme health centre","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,7,NA,FALSE,7,0,2,0,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"9225",9225,9225,"0e453599-c984-4a71-87b3-9cc6782b6788","isiala_mbano","imo","southeast",362,"1335974732521.jpg","imo_isiala_mbano","0e453599-c984-4a71-87b3-9cc6782b6788","1335974732521.jpg","5.715503096580505 7.179463505744934 192.0 4.0","proposed Community Hospital","cottagehospital",FALSE,NA,NA,FALSE,FALSE,0,TRUE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health"
"9226",9226,9226,"274b10d3-8bdd-42e0-a6c4-b5d808b0fef3","isiala_mbano","imo","southeast",362,"1335917975882.jpg","imo_isiala_mbano","274b10d3-8bdd-42e0-a6c4-b5d808b0fef3","1335917975882.jpg","5.68497122 7.24314009 170.39999389648438 5.0","Little Rock Hospital Limited","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,7,5,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"9227",9227,9227,"fc449dad-3801-4f4c-a279-5fd811731c2d","isiala_mbano","imo","southeast",362,"1336056501493.jpg","imo_isiala_mbano","fc449dad-3801-4f4c-a279-5fd811731c2d","1336056501493.jpg","5.6492422 7.14650342 196.5 5.0","Chinemerem Divine Clinic","healthpostdispensary",FALSE,NA,NA,TRUE,TRUE,1,NA,FALSE,0,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"health"
"9228",9228,9228,"0801ea6c-3fd9-4505-b348-89fac872d4da","isiala_mbano","imo","southeast",362,"1336119393460.jpg","imo_isiala_mbano","0801ea6c-3fd9-4505-b348-89fac872d4da","1336119393460.jpg","5.699624419212341 7.1914637088775635 160.0 4.0","Umuoma Umunchi Health Post","healthpostdispensary",FALSE,NA,NA,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"9229",9229,9229,"490ca2c2-0005-4253-a121-7ccfa2b4038d","isiala_mbano","imo","southeast",362,"1336043898515.jpg","imo_isiala_mbano","490ca2c2-0005-4253-a121-7ccfa2b4038d","1336043898515.jpg","5.731135010719299 7.203002572059631 183.0 4.0","Daugthers of Mary Mother of Metcy Maternity Umuohiri","maternity",TRUE,TRUE,NA,TRUE,TRUE,3,NA,FALSE,2,1,1,1,0,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"9230",9230,9230,"9da9a7c1-b38e-4d83-992f-fc855369e5fa","isiala_mbano","imo","southeast",362,"1335961059159.jpg","imo_isiala_mbano","9da9a7c1-b38e-4d83-992f-fc855369e5fa","1335961059159.jpg","5.68585581 7.24270595 172.89999389648438 5.0","Primary Health Care Centre Osu","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,5,0,7,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"9231",9231,9231,"c7b0ccdd-241c-4925-aa24-52ded5bd29c8","isiala_mbano","imo","southeast",362,"1335930341646.jpg","imo_isiala_mbano","c7b0ccdd-241c-4925-aa24-52ded5bd29c8","1335930341646.jpg","5.66497454 7.11136507 188.3000030517578 5.0","Aladinma Amauzari Community Health Centre","comprehensivehealthcentre",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,3,4,2,1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"9232",9232,9232,"59829fb7-e4c1-4ee1-b875-4d180a111b9a","isiala_mbano","imo","southeast",362,"1336125658177.jpg","imo_isiala_mbano","59829fb7-e4c1-4ee1-b875-4d180a111b9a","1336125658177.jpg","5.690397620201111 7.201339602470398 168.0 4.0","OKOHA MODEl HEALTH CENTER","wardmodelphccentre",TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,2,0,3,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"9233",9233,9233,"fab1190b-0a65-4216-9a4a-7627ad54eaaf","isiala_mbano","imo","southeast",362,"1336147033409.jpg","imo_isiala_mbano","fab1190b-0a65-4216-9a4a-7627ad54eaaf","1336147033409.jpg","5.68376479 7.16577032 268.70001220703125 5.0","Health Centre Amano Anara","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,FALSE,3,0,1,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
