access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,483.6417368,False,FALSE,False,,,,formal_educ,PRISCILLA MEM. SEC. SCH OGUTA,juniors_sec_only,1345911136007.jpg,True,False,,5.71626235 6.80698429 19.0 5.0,False,False,juniors_sec_only,Oguta,573,573,573.0,1.05033112582781,False,oguta,imo,southeast,TRUE,0.0,18.0,18.0,1548.0,9.0,13.0,,2.0,4.0,public,False,1345911136007.jpg,143008,295.68994799,,False,FALSE,FALSE,1,86,1,119.076923076923,,True,,PRISCILLA MEM. SEC. SCH OGUTA,education,Imo,655.0,Others,False,False,TRUE,Inf,0.00258397932816537,FALSE,,imo_oguta,3a06eed7-1d88-4ec3-b465-003344d0408f,False,3a06eed7-1d88-4ec3-b465-003344d0408f,Southeast
False,False,483.6417368,False,FALSE,False,,,,formal_educ,ORSU-OBODO PRIMARY SCHOOL,preprimary_and_primary,1345906188263.jpg,False,False,,5.69342654 6.8116742 73.9000015258789 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,1.28476821192053,True,oguta,imo,southeast,TRUE,10.0,1.0,11.0,345.0,5.0,5.0,,2.0,699.0,public,True,1345906188263.jpg,143008,295.68994799,,False,FALSE,FALSE,7.5,31.3636363636364,3.75,69,,False,True,ORSU-OBODO PRIMARY SCHOOL,education,Imo,0.0,Others,False,False,FALSE,Inf,2.02608695652174,FALSE,,imo_oguta,5d5ea5d9-23c2-4c37-a09f-c57ffdde73fe,False,5d5ea5d9-23c2-4c37-a09f-c57ffdde73fe,Southeast
False,True,483.6417368,False,FALSE,False,,,,formal_educ,Awa Town School,preprimary_and_primary,1345907522343.jpg,,False,TRUE,5.69534882 6.80568222 40.599998474121094 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,1.13333333333333,True,oguta,imo,southeast,FALSE,,0.0,6.0,192.0,4.0,4.0,,4.0,130.0,public,False,1345907522343.jpg,143008,295.68994799,,False,FALSE,FALSE,Inf,32,3.84,48,32,True,False,Awa Town School,education,Imo,100.0,Others,False,False,TRUE,Inf,0.677083333333333,FALSE,,imo_oguta,deaa02f6-ff44-4b06-be49-d21d3b67dc14,False,deaa02f6-ff44-4b06-be49-d21d3b67dc14,Southeast
False,False,483.6417368,False,FALSE,False,,,,formal_educ,MGBELE TOWN SCHOOL,preprimary_and_primary,1345990524288.jpg,,False,,5.67830354 6.85061307 79.30000305175781 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,1.13157894736842,True,oguta,imo,southeast,FALSE,0.0,,6.0,162.0,4.0,4.0,,2.0,203.0,public,False,1345990524288.jpg,143008,295.68994799,,False,FALSE,FALSE,6.48,27,6.48,40.5,,False,True,MGBELE TOWN SCHOOL,education,Imo,0.0,Others,False,False,FALSE,Inf,1.25308641975309,TRUE,,imo_oguta,9689a6cf-f2c9-4b38-9436-1955ab1ae51d,False,9689a6cf-f2c9-4b38-9436-1955ab1ae51d,Southeast
False,False,483.6417368,True,FALSE,False,,,,formal_educ,HTC NURSERY/PRIMARY SCH EGBUOMA,preprimary_and_primary,1346069312540.jpg,True,False,FALSE,5.74665576 6.82476692 102.0999984741211 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,0.956521739130435,False,oguta,imo,southeast,TRUE,0.0,,9.0,315.0,8.0,11.0,,9.0,16.0,private,True,1346069312540.jpg,143008,295.68994799,,False,FALSE,FALSE,26.25,35,6.3,28.6363636363636,105,False,False,HTC NURSERY/PRIMARY SCH EGBUOMA,education,Imo,0.0,Others,False,False,TRUE,5.5,0.0507936507936508,FALSE,,imo_oguta,d66a15f5-cc7b-444c-8807-0e034fe027f5,False,d66a15f5-cc7b-444c-8807-0e034fe027f5,Southeast
False,False,483.6417368,True,TRUE,False,,,,formal_educ,TOWN SCHOOL OBUDI,juniors_sec_only,1346066160227.jpg,,True,TRUE,5.55618863 6.89611503 92.0 5.0,False,False,juniors_sec_only,Oguta,573,573,573.0,0.96969696969697,True,oguta,imo,southeast,FALSE,10.0,1.0,11.0,3575.0,10.0,10.0,,4.0,720.0,public,False,1346066160227.jpg,143008,295.68994799,,False,FALSE,FALSE,357.5,325,119.166666666667,357.5,893.75,True,True,TOWN SCHOOL OBUDI,education,Imo,,Others,False,False,FALSE,Inf,0.201398601398601,FALSE,,imo_oguta,2cb8bbc4-b1ef-4e4b-9ac0-30c6e66dbba7,False,2cb8bbc4-b1ef-4e4b-9ac0-30c6e66dbba7,Southeast
False,True,483.6417368,False,FALSE,False,,,,formal_educ,ABIAZIEM COMMUNITY PRIMARY SCHOOL,preprimary_and_primary,1345985117659.jpg,,False,,5.66769083 6.86869301 109.30000305175781 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,1.5,True,oguta,imo,southeast,FALSE,,0.0,7.0,130.0,0.0,5.0,,4.0,385.0,public,False,1345985117659.jpg,143008,295.68994799,,False,FALSE,FALSE,4.33333333333333,18.5714285714286,5.2,26,,True,True,ABIAZIEM COMMUNITY PRIMARY SCHOOL,education,Imo,0.0,Others,True,False,FALSE,Inf,2.96153846153846,FALSE,,imo_oguta,7612f63e-218b-4231-8cb1-03aacd17b475,False,7612f63e-218b-4231-8cb1-03aacd17b475,Southeast
False,False,483.6417368,False,FALSE,False,,,,formal_educ,Community Primary School Kalabari Beach,preprimary_and_primary,1346063662831.jpg,True,False,FALSE,5.69858672 6.79669619 44.400001525878906 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,0.71830985915493,True,oguta,imo,southeast,FALSE,4.0,,8.0,122.0,3.0,4.0,,3.0,125.0,public,False,1346063662831.jpg,143008,295.68994799,,False,FALSE,FALSE,3.48571428571429,15.25,2.44,30.5,61,True,True,Community Primary School Kalabari Beach,education,Imo,0.0,Others,True,True,FALSE,Inf,1.02459016393443,FALSE,,imo_oguta,6ebf3b9a-cfd8-430b-83d8-3e1818eca854,False,6ebf3b9a-cfd8-430b-83d8-3e1818eca854,Southeast
False,True,483.6417368,True,FALSE,True,,,,formal_educ,ANGLICAN PRI SCH OGUTA,preprimary_and_primary,1345900057424.jpg,,False,FALSE,5.71017511 6.80454705 41.20000076293945 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,1.91666666666667,False,oguta,imo,southeast,FALSE,0.0,0.0,6.0,350.0,2.0,6.0,,4.0,471.0,,False,1345900057424.jpg,143008,295.68994799,,False,FALSE,FALSE,Inf,58.3333333333333,Inf,58.3333333333333,175,True,False,ANGLICAN PRI SCH OGUTA,education,Imo,23.0,Others,False,False,FALSE,Inf,1.34571428571429,FALSE,,imo_oguta,8bc2858e-f4d6-425f-a924-d2752b9714df,True,8bc2858e-f4d6-425f-a924-d2752b9714df,Southeast
False,True,483.6417368,False,FALSE,True,,,,formal_educ,ADINMERI NATIONAL NUR/PRI SCH,preprimary_and_primary,1345910979369.jpg,True,False,FALSE,5.71694182 6.80726774 45.70000076293945 5.0,False,False,preprimary_and_primary,Oguta,573,573,573.0,1.58974358974359,True,oguta,imo,southeast,FALSE,,0.0,12.0,101.0,0.0,8.0,,3.0,36.0,private,False,1345910979369.jpg,143008,295.68994799,,False,FALSE,FALSE,Inf,8.41666666666667,10.1,12.625,50.5,False,False,ADINMERI NATIONAL NUR/PRI SCH,education,Imo,3.0,Others,False,False,TRUE,8,0.356435643564356,FALSE,,imo_oguta,00ad8eba-b13e-4e7d-bb02-5caafc675694,False,00ad8eba-b13e-4e7d-bb02-5caafc675694,Southeast
