"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"16039",16039,16039,"d7bf6147-6ad3-42ab-888b-7169ca5b88a3","oru_west","imo","southeast",619,"1347618994685.jpg","imo_oru_west","d7bf6147-6ad3-42ab-888b-7169ca5b88a3","1347618994685.jpg","5.72252326 6.89626676 78.30000305175781 4.0","Chidera Clinics Mgbidi","comprehensivehealthcentre",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,4,1,2,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"16040",16040,16040,"67f5791c-1b4d-4487-8dd9-74612489c557","oru_west","imo","southeast",619,"1347109943624.jpg","imo_oru_west","67f5791c-1b4d-4487-8dd9-74612489c557","1347109943624.jpg","5.70018808 6.91410825 122.5 5.0","Maternity","maternity",TRUE,TRUE,NA,FALSE,TRUE,0,NA,FALSE,0,1,2,0,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"health"
"16041",16041,16041,"aa23a03f-4e4f-409d-bffb-6ea9a960f733","oru_west","imo","southeast",619,"1347451448617.jpg","imo_oru_west","aa23a03f-4e4f-409d-bffb-6ea9a960f733","1347451448617.jpg","5.77275212 6.90371049 145.0 5.0","Our lords clinic and maternity","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,3,NA,FALSE,2,1,1,0,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"health"
"16042",16042,16042,"8712adb7-18fb-4497-8e86-6c509bb4cda7","oru_west","imo","southeast",619,"1347282644619.jpg","imo_oru_west","8712adb7-18fb-4497-8e86-6c509bb4cda7","1347282644619.jpg","5.77899926 6.92130153 166.0 5.0","Ihitteoha Health Post","healthpostdispensary",TRUE,TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,2,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"16043",16043,16043,"4a44e1af-9bf3-4538-baac-fb2511882cdb","oru_west","imo","southeast",619,"1347619777938.jpg","imo_oru_west","4a44e1af-9bf3-4538-baac-fb2511882cdb","1347619777938.jpg","5.71642174 6.90333044 93.4000015258789 5.0","Tochukwu Hospital & Maternity","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,0,7,1,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"16044",16044,16044,"3ea7bf9d-a77f-435d-b195-94052d79ff14","oru_west","imo","southeast",619,"1347449686658.jpg","imo_oru_west","3ea7bf9d-a77f-435d-b195-94052d79ff14","1347449686658.jpg","5.78892592 6.90941324 153.89999389648438 5.0","Bethel-light Hospital","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,1,0,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"16045",16045,16045,"b7ab6fab-c608-4ae2-8499-9e148f766879","oru_west","imo","southeast",619,"1328358757683.jpg","imo_oru_west","b7ab6fab-c608-4ae2-8499-9e148f766879","1328358757683.jpg","5.7388705015182495 6.892467141151428 91.0 4.0","temple medical center","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,4,NA,TRUE,0,4,2,2,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"16046",16046,16046,"0408fa99-bb30-48c6-98b9-105f4e2c8da9","oru_west","imo","southeast",619,"1347276796842.jpg","imo_oru_west","0408fa99-bb30-48c6-98b9-105f4e2c8da9","1347276796842.jpg","5.754005 6.92631108 143.6999969482422 5.0","Abot Cottage Maternity Hospital Eleh","cottagehospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,1,0,1,0,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"16047",16047,16047,"f1a9780b-0929-4ad1-b269-a25ddd2b4582","oru_west","imo","southeast",619,"1347535550393.jpg","imo_oru_west","f1a9780b-0929-4ad1-b269-a25ddd2b4582","1347535550393.jpg","5.7943435 6.92075913 164.39999389648438 5.0","Ubulu Health Centre","primaryhealthcarecentre",TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,2,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"16048",16048,16048,"038cef7f-465b-4760-b5ae-41793549b3f8","oru_west","imo","southeast",619,"1347448845861.jpg","imo_oru_west","038cef7f-465b-4760-b5ae-41793549b3f8","1347448845861.jpg","5.77685999 6.90764094 161.89999389648438 5.0","Chidera Hospital and Materity","specialisthospital",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,0,0,1,0,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
