access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,512.172425,True,FALSE,False,,,,formal_educ,GAMSARKA PRIMARY SCHOOL,primary_only,1339758036414.jpg,,False,TRUE,12.324262261390686 9.860031008720398 380.0 4.0,False,False,primary_only,Auyo,71,71,71.0,2.01104972375691,False,auyo,jigawa,northwest,TRUE,4.0,2.0,6.0,545.0,6.0,8.0,,2.0,1041.0,public,False,1339758036414.jpg,132001,257.727658806,,False,FALSE,FALSE,Inf,90.8333333333333,Inf,68.125,90.8333333333333,False,True,GAMSARKA PRIMARY SCHOOL,education,Jigawa,0.0,Others,False,False,TRUE,Inf,1.91009174311927,FALSE,,jigawa_auyo,41312fe7-50b4-4da8-abeb-6f792d4cdf69,False,41312fe7-50b4-4da8-abeb-6f792d4cdf69,Northwest
False,False,512.172425,True,TRUE,False,0.00169581496091,0.186636017293,,formal_educ,SHAMARMA PRIMARY SCHOOL,preprimary_and_primary,1339682129082.jpg,,False,,12.262389063835144 9.905027747154236 400.0 4.0,False,False,preprimary_and_primary,Auyo,71,71,397.0,3,False,auyo,jigawa,northwest,TRUE,2.0,2.0,4.0,100.0,4.0,8.0,,2.0,235.0,public,False,1339682129082.jpg,132001,257.727658806,,False,FALSE,FALSE,Inf,25,Inf,12.5,,True,True,SHAMARMA PRIMARY SCHOOL,education,Jigawa,10.0,Others,False,False,FALSE,Inf,2.35,FALSE,,jigawa_auyo,359a60e5-e666-4a86-b433-84f04780f508,False,359a60e5-e666-4a86-b433-84f04780f508,Northwest
False,False,512.172425,True,TRUE,False,0.00169581496091,0.186636017293,,formal_educ,SHAMARMA PRIMARY SCHOOL,preprimary_and_primary,1339682129082.jpg,,False,,12.262389063835144 9.905027747154236 400.0 4.0,False,False,preprimary_and_primary,Auyo,71,71,397.0,3,False,auyo,jigawa,northwest,TRUE,2.0,2.0,4.0,100.0,4.0,8.0,,2.0,235.0,public,False,1339682129082.jpg,132001,257.727658806,,False,FALSE,FALSE,Inf,25,Inf,12.5,,True,True,SHAMARMA PRIMARY SCHOOL,education,Jigawa,10.0,Others,False,False,FALSE,Inf,2.35,FALSE,,jigawa_auyo,9c491daf-0c6f-438a-9fde-0d35ba3480ce,False,9c491daf-0c6f-438a-9fde-0d35ba3480ce,Northwest
False,False,512.172425,True,FALSE,False,,,,formal_educ,j s s,juniors_sec_only,1339667251237.jpg,,False,,12.400426268577576 9.97808575630188 357.0 3.0,False,False,juniors_sec_only,Auyo,71,71,71.0,19.2,False,auyo,jigawa,northwest,TRUE,2.0,0.0,4.0,101.0,12.0,14.0,,9.0,0.0,public,False,1339667251237.jpg,132001,257.727658806,,False,FALSE,FALSE,5.61111111111111,25.25,5.61111111111111,7.21428571428571,,False,False,j s s,education,Jigawa,40.0,Others,,,TRUE,Inf,0,FALSE,,jigawa_auyo,eb21ae53-2d74-4d43-9fae-31c552ed967d,False,eb21ae53-2d74-4d43-9fae-31c552ed967d,Northwest
False,False,512.172425,True,TRUE,True,,,,formal_educ,KAFDAU PRIMARY SCHOOL,primary_only,1339776241526.jpg,,False,,12.298631072044373 9.894840717315674 391.0 4.0,False,False,primary_only,Auyo,71,71,71.0,1.65217391304348,True,auyo,jigawa,northwest,TRUE,0.0,0.0,4.0,488.0,5.0,5.0,,1.0,76.0,public,False,1339776241526.jpg,132001,257.727658806,,False,FALSE,FALSE,Inf,122,488,97.6,,False,True,KAFDAU PRIMARY SCHOOL,education,Jigawa,0.0,Others,False,False,TRUE,Inf,0.155737704918033,FALSE,,jigawa_auyo,b95cfd98-2a85-4a62-bba3-2518ee9d0651,False,b95cfd98-2a85-4a62-bba3-2518ee9d0651,Northwest
False,False,512.172425,True,TRUE,False,0.00169581496091,0.186636017293,,formal_educ,SHAMARMA PRIMARY SCHOOL,preprimary_and_primary,1339682129082.jpg,,False,,12.262389063835144 9.905027747154236 400.0 4.0,False,False,preprimary_and_primary,Auyo,71,71,397.0,3,False,auyo,jigawa,northwest,TRUE,2.0,2.0,4.0,100.0,4.0,8.0,,2.0,235.0,public,False,1339682129082.jpg,132001,257.727658806,,False,FALSE,FALSE,Inf,25,Inf,12.5,,True,True,SHAMARMA PRIMARY SCHOOL,education,Jigawa,10.0,Others,False,False,FALSE,Inf,2.35,FALSE,,jigawa_auyo,3006ed39-366e-47ee-8dab-925833f852c5,False,3006ed39-366e-47ee-8dab-925833f852c5,Northwest
False,False,512.172425,True,FALSE,False,,,,formal_educ,KATAUDI PRY SCH,primary_only,1339665653109.jpg,,False,TRUE,12.3885418 10.06024396 391.1000061035156 5.0,False,False,primary_only,Auyo,71,71,71.0,2.59803921568627,True,auyo,jigawa,northwest,TRUE,0.0,2.0,6.0,367.0,3.0,14.0,,8.0,190.0,public,False,1339665653109.jpg,132001,257.727658806,,False,FALSE,FALSE,Inf,61.1666666666667,Inf,26.2142857142857,73.4,False,False,KATAUDI PRY SCH,education,Jigawa,30.0,Others,False,False,TRUE,Inf,0.517711171662125,FALSE,,jigawa_auyo,53151447-e84b-4516-b352-d45a9f92ed02,False,53151447-e84b-4516-b352-d45a9f92ed02,Northwest
False,False,512.172425,True,FALSE,True,,,,formal_educ,AKUBUSHIN PRIMARY SCHOOL,primary_only,1339597915083.jpg,True,False,FALSE,12.369049787521362 9.986878037452698 379.0 4.0,False,False,primary_only,Auyo,71,71,71.0,2.36619718309859,False,auyo,jigawa,northwest,TRUE,0.0,,6.0,478.0,11.0,11.0,,4.0,1483.0,public,False,1339597915083.jpg,132001,257.727658806,,False,FALSE,FALSE,6.28947368421053,79.6666666666667,6.28947368421053,43.4545454545455,95.6,False,True,AKUBUSHIN PRIMARY SCHOOL,education,Jigawa,0.0,Others,False,False,TRUE,,3.10251046025105,FALSE,,jigawa_auyo,dd515cb4-bde3-413b-bf30-e80c94d10ac3,False,dd515cb4-bde3-413b-bf30-e80c94d10ac3,Northwest
False,True,512.172425,True,FALSE,True,,,,formal_educ,GAMAFOI JUN SEC SCHL,juniors_sec_only,1339683166741.jpg,,False,TRUE,12.27113923 9.9271528 392.6000061035156 5.0,False,False,juniors_sec_only,Auyo,71,71,71.0,2.33333333333333,False,auyo,jigawa,northwest,TRUE,2.0,2.0,12.0,150.0,9.0,16.0,,8.0,1000.0,public,True,1339683166741.jpg,132001,257.727658806,,True,FALSE,FALSE,0.6,12.5,0.6,9.375,25,False,False,GAMAFOI JUN SEC SCHL,education,Jigawa,35.0,Others,False,False,TRUE,Inf,6.66666666666667,FALSE,,jigawa_auyo,12f3b1be-a86e-49d3-ad8f-3a2bc2b0ee4d,False,12f3b1be-a86e-49d3-ad8f-3a2bc2b0ee4d,Northwest
False,False,512.172425,True,TRUE,False,,,,formal_educ,KIGIN PRIMARY SCHOOL,primary_only,1339663041600.jpg,True,False,,12.293234467506409 9.877250790596008 380.0 4.0,False,False,primary_only,Auyo,71,71,71.0,1.1505376344086,False,auyo,jigawa,northwest,TRUE,2.0,2.0,4.0,200.0,4.0,6.0,,3.0,205.0,public,False,1339663041600.jpg,132001,257.727658806,,False,TRUE,FALSE,8.33333333333333,50,8.33333333333333,33.3333333333333,,False,False,KIGIN PRIMARY SCHOOL,education,Jigawa,0.0,Others,False,True,FALSE,,1.025,FALSE,,jigawa_auyo,92901029-a8a2-48a4-ac32-900fab6c13cd,False,92901029-a8a2-48a4-ac32-900fab6c13cd,Northwest
