access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,1566.520263,False,TRUE,False,,,,formal_educ,Anturu primary school,primary_only,1339753725325.jpg,,False,,12.81941331 9.97456835 382.5 5.0,False,False,primary_only,Biriniwa,109,109,109.0,,True,biriniwa,jigawa,northwest,TRUE,4.0,,4.0,,2.0,2.0,,1.0,,public,False,1339753725325.jpg,142329,90.8567883619,,False,FALSE,FALSE,,,,,,False,True,Anturu primary school,education,Jigawa,0.0,148,False,False,TRUE,Inf,,FALSE,,jigawa_biriniwa,f19238dd-a16b-4f28-ae74-5d3d8f9eca02,False,f19238dd-a16b-4f28-ae74-5d3d8f9eca02,Northwest
False,False,1566.520263,True,TRUE,False,,,,religious_with_formal,Kuzoyara primary school,primary_only,1339669379504.jpg,True,False,,12.92991216 9.97080131 380.3999938964844 5.0,False,False,primary_only,Biriniwa,109,109,109.0,2,True,biriniwa,jigawa,northwest,FALSE,0.0,2.0,2.0,150.0,1.0,2.0,,0.0,2695.0,public,False,1339669379504.jpg,142329,90.8567883619,,False,FALSE,FALSE,3,75,3,75,,False,True,Kuzoyara primary school,education,Jigawa,0.0,148,False,False,TRUE,Inf,17.9666666666667,FALSE,,jigawa_biriniwa,50633ba2-c5f9-40d1-a9d7-afaa188cdbc6,False,50633ba2-c5f9-40d1-a9d7-afaa188cdbc6,Northwest
False,False,1566.520263,True,TRUE,False,,,,formal_educ,KANDILWURIYYA PRIMARY SCHOOL,primary_only,1339594703962.jpg,True,False,,12.8986947 10.19606636 368.70001220703125 5.0,False,False,primary_only,Biriniwa,109,109,109.0,1.02857142857143,True,biriniwa,jigawa,northwest,FALSE,2.0,2.0,4.0,497.0,4.0,4.0,,1.0,36.0,public,False,1339594703962.jpg,142329,90.8567883619,,False,FALSE,FALSE,Inf,124.25,Inf,124.25,,False,True,KANDILWURIYYA PRIMARY SCHOOL,education,Jigawa,0.0,148,False,False,FALSE,2,0.0724346076458753,FALSE,,jigawa_biriniwa,9c089cce-e413-4647-8c0d-c92cc1da2fc7,False,9c089cce-e413-4647-8c0d-c92cc1da2fc7,Northwest
False,False,1566.520263,True,FALSE,False,,,,formal_educ,Tatajiya primary school,primary_only,1339838375545.jpg,False,False,,12.648970484733582 9.897034764289856 380.0 4.0,False,False,primary_only,Biriniwa,109,109,109.0,1.2,False,biriniwa,jigawa,northwest,FALSE,2.0,2.0,6.0,550.0,2.0,5.0,,0.0,176.0,public,False,1339838375545.jpg,142329,90.8567883619,,False,FALSE,FALSE,Inf,91.6666666666667,Inf,110,,True,True,Tatajiya primary school,education,Jigawa,200.0,148,False,False,TRUE,Inf,0.32,FALSE,,jigawa_biriniwa,ac82611a-515e-41ae-996f-eb1686e4fa1c,False,ac82611a-515e-41ae-996f-eb1686e4fa1c,Northwest
False,False,1566.520263,True,FALSE,False,0.0217592344675,2.3926755616,,formal_educ,Kachallari primary school,primary_only,1339842752934.jpg,True,False,FALSE,12.715027928352356 9.82651948928833 376.0 4.0,False,False,primary_only,Biriniwa,109,109,442.0,2.36792452830189,True,biriniwa,jigawa,northwest,FALSE,4.0,2.0,6.0,714.0,3.0,5.0,,0.0,121.0,public,False,1339842752934.jpg,142329,90.8567883619,,False,FALSE,FALSE,Inf,119,Inf,142.8,238,True,False,Kachallari primary school,education,Jigawa,350.0,148,False,False,TRUE,Inf,0.169467787114846,FALSE,,jigawa_biriniwa,5314001c-4145-4b1d-888e-ad433c503ad9,False,5314001c-4145-4b1d-888e-ad433c503ad9,Northwest
False,False,1566.520263,True,FALSE,False,0.00509154798587,0.559861824471,,religious_with_formal,Tsangaya school kasabur,primary_only,1339598875823.jpg,,False,FALSE,12.73192831 10.24755897 369.29998779296875 5.0,False,False,primary_only,Biriniwa,109,109,431.0,Inf,False,biriniwa,jigawa,northwest,FALSE,1.0,0.0,1.0,30.0,1.0,1.0,,0.0,90.0,public,False,1339598875823.jpg,142329,90.8567883619,,False,FALSE,FALSE,Inf,30,Inf,30,15,False,True,Tsangaya school kasabur,education,Jigawa,0.0,148,False,False,FALSE,Inf,3,FALSE,,jigawa_biriniwa,b64ab475-320b-4c3f-b26d-83f5c4743a33,False,b64ab475-320b-4c3f-b26d-83f5c4743a33,Northwest
False,False,1566.520263,False,FALSE,False,0.00169589732417,0.186460816305,,formal_educ,Dagilfanni primary school,primary_only,1339580833366.jpg,True,False,TRUE,12.78450195 10.31556711 369.8999938964844 5.0,False,False,primary_only,Biriniwa,109,109,431.0,1.22039473684211,False,biriniwa,jigawa,northwest,TRUE,,0.0,6.0,675.0,0.0,5.0,,1.0,1046.0,public,False,1339580833366.jpg,142329,90.8567883619,,False,FALSE,TRUE,Inf,112.5,Inf,135,135,False,True,Dagilfanni primary school,education,Jigawa,32.0,148,False,False,FALSE,Inf,1.54962962962963,FALSE,,jigawa_biriniwa,1f2061dc-3319-4e95-9bdf-85838d0fdf41,False,1f2061dc-3319-4e95-9bdf-85838d0fdf41,Northwest
False,False,1566.520263,True,FALSE,True,,,,formal_educ,DANGWALERI PRIMARY SCHOOL,primary_only,1339844711189.jpg,True,False,TRUE,12.74385592 9.89645543 372.3999938964844 5.0,False,False,primary_only,Biriniwa,109,109,109.0,2,False,biriniwa,jigawa,northwest,TRUE,0.0,,6.0,600.0,2.0,2.0,,1.0,600.0,public,False,1339844711189.jpg,142329,90.8567883619,,False,FALSE,FALSE,Inf,100,Inf,300,100,False,True,DANGWALERI PRIMARY SCHOOL,education,Jigawa,150.0,148,False,False,FALSE,Inf,1,FALSE,,jigawa_biriniwa,58735499-ecff-45c7-aebe-9b090964bb4c,True,58735499-ecff-45c7-aebe-9b090964bb4c,Northwest
False,False,1566.520263,False,TRUE,True,,,,formal_educ,NGUWA PRIMARY SCHOOL,primary_only,1339662079921.jpg,False,False,TRUE,12.91100639 10.10168166 370.3999938964844 5.0,False,False,primary_only,Biriniwa,109,109,109.0,1.75,True,biriniwa,jigawa,northwest,TRUE,3.0,2.0,5.0,55.0,3.0,3.0,,1.0,210.0,public,False,1339662079921.jpg,142329,90.8567883619,,False,FALSE,FALSE,0.733333333333333,11,0.733333333333333,18.3333333333333,13.75,True,True,NGUWA PRIMARY SCHOOL,education,Jigawa,0.0,148,True,False,TRUE,3,3.81818181818182,FALSE,,jigawa_biriniwa,cc0c525b-e732-42cf-9186-447505067b02,True,cc0c525b-e732-42cf-9186-447505067b02,Northwest
False,False,1566.520263,True,FALSE,False,,,,formal_educ,GORIBA PRIMARY SCHOOL,primary_only,1339590891529.jpg,,False,,12.9315589 10.20975101 373.0 5.0,False,False,primary_only,Biriniwa,109,109,109.0,1.75,False,biriniwa,jigawa,northwest,TRUE,0.0,1.0,4.0,55.0,2.0,2.0,,2.0,38.0,public,False,1339590891529.jpg,142329,90.8567883619,,False,FALSE,FALSE,Inf,13.75,Inf,27.5,,False,True,GORIBA PRIMARY SCHOOL,education,Jigawa,0.0,148,False,False,FALSE,Inf,0.690909090909091,FALSE,,jigawa_biriniwa,7babb2e7-839c-4642-bc0e-e3b27452cea2,False,7babb2e7-839c-4642-bc0e-e3b27452cea2,Northwest
