breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,kare,,,Stand Alone Water Point,,Yes,12.652173042297363 9.424976706504822 376.0 3.0,True,Gumel,259,259,259.0,Electric,Yes,,water,Jigawa,jigawa_gumel,27f7f818-058c-4eac-8044-051325c51511,baikarya,Borehole,water_source,borehole_tube_well,27f7f818-058c-4eac-8044-051325c51511,Northwest
Functional,,Duhuwa,,,Stand Alone Water Point,1343622951004.jpg,Yes,12.56010174 9.39167935 401.70001220703125 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343622951004.jpg,water,Jigawa,jigawa_gumel,1eb45a7a-527c-4f9f-9c3a-1914fcb343bd,Garin Barka,Borehole,water_source,borehole_tube_well,1eb45a7a-527c-4f9f-9c3a-1914fcb343bd,Northwest
Functional,,kntodu,,,Stand Alone Water Point,,Yes,12.629186511039734 9.400332570075989 394.0 2.0,False,Gumel,259,259,259.0,Diesel,No,,water,Jigawa,jigawa_gumel,57adbcce-ac69-48ec-af74-905603bc83b2,znko,Unimproved Well,water_source,unprotected_dug_well,57adbcce-ac69-48ec-af74-905603bc83b2,Northwest
Functional,,GUMEL,,,Stand Alone Water Point,1343734841160.jpg,Yes,12.62954786 9.38496732 397.0 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343734841160.jpg,water,Jigawa,jigawa_gumel,66091118-9d3b-4cea-8541-a14ae6580802,K YAMA,Borehole,water_source,borehole_tube_well,66091118-9d3b-4cea-8541-a14ae6580802,Northwest
Functional,,Kuka hudu,,,Stand Alone Water Point,1343475026537.jpg,Yes,12.6277411 9.39698143 392.3999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343475026537.jpg,water,Jigawa,jigawa_gumel,8a459dc5-633d-4d4c-904a-029921ae752b,Zango,Borehole,water_source,borehole_tube_well,8a459dc5-633d-4d4c-904a-029921ae752b,Northwest
Functional,,GUMEL,,,Stand Alone Water Point,1343735735908.jpg,Yes,12.63064037 9.38688523 388.29998779296875 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343735735908.jpg,water,Jigawa,jigawa_gumel,8bcf21b3-9e00-49a0-a9cd-a0ad7321aa31,K YAMA,Borehole,water_source,borehole_tube_well,8bcf21b3-9e00-49a0-a9cd-a0ad7321aa31,Northwest
Functional,,GUMEL,,,Stand Alone Water Point,1343735482386.jpg,Yes,12.63050815 9.38531626 399.3999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343735482386.jpg,water,Jigawa,jigawa_gumel,c5f99edc-5ed0-45c7-a0cf-13ddf487dec6,DANTANAMO,Borehole,water_source,borehole_tube_well,c5f99edc-5ed0-45c7-a0cf-13ddf487dec6,Northwest
Functional,,DANAMA,,,Stand Alone Water Point,1343304200493.jpg,Yes,12.62983784 9.34510406 388.5 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343304200493.jpg,water,Jigawa,jigawa_gumel,0c4e7eed-7b81-49b3-adda-8c27f31997cd,DANAMA WARD,Borehole,water_source,borehole_tube_well,0c4e7eed-7b81-49b3-adda-8c27f31997cd,Northwest
Mechanical Issue,,zanko,,,Stand Alone Water Point,,No,12.625603079795837 9.392709732055664 398.0 3.0,False,Gumel,259,259,259.0,,Yes,,water,Jigawa,jigawa_gumel,1ad783de-12df-455d-bbb0-0f251fa16b5b,znlko,Unimproved Well,water_source,unprotected_dug_well,1ad783de-12df-455d-bbb0-0f251fa16b5b,Northwest
Mechanical Issue,,Nasarawa,,,Stand Alone Water Point,1343739278282.jpg,No,12.62220311 9.38939473 396.5 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343739278282.jpg,water,Jigawa,jigawa_gumel,78024e5f-0cd6-4673-9d13-6bbf88b9bce6,Gusau,Borehole,water_source,borehole_tube_well,78024e5f-0cd6-4673-9d13-6bbf88b9bce6,Northwest
Mechanical Issue,,kntodu,,,Stand Alone Water Point,,No,12.628719806671143 9.400472044944763 384.0 4.0,False,Gumel,259,259,259.0,Electric,No,,water,Jigawa,jigawa_gumel,9b8a196d-d171-42a4-a566-e576281d15dd,znko,Unimproved Well,water_source,unprotected_dug_well,9b8a196d-d171-42a4-a566-e576281d15dd,Northwest
Functional,,Kokinami,,,Stand Alone Water Point,1343384692073.jpg,Yes,12.68213444 9.37813499 400.8999938964844 5.0,True,Gumel,259,259,259.0,Diesel,No,1343384692073.jpg,water,Jigawa,jigawa_gumel,cd7f422c-c19f-4c69-87a9-5edc4e741ee6,Bai karya,Borehole,water_source,borehole_tube_well,cd7f422c-c19f-4c69-87a9-5edc4e741ee6,Northwest
Functional,,GARIN BARKA,,,Stand Alone Water Point,1343384320645.jpg,Yes,12.61139566 9.35550984 398.79998779296875 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343384320645.jpg,water,Jigawa,jigawa_gumel,a4e08e89-e22e-48d8-a612-a2fe8cafa145,DANAMA WARD,Borehole,water_source,borehole_tube_well,a4e08e89-e22e-48d8-a612-a2fe8cafa145,Northwest
Functional,,GUMEL,,,Stand Alone Water Point,1343733855146.jpg,Yes,12.63342839 9.39051828 356.8999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343733855146.jpg,water,Jigawa,jigawa_gumel,cb0c28c2-19d5-4ffe-bdc0-398580474370,K YAMA,Borehole,water_source,borehole_tube_well,cb0c28c2-19d5-4ffe-bdc0-398580474370,Northwest
Functional,,HARUNNA BABA,,,Stand Alone Water Point,1343385591637.jpg,Yes,12.67111935 9.46708516 392.5 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343385591637.jpg,water,Jigawa,jigawa_gumel,bd81c0ed-94fc-4652-a4ef-43c7374d70c5,4,Borehole,water_source,borehole_tube_well,bd81c0ed-94fc-4652-a4ef-43c7374d70c5,Northwest
Functional,,HARUNNA BABA,,,Stand Alone Water Point,1343385213827.jpg,Yes,12.66712623 9.46195254 395.3999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343385213827.jpg,water,Jigawa,jigawa_gumel,d332919a-34a4-4aa4-9d90-ea5262ea2b4e,4,Borehole,water_source,borehole_tube_well,d332919a-34a4-4aa4-9d90-ea5262ea2b4e,Northwest
Functional,,KANKARE,,,Stand Alone Water Point,1343656791367.jpg,Yes,12.579467 9.38744566 379.70001220703125 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343656791367.jpg,water,Jigawa,jigawa_gumel,328e7546-7487-4710-8908-c3a85eaa1240,GARIN BARKA WARD,Borehole,water_source,borehole_tube_well,328e7546-7487-4710-8908-c3a85eaa1240,Northwest
Functional,,Liman mado,,,Stand Alone Water Point,1343385804829.jpg,Yes,12.67992981 9.36137781 408.0 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343385804829.jpg,water,Jigawa,jigawa_gumel,09c7ae72-83a4-41ec-a525-861b24d023c4,Bai karya,Borehole,water_source,borehole_tube_well,09c7ae72-83a4-41ec-a525-861b24d023c4,Northwest
Mechanical Issue,,Gwari,,,Stand Alone Water Point,,No,12.6526809 9.42489564 404.1000061035156 5.0,True,Gumel,259,259,259.0,Hand Pump,No,,water,Jigawa,jigawa_gumel,4527b26e-1829-4743-b141-a3a3b0e57373,Bai karya,Borehole,water_source,borehole_tube_well,4527b26e-1829-4743-b141-a3a3b0e57373,Northwest
Functional,,GARIN GAMBO,,,Stand Alone Water Point,1343308440726.jpg,Yes,12.67724485 9.43163254 382.8999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343308440726.jpg,water,Jigawa,jigawa_gumel,b73e2e32-c03b-4e19-b96b-9777296d292b,5,Borehole,water_source,borehole_tube_well,b73e2e32-c03b-4e19-b96b-9777296d292b,Northwest
Mechanical Issue,,Kokinami,,,Stand Alone Water Point,1343384907753.jpg,No,12.68185113 9.3780812 371.6000061035156 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343384907753.jpg,water,Jigawa,jigawa_gumel,5c8218ed-d10f-49d8-b7de-3527d4fc0916,Bai karya,Borehole,water_source,borehole_tube_well,5c8218ed-d10f-49d8-b7de-3527d4fc0916,Northwest
,,TANDAR,,,Stand Alone Water Point,1343729797915.jpg,Don't Know,12.62955013 9.39444685 392.6000061035156 5.0,True,Gumel,259,259,259.0,Diesel,No,1343729797915.jpg,water,Jigawa,jigawa_gumel,5f7a61bd-5b37-4d72-b047-ca0686c0ac05,GALAGAMMA WARD,Borehole,water_source,borehole_tube_well,5f7a61bd-5b37-4d72-b047-ca0686c0ac05,Northwest
Functional,,Galagamma A,,,Stand Alone Water Point,1343692955539.jpg,Yes,12.63332829 9.39479451 388.3999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343692955539.jpg,water,Jigawa,jigawa_gumel,67f46152-ca85-49bb-9949-1e7a8668f211,Galagamma,Borehole,water_source,borehole_tube_well,67f46152-ca85-49bb-9949-1e7a8668f211,Northwest
Functional,,Nasarawa,,,Stand Alone Water Point,1343737257100.jpg,Yes,12.62293004 9.38946222 409.20001220703125 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343737257100.jpg,water,Jigawa,jigawa_gumel,3a7da713-8418-4136-8d3a-e166efd75940,Gusau,Borehole,water_source,borehole_tube_well,3a7da713-8418-4136-8d3a-e166efd75940,Northwest
Under Construction,,KANKARE,,,,1343657220294.jpg,No,12.57940554 9.38775882 399.3999938964844 5.0,True,Gumel,259,259,259.0,Tap (unknown lift),No,1343657220294.jpg,water,Jigawa,jigawa_gumel,0bb4d5e4-6f57-4374-ba2c-9a9351895364,GARIN BARKA WARD,Tap,outlet,,0bb4d5e4-6f57-4374-ba2c-9a9351895364,Northwest
Mechanical Issue,,dntanuma,,,Stand Alone Water Point,1343735782064.jpg,No,12.622963786125183 9.37883734703064 400.0 4.0,False,Gumel,259,259,259.0,Electric,No,1343735782064.jpg,water,Jigawa,jigawa_gumel,e060bff9-700a-4168-a590-3a5879a97f1f,dntanuma,Unimproved Well,water_source,unprotected_dug_well,e060bff9-700a-4168-a590-3a5879a97f1f,Northwest
Mechanical Issue,,GARIN GAMBO,,,Stand Alone Water Point,1343309258611.jpg,No,12.67726234 9.43313089 377.79998779296875 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343309258611.jpg,water,Jigawa,jigawa_gumel,95c9ca4a-9ce5-4726-b9c8-9cd800e47830,5,Borehole,water_source,borehole_tube_well,95c9ca4a-9ce5-4726-b9c8-9cd800e47830,Northwest
Functional,,KANJAU B,,,Stand Alone Water Point,1343480207550.jpg,Yes,12.59331416 9.36536078 393.29998779296875 5.0,True,Gumel,259,259,259.0,,No,1343480207550.jpg,water,Jigawa,jigawa_gumel,dbd33bb8-c58a-45a1-950e-d1745016bd73,GARIN BARKA WARD,Borehole,water_source,borehole_tube_well,dbd33bb8-c58a-45a1-950e-d1745016bd73,Northwest
Functional,,Tsaba,,,Stand Alone Water Point,1343469169005.jpg,Yes,12.62657685 9.39215498 377.5 5.0,True,Gumel,259,259,259.0,Diesel,No,1343469169005.jpg,water,Jigawa,jigawa_gumel,0155c9fb-b23c-4b98-9a77-c0c52c217446,Zango,Borehole,water_source,borehole_tube_well,0155c9fb-b23c-4b98-9a77-c0c52c217446,Northwest
Functional,,GARIN BARKA,,,Stand Alone Water Point,1343383842098.jpg,Yes,12.61084 9.35407666 398.3999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343383842098.jpg,water,Jigawa,jigawa_gumel,c5811660-2b7b-4fa9-8321-a47e231bda91,DANAMA WARD,Borehole,water_source,borehole_tube_well,c5811660-2b7b-4fa9-8321-a47e231bda91,Northwest
Functional,,nasaraya,,,Stand Alone Water Point,1343724303364.jpg,Yes,12.617980241775513 9.392205476760864 394.0 3.0,False,Gumel,259,259,259.0,,No,1343724303364.jpg,water,Jigawa,jigawa_gumel,9046b11d-5a68-4e8d-8d60-d69c6db327ec,goso,Unimproved Well,water_source,unprotected_dug_well,9046b11d-5a68-4e8d-8d60-d69c6db327ec,Northwest
Mechanical Issue,,Nasarawa,,,Stand Alone Water Point,1343731447027.jpg,No,12.62659317 9.38662228 403.0 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343731447027.jpg,water,Jigawa,jigawa_gumel,540e968e-de4d-4c38-ab8f-c588b19bb37d,Gusau,Borehole,water_source,borehole_tube_well,540e968e-de4d-4c38-ab8f-c588b19bb37d,Northwest
Functional,,GUMEL,,,Stand Alone Water Point,1343729989047.jpg,Yes,12.62754192 9.38739585 378.79998779296875 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343729989047.jpg,water,Jigawa,jigawa_gumel,f62519dc-e190-448b-831b-97b1074912e5,K YAMA,Borehole,water_source,borehole_tube_well,f62519dc-e190-448b-831b-97b1074912e5,Northwest
Functional,,Zango,,,Stand Alone Water Point,1343470076846.jpg,Yes,12.62451318 9.39400044 392.1000061035156 5.0,True,Gumel,259,259,259.0,Diesel,No,1343470076846.jpg,water,Jigawa,jigawa_gumel,b6b02be2-6d50-4bfb-aab0-203c3ffe4da3,Zango,Borehole,water_source,borehole_tube_well,b6b02be2-6d50-4bfb-aab0-203c3ffe4da3,Northwest
Mechanical Issue,,Zango,,,Stand Alone Water Point,1343474764619.jpg,No,12.62783679 9.39750965 368.3999938964844 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343474764619.jpg,water,Jigawa,jigawa_gumel,291b9f25-b095-4081-a81f-cec6cfef73e1,Zango,Borehole,water_source,borehole_tube_well,291b9f25-b095-4081-a81f-cec6cfef73e1,Northwest
Poor Water Quality,,Kofar Gabas,,,Stand Alone Water Point,1343700847328.jpg,No,12.62936051 9.39523281 406.6000061035156 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343700847328.jpg,water,Jigawa,jigawa_gumel,25ee5d9d-002d-4a03-830f-439171ab0e32,Galagamma,Borehole,water_source,borehole_tube_well,25ee5d9d-002d-4a03-830f-439171ab0e32,Northwest
Functional,,GARIN GAMBO,,,Stand Alone Water Point,1343305658728.jpg,Yes,12.67796615 9.43477891 357.29998779296875 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343305658728.jpg,water,Jigawa,jigawa_gumel,084ad740-509e-4f87-ab9a-857dee37feda,5,Borehole,water_source,borehole_tube_well,084ad740-509e-4f87-ab9a-857dee37feda,Northwest
Functional,,mele,,,Stand Alone Water Point,1343309757322.jpg,Yes,12.651330828666687 9.456862807273865 384.0 4.0,False,Gumel,259,259,259.0,Diesel,Yes,1343309757322.jpg,water,Jigawa,jigawa_gumel,bb1289a0-ddfb-4a68-b8bd-dc8c7425bb6d,bakaria,Unimproved Well,water_source,protected_dug_well,bb1289a0-ddfb-4a68-b8bd-dc8c7425bb6d,Northwest
Mechanical Issue,,nasaray,,,Stand Alone Water Point,1343725769510.jpg,No,12.623178362846375 9.393879175186157 391.0 4.0,False,Gumel,259,259,259.0,Electric,No,1343725769510.jpg,water,Jigawa,jigawa_gumel,ebbfdb16-5f83-4cd1-b378-4637917c1047,gpso,Unimproved Well,water_source,unprotected_dug_well,ebbfdb16-5f83-4cd1-b378-4637917c1047,Northwest
Functional,,GUMEL,,,Stand Alone Water Point,1343731821224.jpg,Yes,12.63431042 9.38801086 398.20001220703125 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343731821224.jpg,water,Jigawa,jigawa_gumel,a8e8843f-cadc-4719-8a25-2e8b1b17b8e3,K YAMA,Borehole,water_source,borehole_tube_well,a8e8843f-cadc-4719-8a25-2e8b1b17b8e3,Northwest
Functional,,KOFAR AREWA,,,Stand Alone Water Point,1343725395834.jpg,Yes,12.63421195 9.39113059 400.0 5.0,True,Gumel,259,259,259.0,Solar,No,1343725395834.jpg,water,Jigawa,jigawa_gumel,d470e2a2-2625-4804-a851-010e6804298c,KOFAR AREWA WARD,Borehole,water_source,borehole_tube_well,d470e2a2-2625-4804-a851-010e6804298c,Northwest
Functional,,Nasarawa,,,Stand Alone Water Point,1343731993902.jpg,Yes,12.61972989 9.38726758 390.0 5.0,True,Gumel,259,259,259.0,Hand Pump,No,1343731993902.jpg,water,Jigawa,jigawa_gumel,3ef4e94d-84b4-4077-824e-a9dcacdba2c9,Gusau,Borehole,water_source,borehole_tube_well,3ef4e94d-84b4-4077-824e-a9dcacdba2c9,Northwest
