antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,450.2423204,False,False,False,False,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Karshi Community Health Post,,healthpostdispensary,False,,False,,1347103271272.jpg,12.80332242 8.263852 492.29998779296875 5.0,False,True,FALSE,False,True,True,False,FALSE,,True,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,False,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1347103271272.jpg,124517,276.555522123,True,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_gwiwa,False,b40d51ac-e8eb-49b1-b904-ecefa486e008,,,b40d51ac-e8eb-49b1-b904-ecefa486e008,Northwest
False,450.2423204,False,False,False,True,False,False,False,False,True,True,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,GUNTAI HEALTH POST,,healthpostdispensary,False,,False,,1347289761173.jpg,12.74878029 8.36806773 500.79998779296875 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,False,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,,False,1347289761173.jpg,124517,276.555522123,,False,False,health,False,TRUE,Jigawa,,True,Others,FALSE,jigawa_gwiwa,False,5c2a9d2e-635a-4861-832c-8e448785bf25,,,5c2a9d2e-635a-4861-832c-8e448785bf25,Northwest
False,450.2423204,False,False,False,True,True,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,DISPENSARY,,healthpostdispensary,False,True,False,True,1347109453215.jpg,12.70569758 8.24376282 511.20001220703125 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,True,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,1,1,,,0.0,,False,public,False,False,1347109453215.jpg,124517,276.555522123,,False,False,health,False,TRUE,Jigawa,False,True,Others,FALSE,jigawa_gwiwa,False,3f3310f8-c4da-4237-80ff-90b0f9982438,,,3f3310f8-c4da-4237-80ff-90b0f9982438,Northwest
False,450.2423204,False,False,False,True,False,False,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Firji health clinic,,healthpostdispensary,False,,False,,1347273246263.jpg,12.75269202 8.39984242 488.6000061035156 5.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,True,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,3,3,0.0,0.0,0.0,0.0,False,public,,False,1347273246263.jpg,124517,276.555522123,,False,False,health,False,TRUE,Jigawa,,True,Others,FALSE,jigawa_gwiwa,False,f222dc35-4082-4240-8aff-7383e117452e,,,f222dc35-4082-4240-8aff-7383e117452e,Northwest
False,450.2423204,False,False,False,False,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Shafe clinic,,healthpostdispensary,False,,False,,1347022628344.jpg,12.80171867 8.220242 516.2999877929688 5.0,False,True,FALSE,False,True,True,False,FALSE,,True,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,False,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1347022628344.jpg,124517,276.555522123,True,False,False,health,False,TRUE,Jigawa,,,Others,FALSE,jigawa_gwiwa,False,5534b720-3b0a-47d0-9c91-ebe42ee476a1,,,5534b720-3b0a-47d0-9c91-ebe42ee476a1,Northwest
False,450.2423204,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Maraga.ta Health post,,healthpostdispensary,False,,False,,1347118357943.jpg,12.77219658 8.26983096 516.5999755859375 5.0,False,True,FALSE,False,True,True,False,FALSE,,True,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,True,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1347118357943.jpg,124517,276.555522123,,False,False,health,False,TRUE,Jigawa,,True,Others,FALSE,jigawa_gwiwa,False,1f6ab766-05dd-4714-a882-f40e0b843a0f,,,1f6ab766-05dd-4714-a882-f40e0b843a0f,Northwest
False,450.2423204,False,False,False,True,False,False,False,False,True,True,False,True,,False,FALSE,False,,,False,True,False,,,False,,True,Unguwar ganji Health poost,,healthpostdispensary,False,,False,,1347095987132.jpg,12.76574266 8.29003832 505.5 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,False,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,1,1,,,0.0,,False,private,False,False,1347095987132.jpg,124517,276.555522123,True,False,False,health,False,TRUE,Jigawa,,True,Others,FALSE,jigawa_gwiwa,False,ee17083c-7855-401c-b4e5-733b08719e08,,,ee17083c-7855-401c-b4e5-733b08719e08,Northwest
False,450.2423204,False,False,False,True,False,False,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,False,True,"KORAYAL BASIC HEALTH
CENTRE",,primaryhealthclinic,False,True,False,False,1347026568615.jpg,12.7580328 8.20907097 522.2999877929688 5.0,False,True,FALSE,False,True,False,False,TRUE,,True,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,False,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,4,3,0.0,0.0,0.0,0.0,False,public,False,True,1347026568615.jpg,124517,276.555522123,True,False,False,health,False,TRUE,Jigawa,False,True,Others,TRUE,jigawa_gwiwa,False,c5b7037c-ebf9-4c72-a4af-00eadd17d606,False,False,c5b7037c-ebf9-4c72-a4af-00eadd17d606,Northwest
False,450.2423204,False,False,False,False,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Yola Health Post,,healthpostdispensary,False,,False,,1347187167079.jpg,12.80926079 8.39426486 499.0 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Gwiwa,273,273,273.0,False,True,False,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,3,3,0.0,0.0,0.0,0.0,False,public,,False,1347187167079.jpg,124517,276.555522123,True,False,False,health,False,TRUE,Jigawa,,True,Others,FALSE,jigawa_gwiwa,False,8dfe7cf8-6e05-4b8a-a997-9b7eb33249b2,,,8dfe7cf8-6e05-4b8a-a997-9b7eb33249b2,Northwest
False,450.2423204,False,False,False,True,True,False,False,True,True,True,True,True,,False,FALSE,False,0.0189379986861,2.08208737052,False,True,False,,,False,,,Roran malamai Health post,,healthpostdispensary,False,True,False,True,1347025036187.jpg,12.80599732 8.14693749 536.0 5.0,False,True,FALSE,False,,,False,FALSE,,True,False,False,False,False,False,False,Gwiwa,273,273,165.0,False,True,False,False,False,False,False,False,False,False,FALSE,gwiwa,jigawa,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1347025036187.jpg,124517,276.555522123,True,False,False,health,False,TRUE,Jigawa,False,True,Others,TRUE,jigawa_gwiwa,False,2dfad8d3-520c-40bb-8df4-b6e0b3c3a22d,,,2dfad8d3-520c-40bb-8df4-b6e0b3c3a22d,Northwest
