"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"58654",58654,"1f50f59e-bfb7-4d9a-9526-390afc880b5c","1f50f59e-bfb7-4d9a-9526-390afc880b5c","Kafin-Hausa","Jigawa","Northwest",397,"12.13837456 9.92114054 390.0 5.0","1293804726311.jpg","jigawa_kafin_hausa","1293804726311.jpg","Tap",NA,NA,"outlet","INDAWA RIGA","KAFINHAUSA","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58655",58655,"0856acf1-6dbf-49bf-94a4-07e48da3770a","0856acf1-6dbf-49bf-94a4-07e48da3770a","Kafin-Hausa","Jigawa","Northwest",397,"12.32253636 10.07998743 387.5 5.0","1293890802608.jpg","jigawa_kafin_hausa","1293890802608.jpg","Tap",NA,NA,"outlet","Limawa","Jabo","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58656",58656,"7ff03e40-de96-471d-a612-232196d6f1f3","7ff03e40-de96-471d-a612-232196d6f1f3","Kafin-Hausa","Jigawa","Northwest",397,"12.17579984 10.05338399 381.8999938964844 5.0","1293725643736.jpg","jigawa_kafin_hausa","1293725643736.jpg","Borehole",NA,"borehole_tube_well","water_source","Lautaye","Xxx","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58657",58657,"1526e6ad-e011-4782-906f-4c9e9c5f64b8","1526e6ad-e011-4782-906f-4c9e9c5f64b8","Kafin-Hausa","Jigawa","Northwest",397,"12.74270721 10.3182771 355.8999938964844 5.0","1339582185151.jpg","jigawa_kafin_hausa","1339582185151.jpg","Tap",NA,NA,"outlet","KUKA DABO","GAYIN","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58658",58658,"f5c723e6-d290-41ec-8d02-7c735a09295d","f5c723e6-d290-41ec-8d02-7c735a09295d","Kafin-Hausa","Jigawa","Northwest",397,"12.18064856 9.84820122 388.8999938964844 5.0","1293896572087.jpg","jigawa_kafin_hausa","1293896572087.jpg","Borehole",NA,"borehole_tube_well","water_source","Kununu","Kwazalewa","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58659",58659,"095bfc6d-b77d-4731-9d2e-844fde03cee4","095bfc6d-b77d-4731-9d2e-844fde03cee4","Kafin-Hausa","Jigawa","Northwest",397,"12.00925841 9.92480718 387.6000061035156 5.0","1293896565536.jpg","jigawa_kafin_hausa","1293896565536.jpg","Tap",NA,NA,"outlet","KALETA. FULANI","GAFAYA","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58660",58660,"e7f0d6ff-3903-47f9-90be-7b9e6a1421bd","e7f0d6ff-3903-47f9-90be-7b9e6a1421bd","Kafin-Hausa","Jigawa","Northwest",397,"12.13330931 10.12118537 386.20001220703125 5.0","1293733113350.jpg","jigawa_kafin_hausa","1293733113350.jpg","Borehole",NA,"borehole_tube_well","water_source","Tsagaiwa","Balangu","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58661",58661,"9a8ed2ba-6602-4414-9488-5f9636a31c53","9a8ed2ba-6602-4414-9488-5f9636a31c53","Kafin-Hausa","Jigawa","Northwest",397,"12.20033737 9.8345361 392.8999938964844 5.0","1293910994785.jpg","jigawa_kafin_hausa","1293910994785.jpg","Borehole",NA,"borehole_tube_well","water_source","Katanga","Kwazalewa","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58662",58662,"3e859337-5ef6-48fc-a56a-841f01beb5e6","3e859337-5ef6-48fc-a56a-841f01beb5e6","Kafin-Hausa","Jigawa","Northwest",397,"12.24146411 9.91578775 389.5 5.0","1293902635651.jpg","jigawa_kafin_hausa","1293902635651.jpg","Tap",NA,NA,"outlet","IMAMU HASAN","KAFIN HAUSA","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58663",58663,"b80068eb-2cbb-41ec-87af-f7f0432abdc7","b80068eb-2cbb-41ec-87af-f7f0432abdc7","Kafin-Hausa","Jigawa","Northwest",397,"12.30363541 9.97761894 392.8999938964844 5.0","1293984842085.jpg","jigawa_kafin_hausa","1293984842085.jpg","Tap",NA,NA,"outlet","Manaba","Sarawa","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58664",58664,"2ac9ad20-8aa2-4701-adb4-0359dbd38655","2ac9ad20-8aa2-4701-adb4-0359dbd38655","Kafin-Hausa","Jigawa","Northwest",397,"12.06553483 9.84563056 396.3999938964844 5.0","1293992204509.jpg","jigawa_kafin_hausa","1293992204509.jpg","Borehole",NA,"borehole_tube_well","water_source","Majeri Gari","Dumamin Toka","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58665",58665,"224d152f-9dd8-4283-b0b8-f258953b3045","224d152f-9dd8-4283-b0b8-f258953b3045","Kafin-Hausa","Jigawa","Northwest",397,"12.24243467 9.96035038 386.79998779296875 5.0","1293913547741.jpg","jigawa_kafin_hausa","1293913547741.jpg","Tap",NA,NA,"outlet","KAMUGATAWA","KAFIN HAUSA","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
