access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,False,869.9295265,True,TRUE,False,,,,religious_with_formal,Dawar Gada Primary school,primary_only,1343551328612.jpg,,False,,12.721781730651855 9.66570496559143 380.0 3.0,False,False,primary_only,Maigatari,479,479,479.0,1.17351598173516,False,maigatari,jigawa,northwest,TRUE,0.0,2.0,6.0,476.0,1.0,2.0,,2.0,1428.0,public,False,1343551328612.jpg,179715,206.58569979,,False,FALSE,TRUE,3.96666666666667,79.3333333333333,3.96666666666667,238,,False,True,Dawar Gada Primary school,education,Jigawa,0.0,148,False,False,TRUE,1,3,FALSE,,jigawa_maigatari,c71492f2-fb0e-459f-863f-ac2da4a8e5b9,False,c71492f2-fb0e-459f-863f-ac2da4a8e5b9,Northwest
False,True,869.9295265,True,FALSE,False,,,,formal_educ,Fulata Primary School,primary_only,1343297000007.jpg,,False,,12.76039167 9.36972565 391.70001220703125 5.0,False,False,primary_only,Maigatari,479,479,479.0,6.73170731707317,False,maigatari,jigawa,northwest,TRUE,0.0,2.0,6.0,317.0,2.0,3.0,,2.0,202.0,public,True,1343297000007.jpg,179715,206.58569979,,False,TRUE,TRUE,4.06410256410256,52.8333333333333,3.56179775280899,105.666666666667,,True,False,Fulata Primary School,education,Jigawa,14.0,148,True,False,TRUE,Inf,0.637223974763407,FALSE,,jigawa_maigatari,b3e5d229-62bf-4d82-ba98-24629b06c23c,False,b3e5d229-62bf-4d82-ba98-24629b06c23c,Northwest
False,False,869.9295265,True,TRUE,False,,,,formal_educ,Maikilili Primary,primary_only,1343655854992.jpg,,False,FALSE,12.70100179 9.64640395 383.3999938964844 40.0,False,False,primary_only,Maigatari,479,479,479.0,1.04,False,maigatari,jigawa,northwest,TRUE,0.0,2.0,6.0,459.0,1.0,1.0,,1.0,1330.0,public,False,1343655854992.jpg,179715,206.58569979,,False,FALSE,FALSE,Inf,76.5,Inf,459,153,True,,Maikilili Primary,education,Jigawa,18.0,148,False,False,TRUE,Inf,2.89760348583878,FALSE,,jigawa_maigatari,84e74299-a2e5-4e53-949b-0909b2e29885,False,84e74299-a2e5-4e53-949b-0909b2e29885,Northwest
False,False,869.9295265,True,FALSE,True,,,,religious_with_formal,Kuka Yasku Kalu primary school,primary_only,1343572422871.jpg,,False,,12.720290422439575 9.714322686195374 372.0 4.0,False,False,primary_only,Maigatari,479,479,479.0,2.09821428571429,False,maigatari,jigawa,northwest,TRUE,0.0,0.0,8.0,347.0,3.0,4.0,,3.0,400.0,public,False,1343572422871.jpg,179715,206.58569979,,False,FALSE,TRUE,Inf,43.375,Inf,86.75,,False,True,Kuka Yasku Kalu primary school,education,Jigawa,0.0,148,False,False,TRUE,1.33333333333333,1.15273775216138,FALSE,,jigawa_maigatari,5c976f27-e1d5-4ee5-947f-9dc99bf6e349,False,5c976f27-e1d5-4ee5-947f-9dc99bf6e349,Northwest
False,False,869.9295265,True,FALSE,False,,,,formal_educ,Jajeri Primary School Jajeri,primary_only,1343317272691.jpg,True,False,,12.64745045 9.75121758 369.6000061035156 5.0,False,False,primary_only,Maigatari,479,479,479.0,1.73972602739726,True,maigatari,jigawa,northwest,TRUE,0.0,2.0,7.0,200.0,4.0,5.0,,4.0,360.0,public,True,1343317272691.jpg,179715,206.58569979,,False,FALSE,FALSE,40,28.5714285714286,Inf,40,,True,False,Jajeri Primary School Jajeri,education,Jigawa,0.0,148,False,False,TRUE,Inf,1.8,FALSE,,jigawa_maigatari,6b1c8ddf-4acd-4447-88cb-1dee854cc560,False,6b1c8ddf-4acd-4447-88cb-1dee854cc560,Northwest
False,True,869.9295265,False,TRUE,False,,,,formal_educ,JOBI PRIMARY SCHOOL,primary_only,1343471905787.jpg,True,True,,12.820669412612915 9.393385648727417 383.0 4.0,False,False,primary_only,Maigatari,479,479,479.0,1.10769230769231,True,maigatari,jigawa,northwest,TRUE,2.0,0.0,6.0,959.0,3.0,5.0,,2.0,640.0,public,False,1343471905787.jpg,179715,206.58569979,,False,TRUE,TRUE,Inf,159.833333333333,Inf,191.8,,True,True,JOBI PRIMARY SCHOOL,education,Jigawa,0.0,148,False,False,TRUE,Inf,0.667361835245047,FALSE,,jigawa_maigatari,fc757a7c-23b9-48bc-af47-f79e0f576d26,False,fc757a7c-23b9-48bc-af47-f79e0f576d26,Northwest
False,False,869.9295265,False,TRUE,False,,,,religious_with_formal,Turbus  Primary school,primary_only,1343555850210.jpg,True,False,FALSE,12.758286595344543 9.686111211776733 375.0 4.0,False,False,primary_only,Maigatari,479,479,479.0,1.17151162790698,False,maigatari,jigawa,northwest,TRUE,0.0,2.0,6.0,747.0,5.0,5.0,,5.0,1150.0,public,False,1343555850210.jpg,179715,206.58569979,,False,TRUE,TRUE,2.49,124.5,2.49,149.4,249,False,False,Turbus  Primary school,education,Jigawa,300.0,148,False,False,TRUE,1,1.53949129852744,FALSE,,jigawa_maigatari,d8d21609-f51e-4583-852b-225891c5a4b2,False,d8d21609-f51e-4583-852b-225891c5a4b2,Northwest
False,True,869.9295265,True,FALSE,False,,,,religious_with_formal,JUNIOR ARABIC SECONDARY SCHOOL MAIGATARI.,juniors_sec_only,1343402047347.jpg,True,False,TRUE,12.80354619026184 9.442400336265564 384.0 4.0,False,False,juniors_sec_only,Maigatari,479,479,479.0,0.839285714285714,False,maigatari,jigawa,northwest,TRUE,0.0,,12.0,1133.0,2.0,16.0,,13.0,,public,False,1343402047347.jpg,179715,206.58569979,,False,FALSE,FALSE,Inf,94.4166666666667,3.77666666666667,70.8125,125.888888888889,False,,JUNIOR ARABIC SECONDARY SCHOOL MAIGATARI.,education,Jigawa,0.0,148,False,False,TRUE,Inf,,FALSE,,jigawa_maigatari,31a02f64-df14-41bd-bf59-1f865fb1054e,False,31a02f64-df14-41bd-bf59-1f865fb1054e,Northwest
False,False,869.9295265,False,FALSE,True,,,,religious_with_formal,Garin Loto Primary School,primary_only,1343562844244.jpg,True,False,FALSE,12.799935936927795 9.662577509880066 374.0 4.0,False,False,primary_only,Maigatari,479,479,479.0,2.52380952380952,False,maigatari,jigawa,northwest,TRUE,0.0,2.0,4.0,222.0,2.0,2.0,,2.0,120.0,public,False,1343562844244.jpg,179715,206.58569979,,False,TRUE,TRUE,Inf,55.5,Inf,111,74,False,True,Garin Loto Primary School,education,Jigawa,0.0,148,False,False,TRUE,1,0.540540540540541,FALSE,,jigawa_maigatari,8319d044-23f4-4951-907a-10be01ffdb17,False,8319d044-23f4-4951-907a-10be01ffdb17,Northwest
False,True,869.9295265,False,TRUE,False,,,,formal_educ,TSAMIYA TARA NOMADIC PRIMARY SCHOOL.,primary_only,1343558562194.jpg,,False,,12.759702801704407 9.459689855575562 389.0 4.0,False,False,primary_only,Maigatari,479,479,479.0,1.19354838709677,True,maigatari,jigawa,northwest,FALSE,4.0,0.0,4.0,68.0,1.0,1.0,,1.0,14.0,public,False,1343558562194.jpg,179715,206.58569979,,False,TRUE,FALSE,Inf,17,Inf,68,,True,True,TSAMIYA TARA NOMADIC PRIMARY SCHOOL.,education,Jigawa,10.0,148,False,False,FALSE,Inf,0.205882352941176,FALSE,,jigawa_maigatari,f15ac2e4-3306-418c-8b3b-ec386e05e8e7,False,f15ac2e4-3306-418c-8b3b-ec386e05e8e7,Northwest
