antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,6187.88964,False,False,False,True,True,True,True,True,True,True,True,True,,,no,True,,,,False,,,,True,True,False,Damari PHC,yes,primaryhealthcarecentre,False,True,True,True,1300411303229.jpg,11.048469543457031 6.99679970741272 655.0 6.0,False,True,no,False,True,True,False,yes,,True,False,False,False,False,False,False,Birnin Gwari,110,110,110.0,False,True,True,False,False,True,True,True,True,True,,BIRNIN_GWARI,kaduna,northwest,3,2,0.0,1.0,1.0,0.0,True,public,False,True,1300411303229.jpg,252363,40.7833711785,True,False,True,health,True,yes,Kaduna,False,True,113,no,kaduna_birnin_gwari,True,7f1aa648720e808ed51bf26cbaddd554,True,True,6693,Northwest
False,6187.88964,False,False,False,False,False,False,False,False,False,True,True,False,True,True,yes,True,,,False,True,False,True,False,True,True,False,Al'UMMA NURSING HOME & MATERNITYY,yes,primaryhealthcarecentre,False,True,False,True,1301156363364.jpg,10.6654554605484 6.5363770723342896 478.0 6.0,True,True,no,,True,True,True,yes,True,True,True,True,True,True,False,True,Birnin Gwari,110,110,110.0,True,False,True,True,True,True,True,True,True,True,yes,BIRNIN_GWARI,kaduna,northwest,5,4,0.0,2.0,0.0,0.0,True,private,True,True,1301156363364.jpg,252363,40.7833711785,True,True,True,health,False,yes,Kaduna,False,True,113,no,kaduna_birnin_gwari,True,6f6feee6fbe9cdfc65523a4d34f68b63,True,True,10006,Northwest
False,6187.88964,True,True,True,True,True,True,True,True,True,True,True,True,False,True,yes,True,,,,False,True,False,True,True,True,False,M.C.H.C. Birnin Gwari,yes,primaryhealthcarecentre,False,True,False,True,1301136093954.jpg,10.664361119270325 6.543018221855164 459.0 4.0,False,False,yes,True,True,True,True,yes,True,True,False,False,False,False,False,False,Birnin Gwari,110,110,110.0,False,False,True,True,True,True,True,True,True,True,,BIRNIN_GWARI,kaduna,northwest,12,8,0.0,1.0,10.0,10.0,True,public,False,True,1301136093954.jpg,252363,40.7833711785,True,False,True,health,True,yes,Kaduna,False,True,113,no,kaduna_birnin_gwari,True,a8b9213840dff4dd3b6da906c8881cd8,True,True,10004,Northwest
False,6187.88964,True,True,True,True,True,True,True,True,False,True,True,True,True,False,yes,True,,,True,False,True,True,True,True,True,False,JMMH B gwari,yes,generalhospital,True,True,True,True,1300500211688.jpg,10.658390522003174 6.534698009490967 459.0 4.0,True,True,yes,True,True,True,True,yes,True,True,True,True,True,True,False,True,Birnin Gwari,110,110,110.0,True,True,True,True,True,True,True,True,True,True,yes,BIRNIN_GWARI,kaduna,northwest,7,7,4.0,,10.0,8.0,True,,True,True,1300500211688.jpg,252363,40.7833711785,True,True,True,health,True,yes,Kaduna,False,True,113,yes,kaduna_birnin_gwari,True,9464ae7a01454cf15fa544e7894670c2,True,True,6710,Northwest
False,6187.88964,True,True,True,True,True,True,True,True,False,True,True,True,True,False,yes,True,,,True,False,True,True,True,True,True,False,JMMH B gwari,yes,generalhospital,True,True,True,True,1300500211688.jpg,10.658390522003174 6.534698009490967 459.0 4.0,True,True,yes,True,True,True,True,yes,True,True,True,True,True,True,False,True,Birnin Gwari,110,110,110.0,True,True,True,True,True,True,True,True,True,True,yes,BIRNIN_GWARI,kaduna,northwest,7,7,4.0,,10.0,8.0,True,,True,True,1300500211688.jpg,252363,40.7833711785,True,True,True,health,True,yes,Kaduna,False,True,113,yes,kaduna_birnin_gwari,True,9464ae7a01454cf15fa544e7894670c2,True,True,6710,Northwest
False,6187.88964,False,False,False,True,False,True,True,True,True,False,True,True,,,no,,,,,False,,,,True,False,True,NASEREWA HEALTH CLINIC,yes,primaryhealthclinic,False,False,False,False,1300972375221.jpg,10.552673935890198 6.276390552520752 418.0 6.0,True,False,no,False,True,False,True,yes,,,False,False,False,False,False,False,Birnin Gwari,110,110,110.0,False,False,True,False,False,True,False,False,False,False,yes,BIRNIN_GWARI,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1300972375221.jpg,252363,40.7833711785,True,False,True,health,False,yes,Kaduna,False,True,113,no,kaduna_birnin_gwari,False,b8297ba83bb2c916eafbaaa60b532f34,,True,7498,Northwest
False,6187.88964,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,False,True,,,,True,False,False,Gayam HC,yes,primaryhealthclinic,False,True,False,True,1301317128487.jpg,10.725038051605225 6.745256781578064 570.0 4.0,True,True,no,,True,True,False,no,,True,False,False,False,False,False,False,Birnin Gwari,110,110,110.0,False,True,True,False,False,True,True,True,True,True,yes,BIRNIN_GWARI,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,True,public,False,True,1301317128487.jpg,252363,40.7833711785,False,False,True,health,False,yes,Kaduna,False,True,113,no,kaduna_birnin_gwari,False,ae1ade3a43eb695446b8f1c231e0eed0,,True,10017,Northwest
False,6187.88964,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,True,UNGUWAN SHITTU HEALTH CLINIC,no,primaryhealthclinic,False,False,False,False,1301159941919.jpg,10.663298964500427 6.546778678894043 442.0 4.0,False,False,no,,True,False,False,no,,True,False,False,False,False,False,False,Birnin Gwari,110,110,110.0,False,False,False,False,False,True,True,True,True,True,yes,BIRNIN_GWARI,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,True,public,False,True,1301159941919.jpg,252363,40.7833711785,False,False,True,health,False,yes,Kaduna,False,False,113,no,kaduna_birnin_gwari,False,f449705b8aa79dafacb641f005970476,,True,7536,Northwest
False,6187.88964,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,False,False,,PHC,no,primaryhealthclinic,False,False,False,False,1301322043732.jpg,11.29693865776062 6.981253623962402 682.0 32.0,False,False,no,False,False,False,True,no,,,False,False,False,False,False,False,Birnin Gwari,110,110,110.0,False,,,False,False,False,False,False,False,False,yes,BIRNIN_GWARI,kaduna,northwest,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1301322043732.jpg,252363,40.7833711785,False,False,,health,False,no,Kaduna,False,False,113,no,kaduna_birnin_gwari,False,d6063589e14ed39bb02982460ba25bba,,False,10866,Northwest
False,6187.88964,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,0.0560443643886,6.18514853761,,False,,,,True,False,True,Labi Health Centre,yes,primaryhealthcarecentre,False,False,False,False,1301484962844.jpg,10.648342967033386 7.041667699813843 681.0 3.0,True,True,no,,False,False,False,yes,,True,False,False,False,False,False,False,Birnin Gwari,110,110,139.0,False,True,True,False,False,True,True,True,True,True,,BIRNIN_GWARI,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,True,public,True,False,1301484962844.jpg,252363,40.7833711785,False,False,True,health,False,yes,Kaduna,False,True,113,no,kaduna_birnin_gwari,False,03a7496960fd399b49129e65d24aaeda,,True,9154,Northwest
