access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,4646.43162,False,FALSE,False,,,,formal_educ,LEA Kasarami I,primary_only,1335950951074.jpg,,False,,10.13590831 7.35716567 583.5999755859375 5.0,False,False,primary_only,Chikun,139,139,139.0,1.0863309352518,False,chikun,kaduna,northwest,FALSE,,2.0,9.0,580.0,2.0,8.0,,7.0,246.0,public,False,1335950951074.jpg,368250,79.2543676775,,False,FALSE,FALSE,24.1666666666667,64.4444444444444,18.125,72.5,,False,True,LEA Kasarami I,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0.424137931034483,FALSE,,kaduna_chikun,a36bfb8c-714c-4bbe-97e9-4c46e07577ab,False,a36bfb8c-714c-4bbe-97e9-4c46e07577ab,Northwest
False,False,4646.43162,False,TRUE,False,,,,formal_educ,Ube gurso,primary_only,1336053351355.jpg,,False,,10.61007563 7.18557189 645.0 6.0,False,False,primary_only,Chikun,139,139,139.0,1.20855614973262,True,chikun,kaduna,northwest,TRUE,0.0,1.0,4.0,413.0,0.0,3.0,,3.0,1225.0,public,False,1336053351355.jpg,368250,79.2543676775,,False,FALSE,FALSE,8.26,103.25,8.26,137.666666666667,,False,False,Ube gurso,education,Kaduna,20.0,Others,True,False,TRUE,Inf,2.96610169491525,FALSE,,kaduna_chikun,8de12c9c-f72d-4e22-b342-e6e861ed9c17,False,8de12c9c-f72d-4e22-b342-e6e861ed9c17,Northwest
False,True,4646.43162,False,FALSE,False,,,,formal_educ,LGEA Karji,primary_only,1336471408002.jpg,,False,,10.48872253 7.47533004 656.0 5.0,False,False,primary_only,Chikun,139,139,139.0,1.05204460966543,False,chikun,kaduna,northwest,TRUE,4.0,2.0,6.0,552.0,7.0,17.0,,12.0,499.0,public,False,1336471408002.jpg,368250,79.2543676775,,False,FALSE,FALSE,9.2,92,9.2,32.4705882352941,,False,True,LGEA Karji,education,Kaduna,0.0,Others,True,False,TRUE,Inf,0.903985507246377,FALSE,,kaduna_chikun,27ed98ab-4be1-4946-9077-da09bdf3915a,False,27ed98ab-4be1-4946-9077-da09bdf3915a,Northwest
False,False,4646.43162,True,FALSE,False,,,,formal_educ,UBE Sabon Gida,primary_only,1336046280188.jpg,,False,,10.24457674 7.04914272 538.5 5.0,False,False,primary_only,Chikun,139,139,139.0,0.704545454545455,False,chikun,kaduna,northwest,FALSE,,0.0,6.0,450.0,3.0,3.0,,0.0,216.0,public,False,1336046280188.jpg,368250,79.2543676775,,False,FALSE,FALSE,30,75,30,150,,False,True,UBE Sabon Gida,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0.48,FALSE,,kaduna_chikun,3da7a90f-c415-4da5-a6b7-dd9148673c6e,False,3da7a90f-c415-4da5-a6b7-dd9148673c6e,Northwest
False,False,4646.43162,False,FALSE,False,,,,formal_educ,UBE Baga,primary_only,1336128307536.jpg,,False,,10.17104873 6.92900186 433.20001220703125 5.0,False,False,primary_only,Chikun,139,139,139.0,1.23076923076923,True,chikun,kaduna,northwest,FALSE,4.0,0.0,4.0,87.0,1.0,2.0,,1.0,28.0,public,False,1336128307536.jpg,368250,79.2543676775,,False,FALSE,FALSE,Inf,21.75,Inf,43.5,,False,True,UBE Baga,education,Kaduna,13.0,Others,True,False,FALSE,Inf,0.32183908045977,FALSE,,kaduna_chikun,59595aef-6a59-40c6-acb4-d12241f3eb2e,False,59595aef-6a59-40c6-acb4-d12241f3eb2e,Northwest
False,False,4646.43162,False,TRUE,False,,,,formal_educ,UBE,primary_only,1336210596085.jpg,True,False,,10.46124034 7.57942741 686.5999755859375 5.0,False,False,primary_only,Chikun,139,139,139.0,1.06635071090047,True,chikun,kaduna,northwest,FALSE,2.0,2.0,4.0,436.0,0.0,11.0,,11.0,270.0,public,False,1336210596085.jpg,368250,79.2543676775,,False,FALSE,FALSE,Inf,109,Inf,39.6363636363636,,False,True,UBE,education,Kaduna,195.0,Others,True,False,FALSE,Inf,0.619266055045872,FALSE,,kaduna_chikun,628c4cf9-3ac5-497b-8758-31431f873d4b,False,628c4cf9-3ac5-497b-8758-31431f873d4b,Northwest
False,False,4646.43162,False,TRUE,False,,,,formal_educ,UBE BOKKO,primary_only,1336134975107.jpg,,False,,10.05167502 7.02453237 421.29998779296875 5.0,False,False,primary_only,Chikun,139,139,139.0,0.458715596330275,True,chikun,kaduna,northwest,FALSE,2.0,0.0,2.0,318.0,0.0,1.0,,0.0,0.0,public,False,1336134975107.jpg,368250,79.2543676775,,False,FALSE,FALSE,Inf,159,Inf,318,,False,True,UBE BOKKO,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0,FALSE,,kaduna_chikun,94e0c69b-eb74-4310-b3ef-192802d2b6d9,False,94e0c69b-eb74-4310-b3ef-192802d2b6d9,Northwest
False,False,4646.43162,False,TRUE,False,,,,formal_educ,UBE,primary_only,1336224817277.jpg,True,False,,10.49897677 7.54679368 657.0 5.0,False,False,primary_only,Chikun,139,139,139.0,0.9625,True,chikun,kaduna,northwest,TRUE,4.0,0.0,4.0,628.0,1.0,6.0,,5.0,260.0,public,False,1336224817277.jpg,368250,79.2543676775,,False,FALSE,FALSE,31.4,157,31.4,104.666666666667,,True,True,UBE,education,Kaduna,365.0,Others,True,False,FALSE,Inf,0.414012738853503,FALSE,,kaduna_chikun,4ad3c16b-5773-40a0-b453-d9ccb1ffcf0c,False,4ad3c16b-5773-40a0-b453-d9ccb1ffcf0c,Northwest
False,False,4646.43162,False,TRUE,False,,,,formal_educ,UBE,primary_only,1336210596085.jpg,True,False,,10.46124034 7.57942741 686.5999755859375 5.0,False,False,primary_only,Chikun,139,139,139.0,1.06635071090047,True,chikun,kaduna,northwest,FALSE,2.0,2.0,4.0,436.0,0.0,11.0,,11.0,270.0,public,False,1336210596085.jpg,368250,79.2543676775,,False,FALSE,FALSE,Inf,109,Inf,39.6363636363636,,False,True,UBE,education,Kaduna,195.0,Others,True,False,FALSE,Inf,0.619266055045872,FALSE,,kaduna_chikun,628c4cf9-3ac5-497b-8758-31431f873d4b,False,628c4cf9-3ac5-497b-8758-31431f873d4b,Northwest
False,False,4646.43162,False,TRUE,False,,,,formal_educ,UBE,primary_only,1336224817277.jpg,True,False,,10.49897677 7.54679368 657.0 5.0,False,False,primary_only,Chikun,139,139,139.0,0.9625,True,chikun,kaduna,northwest,TRUE,4.0,0.0,4.0,628.0,1.0,6.0,,5.0,260.0,public,False,1336224817277.jpg,368250,79.2543676775,,False,FALSE,FALSE,31.4,157,31.4,104.666666666667,,True,True,UBE,education,Kaduna,365.0,Others,True,False,FALSE,Inf,0.414012738853503,FALSE,,kaduna_chikun,4ad3c16b-5773-40a0-b453-d9ccb1ffcf0c,False,4ad3c16b-5773-40a0-b453-d9ccb1ffcf0c,Northwest
