"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"37607",37607,"42ea9ae7-ab6f-4abd-8aea-1d7e19a65511","42ea9ae7-ab6f-4abd-8aea-1d7e19a65511","Giwa","Kaduna","Northwest",248,"11.05625331401825 7.190825343132019 671.0 4.0","1339585978953.jpg","kaduna_giwa","1339585978953.jpg","Handpump","handpump",NA,"dk","GJSS Kidandan","Kidandan","Yes","Hand Pump","Yes","Functional","No",NA
"37608",37608,"d3110eaa-a533-4388-a3a5-a546f92210e0","d3110eaa-a533-4388-a3a5-a546f92210e0","Giwa","Kaduna","Northwest",248,"11.097865104675293 7.56108820438385 721.0 4.0","1339589275278.jpg","kaduna_giwa","1339589275278.jpg","Handpump","handpump","borehole_tube_well","water_source","kundu","Kalage","Yes","Hand Pump","No","Poorly Constructed","No","Stand Alone Water Point"
"37609",37609,"8f447ca7-8373-4eb2-a6ba-3eb895cda66c","8f447ca7-8373-4eb2-a6ba-3eb895cda66c","Giwa","Kaduna","Northwest",248,"11.102086901664734 7.5903671979904175 737.0 4.0","1339586479423.jpg","kaduna_giwa","1339586479423.jpg","Handpump","handpump","borehole_tube_well","water_source","kasiwan da a","Panhauya","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37610",37610,"f42be616-ac2e-4a1f-915a-baa00b6e0928","f42be616-ac2e-4a1f-915a-baa00b6e0928","Giwa","Kaduna","Northwest",248,"11.252939701080322 7.462506294250488 678.0 4.0","1339752354350.jpg","kaduna_giwa","1339752354350.jpg","Handpump","handpump","borehole_tube_well","water_source","Fadan hakimin giwa","giwa","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37611",37611,"e22f711b-a70c-4c96-81e1-02097dcee5fd","e22f711b-a70c-4c96-81e1-02097dcee5fd","Giwa","Kaduna","Northwest",248,"11.054332852363586 7.1976810693740845 665.0 4.0","1339603040147.jpg","kaduna_giwa","1339603040147.jpg","Handpump","handpump",NA,"outlet","KIDANDAN","KIDANDAN","Yes","Hand Pump","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"37612",37612,"87923032-c627-43fd-9de2-d67e3ee904c6","87923032-c627-43fd-9de2-d67e3ee904c6","Giwa","Kaduna","Northwest",248,"11.24876618385315 7.477285265922546 681.0 4.0","1339691084845.jpg","kaduna_giwa","1339691084845.jpg","Handpump","handpump","borehole_tube_well","water_source","hayin madara","gangara","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37613",37613,"ae549884-368b-416e-a14b-a18465bd9ccb","ae549884-368b-416e-a14b-a18465bd9ccb","Giwa","Kaduna","Northwest",248,"11.098648309707642 7.560970187187195 724.0 4.0","1339589580104.jpg","kaduna_giwa","1339589580104.jpg","Overhead Tank (1,000)","one_thousand_overhead","borehole_tube_well","water_source","kundu","kadage","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"37614",37614,"cf0d2d6f-c6b1-46a7-9828-dcea2a50e116","cf0d2d6f-c6b1-46a7-9828-dcea2a50e116","Giwa","Kaduna","Northwest",248,"11.086497902870178 7.5776588916778564 722.0 4.0","1339587883290.jpg","kaduna_giwa","1339587883290.jpg","Handpump","handpump","borehole_tube_well","water_source","Rafin yashi","Panhauya","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37615",37615,"93dd51f3-43a7-4ab4-b0da-e1d8c7a1e318","93dd51f3-43a7-4ab4-b0da-e1d8c7a1e318","Giwa","Kaduna","Northwest",248,"11.110074520111084 7.467634677886963 686.0 4.0","1339599326515.jpg","kaduna_giwa","1339599326515.jpg","Handpump","handpump","borehole_tube_well","water_source","buda","kadage","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37616",37616,"c01efef3-4d3c-4848-9b8b-19e0fe42d83e","c01efef3-4d3c-4848-9b8b-19e0fe42d83e","Giwa","Kaduna","Northwest",248,"10.995672941207886 7.237270474433899 656.0 4.0","1339604738698.jpg","kaduna_giwa","1339604738698.jpg","Handpump","handpump",NA,"dk","Anguwan Gelo","Kidandan","Yes","Hand Pump","No","Mechanical Issue","No",NA
"37617",37617,"14931821-a34b-4006-a923-d5dd6b303c79","14931821-a34b-4006-a923-d5dd6b303c79","Giwa","Kaduna","Northwest",248,"11.05625867843628 7.190868258476257 675.0 4.0","1339586210824.jpg","kaduna_giwa","1339586210824.jpg","Handpump","handpump",NA,"dk","GJSS Kidandan","Kidandan","Yes","Hand Pump","Yes","Functional","No",NA
"37618",37618,"3148a9f8-d406-42c2-8116-0575b75062bc","3148a9f8-d406-42c2-8116-0575b75062bc","Giwa","Kaduna","Northwest",248,"11.089555621147156 7.587389945983887 714.0 4.0","1339588355512.jpg","kaduna_giwa","1339588355512.jpg","Handpump","handpump","borehole_tube_well","water_source","Rafin yashi","Panhauya","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37619",37619,"aebf1691-9bd0-4865-8d6e-78f75b1c2810","aebf1691-9bd0-4865-8d6e-78f75b1c2810","Giwa","Kaduna","Northwest",248,"11.05925738811493 7.394748330116272 674.0 3.0","1339605332443.jpg","kaduna_giwa","1339605332443.jpg","Handpump","handpump","borehole_tube_well","water_source","iyatawa","kidandan","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37620",37620,"e75e1547-8791-4d97-aefb-1561d260e3ca","e75e1547-8791-4d97-aefb-1561d260e3ca","Giwa","Kaduna","Northwest",248,"11.178374290466309 7.4566590785980225 661.0 4.0","1339770077113.jpg","kaduna_giwa","1339770077113.jpg","Handpump","handpump","borehole_tube_well","water_source","turawa kakangi","kakangi","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37621",37621,"34cafd7d-ace8-4e62-9623-4e6f33d2096d","34cafd7d-ace8-4e62-9623-4e6f33d2096d","Giwa","Kaduna","Northwest",248,"11.255182027816772 7.4697160720825195 673.0 4.0","1339750991410.jpg","kaduna_giwa","1339750991410.jpg","Handpump","handpump","borehole_tube_well","water_source","Hayin mAdara sec sch","gangara","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37622",37622,"c4ac6471-60ab-4631-8018-96d6027ce7a3","c4ac6471-60ab-4631-8018-96d6027ce7a3","Giwa","Kaduna","Northwest",248,"11.095831990242004 7.50616729259491 698.0 4.0","1339679560353.jpg","kaduna_giwa","1339679560353.jpg","Handpump","handpump","borehole_tube_well","water_source","karaukarau","kadage","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37623",37623,"f6ed5600-a6a5-4a97-9c05-eac6d953af2a","f6ed5600-a6a5-4a97-9c05-eac6d953af2a","Giwa","Kaduna","Northwest",248,"11.098347902297974 7.592926025390625 727.0 4.0","1339585752111.jpg","kaduna_giwa","1339585752111.jpg","Handpump","handpump","borehole_tube_well","water_source"," T/panhauya","Panhauya","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37624",37624,"ad4143e1-88ae-4f5e-afca-91c06e109e1c","ad4143e1-88ae-4f5e-afca-91c06e109e1c","Giwa","Kaduna","Northwest",248,"11.094995141029358 7.507127523422241 703.0 4.0","1339679757962.jpg","kaduna_giwa","1339679757962.jpg","Handpump","handpump","borehole_tube_well","water_source","karau karrau secondary","kadage","Yes","Hand Pump","No","Under Construction","No","Stand Alone Water Point"
"37625",37625,"db5186d2-0658-43ea-adfa-89038c22b8fc","db5186d2-0658-43ea-adfa-89038c22b8fc","Giwa","Kaduna","Northwest",248,"11.09592854976654 7.507336735725403 695.0 4.0","1339679375554.jpg","kaduna_giwa","1339679375554.jpg","Handpump","handpump","borehole_tube_well","water_source","karau karau","l","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37626",37626,"28d991c2-50ad-4fcf-806a-c0ed9c8fd87b","28d991c2-50ad-4fcf-806a-c0ed9c8fd87b","Giwa","Kaduna","Northwest",248,"11.057074069976807 7.396491765975952 644.0 4.0","1339605686977.jpg","kaduna_giwa","1339605686977.jpg","Handpump","handpump","borehole_tube_well","water_source","iyatawa","kidandan","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37627",37627,"5882fcde-0ee4-4517-8a6d-f50260448cc5","5882fcde-0ee4-4517-8a6d-f50260448cc5","Giwa","Kaduna","Northwest",248,"11.255101561546326 7.46920108795166 678.0 4.0","1339751243718.jpg","kaduna_giwa","1339751243718.jpg","Handpump","handpump","borehole_tube_well","water_source","hayin madara","gangara","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37628",37628,"1ead2cf4-dd74-4d70-97ed-7151401f1930","1ead2cf4-dd74-4d70-97ed-7151401f1930","Giwa","Kaduna","Northwest",248,"11.205668449401855 7.452657222747803 676.0 3.0","1339763559955.jpg","kaduna_giwa","1339763559955.jpg","Handpump","handpump","borehole_tube_well","water_source","Angwan mairanda","kakangi","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37629",37629,"074fd06b-3145-49bc-8459-5377a26e4eef","074fd06b-3145-49bc-8459-5377a26e4eef","Giwa","Kaduna","Northwest",248,"11.243852376937866 7.489065527915955 714.0 4.0","1339684757079.jpg","kaduna_giwa","1339684757079.jpg","Handpump","handpump","borehole_tube_well","water_source","tashan dundu","gangara","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37630",37630,"037e1227-62d6-47f0-a699-ae0b4475f34f","037e1227-62d6-47f0-a699-ae0b4475f34f","Giwa","Kaduna","Northwest",248,"11.04901134967804 7.473932504653931 685.0 4.0","1339601839318.jpg","kaduna_giwa","1339601839318.jpg","Handpump","handpump","borehole_tube_well","water_source","murai","kadage","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37631",37631,"b24d84b0-02de-4af6-8244-0a17125afe0d","b24d84b0-02de-4af6-8244-0a17125afe0d","Giwa","Kaduna","Northwest",248,"11.153166890144348 7.454577684402466 658.0 4.0","1339772591093.jpg","kaduna_giwa","1339772591093.jpg","Handpump","handpump","borehole_tube_well","water_source","kakangi","kakangi","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37632",37632,"52dd9284-6b0b-44d4-a6b7-23b4f82d3160","52dd9284-6b0b-44d4-a6b7-23b4f82d3160","Giwa","Kaduna","Northwest",248,"11.05898380279541 7.401448488235474 656.0 4.0","1339606149055.jpg","kaduna_giwa","1339606149055.jpg","Handpump","handpump","borehole_tube_well","water_source","iyatawa","kidandan ","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37633",37633,"46cf4d37-5880-40fa-901b-4b43d82d8395","46cf4d37-5880-40fa-901b-4b43d82d8395","Giwa","Kaduna","Northwest",248,"11.094560623168945 7.504032254219055 714.0 4.0","1339594550963.jpg","kaduna_giwa","1339594550963.jpg","Handpump","handpump","borehole_tube_well","water_source","karau karau","kadage","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37634",37634,"80b55b0e-6dca-48ed-ba95-5e3fc67f2833","80b55b0e-6dca-48ed-ba95-5e3fc67f2833","Giwa","Kaduna","Northwest",248,"11.09520435333252 7.502197623252869 694.0 4.0","1339595528574.jpg","kaduna_giwa","1339595528574.jpg","Handpump","handpump","borehole_tube_well","water_source","karau karau","Kadage","Yes","Hand Pump","No","Poorly Constructed","Yes","Stand Alone Water Point"
"37635",37635,"7a38ccc9-119b-4075-9fc0-42b8036cb830","7a38ccc9-119b-4075-9fc0-42b8036cb830","Giwa","Kaduna","Northwest",248,"10.51764777 7.43716839 631.5999755859375 5.0","1347354358470.jpg","kaduna_giwa","1347354358470.jpg","Tap","tap",NA,"outlet","Gabasawa","Gabasawa","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"37636",37636,"f8b88541-8d65-4eb5-9f81-feb55181b475","f8b88541-8d65-4eb5-9f81-feb55181b475","Giwa","Kaduna","Northwest",248,"11.197155117988586 7.486007809638977 681.0 4.0","1339761933121.jpg","kaduna_giwa","1339761933121.jpg","Handpump","handpump","borehole_tube_well","water_source","barin bako","kakangi","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37637",37637,"c48f292a-e3ba-4499-b7bf-a5deb0d96f29","c48f292a-e3ba-4499-b7bf-a5deb0d96f29","Giwa","Kaduna","Northwest",248,"11.094120740890503 7.503887414932251 707.0 4.0","1339594905592.jpg","kaduna_giwa","1339594905592.jpg","Handpump","handpump","borehole_tube_well","water_source","karau karau","kadage","Yes","Hand Pump","Yes","Functional","Yes","Stand Alone Water Point"
"37638",37638,"d26f75f0-dbb2-4129-a0eb-07fdc832b20e","d26f75f0-dbb2-4129-a0eb-07fdc832b20e","Giwa","Kaduna","Northwest",248,"10.886743068695068 7.165752053260803 654.0 6.0","1339596705365.jpg","kaduna_giwa","1339596705365.jpg","Handpump","handpump",NA,"dk","Maidaro","Kidandan","Yes","Hand Pump","No","Mechanical Issue","No",NA
"37639",37639,"bcc063c3-e5eb-4078-9967-4028651abe17","bcc063c3-e5eb-4078-9967-4028651abe17","Giwa","Kaduna","Northwest",248,"11.048651933670044 7.473165392875671 684.0 4.0","1339601477521.jpg","kaduna_giwa","1339601477521.jpg","Handpump","handpump","borehole_tube_well","water_source","murai","kadage","Yes","Hand Pump","No","Mechanical Issue","No","Stand Alone Water Point"
"37640",37640,"06795701-6c33-4e47-85c5-9531b86c771a","06795701-6c33-4e47-85c5-9531b86c771a","Giwa","Kaduna","Northwest",248,"11.178411841392517 7.4555593729019165 653.0 4.0","1339769606602.jpg","kaduna_giwa","1339769606602.jpg","Handpump","handpump","borehole_tube_well","water_source","turawa","kakangi","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37641",37641,"95f4e70b-47e6-4487-b0b1-3531e2576889","95f4e70b-47e6-4487-b0b1-3531e2576889","Giwa","Kaduna","Northwest",248,"11.229915618896484 7.406963109970093 670.0 4.0","1339754696716.jpg","kaduna_giwa","1339754696716.jpg","Handpump","handpump","borehole_tube_well","water_source","dokan yalwa","kakamgi","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"37642",37642,"6d6ba4c8-9b40-48fd-a2ab-acc3a2ea32b9","6d6ba4c8-9b40-48fd-a2ab-acc3a2ea32b9","Giwa","Kaduna","Northwest",248,"11.242967247962952 7.488099932670593 699.0 4.0","1339685096149.jpg","kaduna_giwa","1339685096149.jpg","Handpump","handpump","borehole_tube_well","water_source","tashar dundu","gangara","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
