antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,852.9789685,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Health Post Kwari,yes,healthpost,False,False,False,False,1301404914735.jpg,11.364203095436096 8.128756284713745 635.0 3.0,True,True,no,,True,True,True,no,,,False,False,False,False,False,False,Ikara,323,323,323.0,False,True,True,False,False,True,False,True,False,False,,IKARA,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,True,public,False,False,1301404914735.jpg,193926,227.351443777,True,False,True,health,False,yes,Kaduna,False,True,113,no,kaduna_ikara,False,3955e5d4cc37e607affe5221a1880830,,True,5762,Northwest
False,852.9789685,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,HEALTH CLINIC,no,healthpost,False,True,False,True,1301134623791.jpg,11.158826351165771 8.250308632850647 670.0 4.0,False,True,no,False,False,False,True,no,,,False,False,False,False,False,False,Ikara,323,323,323.0,False,,,False,False,False,False,False,False,False,yes,IKARA,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1301134623791.jpg,193926,227.351443777,True,False,True,health,False,yes,Kaduna,False,,113,no,kaduna_ikara,False,cbf49ab2a8a83cfbf2d0d3251ae57e62,,False,1056,Northwest
False,852.9789685,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,HEALTH CLINIC,no,primaryhealthclinic,False,True,False,False,1301319291043.jpg,11.402961015701294 8.104246258735657 679.0 3.0,False,False,no,,True,True,False,no,,,False,False,False,False,False,False,Ikara,323,323,323.0,False,,,False,False,False,False,False,False,False,yes,IKARA,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1301319291043.jpg,193926,227.351443777,False,False,True,health,False,yes,Kaduna,False,,113,no,kaduna_ikara,False,0e6dbd0ad67e3471b0f375ce1822b5d1,,False,5881,Northwest
False,852.9789685,False,False,False,False,False,False,False,False,False,False,False,False,True,True,yes,,,,,False,,,,True,True,False,Shukura clinic and Maternity,yes,healthpost,False,False,False,False,1301387505131.jpg,11.169748306274414 8.222408294677734 692.0 12.0,False,True,no,False,True,True,False,yes,,True,False,False,False,False,False,False,Ikara,323,323,323.0,False,,,False,False,True,True,True,True,True,yes,IKARA,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,True,private,True,True,1301387505131.jpg,193926,227.351443777,True,True,True,health,False,yes,Kaduna,False,False,113,no,kaduna_ikara,True,51a192c04fb3c2d04b5289d2495324a3,,False,5829,Northwest
False,852.9789685,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,False,False,,HEALTH CLINIC,no,primaryhealthclinic,False,False,False,False,1300982819372.jpg,11.148805618286133 8.20830523967743 705.0 4.0,False,False,no,False,True,True,True,no,,,False,False,False,False,False,False,Ikara,323,323,323.0,False,,,False,False,False,False,False,False,False,yes,IKARA,kaduna,northwest,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1300982819372.jpg,193926,227.351443777,False,False,,health,False,no,Kaduna,False,False,113,no,kaduna_ikara,False,384fa488689055165f3d491a255c8dd4,,False,2840,Northwest
False,852.9789685,False,False,True,True,True,True,True,True,True,True,True,True,,,no,,,,,False,True,False,False,True,False,True,PHC IKARA,no,primaryhealthcarecentre,False,True,False,False,1300962501981.jpg,11.173519492149353 8.227043151855469 687.0 4.0,False,True,no,,False,False,True,no,False,False,False,False,False,False,False,False,Ikara,323,323,323.0,False,True,True,True,,True,False,True,False,False,yes,IKARA,kaduna,northwest,0,0,0.0,1.0,2.0,0.0,True,public,False,False,1300962501981.jpg,193926,227.351443777,False,False,True,health,True,yes,Kaduna,False,True,113,yes,kaduna_ikara,True,e071f39f740b08a6391632223b2e6337,,True,1693,Northwest
False,852.9789685,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,False,False,,HEALTH POST,no,healthpost,False,False,False,False,1300974084810.jpg,11.219905614852905 8.256542086601257 627.0 4.0,False,False,no,False,False,False,True,no,,,False,False,False,False,False,False,Ikara,323,323,323.0,False,,,False,False,False,False,False,False,False,no,IKARA,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1300974084810.jpg,193926,227.351443777,False,False,,health,False,yes,Kaduna,False,False,113,no,kaduna_ikara,False,635f20504a8ff1c677dec39093ec97e8,,False,620,Northwest
False,852.9789685,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,HEALTH CLINIC,no,primaryhealthclinic,False,True,False,True,1301311360345.jpg,11.390397548675537 8.082380890846252 669.0 3.0,False,True,no,False,False,False,False,yes,,,False,False,False,False,False,False,Ikara,323,323,323.0,False,True,False,False,False,True,False,True,True,False,yes,IKARA,kaduna,northwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301311360345.jpg,193926,227.351443777,True,False,True,health,False,yes,Kaduna,False,False,113,no,kaduna_ikara,False,492071bac1880e8f12b06b51c42ab505,,True,2841,Northwest
False,852.9789685,False,False,False,False,False,False,False,False,False,False,False,False,,,no,True,,,,False,,,,True,False,False,Zumunci Nursing Home,yes,healthpost,False,True,True,True,1301317338452.jpg,11.207932233810425 8.104696869850159 690.0 4.0,False,True,no,,True,True,True,yes,,True,False,False,False,False,False,False,Ikara,323,323,323.0,False,False,False,False,False,True,False,True,True,True,,IKARA,kaduna,northwest,0,0,0.0,0.0,0.0,0.0,True,private,False,True,1301317338452.jpg,193926,227.351443777,True,True,True,health,False,yes,Kaduna,False,False,113,no,kaduna_ikara,False,f819a608af9077df9412d570c7a9d983,,False,3088,Northwest
False,852.9789685,False,False,False,False,False,False,False,False,False,False,False,False,,,no,True,0.0197391236891,2.17573246686,,False,,,,True,True,,PHC Auchan,no,primaryhealthcarecentre,False,True,False,True,1301500251663.jpg,11.406109929084778 8.008389472961426 668.0 4.0,True,True,yes,False,True,True,True,yes,,,False,False,False,False,False,False,Ikara,323,323,482.0,False,False,True,False,False,True,False,False,True,False,,IKARA,kaduna,northwest,3,3,0.0,0.0,0.0,0.0,True,public,False,True,1301500251663.jpg,193926,227.351443777,True,True,True,health,False,yes,Kaduna,False,True,113,yes,kaduna_ikara,False,bad9ee66e955d644a5c15f97ef1b3de5,,False,6313,Northwest
False,852.9789685,False,False,False,False,False,False,False,False,False,False,False,False,,,no,True,,,,False,,,,True,False,False,Sauki Na Allah Clinic,yes,healthpost,False,False,False,False,1301388668842.jpg,11.175466775894165 8.209329843521118 705.0 4.0,True,True,no,,False,False,True,yes,,,True,True,True,True,False,True,Ikara,323,323,323.0,True,False,True,False,False,True,False,False,True,False,,IKARA,kaduna,northwest,2,2,0.0,0.0,0.0,0.0,True,private,False,False,1301388668842.jpg,193926,227.351443777,True,True,True,health,False,yes,Kaduna,False,True,113,no,kaduna_ikara,False,7bee67460b787e596810505e13b156d1,,False,5722,Northwest
False,852.9789685,False,False,False,True,True,True,True,True,True,True,True,True,,,no,True,,,False,True,True,False,True,True,False,True,Primary Health care center furana,yes,primaryhealthcarecentre,False,True,True,True,1301391801376.jpg,11.274869441986084 8.211475610733032 625.0 4.0,False,True,no,False,True,True,False,yes,True,True,False,False,False,False,False,False,Ikara,323,323,323.0,False,,,True,True,True,True,True,True,True,yes,IKARA,kaduna,northwest,3,3,0.0,0.0,0.0,0.0,True,public,False,False,1301391801376.jpg,193926,227.351443777,True,False,True,health,False,yes,Kaduna,False,,113,no,kaduna_ikara,True,21e7d82da44ef605f02b37c628c532a5,,True,5392,Northwest
False,852.9789685,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,True,False,False,True,True,,Sauki clinic,yes,healthpost,False,True,False,False,1301401892710.jpg,11.388863325119019 8.081254363059998 667.0 4.0,False,True,no,False,True,True,False,no,True,True,False,False,False,False,False,False,Ikara,323,323,323.0,False,,,True,True,False,False,False,False,False,yes,IKARA,kaduna,northwest,3,2,0.0,0.0,0.0,0.0,False,private,True,True,1301401892710.jpg,193926,227.351443777,True,True,,health,True,yes,Kaduna,False,,113,no,kaduna_ikara,True,5162a33f71421cafbb1d72e661a33d16,,False,4746,Northwest
