access_clinic_dispensary,access_first_aid,area_sq_km,chalkboard_each_classroom_yn,classes_outside_yn,covered_roof_good_condi,dist_euc,dist_fake,education_improved_sanitation,education_type,facility_name,facility_type,formhub_photo_id,functional_water,functioning_library_yn,gender_separated_toilets_yn,gps,improved_sanitation,improved_water_supply,level_of_education,lga,lga_id,lga_orig,lga_valid,male_to_female_student_ratio,multigrade_classrms,mylga,mylga_state,mylga_zone,natl_curriculum_yn,num_classrms_need_maj_repairs,num_classrms_need_min_repairs,num_classrms_total,num_students_total,num_tchrs_attended_training,num_tchrs_total,num_tchrs_w_nce,num_tchrs_with_nce,num_textbooks,owner_manager,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water,power_access,provide_exercise_books_yn,provide_pens_yn,pupil_bench_ratio,pupil_classrm_ratio,pupil_desk_ratio,pupil_tchr_ratio,pupil_toilet_ratio_facility,school_1kmplus_catchment_area,school_1kmplus_secondary_school,school_name,sector,state,students_living_3kmplus_school,surveying_effort,tchr_pay_delay,tchr_pay_miss,teacher_guide_yn,teacher_nonteachingstaff_ratio,textbook_to_pupil_ratio,two_shifts_yn,type,unique_lga,uuid,wall_fence_good_condi,x_id,zone
False,True,368.3228501,False,FALSE,False,,,,formal_educ,Govt secondary school kuryas,junior_and_senior_sec,1339604831426.jpg,True,True,TRUE,9.551260471343994 8.113033175468445 790.0 4.0,False,False,junior_and_senior_sec,Jaba,379,379,379.0,1.15340909090909,False,jaba,kaduna,northwest,TRUE,0.0,,18.0,758.0,11.0,23.0,,16.0,0.0,public,True,1339604831426.jpg,155377,421.850015436,,True,FALSE,FALSE,2.65964912280702,42.1111111111111,1.56288659793814,32.9565217391304,189.5,True,True,Govt secondary school kuryas,education,Kaduna,145.0,Others,True,False,FALSE,7.66666666666667,0,FALSE,,kaduna_jaba,cc555545-fea0-441d-98c1-225e114d23c0,False,cc555545-fea0-441d-98c1-225e114d23c0,Northwest
False,False,368.3228501,False,FALSE,False,,,,formal_educ,UNICEF MODEL PRIMARY SCHOOL KURMIN KWARA,preprimary_and_primary,1339601951940.jpg,True,True,FALSE,9.549243450164795 8.124035596847534 785.0 4.0,False,False,preprimary_and_primary,Jaba,379,379,379.0,1.1394422310757,False,jaba,kaduna,northwest,FALSE,4.0,,10.0,1074.0,10.0,18.0,,12.0,785.0,public,False,1339601951940.jpg,155377,421.850015436,,False,FALSE,FALSE,3.35625,107.4,3.35625,59.6666666666667,537,False,False,UNICEF MODEL PRIMARY SCHOOL KURMIN KWARA,education,Kaduna,0.0,Others,False,False,FALSE,Inf,0.730912476722533,FALSE,,kaduna_jaba,cecabf94-d421-47d7-a797-15a0073c05e8,False,cecabf94-d421-47d7-a797-15a0073c05e8,Northwest
False,False,368.3228501,False,FALSE,False,,,,formal_educ,LGEA PRY SCH UNG-MADAKI ANKUNG,primary_only,1339587540388.jpg,True,False,,9.391427636146545 8.00603985786438 720.0 4.0,False,False,primary_only,Jaba,379,379,379.0,1,True,jaba,kaduna,northwest,TRUE,2.0,0.0,2.0,420.0,7.0,7.0,,2.0,886.0,public,False,1339587540388.jpg,155377,421.850015436,,False,FALSE,FALSE,Inf,210,Inf,60,,False,False,LGEA PRY SCH UNG-MADAKI ANKUNG,education,Kaduna,100.0,Others,True,False,FALSE,Inf,2.10952380952381,FALSE,,kaduna_jaba,2457512e-02dd-4c03-8cd8-f296dd5c9b4f,False,2457512e-02dd-4c03-8cd8-f296dd5c9b4f,Northwest
False,False,368.3228501,False,TRUE,False,,,,formal_educ,L G E A Primary school kugyama,preprimary_and_primary,1339587113080.jpg,,False,FALSE,9.593199491500854 8.117861151695251 784.0 4.0,False,False,preprimary_and_primary,Jaba,379,379,379.0,0.7975,False,jaba,kaduna,northwest,FALSE,3.0,0.0,5.0,719.0,1.0,13.0,,4.0,460.0,public,False,1339587113080.jpg,155377,421.850015436,,False,FALSE,FALSE,719,143.8,65.3636363636364,55.3076923076923,Inf,False,False,L G E A Primary school kugyama,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0.639777468706537,FALSE,,kaduna_jaba,91ffbf44-c583-4f9c-bc12-4f090ba51e55,False,91ffbf44-c583-4f9c-bc12-4f090ba51e55,Northwest
False,False,368.3228501,False,FALSE,False,,,,formal_educ,UBE PRIMARY SCHOOL CHORI GALADIMA,preprimary_and_primary,1339679198110.jpg,True,False,FALSE,9.542543292045593 8.051556944847107 752.0 4.0,False,False,preprimary_and_primary,Jaba,379,379,379.0,1.43370165745856,False,jaba,kaduna,northwest,TRUE,2.0,0.0,6.0,881.0,4.0,9.0,,5.0,181.0,public,False,1339679198110.jpg,155377,421.850015436,,False,FALSE,FALSE,146.833333333333,146.833333333333,22.025,97.8888888888889,440.5,False,True,UBE PRIMARY SCHOOL CHORI GALADIMA,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0.205448354143019,FALSE,,kaduna_jaba,802c0177-e21a-4d2e-9e2d-c137c3c2d293,False,802c0177-e21a-4d2e-9e2d-c137c3c2d293,Northwest
False,False,368.3228501,True,TRUE,False,0.0401759140968,4.44144392727,,formal_educ,UBE Primary School Ngar-shang Fai,primary_only,1339594993495.jpg,True,False,,9.541341662406921 7.966525554656982 799.0 4.0,False,False,primary_only,Jaba,379,379,394.0,1.38059701492537,True,jaba,kaduna,northwest,TRUE,2.0,0.0,2.0,319.0,5.0,6.0,,3.0,800.0,public,False,1339594993495.jpg,155377,421.850015436,,False,FALSE,FALSE,26.5833333333333,159.5,26.5833333333333,53.1666666666667,,False,False,UBE Primary School Ngar-shang Fai,education,Kaduna,0.0,Others,True,False,FALSE,Inf,2.50783699059561,FALSE,,kaduna_jaba,c7a6bf1e-23cc-4b6e-a339-1ae00e4e6f84,False,c7a6bf1e-23cc-4b6e-a339-1ae00e4e6f84,Northwest
False,True,368.3228501,False,FALSE,False,0.0294464464441,3.25535869207,,formal_educ,Government Secondary School Fai,junior_and_senior_sec,1339591376392.jpg,,False,TRUE,9.53314483165741 7.976031303405762 798.0 4.0,False,False,junior_and_senior_sec,Jaba,379,379,400.0,1.1025641025641,True,jaba,kaduna,northwest,FALSE,4.0,,15.0,574.0,8.0,12.0,,7.0,350.0,public,True,1339591376392.jpg,155377,421.850015436,,True,FALSE,FALSE,3.82666666666667,38.2666666666667,3.82666666666667,47.8333333333333,143.5,True,True,Government Secondary School Fai,education,Kaduna,340.0,Others,False,False,FALSE,12,0.609756097560976,FALSE,,kaduna_jaba,fd39db79-0fc0-4fe5-aa0b-dacf02d51e81,False,fd39db79-0fc0-4fe5-aa0b-dacf02d51e81,Northwest
False,False,368.3228501,False,TRUE,False,0.0113968315762,1.25994153436,,formal_educ,LGEA ,primary_only,1339601683652.jpg,,False,FALSE,9.539040327072144 7.996405363082886 771.0 4.0,False,False,primary_only,Jaba,379,379,400.0,1.77689243027888,False,jaba,kaduna,northwest,FALSE,2.0,2.0,4.0,697.0,5.0,7.0,,5.0,227.0,public,False,1339601683652.jpg,155377,421.850015436,,False,FALSE,FALSE,77.4444444444444,174.25,77.4444444444444,99.5714285714286,348.5,False,True,LGEA ,education,Kaduna,0.0,Others,True,False,TRUE,Inf,0.325681492109039,TRUE,,kaduna_jaba,2d6a879b-059f-4dae-99e9-dde303d8e590,False,2d6a879b-059f-4dae-99e9-dde303d8e590,Northwest
False,False,368.3228501,False,TRUE,False,0.0488856550641,5.40431386147,,formal_educ,Local Gov. Education Authority,preprimary_and_primary,1339595818079.jpg,True,False,,9.53713595867157 7.94860303401947 812.0 4.0,False,False,preprimary_and_primary,Jaba,379,379,394.0,1.70334928229665,True,jaba,kaduna,northwest,TRUE,,0.0,6.0,565.0,2.0,9.0,,4.0,1390.0,public,False,1339595818079.jpg,155377,421.850015436,,False,FALSE,FALSE,Inf,94.1666666666667,Inf,62.7777777777778,,True,True,Local Gov. Education Authority,education,Kaduna,0.0,Others,True,False,TRUE,Inf,2.46017699115044,FALSE,,kaduna_jaba,cc8fa68b-b73a-418e-b3f6-7faadf996d8e,False,cc8fa68b-b73a-418e-b3f6-7faadf996d8e,Northwest
False,False,368.3228501,False,TRUE,False,0.0114230928598,1.2628438215,,formal_educ,LGEA ,primary_only,1339600662291.jpg,,False,FALSE,9.539549946784973 7.996603846549988 771.0 4.0,False,False,primary_only,Jaba,379,379,400.0,1.77689243027888,True,jaba,kaduna,northwest,FALSE,2.0,2.0,4.0,697.0,4.0,7.0,,6.0,242.0,public,False,1339600662291.jpg,155377,421.850015436,,False,FALSE,FALSE,77.4444444444444,174.25,77.4444444444444,99.5714285714286,348.5,True,True,LGEA ,education,Kaduna,0.0,Others,True,False,FALSE,Inf,0.347202295552367,FALSE,,kaduna_jaba,f248c8e7-730d-4138-a303-2370cb3ad3bc,False,f248c8e7-730d-4138-a303-2370cb3ad3bc,Northwest
